Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.396812,0.017568,0.191462,0.005024,0.047617,0.107172,0.053249,0.062626,0.226343,0.889658
0.396908,0.017600,0.191942,0.004960,0.047585,0.106755,0.054593,0.062754,0.227494,0.891738
0.396588,0.017569,0.191557,0.005088,0.047362,0.106115,0.054082,0.061537,0.225286,0.888827
0.399916,0.017664,0.193094,0.004800,0.047329,0.107620,0.054657,0.063842,0.229895,0.898074
0.397867,0.017569,0.191846,0.005024,0.047585,0.114916,0.053825,0.062658,0.234439,0.899866
0.395820,0.017824,0.192454,0.005248,0.047009,0.113412,0.060930,0.063458,0.241224,0.904667
0.396396,0.017729,0.211686,0.005056,0.047426,0.109699,0.051137,0.061122,0.225222,0.909147
0.397740,0.017312,0.191718,0.004800,0.047778,0.108227,0.066242,0.067330,0.244839,0.909307
0.396332,0.017888,0.191558,0.004800,0.047297,0.112387,0.064290,0.072066,0.252360,0.916443
0.396876,0.017473,0.191429,0.005057,0.047457,0.105475,0.053314,0.062210,0.224519,0.887547
0.396267,0.017281,0.191174,0.005024,0.047457,0.110083,0.064802,0.063746,0.242119,0.904378
0.398219,0.017344,0.192166,0.004800,0.047425,0.107876,0.054273,0.063490,0.229415,0.894458
0.396684,0.017536,0.191750,0.004896,0.047778,0.105059,0.053441,0.059586,0.221350,0.884826
0.396908,0.017888,0.214759,0.005184,0.047713,0.115108,0.055745,0.064322,0.238759,0.927739
0.396812,0.017600,0.193190,0.004832,0.047457,0.109028,0.055297,0.063330,0.231079,0.896250
0.396428,0.017696,0.192006,0.004768,0.047041,0.108260,0.052065,0.061538,0.225287,0.888378
0.396044,0.017632,0.192038,0.004896,0.047298,0.106691,0.054401,0.063138,0.227590,0.891418
0.415756,0.017505,0.191333,0.004801,0.046977,0.109187,0.054210,0.063298,0.230151,0.911835
0.395979,0.017536,0.191782,0.005088,0.047297,0.109220,0.053825,0.065954,0.232487,0.895770
0.396940,0.017568,0.191334,0.004832,0.047265,0.102820,0.051585,0.060450,0.218535,0.881434
0.397100,0.017376,0.191494,0.004800,0.065378,0.100995,0.055394,0.061217,0.220518,0.902618
0.397900,0.017601,0.192165,0.004832,0.047554,0.099875,0.051137,0.062754,0.217414,0.882746
0.397420,0.017440,0.192070,0.005056,0.047970,0.105507,0.054433,0.062754,0.226214,0.891354
0.396460,0.017664,0.192038,0.005312,0.047042,0.109347,0.055266,0.072610,0.240423,0.904283
0.411532,0.017601,0.191781,0.004768,0.047170,0.107107,0.059330,0.063554,0.233895,0.912667
0.396555,0.017569,0.191654,0.004800,0.047393,0.109155,0.051585,0.065826,0.229735,0.892922
0.399916,0.017409,0.191910,0.004960,0.047233,0.111331,0.052674,0.062690,0.229767,0.896571
0.397772,0.017569,0.191877,0.005025,0.047425,0.148836,0.054114,0.061218,0.267624,0.932732
0.396395,0.017633,0.191910,0.005024,0.047617,0.109027,0.054753,0.063586,0.231207,0.895930
0.396332,0.017376,0.191942,0.005024,0.047042,0.107459,0.050465,0.060642,0.222150,0.884922
0.399916,0.017504,0.191782,0.005280,0.047106,0.104835,0.054273,0.062434,0.224870,0.891514
0.416684,0.017569,0.191813,0.005057,0.048353,0.108451,0.054306,0.062722,0.229159,0.914011
0.398091,0.017568,0.191590,0.004800,0.047489,0.112164,0.058241,0.066210,0.239975,0.904826
0.400972,0.017793,0.192070,0.005024,0.047361,0.106243,0.053538,0.063202,0.226247,0.894907
0.398924,0.017568,0.192038,0.005024,0.047170,0.103203,0.064802,0.080194,0.252135,0.918395
0.395884,0.017568,0.192230,0.005024,0.047713,0.108804,0.053473,0.061922,0.227783,0.891162
0.395436,0.017760,0.191654,0.004832,0.047521,0.101955,0.065154,0.063330,0.233863,0.895994
0.395532,0.017664,0.192518,0.004928,0.047138,0.099523,0.052609,0.061058,0.216838,0.879802
0.412780,0.017568,0.191878,0.004800,0.047490,0.116835,0.057826,0.063362,0.241447,0.921947
0.394988,0.017536,0.191622,0.004832,0.048129,0.107812,0.059233,0.062754,0.233351,0.895578
0.398508,0.017600,0.192069,0.004832,0.047554,0.103459,0.054081,0.062178,0.222982,0.888538
0.395148,0.017600,0.191782,0.005056,0.047458,0.106275,0.054753,0.124484,0.289320,0.951548
0.395275,0.017504,0.192134,0.005056,0.047713,0.103555,0.054402,0.062146,0.223431,0.886106
