Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-10],classifier
0.415601,0.017696,0.202280,0.005153,0.048994,0.134437,0.889411
0.419728,0.017825,0.203848,0.004928,0.048578,0.137318,0.901251
0.436529,0.017728,0.202984,0.004993,0.048354,0.138213,0.917283
0.418224,0.017729,0.205096,0.005088,0.048738,0.139685,0.905219
0.415985,0.017664,0.204904,0.004865,0.048642,0.130853,0.897283
0.416561,0.017728,0.202568,0.004832,0.048674,0.139686,0.922692
0.417296,0.017632,0.202216,0.005024,0.048866,0.136294,0.895363
0.416368,0.017505,0.202248,0.005216,0.048418,0.135813,0.894403
0.416113,0.017536,0.202088,0.004800,0.048866,0.152134,0.908804
0.435601,0.017569,0.202440,0.004832,0.048354,0.137925,0.913476
0.416080,0.017601,0.202216,0.005024,0.048322,0.137925,0.892419
0.416304,0.017600,0.202504,0.004864,0.048386,0.140006,0.897507
0.418448,0.017569,0.202376,0.005216,0.048098,0.140422,0.918276
0.416113,0.017856,0.202184,0.005057,0.048929,0.134661,0.891011
0.417104,0.017697,0.202248,0.004992,0.048066,0.137669,0.893635
0.415920,0.017441,0.202216,0.004832,0.048898,0.158598,0.915332
0.431153,0.017601,0.202504,0.004864,0.048834,0.145574,0.920612
0.416368,0.017601,0.202280,0.005120,0.049378,0.141189,0.901411
0.416944,0.017537,0.202376,0.004800,0.048290,0.140453,0.899555
0.416816,0.017537,0.202344,0.004832,0.048098,0.138629,0.917475
0.416496,0.017697,0.203112,0.005248,0.048994,0.137286,0.897763
0.416688,0.017569,0.203080,0.005184,0.049314,0.143846,0.904995
0.418225,0.017888,0.202408,0.005280,0.048802,0.140134,0.902275
0.436369,0.017761,0.203784,0.004832,0.049474,0.140326,0.922532
0.417520,0.017761,0.202504,0.004768,0.047778,0.140389,0.897475
0.417552,0.017729,0.202184,0.004832,0.048706,0.142598,0.902179
0.417329,0.017504,0.202375,0.004865,0.048642,0.156774,0.914948
0.416752,0.017761,0.202056,0.004800,0.048290,0.140613,0.903875
0.417457,0.017568,0.202632,0.004801,0.048289,0.139462,0.902852
0.417200,0.017537,0.202376,0.004832,0.048578,0.139622,0.896867
0.435153,0.017633,0.202215,0.005057,0.048866,0.140997,0.916068
0.416593,0.017761,0.202151,0.005057,0.048994,0.138021,0.896131
0.417873,0.017633,0.202247,0.005057,0.048002,0.146309,0.904836
0.417104,0.017793,0.201928,0.005344,0.068707,0.140997,0.919748
0.417617,0.017664,0.202439,0.005089,0.048578,0.139557,0.898308
0.416848,0.017600,0.202056,0.004832,0.048386,0.142662,0.902083
0.416945,0.017760,0.202184,0.004992,0.048001,0.144902,0.900771
0.430449,0.017729,0.202632,0.004800,0.048546,0.141445,0.913444
0.416848,0.017761,0.202600,0.005024,0.048290,0.132517,0.890083
0.416400,0.017665,0.202824,0.004832,0.048674,0.141126,0.901059
0.416784,0.017761,0.216872,0.005184,0.048546,0.140422,0.912515
0.416464,0.017601,0.202888,0.004896,0.049538,0.142438,0.901635
0.415953,0.018112,0.202408,0.005025,0.049026,0.141669,0.900036
0.416400,0.017664,0.203144,0.004864,0.049442,0.141254,0.901763
0.415792,0.017665,0.202312,0.005248,0.049346,0.169639,0.928068
0.415952,0.017633,0.202152,0.004800,0.048642,0.139461,0.894755
0.416208,0.017889,0.202504,0.005216,0.048610,0.140581,0.898851
0.415408,0.017729,0.218376,0.005248,0.051330,0.140838,0.917219
0.415504,0.017761,0.201992,0.004864,0.048514,0.132325,0.885603
0.415665,0.017632,0.202344,0.004801,0.048833,0.139206,0.898499
0.415696,0.017761,0.202216,0.004928,0.048834,0.138917,0.902723
0.417137,0.017504,0.202312,0.004992,0.049377,0.150022,0.909988
0.417297,0.017696,0.202216,0.005024,0.049218,0.141798,0.900483
0.416241,0.017536,0.202152,0.004960,0.048450,0.141478,0.897955
0.416080,0.017729,0.221896,0.005153,0.048705,0.137030,0.913508
0.416304,0.017537,0.202280,0.004800,0.048226,0.143206,0.900611
0.416048,0.017473,0.202536,0.004832,0.049474,0.140741,0.898339
0.418128,0.017537,0.202568,0.005024,0.048674,0.136389,0.893731
0.416176,0.017569,0.202312,0.005248,0.048418,0.137894,0.893347
0.416944,0.017601,0.202216,0.004800,0.048514,0.128805,0.884419
0.416944,0.017633,0.202376,0.004864,0.048482,0.157926,0.918372
0.417072,0.037826,0.202696,0.005056,0.049026,0.143653,0.927428
0.416688,0.017440,0.202568,0.005024,0.049378,0.135014,0.892035
0.415664,0.017569,0.202376,0.005024,0.048290,0.141158,0.898595
0.416880,0.017729,0.202120,0.005024,0.048226,0.130821,0.885314
0.417424,0.017761,0.202440,0.004832,0.048610,0.139942,0.899747
0.416785,0.017504,0.202696,0.004801,0.048322,0.137765,0.894723
0.416241,0.017536,0.202440,0.005024,0.048257,0.137254,0.898915
0.415729,0.017728,0.220680,0.005216,0.048578,0.136230,0.915524
0.416849,0.017472,0.202344,0.004929,0.049282,0.135269,0.896451
0.418384,0.017953,0.202888,0.005088,0.049698,0.133957,0.894179
0.416816,0.017569,0.202952,0.004768,0.049570,0.138950,0.902211
0.416336,0.017505,0.202632,0.005184,0.048034,0.134437,0.891395
0.416912,0.017729,0.202408,0.004800,0.048834,0.138085,0.895651
0.416592,0.017857,0.202376,0.004992,0.049218,0.136901,0.900163
0.415472,0.017697,0.227913,0.005184,0.048674,0.145797,0.934500
0.416176,0.017473,0.202344,0.004896,0.048386,0.139461,0.894531
0.415824,0.017536,0.202280,0.004832,0.049186,0.138406,0.897347
0.415696,0.017761,0.202184,0.004960,0.048418,0.136773,0.898179
0.415632,0.017473,0.202696,0.005248,0.048226,0.132005,0.888226
0.417649,0.017569,0.202471,0.005313,0.047394,0.141957,0.906916
0.417008,0.017760,0.202664,0.004992,0.048770,0.140326,0.904451
0.415921,0.017504,0.219720,0.005184,0.048802,0.141510,0.917796
0.416560,0.017729,0.202504,0.004864,0.048898,0.135365,0.891075
0.417200,0.017505,0.202632,0.004768,0.048290,0.135110,0.894019
0.416464,0.017441,0.202632,0.004832,0.048194,0.141125,0.899459
0.416592,0.017729,0.202312,0.005024,0.048386,0.142374,0.902403
0.415792,0.018209,0.202824,0.004992,0.048546,0.137573,0.898435
0.418288,0.017664,0.202952,0.005152,0.048418,0.136294,0.894915
0.417328,0.017505,0.218600,0.005184,0.048226,0.135398,0.909347
0.418832,0.017600,0.205064,0.004833,0.048577,0.141030,0.903651
0.417776,0.017889,0.203944,0.004960,0.048866,0.135461,0.897955
0.416656,0.017697,0.202504,0.004768,0.048834,0.136677,0.895907
0.415952,0.017505,0.202920,0.004864,0.049186,0.132869,0.888642
0.417008,0.017536,0.204040,0.004961,0.047809,0.133670,0.891427
0.416336,0.017697,0.202664,0.005056,0.048258,0.137701,0.896003
0.416240,0.017633,0.220233,0.005184,0.048098,0.138469,0.916292
0.416848,0.017729,0.202376,0.004832,0.048034,0.142085,0.898115
0.416241,0.017760,0.202824,0.005024,0.048482,0.148454,0.904772
0.417936,0.017537,0.202472,0.005056,0.049250,0.135397,0.899011
0.418000,0.017569,0.202504,0.005088,0.048450,0.140806,0.901955
0.416753,0.017697,0.202375,0.005025,0.048482,0.135461,0.892195
0.418448,0.017505,0.202152,0.005056,0.049282,0.135941,0.893091
0.419761,0.017505,0.218568,0.005216,0.048642,0.139558,0.915780
0.416432,0.017857,0.202376,0.005056,0.049410,0.138085,0.901443
0.418161,0.017568,0.202312,0.005056,0.048482,0.136230,0.900515
0.417424,0.017665,0.202568,0.005024,0.048386,0.135493,0.893699
0.418960,0.017473,0.202088,0.005152,0.049922,0.136549,0.894083
0.417520,0.017505,0.202664,0.004992,0.048546,0.133829,0.892803
0.416656,0.017473,0.202376,0.004800,0.048610,0.137958,0.892803
0.422160,0.017792,0.220681,0.005248,0.048770,0.142630,0.931108
0.418257,0.017889,0.202952,0.004992,0.048578,0.136069,0.894211
0.416336,0.017537,0.202952,0.005056,0.048482,0.135365,0.891587
0.416208,0.017728,0.202472,0.005024,0.048482,0.135078,0.892387
0.416400,0.017761,0.202120,0.005024,0.048642,0.143910,0.902659
0.416433,0.017697,0.202119,0.004992,0.048962,0.138437,0.896676
0.416625,0.017536,0.202056,0.004993,0.048609,0.139526,0.898147
0.416945,0.017569,0.217896,0.005280,0.048450,0.128485,0.899204
0.417233,0.017600,0.202439,0.005185,0.048386,0.130469,0.887811
0.417232,0.017569,0.202504,0.005024,0.048578,0.134981,0.893411
0.417329,0.017600,0.202919,0.004897,0.048450,0.138981,0.902308
0.429713,0.017568,0.203112,0.004897,0.048546,0.129445,0.900483
0.418128,0.017505,0.203368,0.005184,0.049250,0.135750,0.896355
0.416144,0.017537,0.202024,0.005280,0.048482,0.131845,0.884962
0.415856,0.017665,0.237673,0.005280,0.048610,0.142374,0.939396
0.416464,0.017505,0.202024,0.004960,0.049506,0.145894,0.904963
0.415761,0.017536,0.202632,0.005249,0.048802,0.140709,0.901412
0.415696,0.017569,0.202631,0.005088,0.048610,0.141573,0.900740
0.431729,0.017793,0.202408,0.005056,0.048322,0.144902,0.918404
0.416433,0.017601,0.202919,0.005217,0.048994,0.142373,0.901188
0.418384,0.017697,0.203112,0.004992,0.048802,0.143878,0.906787
0.417840,0.017792,0.225481,0.005312,0.049538,0.145926,0.930341
0.415664,0.017537,0.203112,0.005024,0.048802,0.137253,0.895907
0.415824,0.017665,0.202600,0.005024,0.049026,0.130021,0.884930
0.415920,0.017504,0.202504,0.005056,0.048546,0.136550,0.896035
0.416369,0.017601,0.202600,0.004928,0.047554,0.138757,0.895075
0.415760,0.017601,0.202344,0.004800,0.047010,0.138918,0.894179
0.415696,0.017761,0.202248,0.005024,0.047170,0.137573,0.890691
0.415569,0.017473,0.223784,0.005345,0.048801,0.137638,0.914596
0.417520,0.017953,0.203688,0.005024,0.047842,0.140998,0.901507
0.417233,0.017760,0.202664,0.004992,0.047969,0.139430,0.901379
0.418224,0.017697,0.202248,0.005088,0.048386,0.138405,0.895395
0.416784,0.017504,0.202152,0.004992,0.049186,0.134566,0.893027
0.416400,0.017761,0.202568,0.004800,0.047458,0.135589,0.890755
0.417457,0.017824,0.202152,0.004929,0.047265,0.134918,0.892355
