Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.396396,0.017664,0.192581,0.004896,0.048098,0.116163,0.053218,0.061794,0.234919,0.000736,0.901531
0.395788,0.017376,0.191686,0.004800,0.048194,0.112515,0.070370,0.077730,0.264327,0.000704,0.928763
0.396619,0.017633,0.192326,0.004864,0.048001,0.109028,0.053409,0.061506,0.227143,0.000672,0.893306
0.397164,0.017408,0.192550,0.004896,0.047618,0.107107,0.050913,0.061538,0.223078,0.000704,0.889402
0.396876,0.017537,0.191685,0.004896,0.047841,0.110563,0.052930,0.062050,0.229319,0.000672,0.895355
0.412684,0.017473,0.191782,0.004800,0.048001,0.109475,0.054306,0.061826,0.228903,0.000704,0.910075
0.397004,0.017536,0.191718,0.004864,0.047490,0.108963,0.054210,0.066338,0.233095,0.000704,0.898299
0.396939,0.017376,0.192550,0.004832,0.047681,0.106851,0.051873,0.065730,0.228231,0.000736,0.894202
0.396524,0.017472,0.192102,0.004896,0.047746,0.114851,0.067330,0.076834,0.262759,0.000736,0.928124
0.400012,0.018240,0.193733,0.005024,0.048898,0.159589,0.068546,0.065730,0.298121,0.001120,0.973597
0.397932,0.017985,0.192133,0.005153,0.048609,0.108611,0.052578,0.063874,0.229031,0.000832,0.898107
0.397356,0.017664,0.191878,0.005088,0.048130,0.111363,0.053922,0.061569,0.230406,0.000704,0.897082
0.413356,0.017761,0.191718,0.004800,0.047937,0.112515,0.055201,0.064450,0.235655,0.000672,0.918651
0.396939,0.017665,0.192390,0.005088,0.048097,0.107811,0.055810,0.061794,0.228711,0.000832,0.895418
0.395851,0.017761,0.192102,0.005088,0.047841,0.112068,0.054849,0.069730,0.240295,0.000864,0.906394
0.396204,0.017952,0.226151,0.005248,0.048098,0.113763,0.065506,0.068194,0.250855,0.000704,0.951708
0.395915,0.017473,0.191717,0.004896,0.047713,0.109315,0.053538,0.064994,0.231463,0.000704,0.895386
0.397164,0.017633,0.192902,0.004992,0.047809,0.107203,0.053186,0.062114,0.226055,0.000704,0.893083
0.396747,0.017665,0.192390,0.005120,0.048417,0.108675,0.053634,0.061250,0.226887,0.000704,0.894138
0.397356,0.017761,0.193094,0.005184,0.048513,0.117572,0.054529,0.064578,0.240199,0.000736,0.909051
0.396011,0.017697,0.192614,0.004768,0.048129,0.111876,0.054177,0.061634,0.231175,0.000736,0.897690
0.395852,0.017857,0.192165,0.005216,0.048258,0.108451,0.050818,0.060993,0.223911,0.000736,0.889851
0.396779,0.017761,0.210694,0.005280,0.048834,0.110755,0.063522,0.061986,0.239847,0.000672,0.926875
0.397484,0.017632,0.192197,0.004960,0.048290,0.107587,0.050370,0.060129,0.221702,0.000704,0.888986
0.397356,0.017792,0.192006,0.005312,0.048226,0.111235,0.052641,0.061666,0.229158,0.000800,0.897082
0.396620,0.017728,0.193126,0.004832,0.047777,0.109252,0.054753,0.064194,0.231623,0.000896,0.898362
0.396747,0.017792,0.192390,0.005088,0.047809,0.110596,0.053761,0.060834,0.228615,0.000672,0.895258
0.395980,0.017856,0.191910,0.005120,0.048162,0.108803,0.053282,0.066146,0.231431,0.000640,0.896987
0.396652,0.017728,0.192486,0.005088,0.048418,0.110883,0.049793,0.065377,0.229766,0.000737,0.897115
0.396076,0.017856,0.208870,0.004929,0.047649,0.119652,0.054945,0.063298,0.241511,0.000864,0.924795
0.398732,0.017793,0.193158,0.005024,0.048001,0.113444,0.052641,0.065506,0.234951,0.000736,0.904091
0.396427,0.017825,0.192006,0.004832,0.049121,0.111396,0.053665,0.063042,0.231463,0.000704,0.898074
0.396428,0.017921,0.192581,0.005089,0.047841,0.108355,0.053890,0.062722,0.228775,0.000672,0.895547
0.397292,0.017665,0.192453,0.005056,0.048738,0.112387,0.052546,0.063170,0.231559,0.000672,0.899259
0.397196,0.017728,0.191622,0.005088,0.048450,0.110403,0.053537,0.062561,0.230150,0.000768,0.897146
0.397292,0.017856,0.193254,0.005088,0.047586,0.114947,0.053378,0.063298,0.234983,0.000704,0.902107
0.416012,0.018272,0.192294,0.004832,0.048161,0.109924,0.067106,0.063170,0.243496,0.000704,0.929660
0.397932,0.017664,0.192038,0.004864,0.048257,0.108836,0.053185,0.063202,0.228775,0.000640,0.895898
0.396203,0.017793,0.191750,0.004864,0.047841,0.108675,0.053346,0.063170,0.228935,0.000704,0.894234
0.398219,0.017857,0.191398,0.005056,0.047521,0.117412,0.054657,0.084835,0.261224,0.000672,0.928859
0.396267,0.017953,0.191750,0.005056,0.048097,0.116708,0.053089,0.065218,0.238983,0.000736,0.905338
0.397932,0.017953,0.191333,0.004897,0.048321,0.112803,0.053922,0.063554,0.233767,0.000928,0.901211
0.397132,0.017953,0.191717,0.005088,0.047905,0.114307,0.058882,0.066946,0.243847,0.000800,0.911259
0.414989,0.017728,0.191686,0.004832,0.048034,0.114595,0.062114,0.071202,0.251815,0.000704,0.936156
0.396524,0.017664,0.191718,0.005088,0.048194,0.116259,0.052866,0.063553,0.236358,0.000704,0.902363
0.396460,0.017825,0.192069,0.005056,0.048226,0.113027,0.054562,0.063746,0.234695,0.000672,0.900827
0.396268,0.017664,0.191526,0.005056,0.048290,0.132612,0.062562,0.065377,0.264232,0.000736,0.929660
0.396204,0.017792,0.192198,0.005088,0.048033,0.112004,0.052641,0.063394,0.231591,0.000800,0.897818
0.396363,0.017697,0.191654,0.005152,0.047809,0.110467,0.052065,0.061634,0.227687,0.000736,0.892826
0.396875,0.017825,0.192006,0.005056,0.048385,0.101571,0.052418,0.065122,0.222791,0.000736,0.890266
0.409228,0.017953,0.192230,0.005056,0.048001,0.116804,0.063906,0.064321,0.248775,0.000993,0.928476
0.397356,0.017889,0.192037,0.005184,0.048098,0.113187,0.064226,0.065122,0.246023,0.000768,0.913339
0.397068,0.017793,0.192645,0.005057,0.048737,0.106179,0.052450,0.067906,0.230311,0.000736,0.898459
0.396652,0.017792,0.192454,0.005056,0.065538,0.108707,0.061186,0.059874,0.232871,0.000832,0.917787
0.396491,0.017889,0.191558,0.004864,0.047329,0.113956,0.053889,0.064098,0.235879,0.000672,0.901018
0.396075,0.017761,0.192102,0.005088,0.048129,0.112452,0.051489,0.064770,0.232359,0.000800,0.898426
0.396811,0.017825,0.192294,0.005120,0.047969,0.114788,0.052961,0.063586,0.235111,0.000704,0.901786
0.413740,0.017888,0.192518,0.005120,0.048514,0.115427,0.063522,0.063170,0.247143,0.000672,0.931611
0.397900,0.017921,0.191909,0.005153,0.048097,0.107683,0.052066,0.062338,0.225991,0.000704,0.893467
0.397100,0.017856,0.192294,0.005024,0.047842,0.115171,0.052994,0.064066,0.236007,0.000704,0.903163
0.395788,0.017921,0.213542,0.005088,0.048002,0.113475,0.063842,0.067330,0.248263,0.000768,0.935548
0.396683,0.018016,0.192582,0.005056,0.048257,0.112356,0.054273,0.063106,0.233575,0.000704,0.901210
0.396299,0.017729,0.191782,0.005088,0.047809,0.110883,0.051202,0.063490,0.228999,0.000704,0.894234
0.397259,0.018017,0.191654,0.004800,0.047937,0.112580,0.055841,0.063650,0.235623,0.000896,0.902554
0.396683,0.017601,0.192070,0.004960,0.047937,0.117220,0.055137,0.063202,0.239495,0.000864,0.905786
0.397420,0.017760,0.191686,0.005088,0.048482,0.117539,0.053378,0.064898,0.239783,0.000768,0.906939
0.397323,0.017857,0.191942,0.004864,0.048193,0.114372,0.053505,0.061538,0.233095,0.000704,0.899578
0.412684,0.017888,0.192230,0.004864,0.048130,0.114883,0.071234,0.061730,0.251623,0.000832,0.934619
0.396076,0.017729,0.192933,0.005056,0.048098,0.110467,0.051362,0.061698,0.227079,0.000832,0.893435
0.399500,0.017793,0.194309,0.004833,0.048193,0.120292,0.055905,0.063586,0.243655,0.000768,0.916027
0.396011,0.017600,0.192326,0.004800,0.048097,0.114372,0.054305,0.086787,0.259752,0.000800,0.925339
0.397580,0.017857,0.192229,0.005056,0.048226,0.112323,0.053282,0.062178,0.231495,0.000768,0.899355
0.397228,0.017760,0.192166,0.005152,0.047522,0.108899,0.052033,0.060930,0.225382,0.000832,0.891770
0.396492,0.017633,0.192101,0.005089,0.047969,0.113603,0.053634,0.061506,0.232135,0.000736,0.898107
0.414828,0.017984,0.191750,0.005216,0.047874,0.117379,0.062850,0.064290,0.248295,0.000608,0.932411
0.396299,0.017953,0.191558,0.004800,0.048449,0.112483,0.054529,0.063778,0.234343,0.000864,0.900250
0.397932,0.017824,0.191718,0.004832,0.047554,0.107491,0.063458,0.065058,0.239431,0.000704,0.905563
0.397164,0.017824,0.192166,0.004992,0.047713,0.102755,0.048898,0.084226,0.240712,0.000704,0.908155
0.396652,0.017665,0.192581,0.004992,0.048994,0.109827,0.050850,0.059681,0.223814,0.000704,0.890875
0.396331,0.018081,0.191494,0.004800,0.047809,0.112708,0.053697,0.061602,0.231367,0.000704,0.897050
0.396460,0.017824,0.192614,0.005024,0.047553,0.107396,0.052865,0.063874,0.227719,0.000832,0.893690
0.420557,0.017568,0.192550,0.004800,0.049282,0.109411,0.063618,0.061986,0.238407,0.000704,0.929500
0.396747,0.017537,0.192006,0.005024,0.048545,0.109699,0.053730,0.062818,0.230055,0.000768,0.896602
0.396652,0.017632,0.191750,0.005056,0.047554,0.109251,0.051105,0.066562,0.230502,0.000768,0.895738
0.396172,0.017793,0.192229,0.005056,0.047810,0.106467,0.052546,0.089090,0.251559,0.000800,0.916763
0.396204,0.017729,0.192037,0.005025,0.047041,0.105827,0.053186,0.066210,0.228231,0.000704,0.892155
0.396300,0.017697,0.192005,0.005025,0.047265,0.109795,0.050786,0.063906,0.228071,0.000672,0.892411
0.395435,0.017729,0.192006,0.005056,0.047233,0.109859,0.052418,0.062082,0.227559,0.000672,0.891034
0.412364,0.017856,0.191750,0.005088,0.047522,0.139268,0.064994,0.062690,0.269960,0.000544,0.950140
0.401068,0.017824,0.193542,0.004800,0.047554,0.125571,0.053346,0.066050,0.248775,0.000736,0.922011
0.395340,0.017825,0.192581,0.005184,0.047426,0.112387,0.052994,0.063970,0.232807,0.000736,0.897435
