Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.394860,0.017792,0.191718,0.004800,0.114020,0.108867,0.063714,0.290057,0.000672,0.906331
0.395628,0.017472,0.191558,0.004864,0.110947,0.106147,0.064930,0.285480,0.000800,0.901595
0.395692,0.017344,0.191686,0.004832,0.116100,0.108707,0.064610,0.292809,0.000672,0.908347
0.395467,0.017569,0.191942,0.005088,0.112995,0.109635,0.069506,0.295688,0.000736,0.911771
0.395276,0.017472,0.208870,0.005217,0.116547,0.112707,0.066689,0.299849,0.000800,0.933564
0.395852,0.017408,0.192134,0.005184,0.109539,0.108804,0.068290,0.291401,0.000704,0.908859
0.395659,0.017953,0.191878,0.004832,0.118403,0.107395,0.067202,0.297000,0.000897,0.913947
0.395468,0.017856,0.192230,0.005024,0.114499,0.105187,0.064577,0.287720,0.000897,0.904475
0.396844,0.017505,0.192741,0.004929,0.112675,0.111907,0.066146,0.294472,0.000864,0.913179
0.402284,0.018113,0.197989,0.005153,0.157732,0.113988,0.071522,0.347658,0.001024,0.980861
0.401420,0.017665,0.192933,0.005152,0.115012,0.106275,0.067138,0.291817,0.000832,0.914907
0.410124,0.017921,0.192518,0.004864,0.104355,0.102179,0.063266,0.273192,0.000672,0.904283
0.396012,0.017600,0.192326,0.005024,0.101667,0.107875,0.067586,0.280488,0.000576,0.896570
0.397195,0.017473,0.192038,0.004832,0.114467,0.104163,0.064482,0.286696,0.000576,0.904442
0.396139,0.017729,0.191910,0.004896,0.099875,0.137988,0.070914,0.312393,0.000736,0.928539
0.396460,0.017985,0.191909,0.004865,0.109571,0.107235,0.062850,0.283048,0.000736,0.899995
0.397579,0.017600,0.191750,0.004992,0.110083,0.102499,0.062594,0.278792,0.000768,0.897626
0.397228,0.017856,0.191813,0.004832,0.101443,0.113252,0.065954,0.284361,0.000832,0.902011
0.414476,0.017761,0.192326,0.004864,0.113859,0.108451,0.068738,0.295113,0.000896,0.932188
0.397228,0.017569,0.191877,0.004832,0.113476,0.106595,0.065026,0.288585,0.000832,0.906299
0.397452,0.017664,0.191750,0.004800,0.102147,0.114116,0.066658,0.286665,0.000960,0.904027
0.396492,0.017472,0.192422,0.005024,0.103235,0.116676,0.068514,0.292233,0.000768,0.908763
0.395852,0.017409,0.193093,0.004801,0.110275,0.106435,0.060450,0.280584,0.000832,0.897595
0.395820,0.017409,0.192389,0.004832,0.114052,0.108163,0.061282,0.286953,0.000832,0.903003
0.396748,0.017473,0.192229,0.004833,0.100483,0.131492,0.061057,0.296424,0.000832,0.913211
0.406348,0.017537,0.192230,0.004800,0.113827,0.114500,0.064161,0.295849,0.000800,0.923068
0.396043,0.017856,0.191782,0.005184,0.111939,0.105027,0.061122,0.281608,0.000704,0.899130
0.397004,0.017473,0.191621,0.004865,0.129987,0.105892,0.074114,0.313769,0.000768,0.930332
0.399052,0.018177,0.193765,0.004897,0.123587,0.134820,0.084451,0.347306,0.000928,0.971197
0.396972,0.017376,0.192326,0.004832,0.106787,0.105859,0.064290,0.280584,0.000640,0.897818
0.397548,0.017920,0.192294,0.004800,0.111748,0.114403,0.067970,0.297385,0.000992,0.916347
0.396907,0.017633,0.192678,0.004800,0.109571,0.102307,0.068962,0.284072,0.000800,0.901914
0.411084,0.018017,0.191845,0.004896,0.102564,0.103075,0.061985,0.271112,0.000640,0.902235
0.397420,0.017440,0.191398,0.005024,0.105667,0.103299,0.064226,0.276328,0.000576,0.892602
0.396076,0.017824,0.191430,0.004864,0.109987,0.114788,0.060514,0.288521,0.000480,0.903355
0.395660,0.018017,0.191749,0.004864,0.103523,0.100323,0.085378,0.293896,0.000640,0.910619
0.397483,0.017441,0.192262,0.004928,0.119587,0.104515,0.063426,0.291688,0.000832,0.911034
0.397611,0.017601,0.191589,0.004832,0.106819,0.105923,0.064866,0.281032,0.000768,0.898235
0.396812,0.017921,0.191685,0.004832,0.111396,0.106051,0.063458,0.284521,0.000800,0.903099
0.410412,0.017537,0.192037,0.005089,0.104899,0.103587,0.061986,0.273640,0.000736,0.904059
0.395980,0.017697,0.191493,0.005057,0.098274,0.121348,0.059618,0.282504,0.000768,0.897979
0.396683,0.017601,0.191622,0.005120,0.102147,0.101667,0.062050,0.269000,0.000608,0.884922
0.395564,0.017120,0.191334,0.004800,0.115972,0.104035,0.066658,0.290185,0.000800,0.904315
0.395691,0.017345,0.191685,0.004833,0.107267,0.118883,0.068418,0.297896,0.000736,0.912890
0.395532,0.017312,0.191654,0.004800,0.101475,0.102499,0.062370,0.269960,0.000704,0.884634
0.397772,0.017473,0.192166,0.004832,0.117347,0.105507,0.064066,0.290632,0.000992,0.909595
0.413132,0.017985,0.192294,0.005312,0.114531,0.106467,0.064610,0.289064,0.000736,0.924219
0.396460,0.017664,0.192038,0.004928,0.110883,0.105955,0.063905,0.284360,0.000768,0.902171
0.395980,0.017984,0.191686,0.004832,0.113572,0.108707,0.064642,0.290537,0.000768,0.907707
0.395692,0.017504,0.191717,0.005088,0.112228,0.104611,0.062818,0.283433,0.000736,0.899739
0.396268,0.017537,0.191685,0.004865,0.114947,0.108899,0.067906,0.295336,0.000768,0.911803
0.396331,0.017409,0.192262,0.004896,0.110531,0.104931,0.064834,0.284008,0.000704,0.900986
0.396140,0.017632,0.191846,0.004800,0.115843,0.103491,0.067041,0.290089,0.000832,0.907355
0.412748,0.017473,0.191718,0.004928,0.118083,0.110148,0.065506,0.297417,0.000832,0.930908
0.396620,0.017600,0.192102,0.004832,0.111459,0.110276,0.065090,0.290153,0.000768,0.907771
0.397100,0.017536,0.191526,0.005120,0.116964,0.110691,0.066210,0.297705,0.000960,0.915675
0.396651,0.017569,0.192422,0.005024,0.114147,0.125732,0.075362,0.319497,0.000768,0.937915
0.397324,0.017633,0.191749,0.004865,0.115107,0.110883,0.068258,0.298184,0.000928,0.916603
0.395884,0.017600,0.191782,0.005248,0.115524,0.110467,0.065922,0.295689,0.000736,0.912763
0.396939,0.017889,0.191462,0.004896,0.112803,0.110531,0.063362,0.290248,0.000896,0.907898
0.414700,0.017889,0.191910,0.005120,0.113123,0.102691,0.061762,0.281096,0.000864,0.917115
0.395852,0.017537,0.191365,0.004864,0.116676,0.104739,0.062210,0.286633,0.000736,0.902331
0.396012,0.017377,0.191493,0.004832,0.115940,0.113027,0.063330,0.295433,0.000672,0.911227
0.396940,0.017409,0.191557,0.004865,0.139364,0.124419,0.067906,0.334954,0.000800,0.951901
0.396588,0.017569,0.191493,0.004768,0.108420,0.103427,0.062882,0.278249,0.000672,0.894811
0.396012,0.017664,0.191782,0.004832,0.114404,0.109571,0.067618,0.295369,0.000736,0.912347
0.396203,0.017473,0.191782,0.004800,0.107043,0.101955,0.062146,0.274568,0.000736,0.890874
0.409068,0.017537,0.191654,0.004928,0.119523,0.112548,0.067842,0.303433,0.000832,0.933020
0.396204,0.017824,0.191910,0.004864,0.105987,0.103555,0.063874,0.276808,0.000640,0.893690
0.396428,0.017313,0.191813,0.004993,0.114403,0.104035,0.065506,0.287368,0.000832,0.903899
0.397131,0.017377,0.192486,0.004832,0.131844,0.109379,0.068098,0.313417,0.000864,0.932219
0.396043,0.017409,0.191942,0.005056,0.111363,0.105027,0.064802,0.284520,0.000800,0.901050
0.395500,0.017825,0.191589,0.004864,0.108260,0.102243,0.064034,0.277769,0.000800,0.893915
0.395851,0.017729,0.191494,0.004896,0.106627,0.104035,0.063618,0.277448,0.000704,0.893210
0.414189,0.017600,0.191750,0.004832,0.104355,0.099555,0.060610,0.267912,0.000640,0.902363
