Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.399084,0.164325,0.050977,0.066562,0.285256,0.192806,0.005344,0.046977,0.000576,0.013697,0.000352,0.001504,0.001056,0.000288,0.953980
0.415885,0.155237,0.059489,0.064482,0.282632,0.192774,0.005568,0.047138,0.000608,0.013632,0.000416,0.001472,0.001088,0.000320,0.969149
0.398732,0.158853,0.050690,0.068130,0.280777,0.192709,0.005569,0.047137,0.000576,0.013824,0.000384,0.001472,0.000960,0.000320,0.950205
0.398636,0.177189,0.063266,0.070434,0.314153,0.192454,0.005280,0.047490,0.000608,0.013728,0.000352,0.001376,0.001024,0.000320,0.982557
0.400075,0.173126,0.056641,0.070082,0.303561,0.194566,0.005440,0.047202,0.000544,0.013472,0.000384,0.001504,0.000960,0.000256,0.976541
0.394860,0.150948,0.060962,0.062754,0.277928,0.193414,0.005344,0.047169,0.000576,0.013697,0.000384,0.001472,0.001024,0.000288,0.943772
0.394860,0.165093,0.064354,0.068802,0.301737,0.200582,0.005376,0.047073,0.000544,0.013729,0.000352,0.001440,0.001024,0.000256,0.974205
0.394860,0.136708,0.047810,0.061730,0.249480,0.192997,0.005568,0.064993,0.000576,0.013505,0.000416,0.001504,0.001024,0.000352,0.933244
0.401868,0.203622,0.052674,0.065665,0.325802,0.196741,0.006209,0.049281,0.000992,0.014016,0.000384,0.001792,0.002656,0.000544,1.012478
0.399115,0.168773,0.051681,0.069378,0.293064,0.194438,0.005920,0.048674,0.000800,0.014336,0.000320,0.001472,0.001792,0.000576,0.969692
0.399020,0.169381,0.049377,0.063522,0.285640,0.193670,0.005408,0.048386,0.000608,0.013632,0.000384,0.001440,0.001344,0.000544,0.957884
0.398891,0.154180,0.059874,0.064610,0.282280,0.192582,0.005664,0.049825,0.000608,0.013985,0.000576,0.001408,0.001312,0.000416,0.955516
0.398924,0.191270,0.064418,0.065026,0.323978,0.194630,0.005120,0.048481,0.000640,0.013921,0.000576,0.001504,0.001152,0.000544,0.997310
0.394604,0.145508,0.061058,0.065410,0.275176,0.192869,0.005120,0.047745,0.000608,0.014273,0.000384,0.001408,0.001056,0.000256,0.941084
0.412588,0.156133,0.060354,0.063074,0.283017,0.192454,0.005152,0.047425,0.000576,0.013793,0.000352,0.001408,0.001120,0.000288,0.966013
0.400620,0.197574,0.059458,0.065730,0.326570,0.197926,0.006048,0.048738,0.001088,0.013952,0.000608,0.001760,0.002432,0.000864,1.011294
0.395308,0.168133,0.051169,0.063778,0.286280,0.194470,0.005856,0.049250,0.000832,0.013888,0.000352,0.001472,0.001088,0.000384,0.956668
0.399820,0.180101,0.057602,0.075202,0.318217,0.192902,0.005632,0.049409,0.000832,0.014113,0.000416,0.001472,0.001088,0.000640,0.992445
0.394668,0.156197,0.048545,0.062434,0.270504,0.192614,0.005536,0.048738,0.000576,0.014304,0.000416,0.001440,0.001120,0.000352,0.937980
0.395084,0.160933,0.050850,0.065858,0.280905,0.192709,0.009601,0.048545,0.000576,0.014017,0.000384,0.001728,0.001088,0.000384,0.952957
0.394572,0.158821,0.049665,0.063170,0.274792,0.192294,0.005600,0.066242,0.000576,0.013856,0.000384,0.001472,0.001088,0.000416,0.959069
0.399467,0.156420,0.049538,0.063266,0.272808,0.193445,0.005729,0.048289,0.000576,0.013536,0.000352,0.001505,0.001120,0.000384,0.944796
0.399468,0.165669,0.062882,0.068226,0.300009,0.193510,0.005376,0.047681,0.000576,0.013569,0.000384,0.001440,0.001120,0.000384,0.970653
0.412044,0.201382,0.057858,0.064770,0.328330,0.192710,0.005376,0.047137,0.000609,0.013504,0.000416,0.001440,0.001088,0.000288,1.010206
0.417324,0.159268,0.060802,0.065410,0.288616,0.192902,0.005376,0.047841,0.000609,0.013728,0.000384,0.001408,0.000992,0.000384,0.978461
0.398540,0.152389,0.049729,0.060738,0.266280,0.193254,0.005536,0.047394,0.000608,0.013696,0.000416,0.001408,0.001024,0.000320,0.935932
0.399660,0.157509,0.049697,0.074786,0.285544,0.192614,0.005664,0.048226,0.000608,0.013440,0.000416,0.001504,0.001024,0.000416,0.959004
0.411948,0.170981,0.063362,0.063233,0.301128,0.193830,0.005728,0.048034,0.000864,0.013792,0.000384,0.001472,0.001152,0.000416,0.988381
0.399212,0.165285,0.049154,0.061634,0.279785,0.193093,0.005633,0.047937,0.000576,0.013856,0.000352,0.001504,0.001120,0.000416,0.952349
0.395148,0.156133,0.047713,0.062114,0.269512,0.193286,0.009440,0.048930,0.000576,0.013568,0.000384,0.001728,0.001120,0.000416,0.942300
