TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.755515,0.000928,0.002368,0.001152,0.000352,1.766876
1.736218,0.000864,0.002465,0.001120,0.000384,1.746875
1.741754,0.000736,0.002401,0.001120,0.000416,1.752859
1.741946,0.000800,0.002593,0.001152,0.000384,1.753627
1.798174,0.000800,0.002400,0.001024,0.000352,1.808958
1.744859,0.000736,0.002240,0.000992,0.000416,1.755163
1.774428,0.000992,0.002400,0.000992,0.000352,1.787228
1.728442,0.000832,0.002496,0.001024,0.000352,1.741498
1.754555,0.000832,0.002304,0.001408,0.000448,1.765915
1.715769,0.001024,0.002496,0.000992,0.000352,1.727897
1.771900,0.000768,0.002496,0.000960,0.000384,1.783101
1.713721,0.000800,0.002496,0.001088,0.000416,1.724217
1.799358,0.000832,0.002304,0.001024,0.000352,1.810175
1.780252,0.000672,0.002368,0.001120,0.000384,1.790877
1.811102,0.001088,0.002848,0.001056,0.000352,1.822270
1.762363,0.001088,0.003233,0.001120,0.000384,1.775869
1.803069,0.000768,0.002400,0.001088,0.000384,1.814622
1.782941,0.000832,0.002400,0.000992,0.000384,1.794013
1.753051,0.000992,0.002336,0.001120,0.000352,1.764667
1.729402,0.000832,0.002496,0.001184,0.000352,1.740699
1.778173,0.001088,0.003648,0.001120,0.000416,1.792285
1.766044,0.000896,0.002336,0.001152,0.000352,1.777149
1.804446,0.000960,0.002464,0.001024,0.000352,1.815294
1.729690,0.000864,0.002368,0.001216,0.000384,1.740730
1.794109,0.001088,0.002528,0.001152,0.000384,1.806206
1.723290,0.000736,0.002368,0.001120,0.000352,1.733690
1.814750,0.000992,0.002336,0.001056,0.000384,1.825086
1.756603,0.000832,0.002304,0.001088,0.000416,1.768572
1.766748,0.000800,0.002400,0.000960,0.000320,1.776892
1.742106,0.000768,0.002304,0.001024,0.000384,1.752923
1.752027,0.000992,0.002240,0.001024,0.000384,1.763035
1.750651,0.000768,0.002464,0.001056,0.000352,1.761499
1.767675,0.000800,0.002304,0.000992,0.000352,1.778268
1.758140,0.001120,0.003136,0.001248,0.000384,1.772124
1.770044,0.001152,0.003296,0.001184,0.000448,1.783644
1.784093,0.000704,0.002432,0.001121,0.000448,1.795262
1.800061,0.000832,0.002560,0.001153,0.000384,1.811934
1.759036,0.000640,0.002336,0.001152,0.000416,1.770588
1.781789,0.000768,0.002272,0.001184,0.000384,1.793053
1.720697,0.001024,0.003168,0.001216,0.000416,1.734394
1.795485,0.001120,0.002656,0.001056,0.000448,1.808190
1.753915,0.000768,0.002336,0.001088,0.000384,1.764443
1.780540,0.000864,0.002401,0.000992,0.000352,1.791165
1.724698,0.000704,0.002272,0.001056,0.000384,1.735642
1.788445,0.001088,0.003040,0.001120,0.000353,1.800062
1.722010,0.000736,0.002272,0.001056,0.000352,1.732602
1.794717,0.000864,0.002464,0.000928,0.000352,1.807006
1.759035,0.000736,0.002240,0.001024,0.000384,1.769628
1.731546,0.000768,0.002304,0.001088,0.000352,1.743067
1.750491,0.000960,0.002656,0.001120,0.000352,1.762396
1.790301,0.001184,0.003169,0.001248,0.000384,1.804510
1.772348,0.000896,0.002368,0.001120,0.000384,1.783389
1.744091,0.001024,0.002336,0.001184,0.000384,1.756187
1.796317,0.000768,0.002433,0.001024,0.000352,1.807198
1.790877,0.000960,0.002528,0.000992,0.000352,1.801982
1.735002,0.000704,0.002464,0.001057,0.000384,1.745595
1.757403,0.001120,0.002368,0.001184,0.000416,1.769788
1.776380,0.000832,0.002304,0.001185,0.000416,1.786941
1.778268,0.000961,0.002304,0.000928,0.000352,1.789181
1.760955,0.000705,0.002304,0.001152,0.000384,1.771932
1.755323,0.000832,0.002400,0.001120,0.000416,1.766427
1.740634,0.001120,0.003073,0.001312,0.000384,1.754363
1.787101,0.001120,0.003136,0.001217,0.000384,1.801246
1.728282,0.000832,0.002368,0.001120,0.000352,1.738971
1.763355,0.000992,0.002240,0.001120,0.000416,1.774652
1.829502,0.001696,0.005472,0.003264,0.000609,1.851808
1.746010,0.000928,0.003553,0.001792,0.000352,1.761883
1.839520,0.001696,0.005568,0.003201,0.000576,1.861793
1.757467,0.000960,0.003937,0.001312,0.000352,1.771420
1.802141,0.000768,0.003072,0.001120,0.000352,1.814526
1.762523,0.001024,0.002784,0.001248,0.000448,1.775260
1.778333,0.000704,0.002528,0.001120,0.000352,1.790237
1.756763,0.000704,0.002625,0.001088,0.000352,1.768476
1.796573,0.001025,0.002688,0.001120,0.000384,1.809342
1.775452,0.000832,0.002432,0.001088,0.000320,1.787068
1.807229,0.000832,0.002496,0.001088,0.000384,1.819070
1.765915,0.000800,0.002432,0.001184,0.000352,1.778396
1.751482,0.000736,0.002368,0.001184,0.000384,1.762331
1.756379,0.000768,0.002368,0.001408,0.000384,1.767067
1.779676,0.000832,0.002752,0.001216,0.000352,1.790652
1.757563,0.000736,0.002656,0.001088,0.000352,1.769212
1.794237,0.000800,0.002496,0.001056,0.000320,1.805245
1.731802,0.000672,0.002464,0.001217,0.000352,1.743099
