Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430225,0.017537,0.720508,0.001056,0.014657,0.000416,0.001504,0.001024,0.000352,1.194095
0.416688,0.017697,0.720541,0.000864,0.014048,0.000384,0.001472,0.000896,0.000320,1.180719
0.416625,0.017760,0.704604,0.000960,0.014721,0.000384,0.001408,0.000864,0.000352,1.164462
0.437265,0.017632,0.733341,0.000704,0.014081,0.000352,0.001728,0.001376,0.000384,1.216144
0.415632,0.017665,0.719292,0.000864,0.014305,0.000352,0.001472,0.001120,0.000352,1.179950
0.416657,0.017697,0.719068,0.000960,0.033826,0.000704,0.001568,0.000864,0.000352,1.200080
0.415568,0.017505,0.713180,0.000864,0.014145,0.000352,0.001536,0.001088,0.000352,1.172558
0.420912,0.017472,0.743518,0.000864,0.014048,0.000384,0.001408,0.000993,0.000384,1.207120
0.416976,0.017633,0.749598,0.001280,0.015073,0.000384,0.001504,0.001088,0.000352,1.213584
0.416720,0.017504,0.721629,0.000736,0.014080,0.000352,0.001440,0.001088,0.000352,1.181071
0.416496,0.017377,0.713116,0.000768,0.013825,0.000352,0.001504,0.001024,0.000352,1.172014
0.416112,0.017249,0.732157,0.000832,0.014049,0.000352,0.001536,0.000992,0.000384,1.191119
0.420753,0.017665,0.711484,0.000800,0.013889,0.000352,0.001440,0.000928,0.000384,1.174863
0.416016,0.017569,0.726525,0.001152,0.014944,0.000416,0.001536,0.001056,0.000320,1.188431
0.431441,0.017376,0.726397,0.000832,0.014049,0.000352,0.001472,0.000960,0.000352,1.200912
0.416080,0.017249,0.725085,0.000832,0.013984,0.000576,0.001408,0.001120,0.000384,1.184815
0.416593,0.017249,0.709980,0.000768,0.013856,0.000544,0.001440,0.000960,0.000384,1.169391
0.435154,0.017536,0.740797,0.000864,0.014240,0.000352,0.001472,0.001056,0.000384,1.220433
0.416848,0.017537,0.732157,0.000832,0.014689,0.000352,0.001440,0.001056,0.000384,1.193615
