Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.395083,0.017473,0.192005,0.125283,0.105923,0.064066,0.298440,0.000576,0.908410
0.394636,0.017312,0.191718,0.130660,0.103171,0.062882,0.299913,0.000576,0.908603
0.412460,0.017569,0.191846,0.146980,0.115235,0.064578,0.330185,0.000704,0.956924
0.394283,0.017376,0.191942,0.157124,0.106148,0.064929,0.331306,0.000544,0.939740
0.394348,0.017280,0.192294,0.156836,0.105508,0.065986,0.331594,0.000576,0.940892
0.394924,0.017408,0.191590,0.136740,0.127780,0.068098,0.337418,0.000544,0.947004
0.394380,0.017312,0.191782,0.152644,0.104291,0.062145,0.322153,0.000544,0.930492
0.394796,0.017376,0.192070,0.139300,0.103939,0.063458,0.309801,0.000544,0.919579
0.395243,0.017921,0.191974,0.137668,0.105475,0.064930,0.311145,0.000576,0.921339
0.411916,0.017473,0.192133,0.112932,0.103363,0.061346,0.280873,0.000544,0.907259
0.393899,0.017217,0.191622,0.115267,0.103139,0.063810,0.285384,0.000608,0.892730
0.395019,0.017281,0.191909,0.120324,0.117092,0.064225,0.305994,0.000544,0.914971
0.394411,0.017217,0.191717,0.173414,0.113379,0.065794,0.355915,0.000576,0.963932
0.394284,0.017473,0.191781,0.117860,0.103171,0.063906,0.288041,0.000576,0.896283
0.395372,0.017152,0.191845,0.139364,0.101763,0.063362,0.308937,0.000512,0.918363
0.395436,0.017281,0.191557,0.128420,0.104419,0.063522,0.299657,0.000544,0.908859
0.411308,0.017376,0.192102,0.132324,0.116707,0.066145,0.318506,0.000576,0.943996
0.394508,0.017504,0.192070,0.126468,0.103811,0.063234,0.296521,0.000544,0.905595
0.395692,0.017344,0.191462,0.129988,0.104643,0.063650,0.301481,0.000576,0.910715
0.394796,0.017472,0.191525,0.151845,0.119139,0.066050,0.342762,0.000608,0.952028
0.394699,0.017408,0.191590,0.132260,0.104515,0.063618,0.303497,0.000544,0.911803
0.394892,0.017248,0.191942,0.144292,0.102211,0.060834,0.310473,0.000576,0.919451
0.394636,0.017185,0.192069,0.128516,0.102083,0.062274,0.296777,0.000544,0.905435
0.411596,0.017313,0.191718,0.135428,0.114019,0.063778,0.316361,0.000608,0.941948
0.394252,0.017313,0.191781,0.151109,0.102275,0.061218,0.317674,0.000512,0.925628
0.394860,0.017248,0.191878,0.156676,0.104900,0.062689,0.327497,0.000512,0.936635
0.396492,0.017249,0.191717,0.166341,0.117444,0.068898,0.357035,0.000608,0.968125
0.394764,0.017569,0.191813,0.135780,0.104995,0.066882,0.310665,0.000512,0.920156
0.396620,0.017345,0.192197,0.140228,0.103300,0.062433,0.311049,0.000608,0.921980
0.394380,0.017248,0.191654,0.127780,0.102691,0.062594,0.296041,0.000544,0.904187
0.410572,0.017217,0.191493,0.138725,0.118211,0.068482,0.329130,0.000544,0.953948
0.394379,0.017249,0.191558,0.125635,0.101827,0.062114,0.292648,0.000640,0.900602
0.394379,0.017249,0.191238,0.129443,0.104484,0.064321,0.301192,0.000576,0.908667
0.394828,0.017281,0.211622,0.140580,0.113284,0.067138,0.324298,0.000608,0.953533
0.394924,0.017280,0.191334,0.128388,0.120259,0.063426,0.315273,0.000544,0.924315
0.394508,0.017184,0.191494,0.142852,0.101059,0.061442,0.308745,0.000512,0.916603
0.394572,0.017344,0.192038,0.135460,0.102819,0.062946,0.304425,0.000544,0.913563
0.395372,0.017504,0.191686,0.138180,0.104451,0.065090,0.310953,0.000480,0.920187
0.394219,0.017345,0.191398,0.126147,0.101891,0.062722,0.293896,0.000480,0.901722
0.394923,0.017441,0.191750,0.129731,0.104611,0.062369,0.299976,0.000544,0.908922
0.394699,0.017377,0.208230,0.123268,0.101507,0.060386,0.288553,0.000544,0.913979
0.394988,0.017184,0.191814,0.141060,0.101027,0.058754,0.304073,0.000608,0.913211
0.394732,0.017409,0.191557,0.128388,0.102531,0.064834,0.299081,0.000576,0.907515
0.394539,0.017281,0.191750,0.133411,0.103908,0.067266,0.307657,0.000512,0.915835
0.394636,0.017216,0.191398,0.138180,0.105027,0.067426,0.313705,0.000544,0.921723
0.394668,0.017377,0.191621,0.151941,0.102595,0.061986,0.319562,0.000544,0.927964
0.394284,0.017472,0.192358,0.137668,0.101891,0.063490,0.306441,0.000512,0.916059
0.394860,0.017472,0.209286,0.135973,0.113923,0.064386,0.317674,0.000576,0.944444
0.394316,0.017313,0.191653,0.143845,0.104195,0.065410,0.317354,0.000544,0.926172
0.394348,0.017409,0.191717,0.126916,0.102787,0.067714,0.301129,0.000544,0.910555
0.394764,0.017408,0.191750,0.129860,0.102115,0.060194,0.295433,0.000544,0.904987
0.394572,0.017345,0.191397,0.119076,0.103619,0.063234,0.289161,0.000512,0.897179
0.394956,0.017249,0.191621,0.131940,0.100963,0.059746,0.295721,0.000448,0.904635
0.394604,0.017473,0.191397,0.114884,0.101379,0.061730,0.281449,0.000512,0.890075
0.394668,0.017280,0.209734,0.139108,0.101731,0.060897,0.304937,0.000608,0.931867
0.394028,0.017153,0.191717,0.112100,0.102147,0.061985,0.279464,0.000576,0.887067
0.394604,0.017729,0.191781,0.121988,0.104899,0.060578,0.290697,0.000544,0.901787
0.394604,0.017377,0.191621,0.129636,0.104483,0.062114,0.300841,0.000576,0.909275
0.394540,0.017504,0.191718,0.130884,0.101795,0.060802,0.296777,0.000576,0.905339
0.394571,0.017281,0.191494,0.138500,0.103555,0.061922,0.307273,0.000512,0.915739
0.394284,0.017376,0.191398,0.155237,0.101315,0.059777,0.319657,0.000608,0.927419
0.394443,0.017313,0.208166,0.139300,0.101699,0.060418,0.304681,0.000544,0.929723
0.393900,0.017472,0.191366,0.127492,0.104195,0.062786,0.297481,0.000544,0.904955
0.394604,0.017376,0.191558,0.139684,0.101187,0.059618,0.303785,0.000576,0.912219
0.394091,0.017185,0.191366,0.139844,0.100899,0.059330,0.303241,0.000544,0.911131
0.397356,0.017473,0.191269,0.130660,0.113988,0.062754,0.310602,0.000544,0.921404
0.393900,0.017281,0.191813,0.134564,0.104483,0.064450,0.307369,0.000480,0.917019
0.395211,0.017473,0.191494,0.130435,0.104771,0.063009,0.301417,0.000544,0.910363
0.393900,0.017376,0.208070,0.141637,0.112547,0.064546,0.323274,0.000640,0.947964
0.394955,0.017249,0.191654,0.153604,0.105635,0.061922,0.324521,0.000544,0.933371
0.394507,0.017377,0.191653,0.119043,0.104355,0.061602,0.287976,0.000640,0.896410
0.393868,0.017281,0.191685,0.127300,0.103843,0.062626,0.297001,0.000480,0.904987
0.394540,0.017473,0.191749,0.128164,0.101955,0.060162,0.293353,0.000544,0.901947
0.393900,0.017376,0.191238,0.127236,0.101923,0.060226,0.292521,0.000544,0.899675
0.394187,0.017409,0.191462,0.150468,0.101475,0.060098,0.315049,0.000512,0.922747
0.394380,0.017280,0.209223,0.150308,0.118852,0.062146,0.334570,0.000608,0.960765
0.394027,0.017409,0.191654,0.130691,0.101859,0.060098,0.295656,0.000544,0.903546
0.394571,0.017441,0.191814,0.154052,0.105219,0.065026,0.327465,0.000480,0.936635
0.394411,0.017409,0.191814,0.121187,0.101219,0.059746,0.285288,0.000608,0.893978
0.394956,0.017312,0.191782,0.144836,0.102595,0.060866,0.311945,0.000544,0.920955
0.394124,0.017409,0.191909,0.150469,0.101795,0.059970,0.315242,0.000576,0.923420
0.394284,0.017152,0.191718,0.140292,0.103235,0.061410,0.307881,0.000512,0.915931
0.394380,0.017280,0.209798,0.134436,0.104388,0.063713,0.305705,0.000576,0.932060
0.394252,0.017408,0.191910,0.138116,0.100739,0.059394,0.301065,0.000512,0.909371
0.397740,0.017472,0.192262,0.128324,0.101987,0.060386,0.294633,0.000576,0.907963
0.394412,0.017408,0.192101,0.118564,0.104547,0.061154,0.287369,0.000544,0.896123
0.395020,0.017153,0.192069,0.154501,0.116739,0.063426,0.339178,0.000512,0.948252
0.394860,0.017473,0.191589,0.107876,0.101379,0.059937,0.272136,0.000512,0.880794
0.394316,0.017440,0.191558,0.125668,0.101155,0.059649,0.289512,0.000576,0.897626
0.394412,0.017376,0.208678,0.141157,0.110627,0.067426,0.324010,0.000544,0.949596
0.394156,0.017505,0.191845,0.128452,0.101923,0.060642,0.294153,0.000576,0.902235
0.394092,0.017248,0.191557,0.149861,0.104035,0.062242,0.319146,0.000512,0.926780
0.394316,0.017376,0.191942,0.141988,0.103651,0.060706,0.310889,0.000576,0.919515
0.394188,0.017504,0.191493,0.152901,0.105571,0.064994,0.326634,0.000512,0.934556
0.394764,0.017248,0.191590,0.132836,0.102147,0.060514,0.298345,0.000544,0.907067
0.394252,0.017216,0.191558,0.127332,0.101635,0.060002,0.291913,0.000608,0.899611
0.393772,0.017281,0.208294,0.151716,0.102243,0.061826,0.318825,0.000512,0.943804
0.394604,0.017537,0.191461,0.147525,0.100931,0.059169,0.310857,0.000544,0.919547
0.394316,0.017440,0.191910,0.145892,0.101507,0.064641,0.315113,0.000512,0.923996
