TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.723622,0.000928,0.015073,0.000640,0.001440,0.001152,0.000352,1.750663
1.770313,0.001152,0.014689,0.000608,0.001504,0.001184,0.000384,1.797706
1.726598,0.001056,0.015009,0.000384,0.001472,0.001312,0.000352,1.753863
1.756968,0.001248,0.015585,0.000352,0.001664,0.001376,0.000384,1.785257
1.732198,0.001088,0.015777,0.000384,0.001472,0.001120,0.000352,1.760103
1.755688,0.001184,0.015457,0.000640,0.001536,0.001184,0.000384,1.783593
1.765416,0.001088,0.015681,0.000608,0.001408,0.001152,0.000320,1.792713
1.745703,0.001024,0.014849,0.000608,0.001696,0.001345,0.000352,1.772681
1.758695,0.000993,0.015584,0.000576,0.001536,0.001216,0.000352,1.786089
1.771560,0.001152,0.015457,0.000640,0.001632,0.001440,0.000608,1.799882
1.732966,0.001216,0.015553,0.000576,0.001697,0.001184,0.000352,1.761000
1.776328,0.001216,0.015393,0.000544,0.001600,0.001408,0.000384,1.804362
1.765000,0.001408,0.015105,0.000416,0.001537,0.000992,0.000384,1.792746
1.759751,0.001441,0.015425,0.000384,0.001504,0.000992,0.000384,1.786697
1.753255,0.001024,0.015329,0.000384,0.001600,0.001280,0.000353,1.779785
1.790953,0.001280,0.015329,0.000576,0.001441,0.001376,0.000384,1.819243
1.734470,0.000992,0.015104,0.000352,0.001536,0.001120,0.000384,1.761480
1.743526,0.000928,0.014817,0.000384,0.001536,0.001121,0.000352,1.770120
1.755528,0.000864,0.014945,0.000640,0.001504,0.000992,0.000352,1.782057
1.750791,0.000929,0.015680,0.000608,0.001536,0.000992,0.000384,1.778313
1.757000,0.000864,0.014721,0.000608,0.001440,0.001056,0.000352,1.783465
1.803914,0.001121,0.015072,0.000833,0.001440,0.000992,0.000352,1.830924
1.730342,0.000768,0.015041,0.000608,0.001537,0.001024,0.000384,1.756808
1.753063,0.001248,0.015105,0.000416,0.001440,0.001120,0.000384,1.780489
1.719685,0.000928,0.014529,0.000864,0.001473,0.001056,0.000352,1.745863
1.767560,0.000960,0.014529,0.000352,0.001504,0.000928,0.000384,1.793706
1.748455,0.000864,0.014657,0.000608,0.001536,0.001089,0.000384,1.774281
1.751431,0.001409,0.015137,0.000672,0.001504,0.001088,0.000384,1.779401
1.737575,0.001024,0.014817,0.000384,0.001504,0.001344,0.000352,1.763912
1.753831,0.000864,0.014689,0.000384,0.001504,0.001024,0.000416,1.780072
1.736614,0.001056,0.014849,0.000384,0.001536,0.000992,0.000640,1.763239
1.748775,0.000960,0.016385,0.000448,0.001568,0.001184,0.000352,1.777576
1.766312,0.001024,0.015201,0.000352,0.001760,0.001056,0.000384,1.793961
1.778312,0.001312,0.015681,0.000384,0.001472,0.001120,0.000352,1.806186
1.748102,0.000960,0.015073,0.000352,0.001472,0.000960,0.000352,1.774280
1.780361,0.000896,0.016001,0.000384,0.001504,0.001056,0.000384,1.807530
1.722885,0.000864,0.014913,0.000608,0.001472,0.001056,0.000352,1.749190
1.726021,0.000896,0.014465,0.000800,0.001504,0.000992,0.000320,1.752038
1.723013,0.000800,0.014817,0.000352,0.001440,0.001056,0.000352,1.748807
1.761927,0.001152,0.015617,0.000384,0.001536,0.000928,0.000384,1.789417
1.731461,0.000928,0.014592,0.000352,0.001472,0.001056,0.000384,1.757863
1.763431,0.001056,0.014817,0.000352,0.001472,0.001056,0.000416,1.789897
1.743014,0.000800,0.014945,0.000352,0.001408,0.001024,0.000352,1.769352
1.747463,0.000864,0.015073,0.000800,0.001472,0.000960,0.000416,1.773832
1.744966,0.000832,0.014657,0.000416,0.001472,0.001121,0.000384,1.770920
1.798186,0.001088,0.016065,0.000320,0.001409,0.001312,0.000416,1.826668
1.722117,0.000800,0.015137,0.000384,0.001376,0.000992,0.000352,1.747334
1.762888,0.001088,0.015841,0.000352,0.001472,0.001024,0.000384,1.790601
1.718693,0.001024,0.014561,0.000416,0.001472,0.000960,0.000352,1.744966
1.747271,0.001216,0.014849,0.000608,0.001440,0.000832,0.000352,1.774216
1.744967,0.000928,0.014849,0.000608,0.001504,0.001152,0.000416,1.772232
1.789417,0.000896,0.014241,0.000352,0.001600,0.001088,0.000416,1.814794
1.753063,0.000832,0.014913,0.000352,0.001440,0.000928,0.000416,1.779528
1.775592,0.000928,0.014529,0.000384,0.001472,0.000960,0.000352,1.801066
1.744518,0.000928,0.014560,0.000576,0.001536,0.001056,0.000416,1.771112
1.754183,0.000928,0.014561,0.000608,0.001440,0.000896,0.000384,1.780073
1.732422,0.000928,0.014689,0.000384,0.001472,0.001057,0.000352,1.758792
1.741318,0.000864,0.014593,0.000576,0.001472,0.001025,0.000352,1.766632
1.702276,0.000736,0.014465,0.000352,0.001600,0.000960,0.000352,1.728229
1.747654,0.001056,0.014432,0.000832,0.001504,0.000992,0.000384,1.774664
1.711876,0.000929,0.014816,0.000384,0.001537,0.001024,0.000352,1.738598
1.762536,0.001248,0.016321,0.000352,0.001440,0.001312,0.000384,1.791625
1.731878,0.000768,0.014753,0.000608,0.001504,0.001024,0.000352,1.757575
1.772712,0.000800,0.014529,0.000416,0.001536,0.000896,0.000352,1.797961
1.760296,0.000864,0.014433,0.000832,0.001536,0.001056,0.000288,1.786409
1.725573,0.000864,0.014849,0.000320,0.001472,0.001088,0.000384,1.751303
1.768391,0.001281,0.016097,0.000608,0.001504,0.000992,0.000416,1.796969
1.735110,0.000736,0.014689,0.000384,0.001440,0.000992,0.000384,1.760551
1.758183,0.000832,0.014817,0.000640,0.001472,0.000992,0.000352,1.784520
1.748390,0.000832,0.015297,0.000352,0.001504,0.001056,0.000385,1.774664
1.783432,0.000896,0.015137,0.000576,0.001472,0.001248,0.000416,1.810538
1.747398,0.000928,0.014816,0.000384,0.001472,0.001184,0.000384,1.773576
1.769512,0.001248,0.015073,0.000800,0.001504,0.001280,0.000384,1.797354
1.747910,0.000864,0.014401,0.000352,0.001472,0.001184,0.000352,1.773640
1.756519,0.001216,0.014881,0.000384,0.001408,0.001056,0.000352,1.783432
1.768455,0.000800,0.014721,0.000832,0.001472,0.001088,0.000384,1.794729
1.770536,0.001280,0.015169,0.000800,0.001505,0.001216,0.000416,1.798250
1.749670,0.000832,0.014881,0.000384,0.001889,0.001088,0.000384,1.776360
1.766888,0.000832,0.015297,0.000416,0.001504,0.001024,0.000352,1.793865
1.732678,0.000864,0.015073,0.000384,0.001440,0.001024,0.000576,1.758759
1.765416,0.000960,0.015041,0.000576,0.001472,0.001152,0.000384,1.792489
1.732037,0.000960,0.015297,0.000416,0.001440,0.000992,0.000352,1.758215
1.738246,0.001056,0.014913,0.000352,0.001536,0.001217,0.000384,1.764904
1.725893,0.000929,0.015360,0.000641,0.001504,0.001088,0.000384,1.752391
1.754790,0.000832,0.014817,0.000576,0.001472,0.001152,0.000384,1.781064
1.739974,0.000896,0.014913,0.000384,0.001568,0.001088,0.000608,1.765511
1.743238,0.000864,0.014977,0.000384,0.001536,0.001184,0.000352,1.769608
1.761543,0.000896,0.015041,0.000320,0.001568,0.001185,0.000384,1.786633
1.765448,0.000800,0.014753,0.000608,0.001472,0.001088,0.000384,1.790921
1.737701,0.000864,0.014977,0.000416,0.001664,0.001056,0.000352,1.764295
1.754695,0.001088,0.014849,0.000640,0.001504,0.001184,0.000384,1.781993
1.737478,0.001024,0.015425,0.000576,0.001408,0.001152,0.000352,1.764775
1.762311,0.001216,0.015041,0.000384,0.001504,0.001088,0.000833,1.789737
1.760359,0.000992,0.015073,0.000352,0.001472,0.001024,0.000384,1.785832
1.790537,0.000960,0.014977,0.000608,0.001440,0.001056,0.000352,1.817642
1.766215,0.000928,0.015233,0.000416,0.001600,0.000960,0.000353,1.792585
1.782152,0.001057,0.015424,0.000608,0.001536,0.001152,0.000352,1.808874
1.758695,0.000960,0.015105,0.000384,0.001568,0.001120,0.000576,1.786088
1.740102,0.000960,0.015105,0.000608,0.001760,0.000993,0.000384,1.766440
1.742918,0.001120,0.015169,0.000608,0.001536,0.001216,0.000384,1.771752
1.778888,0.000992,0.015105,0.000384,0.001696,0.001120,0.000384,1.805706
1.750502,0.000960,0.014721,0.000608,0.001792,0.001088,0.000352,1.777736
1.741830,0.001056,0.014561,0.000576,0.001568,0.001120,0.000352,1.768359
1.753574,0.000864,0.015008,0.000385,0.001472,0.001152,0.000384,1.779688
1.793673,0.000960,0.016160,0.000801,0.001472,0.001120,0.000384,1.821835
1.717412,0.000928,0.014625,0.000384,0.001504,0.001184,0.000384,1.743622
1.762695,0.000864,0.014881,0.000384,0.001536,0.001120,0.000384,1.788296
1.728965,0.000960,0.014945,0.000352,0.001376,0.001312,0.000384,1.756487
1.772392,0.001024,0.014817,0.000416,0.001440,0.001280,0.000384,1.799433
1.780200,0.000896,0.014721,0.000576,0.001440,0.001184,0.000352,1.806857
1.768423,0.001408,0.015777,0.000352,0.001472,0.001120,0.000352,1.796873
1.727237,0.000992,0.015841,0.000576,0.001408,0.001152,0.000416,1.756007
1.809674,0.001184,0.015168,0.000608,0.001473,0.001216,0.000352,1.837420
1.760775,0.000992,0.015681,0.000352,0.001440,0.001281,0.000352,1.788649
1.755143,0.000928,0.015521,0.000608,0.001440,0.001120,0.000384,1.782824
1.770888,0.001152,0.015809,0.000320,0.001408,0.001408,0.000352,1.799049
1.778760,0.001280,0.015617,0.000608,0.001696,0.001121,0.000352,1.806602
1.836395,0.001248,0.016609,0.000576,0.001600,0.002208,0.000576,1.870445
1.750375,0.001088,0.015809,0.000544,0.001792,0.001856,0.000384,1.779912
1.781128,0.001120,0.015713,0.000608,0.001824,0.001601,0.000352,1.810442
1.777927,0.001216,0.016065,0.000352,0.001696,0.001280,0.000384,1.806793
1.777128,0.001152,0.016449,0.000609,0.001568,0.001024,0.000416,1.805482
1.733029,0.001184,0.015873,0.000416,0.001568,0.001056,0.000384,1.760935
1.796841,0.001152,0.016321,0.000576,0.001504,0.001248,0.000384,1.825899
1.745254,0.001088,0.015841,0.000576,0.001568,0.001408,0.000352,1.773447
1.779912,0.001376,0.016225,0.000416,0.001664,0.001120,0.000384,1.809322
1.728485,0.001120,0.015873,0.000352,0.001440,0.001056,0.000352,1.756231
1.758598,0.001184,0.016385,0.000704,0.001856,0.001376,0.000352,1.788328
1.765447,0.001120,0.015585,0.000608,0.001696,0.001088,0.000352,1.793448
1.794728,0.001248,0.015905,0.000576,0.001664,0.001088,0.000352,1.823370
1.771143,0.001056,0.015745,0.000352,0.001952,0.001248,0.000384,1.799369
1.793993,0.001120,0.015969,0.000576,0.001472,0.001056,0.000352,1.821866
1.767975,0.001569,0.016032,0.000640,0.001920,0.001056,0.000352,1.798249
1.800329,0.001120,0.015425,0.000352,0.001696,0.000960,0.000608,1.828107
1.755239,0.001120,0.016193,0.000384,0.001888,0.001248,0.000384,1.784520
1.749991,0.001120,0.015265,0.000352,0.001568,0.001152,0.000384,1.777192
1.762983,0.000960,0.015297,0.000416,0.001536,0.001120,0.000384,1.790184
1.764199,0.001120,0.015553,0.000576,0.001760,0.001152,0.000352,1.792264
1.766887,0.001184,0.016385,0.000608,0.001536,0.001312,0.000416,1.795593
1.793801,0.001184,0.016161,0.000576,0.001792,0.001248,0.000320,1.823082
1.729477,0.001408,0.015905,0.000608,0.001728,0.001152,0.000384,1.758662
1.792425,0.000928,0.014881,0.000576,0.001760,0.001633,0.000448,1.820811
1.737285,0.001088,0.015425,0.000640,0.001633,0.001248,0.000320,1.765159
1.786568,0.000992,0.016064,0.000609,0.001568,0.001248,0.000416,1.815338
1.751014,0.001120,0.015744,0.000352,0.001505,0.001152,0.000384,1.778984
1.746758,0.001536,0.015425,0.000608,0.001472,0.001248,0.000608,1.775656
1.732805,0.000992,0.015585,0.000576,0.001664,0.001568,0.000384,1.760327
1.791816,0.001600,0.017249,0.000608,0.001536,0.001664,0.000384,1.823946
1.728516,0.001120,0.016001,0.000576,0.001632,0.001632,0.000384,1.758214
1.718277,0.001408,0.015937,0.000608,0.001728,0.001504,0.000352,1.747910
1.726628,0.000928,0.016225,0.000352,0.001600,0.001184,0.000352,1.754534
1.732133,0.000992,0.015873,0.000352,0.001408,0.001280,0.000352,1.759911
1.699971,0.001024,0.015393,0.000608,0.001696,0.001024,0.000352,1.727620
1.757287,0.000896,0.016161,0.000320,0.001568,0.001344,0.000352,1.785576
1.748646,0.000992,0.015809,0.000352,0.001408,0.001280,0.000352,1.776104
1.733669,0.000960,0.015457,0.000608,0.001440,0.001152,0.000416,1.761031
1.728645,0.000928,0.015233,0.000640,0.001504,0.001473,0.000352,1.756455
1.774471,0.001280,0.017217,0.000384,0.001568,0.001120,0.000352,1.804745
1.784200,0.001088,0.015841,0.000352,0.001728,0.001088,0.000352,1.812873
1.719364,0.000992,0.015841,0.000640,0.001408,0.001280,0.000384,1.747334
1.740677,0.000992,0.015361,0.000384,0.001440,0.001217,0.000352,1.767815
1.724452,0.000992,0.015393,0.000352,0.001472,0.001440,0.000384,1.751974
1.800809,0.001600,0.015713,0.000352,0.001632,0.001120,0.000384,1.829483
1.762631,0.001280,0.016513,0.000384,0.001408,0.001120,0.000352,1.791048
1.747397,0.000928,0.015489,0.000608,0.001664,0.001088,0.000384,1.774919
1.709763,0.001024,0.015873,0.000608,0.001568,0.001056,0.000384,1.737445
1.799785,0.001024,0.015169,0.000576,0.001696,0.001088,0.000320,1.827818
1.758630,0.000992,0.015585,0.000576,0.001697,0.001120,0.000384,1.786600
1.731909,0.001056,0.015777,0.000640,0.001472,0.001152,0.000384,1.760263
1.760231,0.001024,0.015713,0.000608,0.001632,0.001248,0.000352,1.788616
1.764134,0.000832,0.017025,0.000576,0.001472,0.001376,0.000416,1.793576
1.721284,0.000992,0.015425,0.000608,0.001760,0.001312,0.000352,1.748549
1.749862,0.000960,0.014881,0.000416,0.001536,0.001408,0.000384,1.777608
1.764999,0.000928,0.014977,0.000320,0.001440,0.001057,0.000352,1.791433
1.743750,0.000928,0.014913,0.000416,0.001440,0.001216,0.000384,1.770439
1.732228,0.000992,0.014657,0.000704,0.001376,0.001152,0.000416,1.759014
1.779943,0.001024,0.014753,0.000416,0.001504,0.001024,0.000352,1.806633
1.762919,0.001184,0.015937,0.000416,0.001760,0.001152,0.000352,1.791784
1.807465,0.001184,0.015521,0.000640,0.001696,0.001088,0.000352,1.835115
1.737317,0.001216,0.015617,0.000352,0.001728,0.001184,0.000576,1.765126
1.746086,0.001088,0.015777,0.000384,0.001920,0.001376,0.000384,1.774408
1.748358,0.001184,0.016897,0.000576,0.001568,0.001088,0.000352,1.777287
1.750758,0.001024,0.015649,0.000352,0.001664,0.001408,0.000384,1.778759
