Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.394604,0.017345,0.191269,0.004800,0.047874,0.000608,0.108771,0.049826,0.062177,0.223878,0.885882
0.395628,0.017313,0.191749,0.004864,0.047522,0.000576,0.108963,0.052290,0.061858,0.226535,0.891483
0.395404,0.017376,0.210279,0.004992,0.047041,0.000640,0.136132,0.064482,0.066530,0.271720,0.953148
0.398860,0.017504,0.191494,0.004832,0.046945,0.000576,0.109316,0.051713,0.068002,0.232039,0.898010
0.394508,0.017376,0.191590,0.004800,0.047041,0.000640,0.108035,0.051873,0.061442,0.224166,0.885338
0.393932,0.017249,0.191493,0.004832,0.047138,0.000608,0.103203,0.051937,0.061058,0.219142,0.880058
0.399948,0.017376,0.191334,0.004896,0.047106,0.000576,0.106147,0.052033,0.061890,0.223078,0.890522
0.399244,0.017280,0.191846,0.004800,0.047169,0.000608,0.104387,0.050882,0.060610,0.218855,0.885370
0.394315,0.017473,0.191429,0.004833,0.047009,0.000608,0.105475,0.052034,0.061442,0.221831,0.882714
0.399628,0.017345,0.222342,0.005280,0.047266,0.000544,0.129828,0.052673,0.061282,0.246823,0.945052
0.399244,0.017313,0.192262,0.004832,0.047297,0.000608,0.105059,0.052610,0.062114,0.222631,0.889243
0.399340,0.017569,0.191525,0.004833,0.047265,0.000608,0.101923,0.050818,0.062401,0.218278,0.885178
0.398860,0.017312,0.191366,0.004960,0.046977,0.000608,0.103716,0.051105,0.060482,0.218503,0.883642
0.415213,0.017536,0.191526,0.004832,0.047233,0.000576,0.123076,0.050498,0.060993,0.237447,0.919868
0.398796,0.017600,0.192198,0.004832,0.047553,0.000640,0.106532,0.048129,0.059138,0.216743,0.883962
0.394444,0.017408,0.191910,0.004928,0.047073,0.000576,0.099842,0.049665,0.061602,0.215270,0.877914
0.398892,0.018144,0.191814,0.004800,0.066402,0.000864,0.110051,0.053986,0.062274,0.229095,0.916475
0.394603,0.017473,0.191846,0.005120,0.047585,0.000576,0.109348,0.052193,0.062722,0.226919,0.889242
0.399179,0.017441,0.191654,0.004832,0.047041,0.000640,0.101955,0.053186,0.061250,0.219559,0.885498
0.400332,0.017345,0.191909,0.004865,0.047233,0.000576,0.117284,0.050785,0.060738,0.231911,0.899259
0.415213,0.017472,0.191366,0.004960,0.047073,0.000640,0.106275,0.051361,0.061762,0.222438,0.904347
0.399084,0.017568,0.191334,0.004832,0.047074,0.000640,0.111043,0.051234,0.061665,0.226886,0.893050
0.398924,0.017344,0.191622,0.004832,0.047361,0.000608,0.104003,0.051681,0.063330,0.222375,0.888186
0.399500,0.017504,0.192006,0.004864,0.047073,0.000608,0.126788,0.055714,0.062338,0.248072,0.915291
0.399468,0.017537,0.191397,0.004865,0.047329,0.000576,0.133988,0.053666,0.062945,0.253800,0.920220
0.394444,0.017344,0.191334,0.004832,0.047042,0.000608,0.098883,0.050945,0.060610,0.213606,0.874778
0.394444,0.017345,0.192037,0.004864,0.047138,0.000576,0.107427,0.050786,0.060481,0.221734,0.884378
0.415052,0.017665,0.191333,0.004864,0.047106,0.000608,0.109603,0.064514,0.062754,0.239687,0.921883
0.398732,0.017569,0.191333,0.004865,0.047009,0.000544,0.112227,0.050338,0.059714,0.225383,0.890107
0.399500,0.017313,0.191653,0.004800,0.047298,0.000544,0.110467,0.048674,0.064066,0.226023,0.893211
0.394476,0.017408,0.191238,0.004864,0.047426,0.000576,0.107971,0.052001,0.060897,0.224198,0.885434
0.399244,0.017536,0.191301,0.004896,0.047074,0.000576,0.102371,0.051969,0.060962,0.218342,0.885626
0.394571,0.017505,0.191333,0.004833,0.047265,0.000608,0.096419,0.051937,0.063330,0.214790,0.875545
0.395660,0.017344,0.191334,0.004896,0.047073,0.001024,0.103203,0.067426,0.066978,0.240775,0.903163
0.395020,0.017537,0.206278,0.004928,0.047073,0.001024,0.104323,0.051234,0.060866,0.219559,0.896187
0.394604,0.017568,0.191334,0.004896,0.047233,0.000608,0.105284,0.048833,0.060898,0.217831,0.879386
0.395659,0.017504,0.191654,0.004800,0.047297,0.000608,0.097027,0.069250,0.059074,0.228391,0.892954
0.395052,0.017313,0.191589,0.004960,0.047010,0.000608,0.093987,0.051937,0.064674,0.213510,0.874714
0.413932,0.017376,0.191398,0.004864,0.047074,0.000576,0.105923,0.066498,0.062370,0.237607,0.918715
0.400236,0.017377,0.191205,0.004833,0.047169,0.000576,0.118948,0.048737,0.061794,0.232615,0.899675
0.399147,0.017536,0.191622,0.004864,0.047329,0.000608,0.108132,0.050401,0.064962,0.226535,0.894234
0.399852,0.017504,0.191782,0.004896,0.061634,0.000576,0.108771,0.063202,0.065346,0.240455,0.922235
0.394828,0.017504,0.191430,0.004928,0.047170,0.000576,0.093154,0.049890,0.059042,0.205222,0.867034
0.399596,0.017344,0.191878,0.004928,0.047074,0.000576,0.105155,0.049153,0.059394,0.216422,0.883066
0.399180,0.017472,0.191686,0.004800,0.046945,0.001056,0.104452,0.052673,0.059842,0.219687,0.885978
0.412364,0.017632,0.191334,0.004896,0.047170,0.000608,0.100707,0.063714,0.060481,0.228198,0.907386
0.395596,0.017345,0.191589,0.004864,0.047490,0.000608,0.106403,0.052578,0.060545,0.222534,0.885722
0.399212,0.017504,0.191398,0.004992,0.047137,0.000576,0.128452,0.052354,0.061602,0.245512,0.911643
0.400236,0.017409,0.191749,0.004864,0.047042,0.000576,0.100099,0.066786,0.084258,0.254375,0.921339
0.399691,0.017377,0.192134,0.004864,0.046977,0.000640,0.101731,0.048578,0.058913,0.211910,0.878457
0.394892,0.017600,0.191718,0.004832,0.047234,0.000576,0.106275,0.052801,0.060738,0.222694,0.884922
0.395179,0.017345,0.191590,0.004832,0.047201,0.000608,0.104163,0.052706,0.061058,0.220871,0.882714
0.420557,0.017376,0.191494,0.004864,0.047169,0.000608,0.099651,0.064866,0.061986,0.229479,0.916859
0.395435,0.017409,0.191813,0.004897,0.047137,0.000608,0.104099,0.048738,0.059841,0.215654,0.878393
0.395436,0.017312,0.191590,0.005024,0.047074,0.000608,0.103107,0.049313,0.060162,0.215270,0.877850
0.399596,0.017504,0.191653,0.004832,0.046978,0.000608,0.104323,0.051425,0.062082,0.220582,0.887226
0.395691,0.017505,0.191430,0.004864,0.047265,0.000608,0.108003,0.051426,0.061282,0.223815,0.887130
0.399756,0.017504,0.191334,0.004896,0.047073,0.000608,0.105796,0.051041,0.064002,0.223655,0.890138
0.399372,0.017345,0.191557,0.004832,0.047010,0.000576,0.102691,0.051841,0.060546,0.218022,0.884122
0.398700,0.017504,0.223687,0.005248,0.046945,0.000608,0.106947,0.064385,0.061442,0.236071,0.934363
0.399628,0.017504,0.191622,0.005056,0.047297,0.000608,0.106211,0.050881,0.063106,0.223078,0.890234
0.399371,0.017345,0.191238,0.004992,0.047105,0.000608,0.104259,0.049250,0.059042,0.215271,0.881210
0.399020,0.017312,0.191430,0.004832,0.047010,0.000640,0.109123,0.064034,0.062082,0.238343,0.903899
0.395275,0.017345,0.191686,0.004864,0.047265,0.000640,0.134948,0.053346,0.061986,0.253128,0.915451
0.395340,0.017344,0.191526,0.005024,0.047106,0.000576,0.098723,0.050849,0.065282,0.217638,0.879546
0.398827,0.017569,0.191942,0.004896,0.047169,0.000800,0.109860,0.054113,0.063298,0.230087,0.897082
0.399308,0.017440,0.208966,0.005089,0.047233,0.000608,0.109635,0.052258,0.061634,0.226855,0.911771
0.395116,0.017280,0.192230,0.004864,0.047074,0.000608,0.105507,0.051809,0.061218,0.221350,0.883770
0.399339,0.017280,0.191302,0.004864,0.046977,0.000576,0.104931,0.051714,0.063298,0.222855,0.888442
0.399468,0.017505,0.192006,0.005088,0.047009,0.000608,0.105635,0.051842,0.064098,0.224615,0.891387
0.413165,0.017632,0.191430,0.004864,0.046913,0.000608,0.107748,0.067362,0.066818,0.245000,0.925052
0.398764,0.017377,0.191621,0.004864,0.047010,0.000576,0.101411,0.052129,0.064482,0.221158,0.886746
0.395468,0.017504,0.192166,0.004832,0.047041,0.000576,0.104964,0.047809,0.060802,0.217415,0.880634
0.399244,0.017312,0.191398,0.004864,0.047138,0.000608,0.127364,0.052001,0.064002,0.247975,0.913851
0.394252,0.017344,0.191526,0.004864,0.047073,0.000608,0.104836,0.052385,0.062178,0.222151,0.882394
0.399019,0.017569,0.192550,0.004864,0.047169,0.000608,0.114436,0.051649,0.064898,0.234695,0.902522
0.394635,0.017472,0.191366,0.005024,0.047105,0.000640,0.103171,0.051938,0.060866,0.218855,0.880314
0.415917,0.017568,0.191622,0.004896,0.047042,0.000576,0.105091,0.063490,0.065506,0.237927,0.920444
0.399084,0.017505,0.191685,0.004897,0.047265,0.000608,0.105443,0.064962,0.062338,0.235783,0.902043
0.399020,0.017313,0.191429,0.004833,0.047073,0.000608,0.115651,0.048034,0.059010,0.225479,0.891099
0.399340,0.017473,0.191718,0.004896,0.047137,0.000608,0.109347,0.069986,0.090659,0.273320,0.940508
0.395179,0.017377,0.191782,0.004864,0.047361,0.000608,0.100643,0.049026,0.059266,0.211687,0.873530
0.399116,0.017344,0.191462,0.004992,0.047394,0.000576,0.096418,0.050401,0.066786,0.217382,0.884442
0.399628,0.017312,0.191622,0.004832,0.047233,0.000576,0.107492,0.051041,0.060546,0.222087,0.888506
0.416653,0.017600,0.191814,0.004864,0.047074,0.000608,0.104771,0.062210,0.061825,0.232775,0.916956
0.395148,0.017345,0.191685,0.004833,0.047169,0.000640,0.106243,0.052034,0.061250,0.222407,0.884539
0.399276,0.017504,0.192550,0.004832,0.047010,0.000608,0.097954,0.050305,0.061602,0.212902,0.879898
0.394411,0.017569,0.191589,0.004801,0.047041,0.000608,0.105827,0.050978,0.061121,0.220647,0.881819
0.395212,0.017473,0.192325,0.004864,0.047074,0.000576,0.106915,0.052002,0.061057,0.222886,0.886106
0.399148,0.017440,0.191622,0.004896,0.047330,0.000608,0.097634,0.049186,0.060898,0.210566,0.876954
0.394668,0.017537,0.191557,0.004864,0.047362,0.000576,0.102307,0.049153,0.062818,0.217222,0.879610
0.398860,0.017633,0.211142,0.005152,0.047201,0.000608,0.102243,0.053314,0.060770,0.219047,0.905275
0.399435,0.017472,0.191494,0.004832,0.047169,0.000576,0.109444,0.053121,0.060834,0.226151,0.892410
0.394476,0.017281,0.191333,0.005025,0.047137,0.000576,0.108963,0.051682,0.062914,0.226503,0.887771
0.399116,0.017281,0.191653,0.004864,0.047042,0.000576,0.107907,0.051970,0.065314,0.228615,0.894491
0.396140,0.017536,0.191430,0.005056,0.047585,0.000640,0.107939,0.067778,0.064674,0.243367,0.907515
0.394412,0.017440,0.191302,0.004832,0.047330,0.000576,0.098403,0.048001,0.058882,0.208262,0.869658
0.395468,0.017537,0.191365,0.004832,0.047234,0.000576,0.107875,0.049410,0.060705,0.220582,0.882682
