Layer[0],Layer[1],TEE[2-9],Layer[10],classifier
0.415408,0.017761,0.753054,0.000704,1.193231
0.436817,0.017761,0.743101,0.000640,1.204431
0.416112,0.017761,0.742141,0.000672,1.182734
0.416720,0.017792,0.745918,0.000704,1.188943
0.416240,0.017633,0.756670,0.000704,1.196815
0.417104,0.017697,0.755998,0.000704,1.198255
0.417521,0.017377,0.769022,0.000736,1.211952
0.416208,0.017537,0.756318,0.000672,1.197135
0.416336,0.017825,0.749790,0.000704,1.190895
0.417872,0.017633,0.780543,0.000736,1.222800
0.416752,0.017409,0.737885,0.000832,1.177678
0.414832,0.017793,0.736253,0.000544,1.174318
0.432113,0.018305,0.718140,0.000768,1.174990
0.416465,0.017953,0.755133,0.000800,1.197167
0.416080,0.017601,0.735933,0.000800,1.176110
0.416689,0.017600,0.745406,0.000800,1.186223
0.416368,0.017569,0.730845,0.000640,1.171054
0.416305,0.017568,0.767071,0.000608,1.207472
0.416336,0.017729,0.779102,0.000768,1.219407
0.415729,0.017536,0.752414,0.000704,1.192335
0.416177,0.017600,0.775423,0.000832,1.215632
0.416272,0.017345,0.732125,0.000640,1.171598
0.416272,0.017601,0.740189,0.000640,1.180302
0.437233,0.017632,0.744221,0.000736,1.206256
0.416432,0.017601,0.751998,0.000736,1.193711
0.416080,0.017537,0.748286,0.000736,1.188975
0.434545,0.017537,0.749021,0.000768,1.207983
0.417328,0.017760,0.770687,0.000672,1.212048
0.415568,0.017473,0.746461,0.000736,1.185582
0.416081,0.017665,0.750557,0.000736,1.190415
0.415793,0.017664,0.743870,0.000608,1.183695
0.415472,0.017536,0.775039,0.000640,1.214896
0.416816,0.017601,0.746365,0.000672,1.187470
0.416752,0.017504,0.755646,0.000768,1.197359
0.417200,0.017633,0.772958,0.000704,1.214991
0.416785,0.017696,0.752222,0.000704,1.194127
0.416753,0.017665,0.753949,0.000800,1.195311
0.431792,0.017824,0.747486,0.000768,1.203727
0.416464,0.017537,0.741245,0.000736,1.181678
0.415600,0.017377,0.747645,0.000736,1.187310
0.415984,0.017697,0.746301,0.000704,1.186190
0.416081,0.017536,0.752990,0.000672,1.192783
0.417424,0.018464,0.758910,0.000736,1.201295
0.417296,0.017505,0.753758,0.000832,1.195247
