Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395244,0.017472,0.192582,0.004864,0.051362,0.108803,0.049985,0.061537,0.224134,0.000800,0.001984,0.001345,0.000544,0.897627
0.399308,0.017793,0.192229,0.005152,0.050530,0.110147,0.048802,0.059906,0.222695,0.000736,0.002080,0.000896,0.000352,0.899995
0.394508,0.017632,0.192358,0.005056,0.048834,0.109891,0.046465,0.057890,0.217862,0.000640,0.002176,0.001088,0.000576,0.887514
0.412749,0.017504,0.192198,0.005088,0.050498,0.112803,0.049185,0.075907,0.241895,0.000736,0.002272,0.001024,0.000416,0.932764
0.398956,0.017344,0.192070,0.005024,0.050466,0.108611,0.048449,0.059746,0.220614,0.000768,0.002112,0.001024,0.000416,0.895418
0.396332,0.017313,0.191685,0.005056,0.049026,0.109507,0.048002,0.060673,0.221638,0.000640,0.001953,0.000928,0.000384,0.891931
0.398987,0.017376,0.192166,0.005088,0.048417,0.129284,0.064162,0.059714,0.257448,0.000768,0.002080,0.001056,0.000448,0.931099
0.394828,0.017377,0.191877,0.005280,0.050114,0.110659,0.048866,0.060354,0.223239,0.000704,0.002144,0.001024,0.000416,0.893691
0.395116,0.017472,0.191686,0.005056,0.048961,0.109732,0.049185,0.061122,0.223559,0.000704,0.001920,0.000928,0.000352,0.892378
0.395404,0.017344,0.191814,0.005280,0.049666,0.103267,0.046465,0.057890,0.211078,0.000704,0.002048,0.001184,0.000320,0.881786
0.426253,0.017344,0.191910,0.005248,0.050050,0.113443,0.058018,0.060930,0.236103,0.000704,0.002016,0.001056,0.000384,0.937884
0.397932,0.017793,0.193413,0.004833,0.048385,0.127332,0.046177,0.062018,0.239239,0.001088,0.002464,0.001472,0.000544,0.915259
0.399244,0.017632,0.191910,0.005152,0.048194,0.114211,0.047842,0.061633,0.228262,0.000928,0.002240,0.001088,0.000352,0.904859
0.395404,0.017568,0.191878,0.005280,0.048002,0.130019,0.059938,0.068930,0.263783,0.001248,0.003649,0.000992,0.000320,0.937436
0.395083,0.017633,0.191558,0.005312,0.048193,0.108612,0.048993,0.060450,0.221767,0.000800,0.002304,0.001408,0.000320,0.891162
0.400172,0.017824,0.192069,0.004864,0.048578,0.111107,0.049858,0.059777,0.224550,0.000992,0.002177,0.001248,0.000320,0.900475
0.399820,0.017952,0.192870,0.004832,0.048097,0.113859,0.049217,0.064290,0.231622,0.000864,0.002048,0.001601,0.000416,0.907419
0.415404,0.017473,0.192454,0.005152,0.047905,0.106659,0.047138,0.061762,0.219527,0.000768,0.005216,0.001248,0.000384,0.912507
0.397228,0.017536,0.191654,0.005344,0.049058,0.109187,0.048257,0.063650,0.224742,0.000640,0.001921,0.001088,0.000352,0.896731
0.399340,0.017504,0.192198,0.004800,0.048002,0.110147,0.046497,0.061762,0.222214,0.001024,0.002144,0.001088,0.000416,0.896250
0.399051,0.017345,0.192230,0.005024,0.093763,0.111523,0.051073,0.063298,0.230790,0.000800,0.001824,0.001249,0.000352,0.949820
0.397932,0.017953,0.193125,0.005057,0.048897,0.128292,0.050209,0.066626,0.249383,0.001281,0.002304,0.001664,0.000352,0.927260
0.399563,0.017793,0.192582,0.004864,0.047809,0.110948,0.049185,0.063874,0.227751,0.001184,0.002176,0.001248,0.000320,0.902586
0.401740,0.017633,0.192678,0.005056,0.048225,0.115716,0.049185,0.061794,0.231463,0.001184,0.002272,0.001024,0.000576,0.911803
0.396172,0.017696,0.192326,0.005248,0.047682,0.112323,0.049441,0.066978,0.232358,0.000928,0.005120,0.001408,0.000416,0.906299
0.394732,0.017824,0.191878,0.005056,0.047809,0.112484,0.049377,0.069890,0.235431,0.000800,0.004609,0.000960,0.000384,0.906651
0.398923,0.017632,0.192550,0.005152,0.047649,0.110916,0.049665,0.064290,0.228615,0.000800,0.002464,0.001376,0.000416,0.903066
0.400811,0.017664,0.212006,0.005249,0.047297,0.113315,0.048866,0.064674,0.230247,0.000768,0.001952,0.000992,0.000416,0.925179
0.401484,0.017664,0.193094,0.005280,0.048258,0.108131,0.048193,0.061314,0.221094,0.001056,0.001952,0.001024,0.000384,0.897594
0.395243,0.017793,0.192038,0.005056,0.048385,0.109507,0.048354,0.060706,0.222343,0.001088,0.001920,0.000960,0.000352,0.891866
0.399244,0.017504,0.191046,0.004896,0.047682,0.108675,0.047937,0.063266,0.223718,0.000800,0.002464,0.000992,0.000384,0.895610
0.399020,0.017760,0.191718,0.005312,0.048322,0.110275,0.046785,0.063010,0.224582,0.000928,0.001920,0.001056,0.000384,0.898522
0.395308,0.017600,0.191846,0.005312,0.047970,0.109443,0.047809,0.061378,0.222374,0.000736,0.002080,0.001056,0.000384,0.891546
0.400907,0.017729,0.192262,0.005120,0.048865,0.115684,0.045697,0.061762,0.227911,0.000768,0.002368,0.001120,0.000352,0.906842
0.400364,0.017568,0.211878,0.005217,0.048033,0.114531,0.049506,0.064418,0.232007,0.000864,0.002240,0.001088,0.000384,0.927067
0.399724,0.017793,0.191526,0.005280,0.049985,0.112484,0.045377,0.061154,0.222887,0.000864,0.002176,0.001152,0.000352,0.899099
0.401036,0.017824,0.192230,0.004832,0.050370,0.108003,0.048673,0.063874,0.224774,0.000800,0.005153,0.001184,0.000384,0.906939
0.399276,0.017728,0.192134,0.005024,0.048130,0.113091,0.049186,0.063649,0.230022,0.001088,0.002272,0.001184,0.000384,0.904923
0.400460,0.017856,0.191558,0.004832,0.049762,0.111011,0.048322,0.079170,0.242119,0.000800,0.002048,0.001152,0.000416,0.918139
0.400716,0.017473,0.191941,0.005313,0.048289,0.111075,0.049186,0.068066,0.233543,0.001024,0.002048,0.001088,0.000352,0.910203
