Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.411404,0.017697,0.192614,0.137636,0.045185,0.061986,0.247911,0.048513,0.000864,0.013569,0.000384,0.001440,0.001728,0.000384,0.944476
0.396204,0.017632,0.191942,0.139492,0.036961,0.059906,0.239847,0.049249,0.001120,0.013665,0.000384,0.001408,0.001184,0.000384,0.920443
0.395852,0.017792,0.191782,0.137060,0.036961,0.062210,0.239463,0.051362,0.001024,0.013600,0.000384,0.001408,0.001152,0.000416,0.921659
0.395980,0.017568,0.191462,0.124292,0.053921,0.066434,0.248455,0.049633,0.000736,0.013568,0.000384,0.001473,0.001184,0.000384,0.928700
0.395564,0.017633,0.191941,0.137669,0.036705,0.058945,0.236519,0.048802,0.000800,0.013536,0.000416,0.001440,0.001152,0.000416,0.915708
0.395788,0.017793,0.191621,0.125636,0.044001,0.061282,0.234119,0.047746,0.000864,0.013568,0.000384,0.001408,0.001376,0.000416,0.912763
0.395884,0.017920,0.191974,0.142084,0.033857,0.058178,0.237159,0.047778,0.001056,0.013568,0.000384,0.001472,0.001184,0.000416,0.916347
0.410732,0.017665,0.192037,0.140420,0.043681,0.064546,0.251880,0.051265,0.000833,0.013568,0.000384,0.001504,0.001216,0.000352,0.950524
0.396812,0.017633,0.192069,0.131108,0.034209,0.059042,0.228007,0.048898,0.000896,0.013696,0.000384,0.001440,0.001376,0.000352,0.909851
0.395916,0.017728,0.191750,0.133508,0.035681,0.057442,0.229927,0.049377,0.000832,0.013569,0.000352,0.001536,0.001152,0.000320,0.910043
0.395340,0.017568,0.209286,0.143781,0.044865,0.060322,0.252072,0.050497,0.000864,0.013505,0.000384,0.001440,0.001344,0.000384,0.950652
0.395307,0.017568,0.191398,0.136164,0.035681,0.059906,0.234919,0.049921,0.000864,0.013537,0.000384,0.001408,0.001600,0.000352,0.915163
0.395883,0.017889,0.192230,0.135236,0.034049,0.059105,0.231334,0.051650,0.000896,0.013536,0.000384,0.001440,0.001152,0.000385,0.914715
0.395564,0.017825,0.191685,0.133732,0.035233,0.060994,0.233415,0.048514,0.000832,0.013568,0.000384,0.001472,0.000992,0.000416,0.912155
0.396780,0.017408,0.191430,0.137956,0.037281,0.059394,0.237479,0.049250,0.000832,0.013632,0.000320,0.001504,0.001120,0.000384,0.918139
0.396203,0.017985,0.192006,0.141412,0.035457,0.059618,0.239975,0.047809,0.001056,0.013633,0.000384,0.001536,0.001216,0.000352,0.919899
0.396556,0.017440,0.191526,0.125700,0.035393,0.058946,0.223079,0.048193,0.000864,0.013568,0.000384,0.001472,0.001152,0.000352,0.902491
