Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396492,0.017889,0.192389,0.004801,0.047489,0.000800,0.103843,0.052354,0.063554,0.223047,0.000928,0.002112,0.001344,0.000480,0.895675
0.397132,0.017921,0.193861,0.005249,0.047329,0.000800,0.113379,0.056962,0.062402,0.236103,0.000928,0.002368,0.001280,0.000416,0.911611
0.416972,0.017697,0.192229,0.005089,0.047169,0.000864,0.106019,0.057090,0.061602,0.227815,0.001024,0.002336,0.001184,0.000448,0.920987
0.397196,0.017697,0.191877,0.004800,0.047138,0.001024,0.109859,0.047874,0.061633,0.222470,0.000929,0.002240,0.001248,0.000416,0.894811
0.397260,0.017920,0.191814,0.004800,0.047361,0.000833,0.106659,0.047969,0.062370,0.220038,0.000992,0.002048,0.001088,0.000480,0.891866
0.396844,0.017665,0.191717,0.004832,0.047042,0.000800,0.124516,0.048929,0.060578,0.237287,0.000800,0.002176,0.001248,0.000864,0.909595
0.396652,0.017888,0.192614,0.004832,0.047106,0.000832,0.106723,0.048097,0.059362,0.217222,0.001280,0.002144,0.001120,0.000544,0.889402
0.396204,0.017665,0.192197,0.005185,0.047425,0.000832,0.111139,0.057154,0.061794,0.233223,0.001184,0.002112,0.001056,0.000480,0.904731
0.397196,0.017984,0.191974,0.004864,0.047682,0.000800,0.111875,0.054210,0.069442,0.238215,0.000736,0.002112,0.001216,0.000480,0.910427
0.415788,0.017665,0.191845,0.005281,0.047489,0.000832,0.109763,0.047618,0.060514,0.220999,0.001024,0.002592,0.001184,0.000896,0.912827
0.400363,0.018144,0.195334,0.005088,0.049122,0.001024,0.154084,0.058722,0.069250,0.285896,0.001056,0.002944,0.002656,0.000576,0.976540
0.397772,0.018016,0.192774,0.005056,0.049122,0.000832,0.113411,0.050529,0.065986,0.232870,0.001184,0.002625,0.001952,0.000448,0.909819
0.397004,0.017824,0.210983,0.005408,0.048225,0.000800,0.106467,0.056513,0.069730,0.237127,0.001056,0.002336,0.001120,0.000352,0.929820
0.395851,0.017473,0.191942,0.004800,0.049473,0.000832,0.112580,0.056705,0.064162,0.236967,0.000800,0.002368,0.001312,0.000384,0.910810
0.396491,0.017697,0.191430,0.005056,0.047905,0.000800,0.107107,0.059042,0.061826,0.231239,0.001056,0.002272,0.001344,0.000672,0.903674
0.396268,0.017889,0.192229,0.005312,0.047938,0.000864,0.105091,0.054306,0.062626,0.225063,0.000992,0.002208,0.001152,0.000384,0.897659
0.396332,0.017536,0.191526,0.005312,0.047553,0.000832,0.105027,0.046433,0.060834,0.216103,0.001184,0.002144,0.001152,0.000384,0.887322
