IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.151108,1.553775,0.067010,1.778613,0.000896,0.014400,0.000384,0.001504,0.000992,0.000384,1.800597
0.148357,1.569038,0.075875,1.800694,0.001088,0.014400,0.000448,0.001440,0.001056,0.000384,1.823766
0.172453,1.551854,0.064834,1.794453,0.000832,0.014369,0.000384,0.001440,0.000992,0.000352,1.816214
0.182246,1.573199,0.077250,1.837719,0.001248,0.014561,0.000448,0.001504,0.001184,0.000416,1.861496
0.171654,1.554734,0.064386,1.796758,0.000800,0.014496,0.000384,0.001472,0.001057,0.000352,1.818743
0.147876,1.569582,0.073474,1.797878,0.001216,0.015808,0.000608,0.001536,0.001216,0.000448,1.822070
0.139076,1.554094,0.066658,1.765556,0.000768,0.014465,0.000576,0.001536,0.000992,0.000384,1.787701
0.174629,1.569263,0.130564,1.881720,0.000832,0.014880,0.000640,0.001440,0.000960,0.000352,1.904376
0.148708,1.557135,0.068450,1.780277,0.000736,0.015136,0.000640,0.001472,0.001056,0.000352,1.803285
0.169605,1.581327,0.073219,1.830999,0.000832,0.015104,0.000416,0.001568,0.000960,0.000352,1.853655
0.149860,1.554958,0.067842,1.779893,0.000736,0.014368,0.000608,0.001568,0.001825,0.000352,1.803158
0.152452,1.554254,0.066626,1.778517,0.000896,0.014432,0.000608,0.001504,0.001024,0.000352,1.801078
0.143268,1.553007,0.065122,1.768085,0.000928,0.014464,0.000608,0.001504,0.001216,0.000352,1.790805
0.148901,1.556910,0.066338,1.778901,0.000832,0.014433,0.000416,0.001504,0.000896,0.000384,1.800726
0.134564,1.552558,0.065410,1.759124,0.000768,0.035937,0.000704,0.001856,0.001184,0.000352,1.803734
0.149188,1.554446,0.066562,1.777268,0.000768,0.014368,0.000608,0.001536,0.001088,0.000384,1.799445
0.156644,1.573711,0.086723,1.824470,0.000704,0.015648,0.000416,0.001504,0.000992,0.000384,1.847800
0.184550,1.556526,0.066082,1.814806,0.000800,0.014497,0.000384,0.001440,0.001088,0.000384,1.836919
0.147876,1.569103,0.073954,1.797013,0.000800,0.014881,0.000672,0.001568,0.000992,0.000352,1.819734
0.154020,1.561071,0.069090,1.791701,0.000736,0.014880,0.000416,0.001472,0.000928,0.000416,1.814198
0.136804,1.598544,0.084578,1.828470,0.000864,0.015585,0.000416,0.001792,0.001024,0.000576,1.853463
0.151556,1.555982,0.069410,1.783701,0.001152,0.015808,0.000640,0.001536,0.001120,0.000416,1.807989
0.150692,1.575407,0.119492,1.852503,0.001088,0.015232,0.000704,0.001632,0.000992,0.000480,1.876407
0.152964,1.556207,0.067778,1.783861,0.000832,0.015008,0.000448,0.001472,0.000928,0.000384,1.806710
0.150949,1.576655,0.078914,1.814390,0.001088,0.015041,0.000608,0.001504,0.001376,0.000320,1.839159
0.150212,1.554926,0.066914,1.778292,0.000800,0.014464,0.000448,0.001536,0.001152,0.000352,1.800725
0.152324,1.576718,0.076898,1.814262,0.000832,0.015072,0.000416,0.001440,0.001120,0.000384,1.838231
0.154437,1.563662,0.072514,1.799414,0.000960,0.016224,0.000384,0.001536,0.001120,0.000416,1.824150
0.149221,1.587919,0.128292,1.873592,0.001248,0.016449,0.000640,0.001888,0.001152,0.000640,1.899641
0.155300,1.558543,0.067906,1.788213,0.000896,0.015584,0.000384,0.001824,0.001120,0.000608,1.812694
0.154980,1.578415,0.098083,1.839670,0.000864,0.016033,0.000576,0.001536,0.001152,0.000640,1.864887
0.150949,1.557838,0.068258,1.783605,0.000800,0.015841,0.000416,0.001568,0.001152,0.000608,1.807606
0.151525,1.575535,0.092003,1.827703,0.001088,0.017024,0.000640,0.001696,0.001440,0.000640,1.854615
0.156165,1.556302,0.069219,1.788854,0.000896,0.015744,0.000384,0.001600,0.001344,0.000608,1.813206
0.173670,1.564078,0.068674,1.813174,0.000800,0.015521,0.000384,0.001664,0.001184,0.000416,1.836631
0.152996,1.558062,0.068098,1.785877,0.000768,0.015521,0.000640,0.001600,0.001152,0.000416,1.809782
0.147845,1.556622,0.067842,1.780085,0.000832,0.015457,0.000448,0.002048,0.001504,0.000608,1.804758
0.137188,1.554126,0.064738,1.761684,0.000896,0.015745,0.000608,0.001472,0.001120,0.000384,1.785589
0.171237,1.552719,0.065282,1.794198,0.001088,0.015904,0.000640,0.001760,0.001184,0.000608,1.819158
0.151300,1.555278,0.102627,1.834166,0.001088,0.016320,0.000608,0.001792,0.001088,0.000608,1.859319
0.149220,1.556687,0.067042,1.779605,0.000832,0.016032,0.000608,0.001632,0.001184,0.000384,1.803734
0.147300,1.568431,0.074306,1.797301,0.001056,0.016001,0.000384,0.001536,0.001088,0.000576,1.822486
0.145029,1.552046,0.065602,1.768181,0.000736,0.016225,0.000384,0.001728,0.001248,0.000576,1.792566
0.149349,1.570351,0.087202,1.812790,0.000992,0.015905,0.000352,0.001568,0.001056,0.000384,1.836759
