Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.397387,0.017473,0.191526,0.005280,0.114723,0.101507,0.066242,0.285960,0.001472,0.000480,0.905402
0.397036,0.018048,0.192293,0.005248,0.104771,0.099651,0.070339,0.278185,0.001536,0.000416,0.899099
0.395852,0.017664,0.191942,0.005280,0.108931,0.111811,0.075042,0.299465,0.001568,0.000480,0.918203
0.396748,0.017600,0.191814,0.005120,0.122212,0.101411,0.068706,0.296361,0.001536,0.000384,0.916219
0.396780,0.017600,0.191974,0.005120,0.113891,0.103075,0.065794,0.287337,0.001568,0.000416,0.907195
0.396588,0.017601,0.192037,0.005280,0.118980,0.108707,0.065346,0.297033,0.001504,0.000416,0.916475
0.416972,0.017569,0.191974,0.005344,0.113283,0.107715,0.067426,0.292136,0.001440,0.000416,0.931707
0.395948,0.017568,0.191622,0.005312,0.115044,0.104003,0.064322,0.287113,0.001472,0.000416,0.905787
0.397772,0.017569,0.191237,0.005249,0.109571,0.102435,0.064034,0.280232,0.001408,0.000512,0.899803
0.396043,0.017665,0.192550,0.022592,0.119940,0.105827,0.067874,0.297609,0.001376,0.000416,0.934331
0.396075,0.017409,0.191782,0.005248,0.113155,0.100931,0.064898,0.282600,0.001408,0.000448,0.900794
0.396812,0.017568,0.192518,0.005344,0.107331,0.098755,0.063842,0.273576,0.001408,0.000416,0.893434
0.396396,0.017536,0.192134,0.005248,0.111011,0.105827,0.064642,0.285192,0.001504,0.000417,0.903931
0.397292,0.017504,0.192230,0.005280,0.120292,0.102723,0.066498,0.293737,0.001568,0.000448,0.914779
0.402316,0.017569,0.194342,0.005056,0.117667,0.101123,0.064610,0.287848,0.001536,0.000512,0.915643
0.399404,0.017632,0.191942,0.005376,0.112324,0.103747,0.064418,0.284553,0.001472,0.000416,0.906747
0.397643,0.017473,0.210438,0.005344,0.111268,0.111555,0.064994,0.291625,0.001504,0.000416,0.931099
0.397643,0.017505,0.191814,0.005280,0.103555,0.101347,0.062210,0.270504,0.001600,0.000416,0.890330
0.397580,0.017313,0.191781,0.005249,0.113731,0.101219,0.063138,0.281640,0.001504,0.000448,0.901211
0.395756,0.017601,0.191781,0.005249,0.118275,0.101219,0.064066,0.287336,0.001536,0.000448,0.905627
0.396811,0.017537,0.191942,0.005184,0.109283,0.099395,0.062594,0.274984,0.001504,0.000448,0.894074
0.397868,0.017760,0.191974,0.005280,0.121316,0.102531,0.068482,0.296169,0.001600,0.000512,0.917723
0.396907,0.017345,0.191686,0.005280,0.120963,0.101411,0.066914,0.293288,0.001472,0.000480,0.912507
0.397356,0.036545,0.192357,0.005089,0.144644,0.116099,0.067458,0.331945,0.001472,0.000480,0.971708
0.402604,0.017697,0.192357,0.005248,0.117475,0.103939,0.068354,0.293800,0.001536,0.000480,0.920411
0.397740,0.017536,0.191686,0.005248,0.115300,0.102915,0.065666,0.287497,0.001600,0.000416,0.907739
0.399724,0.017409,0.192037,0.005281,0.116291,0.104131,0.093315,0.318505,0.001536,0.000480,0.942204
