IN[0],INFER[0-6],OUT[6],TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.151237,1.577039,0.064482,1.799734,0.000800,0.002624,0.001120,0.000384,1.807382
0.178790,1.565422,0.063586,1.814038,0.000800,0.002528,0.001089,0.000448,1.821623
0.142500,1.563631,0.063394,1.775989,0.000736,0.003424,0.001056,0.000448,1.784469
0.171461,1.563630,0.067266,1.808470,0.000832,0.003488,0.001184,0.000480,1.817334
0.145797,1.574959,0.063298,1.791702,0.000704,0.002496,0.001184,0.000448,1.799414
0.131748,1.561838,0.103235,1.803542,0.000864,0.003296,0.001120,0.000448,1.814198
0.140484,1.563758,0.064194,1.774932,0.000704,0.002464,0.001120,0.000480,1.782325
0.154404,1.586607,0.107779,1.858263,0.000864,0.002976,0.001312,0.000480,1.869079
0.156196,1.570383,0.067554,1.801717,0.000800,0.003104,0.001344,0.000416,1.810421
0.174181,1.588943,0.074946,1.844886,0.000960,0.003329,0.001696,0.000384,1.854551
0.138404,1.567055,0.064610,1.777653,0.000832,0.002688,0.001120,0.000384,1.785621
0.170725,1.589136,0.079106,1.846391,0.000928,0.002912,0.001408,0.000352,1.855895
0.179302,1.565230,0.065921,1.817974,0.000960,0.003488,0.001248,0.000384,1.827063
0.144548,1.583087,0.127652,1.863767,0.000928,0.003776,0.001280,0.000480,1.875128
0.147204,1.570543,0.064674,1.790805,0.000896,0.003584,0.001280,0.000448,1.800149
0.157733,1.587151,0.079203,1.830487,0.000928,0.003136,0.001312,0.000416,1.840183
0.145316,1.565903,0.067330,1.785013,0.000896,0.003360,0.001472,0.000480,1.794325
0.144644,1.583343,0.075298,1.810389,0.000992,0.003104,0.001344,0.000384,1.819702
0.159813,1.571215,0.066050,1.804950,0.000800,0.003104,0.001280,0.000384,1.813686
0.142148,1.586351,0.075490,1.812694,0.000896,0.003136,0.001344,0.000448,1.823222
0.137093,1.570606,0.066658,1.781269,0.000864,0.002721,0.001280,0.000416,1.789430
0.145092,1.588239,0.078370,1.818934,0.000800,0.003104,0.001312,0.000416,1.827542
0.143972,1.567215,0.066018,1.783317,0.000800,0.003296,0.001216,0.000352,1.792085
0.179397,1.584144,0.075874,1.846231,0.000832,0.003328,0.001344,0.000416,1.855223
0.171685,1.570159,0.069986,1.819382,0.000896,0.002656,0.001216,0.000384,1.827542
0.167045,1.576398,0.074882,1.826263,0.000864,0.003296,0.001312,0.000416,1.835447
0.144676,1.566927,0.066114,1.784149,0.000800,0.002528,0.001216,0.000384,1.791957
0.147716,1.571662,0.068610,1.795989,0.000897,0.002688,0.001216,0.000416,1.804086
0.144068,1.571087,0.068002,1.790453,0.000832,0.003360,0.001184,0.000384,1.799285
0.143972,1.567599,0.067042,1.784949,0.000800,0.002880,0.001248,0.000448,1.793333
0.144421,1.601583,0.078723,1.833847,0.000896,0.002880,0.001120,0.000448,1.843479
0.130148,1.566478,0.067138,1.770676,0.001089,0.003520,0.001248,0.000416,1.779925
0.129412,1.590031,0.093667,1.821142,0.000832,0.002688,0.001152,0.000384,1.830326
0.143652,1.567919,0.066658,1.785653,0.001056,0.002720,0.001152,0.000384,1.794005
0.150021,1.585551,0.082915,1.826551,0.001024,0.002560,0.001376,0.000416,1.834775
0.140485,1.566510,0.069698,1.782421,0.000832,0.002785,0.001120,0.000352,1.790550
0.149573,1.584111,0.071138,1.811670,0.000832,0.002944,0.001152,0.000416,1.820566
0.146980,1.567503,0.068258,1.790005,0.000800,0.002848,0.001216,0.000416,1.798101
0.177797,1.588143,0.075266,1.848215,0.001120,0.003232,0.001184,0.000512,1.857687
0.130404,1.568783,0.073538,1.780437,0.001120,0.002752,0.001024,0.000384,1.788597
0.130500,1.581455,0.075618,1.795477,0.001184,0.002688,0.001120,0.000416,1.805781
0.141604,1.569935,0.071810,1.791573,0.000736,0.002656,0.001216,0.000384,1.799318
0.140804,1.583696,0.088930,1.819350,0.001216,0.003072,0.001152,0.000416,1.828471
0.169925,1.577007,0.071042,1.830070,0.001664,0.004448,0.002497,0.000608,1.842519
0.144197,1.586959,0.073346,1.812534,0.001024,0.002912,0.001664,0.000448,1.821750
0.136260,1.568654,0.066370,1.778645,0.000864,0.002528,0.001664,0.000384,1.787061
0.143268,1.590799,0.078850,1.820950,0.000896,0.002592,0.001088,0.000352,1.829399
0.146404,1.568430,0.070626,1.793557,0.001120,0.002977,0.001152,0.000480,1.802422
0.170821,1.587439,0.076770,1.841814,0.001024,0.002720,0.001537,0.000384,1.850679
0.129828,1.568655,0.065954,1.772085,0.001088,0.002688,0.001152,0.000352,1.780629
0.141636,1.583855,0.078146,1.812118,0.001120,0.002720,0.001248,0.000480,1.822102
0.144420,1.566735,0.068354,1.785749,0.001088,0.002880,0.001152,0.000416,1.794261
0.143972,1.586671,0.076291,1.815030,0.001120,0.003104,0.001248,0.000544,1.825750
0.144901,1.569743,0.069186,1.790678,0.000800,0.002432,0.001472,0.000384,1.798614
0.146436,1.581871,0.067618,1.803189,0.000768,0.002560,0.001088,0.000384,1.810965
0.139364,1.565839,0.066274,1.778101,0.000800,0.002496,0.001120,0.000416,1.785621
0.140452,1.567599,0.067394,1.781685,0.001088,0.003072,0.001536,0.000448,1.790805
0.171941,1.569199,0.068226,1.815766,0.000832,0.002528,0.001216,0.000448,1.823862
0.130148,1.568495,0.069762,1.776213,0.000832,0.004128,0.001120,0.000320,1.786517
0.140964,1.568495,0.088706,1.805365,0.000960,0.003296,0.001280,0.000416,1.815606
0.146020,1.566350,0.067394,1.786485,0.001152,0.002592,0.001120,0.000352,1.794549
0.143653,1.589551,0.085955,1.826295,0.001120,0.002784,0.001216,0.000384,1.835959
0.183077,1.568367,0.065442,1.822454,0.000736,0.002560,0.001056,0.000384,1.830070
0.143492,1.592943,0.128292,1.873143,0.000928,0.003808,0.001248,0.000672,1.883864
0.149252,1.570287,0.066466,1.793525,0.000800,0.003200,0.001152,0.000384,1.801877
0.133732,1.587215,0.114660,1.843799,0.000800,0.005504,0.001344,0.000608,1.856631
0.151524,1.579726,0.068066,1.806422,0.000800,0.003168,0.001280,0.000608,1.815062
0.154468,1.592784,0.084802,1.839286,0.000928,0.003072,0.001249,0.000416,1.848407
0.150053,1.568431,0.068738,1.794070,0.000800,0.002496,0.001184,0.000576,1.802038
0.136868,1.591503,0.096355,1.832182,0.000896,0.005377,0.001312,0.000672,1.843703
0.181446,1.566190,0.065602,1.819190,0.000768,0.002976,0.001345,0.000672,1.827799
0.151525,1.586159,0.090915,1.834391,0.000800,0.003296,0.001216,0.000480,1.843383
0.186437,1.571535,0.070402,1.834583,0.000768,0.002496,0.001152,0.000384,1.842295
0.151748,1.583536,0.083362,1.826198,0.000768,0.002720,0.001088,0.000384,1.834038
0.146852,1.567215,0.068258,1.788149,0.000992,0.003008,0.000992,0.000384,1.796533
0.151013,1.590639,0.092259,1.840503,0.001088,0.003040,0.001184,0.000448,1.848887
0.133988,1.568974,0.073186,1.783445,0.000896,0.002944,0.001088,0.000448,1.791798
0.144132,1.583279,0.098083,1.833270,0.001344,0.003040,0.001184,0.000352,1.843382
0.144644,1.567375,0.070210,1.789589,0.001056,0.003328,0.001184,0.000384,1.798517
0.137188,1.586896,0.103139,1.834231,0.001056,0.003136,0.001248,0.000448,1.843191
0.127908,1.564495,0.069602,1.768853,0.001088,0.003136,0.001248,0.000448,1.778101
0.147684,1.566991,0.063746,1.784277,0.000768,0.002592,0.001088,0.000384,1.792117
0.140932,1.567982,0.064674,1.780053,0.000640,0.002496,0.001056,0.000384,1.787733
0.144965,1.572271,0.068098,1.793622,0.000736,0.002656,0.001088,0.000384,1.801142
0.143876,1.565294,0.066498,1.782389,0.000704,0.002560,0.001184,0.000384,1.790037
0.128900,1.563887,0.066018,1.764277,0.000896,0.005376,0.001216,0.000480,1.775157
0.142948,1.581039,0.070530,1.802934,0.000832,0.002912,0.001152,0.000480,1.812182
0.141124,1.566894,0.065826,1.780917,0.000800,0.002560,0.001120,0.000512,1.788725
0.140196,1.563694,0.091458,1.801845,0.001248,0.003104,0.001217,0.000512,1.811414
0.140132,1.566575,0.072802,1.786709,0.001088,0.002816,0.001152,0.000416,1.795029
0.168645,1.586287,0.087426,1.848983,0.000768,0.003233,0.001184,0.000512,1.858904
0.128292,1.564494,0.068963,1.767701,0.001024,0.003040,0.001216,0.000512,1.776405
0.173317,1.581871,0.113636,1.876184,0.001056,0.002688,0.001120,0.000352,1.885400
0.137861,1.565166,0.066562,1.776021,0.000896,0.002528,0.001088,0.000480,1.783861
0.140196,1.586799,0.093379,1.828726,0.001120,0.004161,0.001152,0.000384,1.839479
0.140132,1.563951,0.071202,1.781589,0.000768,0.002464,0.001088,0.000384,1.789173
0.187942,1.587215,0.113060,1.896441,0.000864,0.002816,0.001120,0.000448,1.905529
0.143268,1.565519,0.067810,1.782741,0.001024,0.005504,0.001056,0.000352,1.793525
0.138788,1.588560,0.102467,1.835927,0.000896,0.002656,0.001056,0.000320,1.843607
0.142276,1.568911,0.066434,1.784501,0.000800,0.002592,0.001184,0.000448,1.792309
0.139652,1.587535,0.096579,1.830390,0.001024,0.005440,0.001184,0.000416,1.841590
0.139172,1.565646,0.066978,1.778836,0.001089,0.003040,0.001248,0.000384,1.787861
0.153765,1.589583,0.124132,1.875160,0.000992,0.005312,0.001056,0.000384,1.886232
0.142916,1.568815,0.070850,1.789397,0.000864,0.002656,0.001216,0.000384,1.797269
0.170789,1.590351,0.121988,1.892120,0.001088,0.003104,0.001120,0.000480,1.902936
0.131620,1.570862,0.066530,1.775605,0.000736,0.002720,0.001248,0.000384,1.783541
0.148741,1.591759,0.097379,1.846999,0.000928,0.002944,0.001184,0.000480,1.856535
0.143524,1.570831,0.069602,1.791541,0.000928,0.002464,0.001216,0.000384,1.799477
0.175525,1.598608,0.083266,1.865144,0.001152,0.003232,0.001216,0.000448,1.875672
0.150372,1.571695,0.068162,1.797205,0.000768,0.002528,0.000992,0.000384,1.804565
0.157508,1.583087,0.073154,1.820310,0.001088,0.002880,0.001184,0.000448,1.828822
0.144228,1.570959,0.068514,1.791125,0.000832,0.002848,0.000992,0.000320,1.798997
0.145604,1.570574,0.071138,1.796213,0.001153,0.003168,0.001024,0.000416,1.805878
0.133188,1.580399,0.080515,1.803286,0.001056,0.003104,0.000992,0.000480,1.813334
0.129059,1.567406,0.066274,1.768980,0.000704,0.002464,0.001120,0.000352,1.776692
0.142692,1.586351,0.078723,1.815446,0.000768,0.002656,0.001024,0.000384,1.823190
0.145028,1.570799,0.067970,1.790965,0.000832,0.002560,0.001216,0.000384,1.799125
0.142949,1.584271,0.094755,1.829847,0.001152,0.003264,0.001120,0.000320,1.839639
0.139332,1.568046,0.065346,1.778869,0.000992,0.003136,0.001088,0.000352,1.787477
0.139044,1.582927,0.082690,1.810549,0.001120,0.002944,0.001185,0.000416,1.819286
0.140708,1.566703,0.065026,1.778325,0.001024,0.002976,0.001248,0.000352,1.787093
0.139428,1.580751,0.078019,1.806070,0.001056,0.002528,0.001120,0.000384,1.814838
0.177829,1.571215,0.066242,1.822550,0.000800,0.002528,0.001120,0.000384,1.830070
0.139205,1.581263,0.080162,1.808566,0.001216,0.002976,0.001152,0.000416,1.819094
0.140740,1.567151,0.066818,1.780821,0.000992,0.003104,0.001184,0.000480,1.789525
0.125956,1.586735,0.080962,1.801974,0.001056,0.003040,0.001152,0.000416,1.811862
0.147429,1.571374,0.068738,1.794582,0.000736,0.002816,0.001056,0.000384,1.802550
0.167141,1.582991,0.069890,1.826166,0.000768,0.003296,0.001249,0.000416,1.834519
0.141477,1.572110,0.066338,1.786614,0.000736,0.002560,0.001056,0.000320,1.794294
0.139812,1.589968,0.074242,1.812342,0.001120,0.002976,0.001248,0.000416,1.822742
0.129540,1.573647,0.066690,1.776821,0.000768,0.002432,0.001440,0.000416,1.784885
0.146501,1.582863,0.075426,1.812246,0.000960,0.004192,0.001216,0.000384,1.822519
0.173605,1.568719,0.066274,1.815990,0.000800,0.002688,0.001120,0.000416,1.823734
0.177158,1.584463,0.068674,1.836919,0.001056,0.003424,0.001184,0.000384,1.845975
0.145477,1.566926,0.065954,1.785525,0.000833,0.002656,0.001216,0.000352,1.793462
0.139844,1.588719,0.078594,1.816982,0.001120,0.002560,0.001184,0.000448,1.826358
0.142372,1.568078,0.068514,1.785813,0.000832,0.003040,0.001120,0.000416,1.794326
0.128996,1.585615,0.074882,1.796085,0.001120,0.003200,0.001088,0.000448,1.805269
0.136196,1.567182,0.066146,1.776277,0.000736,0.002464,0.001280,0.000384,1.783957
0.141317,1.585231,0.105251,1.840183,0.000704,0.002464,0.001120,0.000480,1.847703
0.144676,1.568943,0.066914,1.786837,0.000800,0.002368,0.001024,0.000384,1.794229
0.144324,1.583215,0.076386,1.810806,0.000736,0.005440,0.001152,0.000416,1.821334
0.142341,1.569038,0.067746,1.786197,0.000736,0.002465,0.001152,0.000384,1.793558
0.162469,1.596111,0.069922,1.835734,0.000768,0.002400,0.001408,0.000385,1.843351
0.140676,1.566478,0.066978,1.781333,0.000672,0.002432,0.001312,0.000384,1.788917
0.150085,1.573295,0.066274,1.797270,0.001088,0.002880,0.001248,0.000416,1.805878
0.138628,1.567471,0.064866,1.777749,0.000896,0.002464,0.001408,0.000320,1.785557
0.139460,1.569550,0.066370,1.782421,0.000736,0.003008,0.001152,0.000416,1.790485
0.142180,1.566926,0.068579,1.784149,0.000640,0.002656,0.001408,0.000416,1.791989
0.139524,1.567214,0.063234,1.775924,0.000704,0.002400,0.001216,0.000384,1.783253
0.138628,1.565903,0.081986,1.792789,0.000992,0.003072,0.001216,0.000352,1.801269
0.140868,1.576751,0.067234,1.792053,0.000992,0.002913,0.001152,0.000416,1.800246
0.139332,1.582031,0.069250,1.798069,0.000864,0.002593,0.001088,0.000352,1.806582
0.140164,1.565487,0.062978,1.774069,0.000704,0.002272,0.001120,0.000416,1.781461
0.138884,1.579727,0.091875,1.816438,0.001216,0.002912,0.001184,0.000352,1.824918
0.178693,1.566543,0.064770,1.817494,0.000800,0.002592,0.001248,0.000384,1.825334
0.140933,1.585487,0.112227,1.847607,0.000864,0.003201,0.001056,0.000480,1.856952
0.137572,1.565103,0.064322,1.774485,0.000896,0.002432,0.001152,0.000352,1.782165
0.141348,1.578735,0.081123,1.809718,0.000864,0.003072,0.001344,0.000384,1.819574
0.168261,1.569263,0.064386,1.807158,0.000768,0.002688,0.001152,0.000384,1.814902
0.138884,1.582543,0.076483,1.804214,0.001024,0.003072,0.001184,0.000448,1.813046
0.139364,1.565807,0.064610,1.777141,0.000864,0.002464,0.001120,0.000416,1.784757
0.162661,1.581871,0.103907,1.854359,0.001120,0.003072,0.001120,0.000480,1.862839
0.136676,1.564911,0.064898,1.771861,0.000960,0.002944,0.001056,0.000416,1.780245
0.143077,1.581775,0.075458,1.808054,0.001024,0.002944,0.001056,0.000416,1.817142
0.144677,1.565262,0.064706,1.781141,0.000800,0.002816,0.001088,0.000448,1.789493
0.139013,1.583727,0.075746,1.806262,0.000896,0.003712,0.001056,0.000352,1.816246
0.126243,1.577775,0.067010,1.777364,0.001088,0.002849,0.001024,0.000416,1.785429
0.127139,1.582735,0.068514,1.784693,0.001056,0.005312,0.001248,0.000384,1.795829
0.145188,1.568014,0.066210,1.786293,0.000864,0.002944,0.001024,0.000384,1.795541
0.142116,1.582575,0.086019,1.817878,0.001024,0.005376,0.001120,0.000448,1.830102
0.143876,1.565007,0.063298,1.779093,0.000736,0.002464,0.001056,0.000384,1.786453
0.176614,1.582063,0.081570,1.846999,0.001056,0.005376,0.001280,0.000416,1.858135
0.140548,1.567854,0.063106,1.777940,0.000704,0.002369,0.001056,0.000384,1.785109
0.166917,1.584047,0.074787,1.832343,0.001056,0.003200,0.001088,0.000384,1.840599
0.159333,1.568719,0.065666,1.801046,0.000864,0.002464,0.001216,0.000672,1.809046
0.141956,1.583407,0.080963,1.812854,0.000928,0.003072,0.001184,0.000384,1.821302
0.146276,1.567471,0.063874,1.783957,0.000992,0.003072,0.001280,0.000416,1.792373
0.125892,1.590287,0.073634,1.796533,0.000960,0.005377,0.001152,0.000480,1.807158
0.137284,1.563726,0.063170,1.770101,0.000992,0.005312,0.001088,0.000384,1.780501
0.166437,1.569423,0.072386,1.815766,0.000768,0.002304,0.000960,0.000352,1.823574
0.138052,1.564911,0.061410,1.770037,0.000736,0.002976,0.001184,0.000352,1.777973
0.133572,1.570799,0.063106,1.773941,0.000736,0.002336,0.001120,0.000320,1.781237
0.136229,1.562638,0.064130,1.768661,0.000736,0.002464,0.001024,0.000352,1.775893
0.143909,1.566062,0.070242,1.788213,0.000833,0.002336,0.001152,0.000384,1.795638
0.127748,1.565423,0.061185,1.760820,0.000736,0.002369,0.001152,0.000448,1.768181
0.130628,1.564143,0.062338,1.763029,0.000736,0.002336,0.001152,0.000352,1.770357
0.136100,1.565678,0.061378,1.768756,0.000992,0.003456,0.001088,0.000352,1.777332
0.168325,1.565582,0.062434,1.802773,0.000672,0.002240,0.000992,0.000384,1.809621
0.134340,1.561935,0.081346,1.783125,0.001024,0.003392,0.001120,0.000416,1.791829
0.126020,1.560814,0.066210,1.758900,0.000992,0.003200,0.001024,0.000352,1.767124
0.139364,1.563759,0.080354,1.790741,0.001025,0.003392,0.001184,0.000416,1.801654
