Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394795,0.017537,0.191590,0.004832,0.048673,0.108835,0.038305,0.065090,0.215495,0.022784,0.000480,0.001504,0.000992,0.000352,0.907002
0.395340,0.017729,0.191429,0.004896,0.048322,0.111075,0.040673,0.067074,0.221926,0.014209,0.000736,0.001504,0.001088,0.000512,0.904923
0.395116,0.017824,0.191558,0.004928,0.047618,0.114275,0.039969,0.089027,0.246567,0.014240,0.000480,0.001504,0.001184,0.000608,0.929371
0.396683,0.017761,0.191814,0.004928,0.048001,0.118692,0.040705,0.068962,0.231527,0.019329,0.000512,0.001504,0.000960,0.000448,0.920731
0.395436,0.017697,0.191877,0.005024,0.047426,0.112355,0.039713,0.060898,0.215878,0.014401,0.000704,0.001472,0.001056,0.000448,0.898939
0.395468,0.017696,0.191846,0.004832,0.047553,0.112516,0.033441,0.062434,0.211239,0.014080,0.000736,0.001504,0.001056,0.000416,0.893338
0.415565,0.017760,0.192102,0.004864,0.048098,0.114339,0.029505,0.063138,0.210886,0.016032,0.000512,0.001536,0.001024,0.000384,0.918011
0.395532,0.017664,0.191750,0.005056,0.049089,0.114244,0.039649,0.066242,0.223559,0.020929,0.000512,0.001536,0.001056,0.000384,0.914395
0.395596,0.017728,0.191974,0.004832,0.048130,0.106915,0.032289,0.060802,0.203174,0.019872,0.000736,0.001472,0.000896,0.000448,0.893083
0.395531,0.017600,0.191878,0.004928,0.049185,0.114788,0.057665,0.066721,0.241896,0.014752,0.000544,0.001472,0.001088,0.000384,0.926267
0.395500,0.017697,0.191717,0.004929,0.048097,0.111299,0.040098,0.061633,0.216358,0.014305,0.000480,0.001536,0.001056,0.000384,0.899835
0.395276,0.017600,0.191909,0.004992,0.048354,0.110371,0.040609,0.067970,0.221766,0.014401,0.000480,0.001472,0.001056,0.000576,0.904923
0.407244,0.018273,0.196774,0.005216,0.048897,0.173285,0.041538,0.064098,0.282953,0.015744,0.000992,0.002112,0.002688,0.000832,0.995549
0.403212,0.017697,0.193542,0.005248,0.049409,0.126916,0.036641,0.066210,0.233319,0.015521,0.000928,0.001952,0.001248,0.000384,0.930204
0.397324,0.017600,0.193318,0.004832,0.048289,0.108996,0.036641,0.069186,0.218439,0.016416,0.000512,0.001472,0.001120,0.000384,0.906875
0.396395,0.017729,0.192806,0.005056,0.049409,0.110724,0.033729,0.062977,0.210438,0.014977,0.000480,0.001472,0.000992,0.000352,0.897626
0.395532,0.017504,0.207846,0.005313,0.048417,0.111971,0.034753,0.061954,0.212038,0.016897,0.000704,0.001472,0.000960,0.000352,0.916219
0.395659,0.017601,0.191686,0.004896,0.048609,0.107299,0.038594,0.059905,0.209286,0.019105,0.000448,0.001536,0.000960,0.000416,0.896634
0.395340,0.017536,0.193414,0.004928,0.050370,0.110531,0.039905,0.073186,0.226822,0.014497,0.000480,0.001504,0.001088,0.000352,0.913083
0.395692,0.017441,0.192613,0.004864,0.048386,0.104899,0.033537,0.062178,0.204038,0.015264,0.000544,0.001472,0.000928,0.000352,0.887643
0.407596,0.017569,0.191877,0.004864,0.048194,0.121668,0.035457,0.056961,0.217638,0.015137,0.000480,0.001568,0.000864,0.000416,0.913371
0.395532,0.017729,0.192293,0.005216,0.047778,0.103459,0.034817,0.068098,0.209606,0.014753,0.000512,0.001440,0.000832,0.000320,0.892475
0.395403,0.017729,0.192710,0.004832,0.047233,0.111524,0.031905,0.064769,0.211142,0.014593,0.000960,0.001504,0.001024,0.000384,0.895482
0.401036,0.017761,0.192998,0.004896,0.065794,0.117027,0.033217,0.066082,0.219302,0.020353,0.000512,0.001632,0.001472,0.000384,0.933788
0.395468,0.017632,0.193094,0.005248,0.048097,0.108196,0.032673,0.063042,0.207271,0.016192,0.000768,0.001440,0.000896,0.000480,0.894202
0.399788,0.017633,0.193189,0.004833,0.048513,0.109795,0.038113,0.067426,0.218471,0.014560,0.000736,0.001536,0.000928,0.000416,0.908347
0.398411,0.017536,0.192358,0.004800,0.048769,0.114756,0.032673,0.066018,0.217383,0.019392,0.000736,0.001568,0.001249,0.000352,0.911067
0.413068,0.017857,0.193285,0.005280,0.049218,0.144260,0.033793,0.058818,0.240903,0.016577,0.000640,0.002016,0.001408,0.000544,0.948540
0.401707,0.017665,0.192358,0.004896,0.048481,0.114820,0.035201,0.064834,0.218599,0.016032,0.000768,0.001632,0.001120,0.000352,0.911738
0.396748,0.017824,0.192742,0.004896,0.049794,0.112995,0.039105,0.068802,0.223910,0.014369,0.000544,0.001728,0.001248,0.000448,0.911515
0.396811,0.017825,0.216006,0.005217,0.049409,0.125028,0.042177,0.062850,0.233799,0.016000,0.000736,0.001664,0.001504,0.000384,0.948668
0.396140,0.017696,0.193798,0.004896,0.047874,0.114627,0.032897,0.059426,0.209926,0.015136,0.000736,0.001536,0.001664,0.000417,0.896891
0.395660,0.018048,0.192934,0.004832,0.047554,0.114051,0.034273,0.064546,0.216006,0.014945,0.000768,0.001536,0.001184,0.000416,0.901179
0.397420,0.017633,0.192197,0.005057,0.049185,0.120836,0.033697,0.066210,0.223943,0.015520,0.000704,0.001504,0.001536,0.000384,0.912891
0.397004,0.017665,0.191877,0.004992,0.049378,0.112227,0.039233,0.067586,0.223910,0.015233,0.000832,0.001568,0.001504,0.000448,0.912539
0.396364,0.017601,0.192453,0.004992,0.048897,0.114755,0.033857,0.060354,0.211910,0.014913,0.000960,0.001536,0.001568,0.000384,0.898843
0.396460,0.017409,0.192165,0.005217,0.047777,0.116515,0.034689,0.064994,0.220391,0.014816,0.000512,0.001504,0.001152,0.000576,0.906747
0.418028,0.017793,0.192806,0.004832,0.047841,0.121380,0.034305,0.065026,0.223815,0.015360,0.000736,0.001696,0.001217,0.000384,0.931996
0.396364,0.018016,0.193190,0.005088,0.047650,0.111587,0.033025,0.064738,0.212390,0.015232,0.000736,0.001729,0.001120,0.000352,0.899291
0.396139,0.017633,0.192582,0.004896,0.047873,0.113444,0.039841,0.064194,0.220647,0.015456,0.000512,0.001696,0.000928,0.000352,0.905818
0.396299,0.017601,0.192614,0.004896,0.047745,0.109475,0.037666,0.088802,0.239111,0.014689,0.000480,0.001440,0.000960,0.000384,0.923483
0.396460,0.018176,0.192390,0.004896,0.047681,0.108516,0.037633,0.067874,0.216871,0.014432,0.000704,0.001472,0.000992,0.000320,0.901402
0.400556,0.017472,0.192390,0.005312,0.047361,0.113444,0.040513,0.067202,0.224615,0.014528,0.000705,0.001472,0.000928,0.000352,0.913915
0.397100,0.017729,0.192965,0.004960,0.047970,0.121060,0.037985,0.068386,0.230855,0.017824,0.000704,0.001472,0.001088,0.000384,0.920507
0.413004,0.017601,0.192133,0.004832,0.047042,0.111107,0.040001,0.066306,0.221990,0.015169,0.000512,0.001696,0.000960,0.000352,0.922523
0.399980,0.017505,0.192389,0.004896,0.047266,0.110115,0.040161,0.074147,0.227079,0.014336,0.000544,0.001536,0.001024,0.000352,0.913627
0.396780,0.017729,0.192677,0.004896,0.047234,0.111107,0.039073,0.071555,0.225127,0.014624,0.000768,0.001728,0.001024,0.000384,0.910075
0.396140,0.017440,0.192710,0.005280,0.046946,0.133380,0.041569,0.073186,0.251463,0.016225,0.000480,0.001472,0.000928,0.000384,0.936636
