Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396652,0.017441,0.191429,0.004832,0.113316,0.096771,0.065250,0.278665,0.000704,0.002912,0.001248,0.000384,0.901563
0.395660,0.017824,0.191430,0.004896,0.114147,0.102435,0.066370,0.286408,0.000769,0.002720,0.001280,0.000352,0.908827
0.394956,0.017952,0.191430,0.005312,0.107619,0.098498,0.085955,0.295689,0.000800,0.003008,0.001312,0.000448,0.918203
0.395596,0.017825,0.191045,0.004833,0.112867,0.102179,0.068290,0.286632,0.000736,0.002464,0.001280,0.000448,0.908283
0.395948,0.017888,0.191398,0.004800,0.107651,0.099075,0.062914,0.273064,0.000736,0.002368,0.001216,0.000448,0.894010
0.394635,0.017537,0.191430,0.004960,0.108259,0.097699,0.067394,0.276808,0.000800,0.002368,0.001280,0.000416,0.896410
0.415564,0.017440,0.191014,0.005280,0.110084,0.102659,0.065186,0.281289,0.000704,0.002240,0.001088,0.000384,0.921275
0.395372,0.017504,0.191206,0.004864,0.112227,0.096098,0.063010,0.274856,0.000736,0.002976,0.001216,0.000480,0.895867
0.395212,0.017408,0.191237,0.004896,0.107107,0.096930,0.062306,0.269736,0.000864,0.002208,0.001120,0.000416,0.890331
0.395596,0.017312,0.191302,0.004768,0.115107,0.103588,0.083650,0.305769,0.000768,0.003040,0.001280,0.000416,0.926843
0.397515,0.017440,0.192614,0.004928,0.119875,0.097667,0.065026,0.286536,0.000992,0.002977,0.001728,0.000416,0.913147
0.395531,0.017441,0.192038,0.004960,0.113987,0.097987,0.067906,0.283528,0.000736,0.002464,0.001248,0.000416,0.905722
0.398028,0.017984,0.191526,0.005312,0.113924,0.097891,0.070498,0.285769,0.000736,0.002720,0.001248,0.000480,0.910875
0.412716,0.017632,0.191750,0.004928,0.118820,0.102083,0.066402,0.290633,0.000768,0.002848,0.001248,0.000384,0.930203
0.396043,0.017280,0.191782,0.004896,0.113827,0.102723,0.065058,0.285032,0.000736,0.002944,0.001217,0.000384,0.907003
0.396620,0.017505,0.191461,0.004833,0.113859,0.097507,0.065634,0.280168,0.000704,0.002912,0.001152,0.000512,0.902235
0.398156,0.017249,0.191493,0.005280,0.114372,0.112163,0.107555,0.337610,0.000640,0.002657,0.001120,0.000416,0.961309
