Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416144,0.017889,0.676667,0.005376,0.049698,0.000992,0.013857,0.000352,0.001504,0.000896,0.000352,1.192367
0.415921,0.017440,0.690140,0.005376,0.049090,0.000768,0.013601,0.000352,0.001472,0.000960,0.000352,1.205072
0.415952,0.017505,0.687739,0.005217,0.047970,0.000832,0.013728,0.000384,0.001472,0.001120,0.000352,1.201839
0.416304,0.017825,0.663099,0.005568,0.048194,0.000864,0.013408,0.000384,0.001472,0.000929,0.000384,1.176879
0.415664,0.017761,0.705372,0.005312,0.048194,0.000768,0.013729,0.000352,0.001568,0.000992,0.000384,1.218544
0.416401,0.017408,0.695740,0.005600,0.050050,0.000896,0.013985,0.000352,0.001472,0.001024,0.000352,1.212752
0.415249,0.017537,0.676091,0.005472,0.050274,0.000864,0.014817,0.000320,0.001376,0.001056,0.000352,1.192464
0.431313,0.017729,0.676955,0.005312,0.048098,0.000800,0.013472,0.000384,0.001473,0.001024,0.000384,1.205840
0.415345,0.017697,0.666746,0.005377,0.052386,0.000800,0.013536,0.000384,0.001440,0.000992,0.000352,1.183663
0.415601,0.017441,0.675739,0.005280,0.047650,0.000736,0.013440,0.000353,0.001440,0.000928,0.000384,1.186864
0.415249,0.017761,0.699291,0.005601,0.047906,0.000832,0.013792,0.000320,0.001376,0.001280,0.000352,1.211536
0.415537,0.017569,0.699740,0.005376,0.048322,0.000864,0.013889,0.000352,0.001664,0.001184,0.000352,1.213169
0.415280,0.017952,0.699324,0.005408,0.048578,0.000800,0.013505,0.000352,0.001408,0.000992,0.000352,1.213872
0.415793,0.017665,0.677146,0.005632,0.048578,0.000832,0.013472,0.000352,0.001376,0.001152,0.000384,1.191152
0.416112,0.017793,0.685883,0.005345,0.048322,0.000800,0.013632,0.000384,0.001408,0.001024,0.000640,1.200399
0.415728,0.017665,0.687675,0.005441,0.048578,0.000864,0.013792,0.000352,0.001472,0.000992,0.000352,1.203247
0.416209,0.017761,0.712476,0.005376,0.049154,0.000800,0.013761,0.000384,0.001504,0.001024,0.000800,1.227793
0.416112,0.017857,0.676379,0.005312,0.049378,0.000832,0.013953,0.000352,0.001504,0.000992,0.000352,1.191567
0.447506,0.017632,0.676187,0.005505,0.048834,0.000832,0.013984,0.000352,0.001504,0.001120,0.000416,1.223568
0.415985,0.017697,0.669914,0.005504,0.048161,0.000864,0.013857,0.000352,0.001472,0.001056,0.000832,1.184495
0.415729,0.017537,0.686587,0.005504,0.048578,0.000800,0.013633,0.000352,0.001472,0.001056,0.000384,1.200240
