Layer[0],Layer[1],Layer[2],TEE[3-8],Layer[9],Layer[10],classifier
0.416016,0.017601,0.202536,0.251946,0.001376,0.000416,0.897635
0.416944,0.017569,0.202600,0.255690,0.001472,0.000416,0.902755
0.418993,0.017537,0.202312,0.260010,0.001312,0.000416,0.907812
0.462002,0.017633,0.202312,0.259690,0.001152,0.000384,0.949925
0.418961,0.017409,0.202536,0.249993,0.001121,0.000416,0.897636
0.419952,0.017536,0.202184,0.249258,0.001216,0.000384,0.897667
0.420433,0.017505,0.202504,0.284875,0.001472,0.000416,0.934885
0.419920,0.017697,0.202248,0.245834,0.001472,0.000480,0.894467
0.415920,0.017889,0.202536,0.254922,0.001184,0.000384,0.899459
0.416880,0.018176,0.202152,0.254794,0.001472,0.000352,0.901699
0.437681,0.017665,0.202312,0.254314,0.001216,0.000352,0.920900
0.415792,0.017633,0.202248,0.253034,0.001344,0.000448,0.898211
0.420368,0.017505,0.202344,0.257418,0.001312,0.000384,0.906211
0.421200,0.017665,0.202024,0.272651,0.001216,0.000384,0.921572
0.419760,0.017505,0.202280,0.258922,0.001344,0.000320,0.906531
0.420305,0.017569,0.201864,0.251721,0.001216,0.000416,0.900868
0.420848,0.017568,0.201960,0.256170,0.001280,0.000352,0.904803
0.439185,0.017569,0.202152,0.253065,0.001280,0.000416,0.921604
0.420241,0.017633,0.201992,0.250154,0.001184,0.000416,0.898404
0.415728,0.017601,0.203400,0.263050,0.001344,0.000640,0.909155
0.416176,0.017537,0.202216,0.278699,0.001120,0.000608,0.923364
0.416080,0.017665,0.202216,0.253290,0.001344,0.000384,0.899107
0.420112,0.017473,0.202184,0.257866,0.001216,0.000384,0.906147
0.419025,0.017633,0.201992,0.253449,0.001216,0.000416,0.900548
0.440369,0.017505,0.202280,0.267819,0.001376,0.000416,0.937125
0.418897,0.018241,0.202279,0.257387,0.001216,0.000448,0.906020
0.418864,0.017281,0.202120,0.247114,0.001184,0.000352,0.893283
0.415504,0.017505,0.202440,0.275083,0.001248,0.000320,0.919556
0.420625,0.017472,0.202024,0.256714,0.001248,0.000352,0.905059
0.415376,0.017665,0.202280,0.293515,0.001376,0.000417,0.938661
0.420657,0.017473,0.202151,0.251882,0.001184,0.000352,0.900196
0.436209,0.017569,0.203272,0.262698,0.001504,0.000480,0.930084
0.415504,0.017505,0.202312,0.261034,0.001216,0.000320,0.904515
0.415984,0.017697,0.202792,0.255882,0.001120,0.000320,0.900099
0.420817,0.017665,0.222536,0.259563,0.001184,0.000448,0.930213
0.417552,0.017568,0.202216,0.256234,0.001120,0.000384,0.901763
0.418833,0.017633,0.202247,0.245865,0.001152,0.000384,0.892931
0.420433,0.017665,0.202247,0.257738,0.001216,0.000384,0.906084
0.432945,0.017504,0.202631,0.253322,0.001120,0.000481,0.914340
0.416656,0.017761,0.202600,0.258250,0.001408,0.000384,0.904515
0.415888,0.017441,0.202664,0.260970,0.001248,0.000416,0.905027
0.415953,0.017664,0.219433,0.248970,0.001344,0.000384,0.911268
0.419985,0.017441,0.202120,0.257418,0.001152,0.000416,0.904452
0.419441,0.017536,0.202311,0.250826,0.001376,0.000448,0.898083
0.420017,0.017825,0.202408,0.261322,0.001280,0.000416,0.909444
0.415088,0.017601,0.202312,0.241161,0.001312,0.000416,0.884802
0.419857,0.017440,0.202920,0.247146,0.001152,0.000448,0.894787
0.416400,0.017313,0.202536,0.262314,0.001152,0.000352,0.906083
0.420273,0.017729,0.219624,0.259243,0.001248,0.000608,0.927109
0.416689,0.017536,0.202728,0.254314,0.001184,0.000384,0.900195
0.420209,0.017729,0.202440,0.248489,0.001217,0.000352,0.896356
0.415953,0.017761,0.202696,0.248265,0.001344,0.000352,0.892451
0.415568,0.017601,0.202440,0.233545,0.001280,0.000384,0.876706
0.415312,0.017697,0.203848,0.243977,0.001248,0.000416,0.887874
0.419664,0.017441,0.202280,0.257706,0.001088,0.000352,0.904803
0.415312,0.017377,0.202024,0.252522,0.001056,0.000352,0.894371
0.414768,0.017217,0.201928,0.246185,0.000992,0.000384,0.886595
0.415120,0.017217,0.202056,0.251082,0.001312,0.000384,0.892739
0.415408,0.017697,0.202056,0.284971,0.001248,0.000352,0.929188
0.429297,0.017761,0.203336,0.245545,0.001280,0.000384,0.905603
0.415857,0.017472,0.202152,0.277771,0.001184,0.000288,0.921092
0.416081,0.017600,0.202824,0.247242,0.001472,0.000352,0.893315
0.462418,0.017984,0.202632,0.275691,0.001088,0.000256,0.966886
0.416048,0.017665,0.202216,0.263690,0.001408,0.000416,0.909091
0.416145,0.017889,0.201896,0.264426,0.001440,0.000416,0.910276
