Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.415779,0.017472,0.203713,0.004928,0.046913,0.107296,0.063041,0.062272,0.235521,0.001280,0.000352,0.931526
0.415491,0.017440,0.202434,0.004928,0.047040,0.118657,0.050496,0.060865,0.233026,0.001120,0.000384,0.928231
0.414883,0.017345,0.202625,0.004896,0.046912,0.100865,0.051168,0.062593,0.217794,0.001088,0.000352,0.911879
0.415843,0.017536,0.202721,0.004928,0.047105,0.111297,0.051200,0.062400,0.228353,0.001152,0.000320,0.926598
0.418563,0.017568,0.204386,0.004800,0.047264,0.112769,0.056384,0.067713,0.240514,0.001408,0.000416,0.942119
0.432131,0.017568,0.202722,0.005056,0.048448,0.108481,0.048288,0.059648,0.219938,0.001472,0.000416,0.933927
0.415651,0.017312,0.203234,0.004896,0.048704,0.106561,0.051776,0.062241,0.223682,0.001376,0.000480,0.920999
0.415331,0.017536,0.202497,0.004864,0.047937,0.104928,0.053697,0.061760,0.223809,0.001312,0.000416,0.919462
0.414915,0.017216,0.219874,0.005024,0.047200,0.107457,0.052544,0.060257,0.223426,0.001248,0.000352,0.935335
0.414883,0.017440,0.203330,0.004960,0.047136,0.105825,0.056320,0.060833,0.226146,0.001280,0.000416,0.921319
0.414883,0.017312,0.202593,0.005024,0.047233,0.106912,0.062657,0.066880,0.239521,0.001344,0.000416,0.934086
