Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.413868,0.017569,0.129316,0.598450,0.071458,0.802680,0.002560,0.001120,0.000480,1.243973
0.396683,0.017633,0.123332,0.580113,0.065858,0.773271,0.003072,0.001408,0.000448,1.198723
0.396044,0.017504,0.137252,0.584242,0.093474,0.818552,0.005281,0.001088,0.000384,1.244005
0.400588,0.017601,0.131428,0.582161,0.066402,0.783799,0.005376,0.001184,0.000416,1.214596
0.395915,0.017761,0.131652,0.584337,0.066626,0.787639,0.002560,0.001056,0.000448,1.210435
0.395660,0.017440,0.134660,0.616723,0.087938,0.843033,0.003264,0.001121,0.000512,1.267014
0.396076,0.017537,0.123779,0.583089,0.065058,0.775318,0.005249,0.001184,0.000384,1.200932
0.395980,0.017473,0.123075,0.596466,0.067970,0.791639,0.003040,0.001024,0.000480,1.215332
0.411660,0.017825,0.135172,0.602514,0.070786,0.812216,0.002400,0.001344,0.000448,1.252357
0.396044,0.017504,0.138628,0.583666,0.065730,0.791832,0.002688,0.001184,0.000640,1.215716
0.396011,0.017377,0.136356,0.583793,0.067906,0.792375,0.003072,0.001056,0.000480,1.217156
0.396844,0.017377,0.124675,0.585234,0.068546,0.781943,0.002560,0.001376,0.000672,1.206500
0.396012,0.017632,0.123364,0.585169,0.065602,0.777687,0.003104,0.001152,0.000416,1.201571
0.395916,0.017504,0.130980,0.598290,0.077186,0.809816,0.003040,0.001152,0.000416,1.233541
0.400940,0.017377,0.133604,0.584017,0.066114,0.787127,0.003424,0.001312,0.000640,1.216708
0.395788,0.017536,0.126660,0.582609,0.069346,0.782039,0.003489,0.001024,0.000480,1.205732
0.400108,0.017568,0.123395,0.600338,0.110051,0.837368,0.003264,0.001120,0.000544,1.265733
0.396140,0.017440,0.118372,0.582353,0.067938,0.772087,0.003232,0.001312,0.000512,1.196163
0.396908,0.017344,0.127588,0.584242,0.068834,0.784632,0.002752,0.001280,0.000416,1.209604
0.414444,0.017568,0.127300,0.597778,0.068226,0.797080,0.003584,0.001152,0.000704,1.240260
0.403563,0.018208,0.182118,0.594609,0.070306,0.851001,0.004512,0.002913,0.000576,1.289190
0.396620,0.017952,0.144068,0.605810,0.082723,0.836281,0.003232,0.002368,0.000672,1.263301
0.395180,0.017600,0.129476,0.581297,0.065058,0.779287,0.003008,0.001280,0.000416,1.201315
0.399372,0.017344,0.133220,0.585650,0.064354,0.786296,0.002336,0.001056,0.000288,1.212132
0.395468,0.017505,0.130947,0.599921,0.082435,0.817016,0.004000,0.001120,0.000352,1.240741
0.394347,0.017505,0.131140,0.592241,0.067586,0.794295,0.002689,0.001184,0.000320,1.215652
0.394444,0.017409,0.120579,0.581041,0.064162,0.769270,0.004928,0.001152,0.000321,1.192548
0.413644,0.017569,0.120580,0.590737,0.066114,0.780759,0.004160,0.001024,0.000352,1.222980
0.417100,0.018497,0.145732,0.606034,0.070626,0.826200,0.002624,0.001440,0.000449,1.273094
0.395340,0.017441,0.135076,0.584369,0.066306,0.788919,0.003232,0.001248,0.000416,1.211332
0.399500,0.017472,0.131396,0.583890,0.064385,0.783031,0.002465,0.001120,0.000416,1.208644
0.399756,0.017409,0.137348,0.608178,0.064482,0.813208,0.002560,0.001440,0.000384,1.240549
0.395371,0.017409,0.129060,0.600977,0.071523,0.805208,0.002528,0.001152,0.000416,1.227236
0.399756,0.017601,0.118883,0.580145,0.063682,0.765654,0.004801,0.001024,0.000416,1.194244
0.399212,0.017376,0.124484,0.579601,0.062018,0.769719,0.003008,0.001152,0.000416,1.196419
0.400172,0.017344,0.154405,0.588529,0.069538,0.815800,0.002272,0.001120,0.000416,1.241732
0.399436,0.017537,0.136324,0.583089,0.071330,0.794519,0.002528,0.001056,0.000448,1.221348
0.396588,0.017632,0.124580,0.580113,0.069122,0.777431,0.002688,0.000992,0.000608,1.201188
0.438029,0.017377,0.138468,0.592497,0.064994,0.799511,0.002560,0.001216,0.000608,1.265958
0.399787,0.017505,0.125892,0.582065,0.064962,0.776055,0.002624,0.001120,0.000672,1.202659
0.399564,0.017793,0.135684,0.593041,0.079779,0.812152,0.002688,0.001344,0.000672,1.240549
0.399115,0.017377,0.133540,0.584049,0.063906,0.785015,0.002624,0.001120,0.000416,1.211715
0.399468,0.017633,0.136228,0.584785,0.066146,0.791191,0.002848,0.001088,0.000384,1.218116
0.395851,0.017633,0.132996,0.600050,0.082018,0.819192,0.005600,0.001056,0.000416,1.245444
0.395052,0.017664,0.133956,0.592274,0.086786,0.816664,0.002945,0.001152,0.000448,1.239525
0.399564,0.017408,0.145957,0.582833,0.067554,0.799736,0.003808,0.001184,0.000448,1.227972
0.418476,0.017729,0.136420,0.582737,0.065282,0.787831,0.002592,0.001024,0.000384,1.233860
0.399308,0.017792,0.138852,0.579858,0.067234,0.789624,0.004000,0.001280,0.000480,1.218148
0.400172,0.017473,0.139396,0.583473,0.067170,0.793751,0.002688,0.001344,0.000608,1.221988
0.399340,0.017537,0.136324,0.583985,0.068098,0.792055,0.002528,0.001120,0.000448,1.218340
0.395275,0.017537,0.128004,0.582929,0.067842,0.782359,0.003104,0.001216,0.000320,1.205699
0.399852,0.017632,0.138372,0.602258,0.105923,0.850297,0.002689,0.001152,0.000384,1.277478
0.395436,0.017664,0.135460,0.584849,0.075234,0.799160,0.003552,0.001152,0.000416,1.223108
0.394795,0.017824,0.129828,0.581617,0.064706,0.779831,0.002688,0.001344,0.000384,1.202179
0.399244,0.017440,0.127588,0.656403,0.087843,0.876730,0.002592,0.001056,0.000448,1.302854
0.395115,0.017313,0.131460,0.581553,0.063234,0.779735,0.002528,0.001152,0.000384,1.201603
0.395147,0.017504,0.133124,0.583345,0.066210,0.786039,0.002592,0.001184,0.000352,1.208419
0.412684,0.017665,0.139044,0.593361,0.069858,0.805688,0.002624,0.001248,0.000352,1.245989
0.401867,0.018304,0.126180,0.585361,0.066978,0.782167,0.002784,0.001248,0.000640,1.212995
0.394988,0.017536,0.133956,0.584434,0.095874,0.817976,0.002816,0.001216,0.000640,1.240965
0.396588,0.017665,0.133220,0.583985,0.067970,0.788599,0.002848,0.001344,0.000352,1.213380
0.396076,0.017696,0.137476,0.582961,0.068290,0.792152,0.002848,0.001088,0.000416,1.215940
0.395947,0.017857,0.135684,0.596818,0.075426,0.811640,0.002976,0.001216,0.000416,1.235620
0.395852,0.017728,0.131652,0.584273,0.069186,0.788535,0.002945,0.001184,0.000480,1.212260
0.395180,0.017601,0.122243,0.581137,0.068387,0.775223,0.002976,0.001088,0.000384,1.198084
