TEE[0-8],Layer[9],Layer[10],classifier
1.764243,0.001376,0.000672,1.772148
1.761651,0.001568,0.000640,1.770324
1.744435,0.001408,0.000608,1.751827
1.781492,0.001408,0.000448,1.788693
1.718449,0.001408,0.000608,1.726321
1.782708,0.001569,0.000448,1.791861
1.758675,0.001568,0.000448,1.766548
1.777364,0.001376,0.000384,1.784884
1.756275,0.001280,0.000384,1.764052
1.756403,0.001537,0.000416,1.765396
1.727218,0.001408,0.000416,1.734738
1.788981,0.001600,0.000384,1.798549
1.727218,0.001312,0.000736,1.735538
1.757299,0.001280,0.000608,1.764755
1.741938,0.001248,0.000608,1.748722
1.794165,0.001344,0.000480,1.800918
1.756595,0.001216,0.000416,1.763668
1.769364,0.001344,0.000416,1.776212
1.754515,0.001312,0.000608,1.762515
1.773492,0.001248,0.000640,1.780884
1.753010,0.001312,0.000640,1.762003
1.772116,0.001376,0.000640,1.780468
1.728881,0.001440,0.000672,1.737298
1.738578,0.001248,0.000384,1.745458
1.742771,0.001312,0.000384,1.749267
1.755795,0.001344,0.000384,1.763219
1.745267,0.001216,0.000416,1.752339
1.772948,0.001472,0.000416,1.780756
1.744850,0.001184,0.000416,1.751635
1.760051,0.001344,0.000384,1.767635
1.746003,0.001312,0.000416,1.753811
1.775316,0.001408,0.000416,1.782868
1.723025,0.001216,0.000352,1.730385
1.778644,0.001504,0.000416,1.787124
1.753555,0.001408,0.000352,1.762132
1.779796,0.001344,0.000384,1.787573
1.733938,0.001280,0.000608,1.741426
1.765907,0.001312,0.000416,1.773908
1.749490,0.001376,0.000384,1.757138
1.770067,0.001344,0.000480,1.777780
1.764595,0.001664,0.000608,1.772788
1.784148,0.001377,0.000352,1.792501
1.758099,0.001408,0.000608,1.766228
1.746739,0.001280,0.000448,1.754131
1.735954,0.001281,0.000608,1.743987
1.742962,0.001280,0.000416,1.750322
1.752243,0.001184,0.000384,1.759251
1.783476,0.001440,0.000384,1.790772
1.769811,0.001248,0.000417,1.776820
1.789428,0.001248,0.000416,1.796853
1.764435,0.001440,0.000704,1.771956
1.775155,0.001408,0.000448,1.783476
1.754099,0.001184,0.000416,1.761107
1.772947,0.001248,0.000352,1.780468
1.735154,0.001376,0.000480,1.743346
1.765203,0.001504,0.000416,1.773651
1.775188,0.001440,0.000416,1.782932
1.770996,0.001280,0.000352,1.777908
1.766867,0.001312,0.000416,1.774580
1.784148,0.001184,0.000416,1.791317
1.724145,0.001280,0.000448,1.731666
1.791668,0.001600,0.000672,1.799925
1.743698,0.001248,0.000416,1.749330
1.761459,0.001376,0.000384,1.768883
1.758803,0.001344,0.000416,1.766003
1.749522,0.001344,0.000416,1.756755
1.741618,0.001632,0.000384,1.749490
1.775892,0.001184,0.000416,1.782452
1.718161,0.001248,0.000384,1.724913
1.785716,0.001248,0.000416,1.792597
1.761075,0.001248,0.000416,1.768980
1.787605,0.001280,0.000352,1.794229
1.753843,0.001216,0.000384,1.760755
1.783893,0.001344,0.000384,1.791573
1.766867,0.001504,0.000448,1.774868
1.757427,0.001280,0.000384,1.764659
1.739058,0.001312,0.000416,1.746258
1.783060,0.001440,0.000416,1.791124
1.765780,0.001280,0.000384,1.772660
1.765811,0.001248,0.000512,1.774004
1.766708,0.001280,0.000416,1.774100
1.780819,0.001472,0.000416,1.789140
1.754963,0.001216,0.000416,1.761715
1.751442,0.001280,0.000416,1.757971
1.768660,0.001312,0.000384,1.774484
1.779636,0.001216,0.000384,1.786644
1.754035,0.001248,0.000416,1.760915
1.752242,0.001376,0.000480,1.759987
1.749042,0.001313,0.000352,1.756595
1.777204,0.001312,0.000416,1.783924
1.768787,0.001760,0.000481,1.777556
1.789269,0.001216,0.000384,1.795605
1.746835,0.001248,0.000384,1.753267
1.774068,0.001184,0.000416,1.780756
1.709840,0.001280,0.000385,1.716305
