Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.395820,0.017376,0.191366,0.004896,0.115972,0.101219,0.063778,0.284521,0.898715
0.398412,0.017888,0.192070,0.004864,0.116131,0.103971,0.064770,0.288681,0.907515
0.415533,0.017856,0.192646,0.004832,0.114179,0.109604,0.071362,0.298985,0.934684
0.395628,0.017952,0.191878,0.004896,0.113572,0.101379,0.064386,0.282921,0.897883
0.396332,0.017408,0.193062,0.004864,0.116931,0.106915,0.065922,0.293481,0.909659
0.396108,0.017600,0.191846,0.004864,0.115396,0.117923,0.071490,0.308585,0.924251
0.397771,0.017377,0.192934,0.004960,0.115843,0.107747,0.065378,0.292520,0.910075
0.397708,0.017377,0.192453,0.004865,0.109347,0.106179,0.069986,0.288968,0.906651
0.398476,0.017441,0.191621,0.004801,0.115875,0.107075,0.064930,0.291368,0.908443
0.425644,0.017697,0.192806,0.004928,0.121539,0.108355,0.073954,0.307337,0.953756
0.396716,0.017569,0.192357,0.004832,0.108004,0.101891,0.064770,0.278089,0.894299
0.399468,0.017664,0.192646,0.005184,0.114628,0.102179,0.067554,0.287945,0.909051
0.396492,0.017664,0.192646,0.004800,0.126788,0.099267,0.062434,0.292329,0.908699
0.397132,0.017633,0.191877,0.004864,0.108804,0.104995,0.070946,0.288649,0.905211
0.396684,0.017408,0.192070,0.004864,0.112196,0.107747,0.069378,0.292873,0.908795
0.396812,0.017537,0.191845,0.004897,0.113667,0.106947,0.068802,0.292872,0.908859
0.423053,0.017441,0.192133,0.004800,0.118436,0.102883,0.063970,0.288937,0.931772
0.396012,0.017344,0.191814,0.004800,0.140132,0.113220,0.063938,0.320906,0.935644
0.396684,0.017824,0.192070,0.005152,0.125444,0.100291,0.062914,0.292137,0.908475
0.396364,0.017344,0.209543,0.005216,0.121571,0.108260,0.066626,0.299977,0.934812
0.396396,0.017312,0.191590,0.004832,0.111299,0.103043,0.065026,0.283080,0.897946
0.397675,0.017633,0.192198,0.005056,0.118499,0.105924,0.065185,0.293320,0.912315
0.396108,0.017728,0.191814,0.005152,0.111588,0.112035,0.065730,0.293097,0.908731
0.396267,0.017665,0.192230,0.005312,0.118147,0.104227,0.064034,0.289960,0.906042
0.396940,0.017568,0.192102,0.004800,0.109379,0.103939,0.063618,0.280553,0.896699
0.396780,0.017504,0.191078,0.004800,0.101283,0.101539,0.069826,0.275816,0.891162
0.396460,0.017537,0.211302,0.004960,0.108323,0.109475,0.068802,0.290313,0.925500
0.396715,0.017569,0.191750,0.004960,0.108995,0.108771,0.065378,0.286472,0.902106
0.399212,0.017600,0.194886,0.004832,0.140356,0.107620,0.070754,0.322922,0.945084
0.399115,0.017793,0.191942,0.005088,0.114179,0.102947,0.066466,0.287304,0.906298
0.397963,0.017953,0.191558,0.005056,0.110595,0.104963,0.070850,0.290344,0.907706
0.397004,0.017824,0.191942,0.004896,0.118308,0.109891,0.072034,0.304617,0.922203
0.397836,0.017856,0.191814,0.005184,0.116547,0.110468,0.067938,0.298729,0.916443
0.413805,0.017632,0.192454,0.004864,0.114340,0.110435,0.072610,0.300649,0.934876
0.394956,0.017441,0.192485,0.004897,0.117475,0.102755,0.064418,0.288488,0.903067
0.395596,0.017440,0.192006,0.004832,0.112612,0.104643,0.065538,0.286185,0.900795
0.396076,0.017601,0.191717,0.004864,0.110436,0.129316,0.081026,0.325002,0.939580
0.396811,0.017536,0.191686,0.004864,0.107171,0.102563,0.063810,0.277224,0.892794
