Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.395052,0.017504,0.191238,0.004992,0.047970,0.000608,0.013792,0.000384,0.101539,0.038913,0.059458,0.202918,0.000608,0.882202
0.394732,0.017472,0.208966,0.005057,0.048641,0.000640,0.013792,0.000352,0.104868,0.045025,0.060258,0.213063,0.000640,0.910299
0.394859,0.017761,0.191974,0.004928,0.048257,0.000800,0.013697,0.000416,0.112163,0.037729,0.058658,0.211878,0.000672,0.893690
0.394668,0.017472,0.191910,0.004992,0.048418,0.000640,0.013568,0.000384,0.105571,0.038241,0.059074,0.205926,0.000800,0.885434
0.394572,0.017504,0.191301,0.005056,0.047906,0.000640,0.013600,0.000640,0.108995,0.037474,0.066626,0.216359,0.000608,0.894683
0.410380,0.017408,0.192102,0.004864,0.049090,0.000576,0.013568,0.000384,0.107907,0.037889,0.058690,0.207782,0.000640,0.903610
0.395372,0.017536,0.191686,0.005120,0.048450,0.000576,0.013664,0.000352,0.107779,0.034817,0.056513,0.202246,0.000672,0.882746
0.395980,0.017440,0.191782,0.005024,0.048290,0.000576,0.013632,0.000416,0.106403,0.038017,0.058946,0.206470,0.000576,0.887450
0.394380,0.017280,0.208998,0.005184,0.049441,0.000608,0.013601,0.000384,0.104995,0.044449,0.060354,0.212998,0.000608,0.911195
0.395564,0.017472,0.191494,0.005024,0.047970,0.000608,0.013536,0.000416,0.106307,0.038017,0.058722,0.206054,0.000640,0.885146
0.394924,0.017536,0.191686,0.005216,0.048130,0.000640,0.013696,0.000352,0.112548,0.037793,0.059618,0.213415,0.000608,0.893499
0.394572,0.017441,0.191461,0.005153,0.047681,0.000704,0.013888,0.000576,0.109028,0.037857,0.058850,0.209127,0.000544,0.887771
0.411852,0.017729,0.191430,0.005216,0.048577,0.000544,0.013697,0.000544,0.111939,0.037345,0.059810,0.212358,0.000768,0.910331
0.394892,0.017408,0.191494,0.004992,0.049089,0.000800,0.014657,0.000576,0.109475,0.038369,0.058754,0.210022,0.000672,0.891354
0.395179,0.017568,0.191910,0.005056,0.048033,0.000576,0.013825,0.000384,0.106851,0.037889,0.059010,0.206918,0.000608,0.886874
0.394539,0.017345,0.191782,0.004928,0.066850,0.000640,0.013920,0.000416,0.110788,0.049281,0.060578,0.223783,0.000608,0.922139
0.395019,0.017408,0.192102,0.004896,0.048993,0.000576,0.013665,0.000384,0.100803,0.035969,0.060066,0.199846,0.000608,0.880154
0.395083,0.017505,0.191877,0.004832,0.048609,0.000576,0.013729,0.000384,0.107587,0.035777,0.058050,0.204774,0.000608,0.885530
0.395116,0.017345,0.191525,0.004865,0.048801,0.000608,0.013696,0.000384,0.109475,0.045057,0.059650,0.217767,0.000576,0.898171
0.410348,0.017568,0.192038,0.004896,0.048034,0.000832,0.013504,0.000352,0.108067,0.037473,0.058466,0.207238,0.000480,0.901594
0.395948,0.017312,0.191654,0.004864,0.049026,0.000576,0.013600,0.000416,0.106339,0.038049,0.059554,0.206918,0.000544,0.887802
0.395532,0.017376,0.191686,0.004864,0.048162,0.000800,0.013504,0.000384,0.110083,0.038274,0.061473,0.213350,0.000672,0.893434
0.394956,0.017536,0.191974,0.005120,0.048193,0.000640,0.013537,0.000352,0.128196,0.042785,0.059490,0.234279,0.000672,0.914395
0.394187,0.017377,0.191814,0.004896,0.049441,0.000768,0.013601,0.000384,0.106723,0.039649,0.063938,0.213286,0.000672,0.893114
0.394732,0.017440,0.191590,0.004928,0.047906,0.000768,0.013536,0.000384,0.108035,0.038818,0.058881,0.209094,0.000640,0.887738
0.395308,0.017248,0.191462,0.005152,0.049474,0.000640,0.013536,0.000384,0.107459,0.045474,0.060321,0.216326,0.000608,0.896762
0.410860,0.017537,0.191814,0.004832,0.048897,0.000608,0.013569,0.000416,0.106115,0.046561,0.061826,0.219174,0.000672,0.915515
0.394828,0.017600,0.191910,0.004832,0.048386,0.000544,0.013504,0.000448,0.109443,0.038017,0.058690,0.209478,0.000608,0.889434
