Layer[0],TEE[1-10],classifier
0.453906,0.701372,1.226129
0.415377,0.735805,1.226769
0.415248,0.740510,1.227921
0.416656,0.721181,1.211312
0.415889,0.712284,1.198160
0.416145,0.760862,1.246066
0.415952,0.740158,1.228336
0.415857,0.696156,1.178927
0.415825,0.726685,1.211632
0.416081,0.706140,1.197328
0.415376,0.711741,1.203472
0.433106,0.698427,1.198672
0.414512,0.733438,1.228593
0.414993,0.747614,1.235121
0.415792,0.736606,1.225745
0.415633,0.723741,1.207569
0.415088,0.733246,1.226961
0.415504,0.711709,1.201007
0.415409,0.709404,1.194192
0.415889,0.721597,1.209552
0.416048,0.696252,1.179663
0.415792,0.704732,1.192751
0.414673,0.756318,1.236913
0.417744,0.716061,1.205904
0.417489,0.708540,1.211409
0.430417,0.707868,1.211792
0.416016,0.711548,1.197808
0.415888,0.695292,1.198608
0.415824,0.704317,1.187919
0.416208,0.700732,1.184527
0.415377,0.729053,1.212593
0.415408,0.704284,1.193775
0.415217,0.697148,1.179119
0.416144,0.731102,1.224657
0.415665,0.708892,1.192432
0.416209,0.711324,1.196112
0.431730,0.712540,1.212465
0.415793,0.706844,1.198064
0.416497,0.706428,1.191280
0.416177,0.704540,1.194064
0.415664,0.702268,1.185359
0.415664,0.734493,1.225744
0.415984,0.705756,1.188207
0.416240,0.719389,1.205072
0.416273,0.726141,1.211857
0.416113,0.696668,1.183247
0.415632,0.715069,1.204880
0.416912,0.719037,1.206448
0.416368,0.703324,1.192751
0.416081,0.705020,1.189840
0.445330,0.706716,1.220209
0.415793,0.704476,1.187920
0.417104,0.707068,1.192271
0.417233,0.691483,1.174383
0.416336,0.706236,1.196815
0.416753,0.723036,1.214448
0.416144,0.713693,1.201935
0.416752,0.709052,1.193359
0.415888,0.752382,1.243729
0.416081,0.744958,1.232369
0.415152,0.710941,1.202159
0.436977,0.742110,1.250162
0.416656,0.716541,1.206576
0.416720,0.705981,1.195951
0.417648,0.701756,1.193711
0.416592,0.712284,1.198896
0.416593,0.735069,1.222097
0.417393,0.712252,1.199440
0.416048,0.701084,1.183599
0.415984,0.738557,1.232177
0.416176,0.729405,1.214864
0.416305,0.734589,1.216752
0.436594,0.713084,1.218033
0.415761,0.705948,1.190095
0.416177,0.705468,1.194480
0.430833,0.713724,1.212337
0.415601,0.694875,1.177551
0.416464,0.708604,1.198960
0.415953,0.708444,1.191855
0.416657,0.700924,1.182543
0.415953,0.727933,1.212945
0.416209,0.708188,1.197040
0.418001,0.720956,1.211088
0.417137,0.748574,1.238418
0.416209,0.701564,1.185295
0.416496,0.714876,1.201936
0.433009,0.702012,1.202576
0.417361,0.708732,1.195536
0.416305,0.710236,1.196912
0.447250,0.695868,1.216689
0.416464,0.696700,1.179535
0.415953,0.714428,1.222161
0.416241,0.745406,1.231761
0.416144,0.735357,1.218128
0.415824,0.718365,1.206992
0.416177,0.708828,1.193296
0.416177,0.706652,1.188655
0.416112,0.722524,1.211312
0.416656,0.704956,1.187183
0.415697,0.726173,1.208336
0.434257,0.705692,1.212144
0.416112,0.705564,1.194479
0.416688,0.711068,1.197808
0.416721,0.739549,1.227825
0.415696,0.697692,1.199632
0.417201,0.760542,1.252626
0.415857,0.707900,1.192944
0.416017,0.708572,1.195248
0.416048,0.722781,1.207312
0.416529,0.704828,1.189487
0.415889,0.707612,1.193648
0.434993,0.695484,1.197391
0.416208,0.712285,1.198831
0.416689,0.706012,1.192495
0.432305,0.728253,1.231057
0.417041,0.710364,1.195792
0.416113,0.705244,1.220785
0.415568,0.704604,1.192495
0.416560,0.693820,1.178479
0.416432,0.724701,1.214608
0.423504,0.769918,1.273363
0.417585,0.718909,1.217649
0.443442,0.715933,1.226641
0.415696,0.709596,1.193903
0.416209,0.703708,1.189744
0.433329,0.700860,1.200464
0.416753,0.710108,1.195056
0.416112,0.706844,1.214832
0.414993,0.698235,1.180751
0.417297,0.707196,1.193296
0.415697,0.719997,1.207313
0.416560,0.712860,1.200592
0.416241,0.706204,1.190224
0.416400,0.716157,1.205296
0.416304,0.702364,1.184463
0.416464,0.697019,1.180815
0.435057,0.709405,1.212912
0.415952,0.706844,1.189487
0.415601,0.704284,1.186128
0.432722,0.707292,1.219345
0.415537,0.692155,1.174479
0.415985,0.711772,1.219697
0.416336,0.724381,1.227569
0.415472,0.695228,1.181871
0.415664,0.760223,1.250162
0.414961,0.711708,1.196368
0.415985,0.701692,1.183343
0.415440,0.722109,1.210096
0.416208,0.690140,1.177103
0.416272,0.693627,1.174127
0.432337,0.714397,1.216272
0.416304,0.708349,1.194607
0.416240,0.709468,1.195792
0.416272,0.693756,1.180815
0.415824,0.711229,1.197743
0.416081,0.718749,1.205136
0.424401,0.738749,1.254642
0.415600,0.730493,1.213136
0.417617,0.734205,1.219921
0.416432,0.709660,1.199120
0.414993,0.732669,1.218289
0.433650,0.713724,1.217393
0.415953,0.708540,1.193232
0.416209,0.706044,1.194064
0.432722,0.707676,1.206672
0.415761,0.704604,1.193872
0.415313,0.706492,1.210577
0.415632,0.725181,1.212304
0.415665,0.703676,1.187088
0.415312,0.719741,1.206577
0.415569,0.701436,1.182255
0.416273,0.710268,1.193263
0.415888,0.721661,1.209456
0.415761,0.706492,1.187632
0.416657,0.691963,1.174927
0.433170,0.704732,1.202448
0.415952,0.707165,1.192111
0.415569,0.727261,1.211953
