Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.416912,0.017345,0.201928,0.005312,0.048834,0.194503,0.001984,0.000992,0.000448,0.894499
0.431889,0.017889,0.202056,0.004992,0.049826,0.188103,0.002177,0.000896,0.000608,0.904196
0.415632,0.017377,0.202440,0.005440,0.049666,0.197896,0.002144,0.000864,0.000320,0.898531
0.415632,0.017281,0.201896,0.005248,0.049730,0.185159,0.002112,0.000928,0.000384,0.885090
0.416240,0.017729,0.201992,0.005216,0.049634,0.211176,0.002305,0.000832,0.000352,0.913476
0.415537,0.017664,0.202120,0.005025,0.049505,0.192296,0.002080,0.000992,0.000576,0.892291
0.416336,0.017697,0.201992,0.004960,0.048898,0.186247,0.001952,0.000896,0.000352,0.886082
0.415696,0.017889,0.202184,0.005216,0.048450,0.200744,0.002016,0.001056,0.000416,0.900227
0.432689,0.017920,0.202120,0.005248,0.048354,0.196808,0.002112,0.000960,0.000352,0.913539
0.416688,0.017665,0.201928,0.005216,0.048930,0.196071,0.001952,0.000961,0.000384,0.896003
0.416368,0.017793,0.202152,0.005248,0.049090,0.191560,0.001952,0.000992,0.000384,0.892163
0.415696,0.017152,0.202056,0.005024,0.049250,0.207336,0.001985,0.001216,0.000384,0.905956
0.416752,0.017473,0.202248,0.005248,0.048674,0.201480,0.002016,0.000864,0.000352,0.901795
0.415377,0.017248,0.202056,0.005216,0.049089,0.192424,0.002048,0.000960,0.000384,0.891267
0.416368,0.017761,0.202120,0.005248,0.049602,0.194568,0.002016,0.000960,0.000576,0.896515
0.434161,0.017792,0.202344,0.005216,0.049378,0.187624,0.002016,0.001024,0.000416,0.906436
0.416177,0.017312,0.202248,0.004992,0.048994,0.196072,0.002240,0.000928,0.000608,0.896675
0.416624,0.017824,0.202024,0.005024,0.049250,0.194312,0.002112,0.001024,0.000576,0.895715
0.415952,0.017249,0.202280,0.005248,0.048226,0.221417,0.002176,0.000992,0.000608,0.921124
0.416720,0.017473,0.201832,0.005120,0.048674,0.180615,0.002272,0.000960,0.000576,0.880898
0.415440,0.017793,0.202248,0.005312,0.047842,0.193095,0.002080,0.001024,0.000448,0.891779
0.415376,0.017473,0.201896,0.005024,0.048578,0.189352,0.002080,0.000960,0.000384,0.887715
0.432401,0.017985,0.202408,0.005216,0.048354,0.191400,0.002016,0.000896,0.000384,0.908068
0.415601,0.017601,0.201991,0.005217,0.049186,0.196103,0.002144,0.000960,0.000577,0.895588
0.415696,0.017729,0.201864,0.004768,0.049506,0.193895,0.002144,0.001056,0.000640,0.894339
0.415984,0.017889,0.201640,0.004832,0.047874,0.191432,0.002016,0.001024,0.000416,0.889891
0.416432,0.017473,0.201768,0.004768,0.048674,0.201352,0.002240,0.001056,0.000384,0.901347
0.415664,0.017281,0.201928,0.004800,0.048930,0.196840,0.002016,0.000960,0.000384,0.895523
0.416177,0.017504,0.202728,0.004801,0.049153,0.196616,0.001952,0.001024,0.000608,0.897475
0.434673,0.017345,0.201735,0.004864,0.049122,0.198503,0.002177,0.000992,0.000384,0.916548
0.415345,0.017856,0.201672,0.004801,0.048033,0.198024,0.001888,0.001024,0.000352,0.896131
0.415216,0.017409,0.201960,0.004800,0.048098,0.185927,0.001953,0.000992,0.000384,0.883395
0.415313,0.017728,0.202056,0.004736,0.048610,0.188424,0.002016,0.001088,0.000384,0.887395
0.416976,0.017537,0.202664,0.004800,0.049602,0.192904,0.002048,0.000960,0.000576,0.894595
0.415121,0.017888,0.202087,0.004801,0.049186,0.194791,0.002048,0.000928,0.000576,0.894435
0.415312,0.017249,0.202088,0.004832,0.048642,0.185511,0.002176,0.001024,0.000576,0.883875
0.416752,0.047842,0.202760,0.004800,0.049474,0.194600,0.002048,0.000928,0.000384,0.927044
0.415920,0.017281,0.201608,0.004832,0.048834,0.192679,0.002048,0.001024,0.000416,0.890723
0.415472,0.017473,0.202120,0.004800,0.048290,0.186471,0.001952,0.000960,0.000384,0.884098
0.415696,0.017601,0.202152,0.004864,0.049186,0.189063,0.002145,0.000960,0.000384,0.888835
0.415952,0.017217,0.202184,0.004800,0.048962,0.181735,0.002144,0.000897,0.000352,0.880451
0.415952,0.017281,0.202056,0.004832,0.048642,0.188488,0.002208,0.000992,0.000352,0.886947
0.416016,0.017473,0.201928,0.004832,0.049250,0.186631,0.001985,0.000864,0.000352,0.885475
0.415440,0.017473,0.215880,0.005184,0.048802,0.186632,0.001920,0.001024,0.000384,0.899107
0.415280,0.017441,0.205160,0.004832,0.047970,0.181319,0.002016,0.000960,0.000384,0.881986
0.417264,0.017313,0.202824,0.004864,0.048962,0.191431,0.002017,0.000992,0.000384,0.892707
0.415408,0.017664,0.202056,0.004832,0.049250,0.194184,0.002208,0.001024,0.000416,0.894403
0.432369,0.017728,0.202152,0.004993,0.048930,0.191847,0.002016,0.000960,0.000448,0.908003
0.416368,0.017697,0.201960,0.005248,0.048930,0.195687,0.002113,0.000928,0.000608,0.896451
0.415504,0.017984,0.202088,0.005472,0.049058,0.187272,0.002112,0.000864,0.000384,0.887331
0.415216,0.017249,0.218152,0.004992,0.048898,0.192616,0.001984,0.000960,0.000320,0.907459
0.415376,0.017889,0.202248,0.004800,0.047810,0.198631,0.002049,0.001408,0.000384,0.897251
0.415760,0.017409,0.202312,0.005216,0.047234,0.200391,0.002049,0.000960,0.000352,0.898179
0.416464,0.017665,0.202280,0.005088,0.047970,0.203976,0.002112,0.001152,0.000608,0.903939
0.432049,0.017664,0.201768,0.004832,0.048482,0.196168,0.001824,0.001024,0.000384,0.911075
0.415536,0.017249,0.202088,0.004800,0.048738,0.191239,0.001952,0.000960,0.000384,0.888707
0.415888,0.017824,0.202440,0.005216,0.048770,0.200552,0.002080,0.001088,0.000352,0.902019
0.415568,0.017633,0.202088,0.005248,0.067971,0.193703,0.001985,0.000992,0.000416,0.911844
0.414832,0.017857,0.202216,0.005056,0.048866,0.193448,0.001920,0.000992,0.000416,0.892131
0.415665,0.017216,0.203112,0.005217,0.048481,0.187112,0.002112,0.000960,0.000384,0.886723
0.416081,0.017537,0.202087,0.005249,0.047938,0.189831,0.002016,0.000896,0.000640,0.888867
0.429937,0.017569,0.202184,0.004992,0.046978,0.180871,0.002272,0.000896,0.000416,0.892803
0.415472,0.017761,0.202632,0.005280,0.046946,0.193927,0.002240,0.000928,0.000352,0.892322
0.415728,0.017473,0.203048,0.005216,0.049154,0.197352,0.002144,0.000960,0.000384,0.898499
0.415344,0.017825,0.201896,0.005088,0.048866,0.214920,0.002144,0.000960,0.000352,0.914051
0.416048,0.017408,0.202472,0.005312,0.047714,0.197288,0.002272,0.000992,0.000576,0.897283
0.415472,0.017665,0.202056,0.005056,0.048130,0.195592,0.002144,0.000992,0.000352,0.894915
0.415408,0.017697,0.202760,0.005024,0.048482,0.185479,0.002176,0.000992,0.000352,0.884994
0.431505,0.017536,0.202664,0.004993,0.048769,0.207113,0.001984,0.000992,0.000416,0.922532
0.416112,0.017281,0.202216,0.005216,0.048962,0.191240,0.001920,0.000928,0.000608,0.890723
0.414961,0.017856,0.201704,0.004992,0.048066,0.184040,0.001760,0.000928,0.000608,0.881411
0.415920,0.017697,0.201800,0.005248,0.047586,0.218345,0.001888,0.000960,0.000352,0.916516
0.415120,0.017665,0.202024,0.004800,0.047298,0.174567,0.001888,0.000864,0.000800,0.871650
0.415152,0.017345,0.202088,0.004832,0.047362,0.186759,0.001824,0.000993,0.000416,0.882755
0.415248,0.017185,0.201992,0.004800,0.048898,0.188423,0.002048,0.000896,0.000416,0.885826
0.446193,0.017441,0.202344,0.004768,0.047458,0.178887,0.001856,0.000992,0.000384,0.906467
0.416753,0.017729,0.202247,0.004833,0.047202,0.194407,0.001920,0.000928,0.000384,0.893603
0.417073,0.017344,0.202056,0.004864,0.047458,0.181607,0.001953,0.000992,0.000384,0.880227
0.414960,0.017505,0.201800,0.004864,0.049090,0.177703,0.001920,0.000864,0.000608,0.875586
0.416081,0.017440,0.202216,0.004897,0.048129,0.194920,0.001984,0.000992,0.000608,0.893731
0.415824,0.017889,0.201832,0.004896,0.047458,0.186951,0.002016,0.000993,0.000352,0.885251
0.416433,0.017600,0.202343,0.004833,0.047746,0.191719,0.002080,0.000896,0.000416,0.890627
0.434481,0.018657,0.201832,0.004896,0.049250,0.192008,0.002048,0.000896,0.000480,0.911940
0.416016,0.017825,0.201896,0.005280,0.048770,0.196296,0.002144,0.000992,0.000352,0.896067
0.414673,0.017664,0.201832,0.005184,0.048578,0.199656,0.002048,0.000960,0.000608,0.898435
0.415664,0.017857,0.202472,0.005248,0.048642,0.207592,0.002112,0.000960,0.000353,0.908292
0.416816,0.017633,0.201896,0.005216,0.049506,0.191783,0.002048,0.001024,0.000577,0.894019
0.416209,0.017473,0.202087,0.005025,0.048994,0.188135,0.002208,0.000960,0.000576,0.889027
0.416176,0.017473,0.203080,0.005280,0.048482,0.186888,0.002048,0.000960,0.000384,0.887715
0.431921,0.017697,0.202632,0.004800,0.048066,0.202216,0.002016,0.001024,0.000320,0.917636
0.415504,0.017441,0.202024,0.004992,0.048322,0.185511,0.002080,0.000960,0.000352,0.884098
0.416144,0.017632,0.203240,0.004992,0.048642,0.185128,0.002080,0.000960,0.000320,0.886179
0.415889,0.017601,0.202535,0.004833,0.048610,0.196231,0.002144,0.000928,0.000384,0.896164
0.416400,0.017760,0.202536,0.005248,0.047970,0.193608,0.002016,0.000960,0.000384,0.894403
0.416624,0.017473,0.202056,0.005024,0.048098,0.196616,0.002144,0.000960,0.000320,0.896291
0.415920,0.017217,0.201768,0.004768,0.048354,0.195912,0.001984,0.000960,0.000576,0.893475
0.415344,0.017888,0.220137,0.004992,0.047746,0.183399,0.002048,0.001280,0.000384,0.901123
0.416976,0.017537,0.201928,0.004832,0.048546,0.190119,0.002112,0.000960,0.000416,0.890114
0.416304,0.020833,0.202344,0.004832,0.048898,0.193096,0.002048,0.000896,0.000352,0.895971
0.415536,0.017473,0.202216,0.005056,0.048994,0.192935,0.002048,0.000896,0.000384,0.892515
0.415281,0.017632,0.201896,0.004801,0.048898,0.192231,0.001952,0.000864,0.000352,0.890499
0.416368,0.018337,0.201768,0.004864,0.048002,0.204616,0.001984,0.000800,0.000384,0.903107
