Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.419729,0.017345,0.204648,0.004832,0.221128,0.013824,0.000512,0.001472,0.000928,0.000416,0.892931
0.415280,0.017409,0.201832,0.004992,0.257514,0.013857,0.000512,0.001472,0.000992,0.000384,0.922724
0.420176,0.017345,0.203080,0.004864,0.224361,0.014273,0.000480,0.001472,0.001152,0.000384,0.896963
0.420273,0.017377,0.202919,0.004768,0.216680,0.013921,0.000512,0.001536,0.001056,0.000352,0.887331
0.419793,0.017440,0.202120,0.004992,0.221897,0.015777,0.000512,0.001504,0.000992,0.000352,0.894019
0.415409,0.017248,0.203112,0.004832,0.228649,0.014176,0.000512,0.001440,0.000960,0.000384,0.894851
0.415408,0.017345,0.217257,0.005152,0.241961,0.014817,0.000512,0.001504,0.000960,0.000384,0.922884
0.420209,0.017600,0.202312,0.004865,0.225992,0.015808,0.000576,0.001472,0.001056,0.000384,0.898019
0.416144,0.017313,0.202184,0.004832,0.219177,0.015456,0.000480,0.001472,0.001057,0.000320,0.886115
0.415888,0.017249,0.202248,0.004896,0.215400,0.015393,0.000480,0.001472,0.000992,0.000320,0.882306
0.420048,0.017281,0.201992,0.004800,0.217257,0.015808,0.000448,0.001473,0.001024,0.000320,0.889091
0.419985,0.017345,0.201768,0.004832,0.222312,0.014112,0.000448,0.001408,0.000992,0.000288,0.890659
0.419505,0.017568,0.201800,0.004961,0.227080,0.014880,0.000480,0.001504,0.000928,0.000352,0.897571
0.415504,0.017409,0.232169,0.005056,0.236745,0.014272,0.000416,0.001440,0.000896,0.000416,0.933124
0.419601,0.017344,0.201768,0.005056,0.225577,0.013889,0.000960,0.001504,0.000928,0.000384,0.894883
0.419504,0.017472,0.201896,0.004896,0.223913,0.014017,0.000512,0.001536,0.001120,0.000384,0.893731
0.415280,0.017473,0.202216,0.004864,0.226697,0.016097,0.000480,0.001504,0.000960,0.000352,0.893955
0.421648,0.017345,0.202984,0.004800,0.235401,0.014337,0.000480,0.001440,0.001088,0.000608,0.909443
0.416209,0.017440,0.203368,0.004832,0.222793,0.014049,0.000544,0.001536,0.001088,0.000832,0.890019
0.420080,0.017697,0.202472,0.004832,0.223433,0.014049,0.000512,0.001440,0.000928,0.000416,0.893955
