Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.419825,0.017664,0.201992,0.005281,0.047521,0.000801,0.013664,0.112420,0.887395
0.439857,0.017761,0.202215,0.005408,0.049186,0.000832,0.013504,0.121925,0.920452
0.420273,0.017504,0.202184,0.004864,0.048002,0.000800,0.013601,0.120325,0.898531
0.420337,0.017697,0.201928,0.004800,0.047074,0.000608,0.013536,0.144934,0.928869
0.420721,0.017536,0.202152,0.004929,0.047137,0.000544,0.013632,0.158726,0.947621
0.415952,0.017633,0.202504,0.004800,0.047522,0.000832,0.013665,0.120228,0.895331
0.420176,0.017665,0.202280,0.005248,0.048098,0.000800,0.013761,0.123621,0.902787
0.417552,0.017761,0.202216,0.005312,0.047810,0.000800,0.013537,0.119716,0.899299
0.432337,0.017601,0.202312,0.005280,0.048130,0.000832,0.013536,0.123845,0.913988
0.417840,0.017568,0.202344,0.005120,0.048962,0.000832,0.013505,0.112612,0.887459
0.417553,0.017792,0.202888,0.004832,0.048738,0.000800,0.013601,0.127301,0.906052
0.420688,0.017601,0.202152,0.021921,0.049154,0.000640,0.013568,0.132358,0.930628
0.416048,0.017505,0.203048,0.004864,0.049538,0.000800,0.013505,0.113156,0.890211
0.420017,0.017856,0.202535,0.005249,0.048194,0.000768,0.013472,0.120741,0.899587
0.420145,0.017536,0.201992,0.005248,0.048322,0.000832,0.013377,0.119013,0.895395
0.433969,0.017761,0.202664,0.005216,0.048962,0.000864,0.013536,0.121925,0.916420
0.420816,0.017537,0.204200,0.005056,0.049346,0.000832,0.013409,0.118884,0.899555
0.420272,0.017537,0.202088,0.005248,0.047842,0.000576,0.013377,0.124037,0.901923
0.420176,0.017440,0.221609,0.005440,0.048162,0.000576,0.013505,0.120708,0.917764
0.418577,0.017537,0.202024,0.005088,0.049026,0.000576,0.013440,0.121285,0.901092
0.420752,0.017633,0.201640,0.005248,0.047426,0.000576,0.013632,0.118661,0.894403
0.420528,0.017696,0.201736,0.004832,0.048194,0.000608,0.013441,0.119653,0.897251
0.420433,0.017696,0.202119,0.004801,0.048386,0.000576,0.013408,0.119205,0.901091
0.417328,0.017537,0.202024,0.005024,0.048610,0.000576,0.013377,0.122277,0.896291
0.420624,0.017697,0.201992,0.005280,0.048194,0.000608,0.013377,0.120804,0.898595
0.416976,0.017697,0.226377,0.005024,0.048706,0.000832,0.013440,0.123621,0.925732
0.421041,0.017536,0.202856,0.004833,0.049058,0.000864,0.013504,0.120389,0.898595
0.416432,0.017536,0.202376,0.005248,0.048482,0.001056,0.013505,0.119621,0.894403
0.419248,0.017632,0.201832,0.005280,0.048066,0.000800,0.013505,0.116548,0.891107
0.416208,0.017761,0.202056,0.005216,0.048418,0.000608,0.013473,0.122373,0.897059
0.420401,0.017504,0.202504,0.004833,0.047777,0.000800,0.013441,0.110884,0.885635
0.420369,0.017473,0.202023,0.004800,0.047362,0.000832,0.013472,0.120805,0.898051
0.417200,0.017472,0.220713,0.005504,0.047938,0.000640,0.013409,0.127013,0.921316
0.420784,0.017601,0.201960,0.004832,0.048386,0.000608,0.013441,0.122180,0.900963
0.422320,0.017793,0.201960,0.005216,0.048098,0.000800,0.013633,0.119780,0.902211
0.418320,0.017760,0.203048,0.005056,0.048385,0.000832,0.013697,0.128229,0.913252
