TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.162529,0.018306,0.203057,0.005280,0.047172,0.000576,0.013474,0.000384,0.001472,0.001120,0.000384,1.462810
1.202757,0.018401,0.202993,0.005505,0.047204,0.000576,0.013473,0.000384,0.001504,0.001056,0.000385,1.502846
1.177570,0.018530,0.203793,0.005537,0.047396,0.000576,0.013889,0.000384,0.001504,0.001216,0.000352,1.480059
1.223622,0.018530,0.205457,0.005568,0.049636,0.000832,0.014337,0.000352,0.001824,0.001280,0.000384,1.531616
1.185635,0.018434,0.205201,0.005120,0.048773,0.000832,0.014273,0.000384,0.001664,0.001408,0.000576,1.491356
1.191555,0.017793,0.204433,0.005409,0.048548,0.000800,0.014177,0.000352,0.001600,0.001312,0.000384,1.495068
1.211653,0.017889,0.204305,0.005249,0.048388,0.000768,0.013985,0.000384,0.001536,0.001472,0.000352,1.514494
1.174209,0.018529,0.222131,0.005408,0.048708,0.000832,0.014017,0.000352,0.001568,0.001280,0.000576,1.497149
1.181955,0.018370,0.203601,0.005472,0.049604,0.001025,0.014081,0.000384,0.001472,0.001216,0.000576,1.486524
1.181026,0.018337,0.205169,0.005185,0.048644,0.000800,0.014209,0.000384,0.001825,0.001280,0.000352,1.485980
1.199652,0.017857,0.204369,0.005089,0.048420,0.000768,0.013793,0.000384,0.001568,0.001184,0.000416,1.502301
1.191907,0.017761,0.204465,0.005249,0.049284,0.000768,0.013793,0.000384,0.001568,0.001120,0.000352,1.495612
1.211045,0.017794,0.204753,0.005312,0.048996,0.000768,0.013698,0.000448,0.001472,0.001056,0.000384,1.514078
1.205861,0.017761,0.203409,0.005249,0.048676,0.000800,0.013537,0.000416,0.001440,0.001024,0.000352,1.507230
1.201412,0.017761,0.203312,0.005377,0.049316,0.000832,0.013697,0.000416,0.001569,0.001056,0.000384,1.503453
1.195268,0.017794,0.204273,0.005280,0.049540,0.000832,0.013634,0.000352,0.001376,0.001120,0.000384,1.498301
1.170561,0.017794,0.203921,0.005088,0.048324,0.000576,0.013410,0.000352,0.018337,0.001216,0.000352,1.489116
1.208869,0.017921,0.203729,0.005121,0.047812,0.000576,0.013377,0.000352,0.001376,0.000992,0.000608,1.508861
1.174754,0.017537,0.204145,0.005281,0.047812,0.000576,0.013409,0.000352,0.001408,0.001024,0.000384,1.475163
1.192676,0.017633,0.204177,0.005153,0.046948,0.000576,0.013409,0.000384,0.001440,0.000992,0.000352,1.491709
1.175042,0.017697,0.204497,0.005056,0.047236,0.000576,0.013377,0.000384,0.001440,0.001057,0.000352,1.475099
1.229702,0.017729,0.204433,0.005057,0.048580,0.000576,0.013473,0.000384,0.001440,0.001024,0.000608,1.531711
1.181154,0.017602,0.204017,0.005024,0.049348,0.000576,0.013826,0.000352,0.001472,0.001024,0.000384,1.484315
1.188867,0.017954,0.222322,0.005217,0.048804,0.000800,0.013537,0.000352,0.001472,0.001056,0.000384,1.509822
1.182050,0.017953,0.203473,0.005088,0.047555,0.000608,0.013409,0.000352,0.001440,0.001088,0.000320,1.481755
1.224326,0.017857,0.204432,0.005120,0.048612,0.000992,0.013377,0.000416,0.001409,0.001088,0.000352,1.526431
1.190851,0.017538,0.203601,0.005280,0.047300,0.000992,0.013409,0.000384,0.001441,0.001056,0.000320,1.490268
1.160256,0.017506,0.204113,0.005056,0.047396,0.000576,0.013442,0.000384,0.001376,0.001024,0.000384,1.459865
1.242311,0.017698,0.203600,0.005280,0.048868,0.000928,0.013441,0.000384,0.001441,0.000992,0.000384,1.543201
1.179842,0.017666,0.203441,0.005088,0.047172,0.000576,0.013377,0.000384,0.001472,0.000992,0.000384,1.478779
1.224070,0.017505,0.203057,0.005313,0.047108,0.000576,0.013377,0.000384,0.001344,0.001024,0.000352,1.521822
1.194628,0.017729,0.203985,0.005089,0.047012,0.001056,0.013409,0.000384,0.001376,0.001024,0.000352,1.494140
1.173825,0.018017,0.204209,0.005217,0.049540,0.000608,0.014113,0.000352,0.001568,0.001441,0.000352,1.477915
1.169601,0.017634,0.203857,0.005088,0.048676,0.000608,0.013505,0.000352,0.001441,0.001248,0.000384,1.471578
1.203108,0.023298,0.203793,0.005024,0.050148,0.000576,0.013409,0.000352,0.001408,0.001120,0.000352,1.511037
1.234310,0.017858,0.204177,0.005056,0.048996,0.000545,0.013377,0.000416,0.001440,0.001024,0.000352,1.536639
1.181410,0.017697,0.204017,0.005057,0.047492,0.000768,0.013409,0.000352,0.001472,0.001088,0.000352,1.481051
1.216549,0.017794,0.204305,0.005408,0.047684,0.000577,0.013409,0.000352,0.001408,0.000992,0.000384,1.517022
1.205412,0.018017,0.204177,0.005249,0.048356,0.000544,0.013921,0.000352,0.001440,0.001184,0.000384,1.508285
1.176386,0.018338,0.221170,0.005249,0.048516,0.000800,0.014113,0.000352,0.001600,0.000992,0.000352,1.497533
1.197636,0.017794,0.203697,0.005376,0.049188,0.000704,0.013729,0.000385,0.001504,0.001088,0.000384,1.499741
1.205316,0.017634,0.203153,0.005248,0.048580,0.000544,0.013538,0.000384,0.001408,0.001152,0.000576,1.506717
1.181602,0.017825,0.203537,0.005057,0.048228,0.000800,0.013537,0.000384,0.001376,0.000992,0.000352,1.482331
