Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.397228,0.162821,0.603666,0.064161,0.834713,0.002464,0.001184,0.000672,1.240773
0.419852,0.163301,0.614162,0.068642,0.851481,0.002720,0.001281,0.000672,1.282310
0.396331,0.158757,0.606482,0.064962,0.834361,0.002912,0.001216,0.000640,1.240388
0.401324,0.152517,0.626610,0.074530,0.858297,0.002913,0.001248,0.000672,1.269670
0.401996,0.188774,0.605810,0.067778,0.867674,0.002944,0.001344,0.000704,1.279334
0.402508,0.147493,0.615858,0.071714,0.839065,0.002656,0.001088,0.000640,1.250949
0.401324,0.166501,0.624594,0.065889,0.861274,0.002912,0.001312,0.000672,1.272966
0.397932,0.172517,0.603922,0.063682,0.844345,0.002464,0.001152,0.000416,1.250981
0.402188,0.152197,0.605298,0.064546,0.826489,0.002720,0.001248,0.000416,1.238053
0.402348,0.160357,0.604242,0.066914,0.835417,0.002528,0.001248,0.000416,1.246597
0.402860,0.158948,0.604082,0.067170,0.834616,0.002560,0.001217,0.000416,1.246533
0.680436,0.173414,0.638291,0.072130,0.890779,0.002944,0.001216,0.000384,1.582287
0.397356,0.155428,0.604946,0.067138,0.831416,0.002528,0.001185,0.000416,1.237477
0.396876,0.177925,0.605394,0.064738,0.852313,0.002976,0.001056,0.000416,1.257957
0.418636,0.156516,0.614354,0.065410,0.840088,0.002944,0.000961,0.000384,1.267686
0.398764,0.176549,0.599890,0.061985,0.841785,0.002336,0.001312,0.000416,1.249253
0.398892,0.156836,0.621779,0.093059,0.877434,0.002208,0.001024,0.000480,1.285062
0.399884,0.170437,0.605362,0.064226,0.844505,0.002528,0.001248,0.000448,1.253701
0.396108,0.162405,0.601554,0.063009,0.830873,0.002752,0.000992,0.000352,1.236325
0.395372,0.157317,0.616754,0.088067,0.866362,0.002816,0.001056,0.000384,1.270982
0.396332,0.153349,0.602386,0.073474,0.834233,0.003008,0.001184,0.000576,1.240197
0.396524,0.164420,0.601873,0.069922,0.840024,0.002753,0.001088,0.000576,1.245829
0.414253,0.177797,0.616114,0.064898,0.863801,0.002976,0.001088,0.000576,1.287302
0.395595,0.176102,0.602834,0.062689,0.845529,0.002241,0.000832,0.000320,1.249061
0.407212,0.151300,0.627923,0.083843,0.867546,0.002176,0.000896,0.000288,1.282630
0.396364,0.164421,0.600690,0.061378,0.830329,0.003104,0.001024,0.000352,1.235877
0.395820,0.175205,0.601618,0.062594,0.843193,0.003104,0.001120,0.000288,1.247973
0.396331,0.150149,0.619570,0.072898,0.846457,0.002944,0.001056,0.000416,1.252134
0.396652,0.141636,0.600082,0.062466,0.807864,0.004480,0.001056,0.000384,1.214916
0.395532,0.174117,0.611506,0.069346,0.858905,0.003072,0.001216,0.000416,1.263621
0.412492,0.148932,0.610546,0.068322,0.832793,0.003008,0.001216,0.000416,1.254437
0.395628,0.151812,0.600018,0.060898,0.816600,0.002336,0.000992,0.000352,1.220516
0.395947,0.145509,0.601041,0.081442,0.831865,0.002144,0.000992,0.000384,1.235332
0.396268,0.174725,0.603314,0.065442,0.847161,0.002784,0.001120,0.000352,1.252229
0.395724,0.174213,0.602770,0.065474,0.846169,0.005216,0.000992,0.000288,1.252837
0.395980,0.165029,0.617426,0.087203,0.873306,0.002816,0.001056,0.000416,1.278342
0.396171,0.155365,0.600594,0.066210,0.826073,0.002656,0.001120,0.000384,1.231556
0.396107,0.176966,0.602034,0.063618,0.846234,0.002304,0.001088,0.000608,1.250725
0.424109,0.154820,0.610834,0.065858,0.835128,0.003040,0.001153,0.000384,1.268390
0.395500,0.163076,0.601073,0.062626,0.830680,0.003072,0.001088,0.000352,1.234948
0.395852,0.146053,0.601841,0.062690,0.814200,0.002240,0.000960,0.000352,1.217829
0.401036,0.219334,0.616466,0.088194,0.928763,0.002593,0.001184,0.000288,1.338952
0.396491,0.164549,0.603314,0.063522,0.835321,0.002816,0.001152,0.000320,1.241028
0.395788,0.166565,0.620178,0.070018,0.860890,0.003040,0.001120,0.000320,1.266022
0.395820,0.164453,0.617106,0.067330,0.852985,0.002689,0.001184,0.000320,1.257638
0.400012,0.167077,0.601746,0.064226,0.837049,0.002240,0.001024,0.000320,1.244997
0.422253,0.153092,0.613458,0.070626,0.841016,0.004993,0.001088,0.000384,1.274342
0.396684,0.186438,0.602193,0.065122,0.857977,0.002785,0.001056,0.000416,1.263558
0.396268,0.178821,0.621234,0.075139,0.879098,0.004992,0.001152,0.000384,1.286918
0.396300,0.178854,0.599601,0.061730,0.843673,0.002432,0.001056,0.000384,1.248197
0.400396,0.172037,0.617554,0.068930,0.863833,0.002817,0.001120,0.000416,1.274950
0.401259,0.172613,0.614162,0.069154,0.860057,0.003552,0.001056,0.000608,1.271173
0.401516,0.177221,0.603378,0.063458,0.847865,0.003328,0.001024,0.000640,1.258501
0.395500,0.146564,0.602066,0.072482,0.824888,0.002688,0.001088,0.000672,1.229349
0.416972,0.161285,0.602226,0.064738,0.831801,0.002240,0.001088,0.000448,1.257413
0.396428,0.163717,0.602642,0.074594,0.845081,0.002720,0.001120,0.000640,1.250277
0.399884,0.155909,0.620242,0.108356,0.888475,0.002752,0.001024,0.000640,1.297479
0.396332,0.157957,0.602226,0.063969,0.828152,0.002272,0.000960,0.000416,1.232453
0.395307,0.177317,0.600530,0.071842,0.853561,0.002688,0.000896,0.000352,1.257221
0.400460,0.139204,0.621907,0.086402,0.851673,0.003040,0.001121,0.000320,1.261446
0.399628,0.150500,0.603122,0.068258,0.827320,0.003008,0.001281,0.000480,1.238693
0.401452,0.152709,0.618098,0.065250,0.840537,0.003168,0.001280,0.000352,1.251557
0.412652,0.172838,0.613298,0.066146,0.856666,0.003008,0.001216,0.000416,1.278502
0.401003,0.162980,0.600658,0.062114,0.829464,0.002336,0.001120,0.000640,1.239076
0.399532,0.170501,0.618451,0.097251,0.891259,0.002944,0.001120,0.000448,1.300999
0.400076,0.189446,0.599474,0.061665,0.854425,0.003073,0.001088,0.000480,1.263750
0.399308,0.169925,0.602674,0.063650,0.840217,0.002336,0.001184,0.000448,1.247749
0.400492,0.187109,0.614579,0.065666,0.871354,0.003104,0.001216,0.000416,1.281190
0.394956,0.158533,0.600914,0.062721,0.826328,0.002305,0.001024,0.000416,1.229317
0.400716,0.161541,0.599730,0.064737,0.829944,0.002337,0.001056,0.000416,1.238885
