Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.399852,0.017664,0.139236,0.570705,0.067618,0.780983,0.015297,0.000512,0.001504,0.001088,0.000640,1.224324
0.396235,0.017568,0.150309,0.580433,0.068802,0.803736,0.015552,0.000544,0.001568,0.001184,0.000640,1.243844
0.399276,0.017760,0.144261,0.570449,0.066818,0.784984,0.014880,0.000512,0.001504,0.000992,0.000384,1.226276
0.399339,0.017697,0.143972,0.567921,0.068834,0.784343,0.014497,0.000576,0.001504,0.000928,0.000384,1.225188
0.400428,0.017280,0.137796,0.585170,0.072834,0.799192,0.015680,0.000480,0.001440,0.000960,0.000641,1.242309
0.395180,0.017536,0.138948,0.566993,0.076162,0.785591,0.014529,0.000480,0.001536,0.001184,0.000384,1.222756
0.399468,0.017408,0.134660,0.588178,0.089346,0.815704,0.015425,0.000544,0.001568,0.001216,0.000352,1.258437
0.399788,0.017505,0.137924,0.571601,0.068642,0.781687,0.015456,0.000512,0.001536,0.001184,0.000384,1.225253
0.395212,0.017601,0.134692,0.573201,0.071234,0.783991,0.014848,0.000512,0.001600,0.001152,0.000384,1.221477
0.399724,0.017536,0.160037,0.588017,0.071106,0.823225,0.015456,0.000544,0.001568,0.001248,0.000352,1.266533
0.399628,0.017536,0.136004,0.569169,0.069570,0.778231,0.015425,0.000544,0.001440,0.001248,0.000384,1.221284
0.399660,0.017601,0.138596,0.572817,0.069282,0.784343,0.015169,0.000512,0.001568,0.001120,0.000640,1.227109
0.416556,0.017696,0.141989,0.588081,0.076418,0.809912,0.014753,0.000480,0.001504,0.001120,0.000352,1.268677
0.401355,0.017632,0.135652,0.570961,0.068322,0.778615,0.014689,0.000480,0.001600,0.001440,0.000640,1.223204
0.399372,0.017601,0.153444,0.590386,0.091746,0.840057,0.014656,0.000512,0.001600,0.001184,0.000640,1.281990
0.400940,0.017600,0.132964,0.571569,0.069250,0.777367,0.015265,0.000544,0.001504,0.001216,0.000544,1.221764
0.395435,0.017345,0.136516,0.573585,0.070018,0.783703,0.014816,0.000480,0.001536,0.001184,0.000320,1.221540
0.400716,0.017665,0.152580,0.600882,0.067746,0.825016,0.015873,0.000544,0.001568,0.001248,0.000320,1.270438
0.395403,0.017601,0.131748,0.573937,0.068962,0.778263,0.015648,0.000544,0.001633,0.001248,0.000384,1.217188
0.396171,0.017665,0.125860,0.568817,0.069826,0.767959,0.014880,0.000480,0.001504,0.001248,0.000384,1.206595
0.415276,0.017697,0.178213,0.582641,0.077122,0.841880,0.015040,0.000576,0.001568,0.001216,0.000416,1.300934
0.397772,0.017664,0.132004,0.574705,0.067138,0.777335,0.014913,0.000544,0.001536,0.001184,0.000416,1.218340
0.396107,0.017280,0.133508,0.590354,0.079106,0.806392,0.014656,0.000704,0.001600,0.001313,0.000384,1.244901
0.396012,0.017408,0.125988,0.567249,0.067778,0.764503,0.015456,0.000480,0.001569,0.001248,0.000384,1.203620
0.400012,0.018049,0.127619,0.580786,0.066786,0.778935,0.015392,0.000704,0.001600,0.001280,0.000384,1.223716
0.399916,0.017664,0.135012,0.592146,0.104739,0.835673,0.015137,0.000608,0.001536,0.001088,0.000384,1.278406
0.397644,0.017377,0.125283,0.572305,0.067330,0.768342,0.014529,0.000544,0.001568,0.001184,0.000416,1.207972
