Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.415811,0.024544,0.202913,0.005248,0.047073,0.000608,0.013440,0.104800,0.033537,0.056096,0.197793,0.002080,0.000960,0.000480,0.917542
0.419523,0.017312,0.202625,0.005248,0.048033,0.000576,0.013408,0.106977,0.033312,0.057696,0.200801,0.001824,0.001056,0.000384,0.917638
0.432099,0.017504,0.202818,0.005216,0.047392,0.000608,0.013344,0.105889,0.030528,0.056065,0.195362,0.002080,0.001088,0.000416,0.924839
0.416963,0.017248,0.202401,0.005312,0.046977,0.000576,0.013440,0.106656,0.030529,0.055456,0.195713,0.002016,0.000992,0.000352,0.908902
0.416931,0.017536,0.202209,0.005152,0.047329,0.000544,0.013312,0.098945,0.029952,0.062688,0.194369,0.001824,0.000992,0.000384,0.907750
0.416483,0.017248,0.238594,0.005280,0.046976,0.000608,0.013376,0.113569,0.034400,0.059681,0.210530,0.001920,0.001024,0.000352,0.959783
0.420611,0.017280,0.202177,0.005248,0.047009,0.000576,0.013408,0.107681,0.032640,0.057056,0.200385,0.001856,0.001248,0.000352,0.917542
0.415747,0.017248,0.202722,0.004960,0.046976,0.000864,0.013312,0.099201,0.031456,0.055104,0.188545,0.001888,0.001088,0.000320,0.901094
0.416259,0.017312,0.202082,0.005280,0.046880,0.000576,0.013440,0.103873,0.038336,0.059777,0.205026,0.002080,0.001120,0.000320,0.916839
0.419395,0.017504,0.202945,0.005280,0.046945,0.000608,0.013376,0.101600,0.031009,0.058912,0.194241,0.002784,0.000928,0.000320,0.911206
0.414947,0.017376,0.202369,0.005056,0.046977,0.000576,0.013344,0.107233,0.032960,0.057504,0.200833,0.002112,0.000992,0.000320,0.911750
0.414851,0.017280,0.202754,0.005280,0.046816,0.000576,0.013376,0.105889,0.032896,0.057857,0.199522,0.002080,0.000992,0.000320,0.910439
