Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417553,0.017568,0.202376,0.005313,0.257482,0.000704,0.001920,0.000992,0.000352,0.911876
0.416176,0.017409,0.202280,0.005312,0.249194,0.000672,0.002144,0.000896,0.000416,0.901571
0.416112,0.017505,0.202216,0.005344,0.253610,0.000896,0.001920,0.000768,0.000384,0.906627
0.416240,0.017761,0.204456,0.005472,0.241866,0.000800,0.002208,0.001248,0.000416,0.898179
0.415473,0.017568,0.202728,0.005248,0.244458,0.000640,0.002560,0.001024,0.000320,0.897123
0.415728,0.017537,0.201768,0.005312,0.262378,0.000864,0.002720,0.000960,0.000416,0.916675
0.436401,0.017697,0.202184,0.005056,0.257994,0.000864,0.002112,0.000832,0.000320,0.931332
0.417488,0.017505,0.202856,0.005312,0.251978,0.000672,0.002048,0.001152,0.000416,0.908803
0.422737,0.017696,0.202664,0.005281,0.229193,0.000704,0.002336,0.000896,0.000384,0.889507
0.422193,0.017632,0.201800,0.005313,0.243433,0.000704,0.002112,0.001120,0.000352,0.902563
0.422256,0.017601,0.202952,0.005280,0.246602,0.000704,0.001984,0.001088,0.000416,0.906339
