Layer[0],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415857,0.722335,0.005472,0.048226,0.000608,0.013729,0.000384,0.001600,0.001248,0.000416,1.219476
0.415986,0.689310,0.005888,0.048290,0.000576,0.013569,0.000352,0.001568,0.001152,0.000352,1.185523
0.415761,0.708510,0.005920,0.048354,0.000832,0.013568,0.000352,0.001504,0.001248,0.000384,1.205460
0.416050,0.751937,0.005536,0.048386,0.000576,0.013473,0.000384,0.001504,0.001216,0.000352,1.248822
0.419635,0.730015,0.005601,0.048802,0.000576,0.014432,0.000320,0.001696,0.001792,0.000384,1.237078
0.417362,0.710430,0.005472,0.048386,0.000800,0.014113,0.000384,0.001568,0.001568,0.000352,1.212084
0.435827,0.697886,0.005728,0.048738,0.000640,0.013665,0.000384,0.001568,0.001440,0.000384,1.215861
0.416786,0.699006,0.005792,0.048418,0.000800,0.014401,0.000416,0.001632,0.001152,0.000384,1.198483
0.415922,0.698751,0.005568,0.048418,0.000608,0.013793,0.000384,0.001600,0.001248,0.000352,1.195860
0.417202,0.704702,0.005633,0.048322,0.000576,0.013632,0.000384,0.001569,0.001472,0.000352,1.202772
0.415762,0.714463,0.005408,0.048578,0.000576,0.013505,0.000352,0.001632,0.001088,0.000384,1.210836
0.415538,0.735647,0.005377,0.048290,0.000576,0.013792,0.000321,0.001536,0.001152,0.000384,1.231765
0.418226,0.740896,0.005568,0.048322,0.000800,0.013793,0.000384,0.001568,0.001280,0.000384,1.240597
0.415506,0.742272,0.005473,0.048354,0.000832,0.013504,0.000384,0.001600,0.001216,0.000384,1.239158
0.415826,0.713631,0.005728,0.048514,0.000576,0.013441,0.000320,0.001568,0.001152,0.000352,1.211092
0.416018,0.699966,0.005440,0.048450,0.001024,0.013473,0.000352,0.001568,0.001184,0.000384,1.197524
0.415729,0.745248,0.005408,0.048290,0.000832,0.013345,0.000352,0.001632,0.001152,0.000384,1.241302
0.428498,0.711039,0.005504,0.048354,0.000576,0.013441,0.000384,0.001568,0.001216,0.000384,1.220276
0.416658,0.702622,0.005537,0.048354,0.001056,0.013760,0.000384,0.001536,0.001248,0.000352,1.200244
0.415794,0.708190,0.005472,0.063011,0.000896,0.013665,0.000384,0.001632,0.001088,0.000416,1.220469
0.416466,0.734016,0.005504,0.048098,0.000832,0.013505,0.000384,0.001568,0.001152,0.000384,1.230197
0.416466,0.718207,0.005728,0.048674,0.000800,0.013760,0.000352,0.001632,0.001568,0.000352,1.218645
0.416370,0.799459,0.005728,0.048482,0.000832,0.013921,0.000384,0.001600,0.001152,0.000416,1.301752
0.416754,0.695710,0.005792,0.048386,0.000672,0.013569,0.000384,0.001568,0.001088,0.000384,1.194036
0.416626,0.708607,0.005472,0.048098,0.000608,0.013441,0.000352,0.001600,0.001088,0.000352,1.205556
0.434035,0.703071,0.005536,0.048706,0.000832,0.013761,0.000352,0.001568,0.001248,0.000352,1.219733
0.415473,0.707518,0.005568,0.048482,0.000609,0.013504,0.000384,0.001600,0.001120,0.000384,1.203539
0.415922,0.706942,0.005537,0.048802,0.000864,0.013536,0.000384,0.001569,0.001152,0.000384,1.204180
0.416690,0.709535,0.005472,0.048674,0.000832,0.013921,0.000320,0.001472,0.000928,0.000384,1.207508
0.416274,0.681597,0.005440,0.048515,0.000800,0.013856,0.000352,0.001600,0.001184,0.000352,1.178866
0.416050,0.706271,0.005504,0.048578,0.000576,0.013825,0.000352,0.001536,0.001152,0.000352,1.202548
0.415634,0.684446,0.005696,0.048482,0.001024,0.013793,0.000416,0.001504,0.001120,0.000384,1.180659
0.692222,0.718687,0.005504,0.048194,0.000800,0.013824,0.000384,0.001600,0.001248,0.000384,1.492576
0.430322,0.703679,0.005472,0.048418,0.000544,0.013537,0.000352,0.001600,0.001056,0.000288,1.214356
0.416306,0.707422,0.005633,0.048386,0.000800,0.013632,0.000384,0.001537,0.000928,0.000352,1.204276
0.417266,0.703870,0.005505,0.048034,0.000800,0.013632,0.000384,0.001600,0.001024,0.000289,1.201844
0.430035,0.682205,0.005472,0.048322,0.000480,0.013472,0.000352,0.001536,0.000992,0.000384,1.192371
0.416786,0.696606,0.005473,0.048194,0.000800,0.013408,0.000352,0.001536,0.001056,0.000288,1.193972
0.416210,0.709279,0.005504,0.067267,0.000832,0.013729,0.000384,0.001568,0.001344,0.000416,1.226709
0.416049,0.708862,0.005600,0.048483,0.000800,0.013344,0.000384,0.001504,0.001152,0.000256,1.204787
0.415858,0.665628,0.005537,0.048674,0.000512,0.013600,0.000384,0.001537,0.000896,0.000384,1.161714
0.415698,0.698782,0.005536,0.048418,0.000576,0.013601,0.000352,0.001568,0.000992,0.000352,1.194419
0.415474,0.701631,0.005632,0.048162,0.000576,0.013377,0.000352,0.001536,0.001056,0.000416,1.196340
0.415314,0.705375,0.005408,0.048386,0.000480,0.013569,0.000384,0.001536,0.001088,0.000256,1.200340
0.416018,0.716767,0.005344,0.048802,0.000576,0.013633,0.000384,0.001504,0.001024,0.000352,1.212980
0.416882,0.699614,0.005696,0.049762,0.000608,0.013409,0.000352,0.001504,0.001024,0.000384,1.198196
0.415986,0.736224,0.008577,0.048866,0.000576,0.013408,0.000384,0.001505,0.000896,0.000352,1.235286
0.447924,0.688061,0.005761,0.048642,0.000544,0.013632,0.000353,0.001568,0.001120,0.000384,1.217749
0.416210,0.704894,0.005824,0.048482,0.000480,0.013313,0.000352,0.001440,0.000928,0.000384,1.200627
0.415058,0.688542,0.005440,0.048290,0.000480,0.013345,0.000384,0.001536,0.001024,0.000352,1.182099
0.415346,0.701407,0.005504,0.048194,0.000544,0.013665,0.000352,0.001536,0.001120,0.000352,1.196532
0.415666,0.673757,0.005504,0.048194,0.000576,0.013313,0.000352,0.001504,0.001056,0.000288,1.168882
0.416658,0.686142,0.005376,0.065251,0.000960,0.013633,0.000352,0.001504,0.000960,0.000352,1.200436
0.414962,0.693502,0.005409,0.048002,0.000448,0.013312,0.000352,0.001536,0.000992,0.000288,1.186772
0.415858,0.701086,0.005377,0.047554,0.000608,0.013344,0.000384,0.001504,0.001024,0.000352,1.195124
0.417266,0.729439,0.005440,0.047906,0.000640,0.013344,0.000416,0.001440,0.001056,0.000320,1.227221
0.417458,0.733951,0.005664,0.048354,0.000576,0.013729,0.000416,0.001824,0.001696,0.000576,1.236117
0.418002,0.705183,0.005728,0.049250,0.000832,0.013985,0.000384,0.001504,0.001184,0.000352,1.205556
0.438323,0.783074,0.006688,0.049378,0.001024,0.014112,0.000352,0.001952,0.002113,0.000608,1.310905
0.417330,0.715742,0.006145,0.048354,0.000736,0.013984,0.000384,0.001632,0.001216,0.000288,1.214901
0.416722,0.699486,0.005632,0.048610,0.000608,0.013953,0.000416,0.001504,0.001088,0.000384,1.196115
0.416082,0.712447,0.005472,0.048322,0.000544,0.013537,0.000352,0.001408,0.000992,0.000352,1.207924
0.416178,0.719647,0.005409,0.048482,0.000736,0.013408,0.000384,0.001537,0.001152,0.000384,1.215381
0.416017,0.729663,0.005248,0.049859,0.000544,0.013536,0.000384,0.001472,0.001152,0.000352,1.227252
0.415698,0.696126,0.005536,0.049410,0.000992,0.013409,0.000416,0.001536,0.001056,0.000384,1.194003
0.416274,0.703838,0.005600,0.048707,0.000576,0.013376,0.000352,0.001472,0.000992,0.000384,1.199667
0.416242,0.734112,0.005312,0.047714,0.000545,0.013408,0.000352,0.001440,0.001120,0.000352,1.228597
0.416114,0.699070,0.005409,0.048450,0.000544,0.013376,0.000352,0.001473,0.001088,0.000352,1.195604
0.415633,0.735487,0.005216,0.047523,0.000544,0.013568,0.000384,0.001536,0.001088,0.000384,1.229236
0.431155,0.728575,0.005664,0.047650,0.000576,0.013377,0.000384,0.001472,0.001088,0.000384,1.239958
0.415122,0.732736,0.005408,0.047554,0.000576,0.013569,0.000384,0.001536,0.001120,0.000384,1.226389
0.416146,0.703711,0.005408,0.047522,0.000576,0.013601,0.000384,0.001536,0.001120,0.000384,1.199028
0.416562,0.736672,0.005312,0.047618,0.000768,0.013441,0.000352,0.001472,0.001120,0.000384,1.231925
0.415314,0.700447,0.005216,0.048034,0.000640,0.013665,0.000352,0.001504,0.000960,0.000352,1.195252
0.416338,0.722271,0.005376,0.047842,0.000576,0.013601,0.000384,0.001536,0.001184,0.000352,1.219700
0.415826,0.729792,0.005472,0.047426,0.001024,0.013441,0.000352,0.001504,0.001088,0.000352,1.224501
0.416018,0.740544,0.005568,0.047715,0.000544,0.013408,0.000416,0.001600,0.001152,0.000384,1.236501
0.416658,0.725824,0.005344,0.048770,0.000544,0.013377,0.000384,0.001472,0.001088,0.000384,1.222389
0.416946,0.698110,0.005536,0.048002,0.000544,0.013697,0.000384,0.001536,0.001120,0.000352,1.194355
