Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-9],Layer[10],classifier
0.434481,0.017505,0.202056,0.004768,0.047970,0.000576,0.013441,0.000416,0.184967,0.000576,0.913220
0.420273,0.018080,0.202023,0.005025,0.047970,0.000576,0.013568,0.000384,0.166407,0.000608,0.882851
0.416080,0.017633,0.201864,0.004864,0.047522,0.000576,0.013377,0.000384,0.180167,0.000640,0.890307
0.420337,0.017537,0.219272,0.005152,0.048226,0.000576,0.013409,0.000416,0.181767,0.000640,0.915428
0.416305,0.017632,0.201960,0.005088,0.048770,0.000576,0.013345,0.000352,0.176327,0.000608,0.887299
0.416080,0.017537,0.201928,0.004832,0.047298,0.000608,0.013280,0.000384,0.182119,0.000480,0.892259
0.417616,0.017537,0.202024,0.005056,0.048642,0.000576,0.013505,0.000448,0.185511,0.000832,0.899459
0.432273,0.017761,0.202152,0.005024,0.048930,0.000640,0.013569,0.000416,0.180135,0.000608,0.908964
0.416560,0.017377,0.202088,0.005056,0.048706,0.000608,0.013921,0.000448,0.174567,0.000704,0.887043
0.417584,0.017601,0.201896,0.005024,0.048834,0.000544,0.013505,0.000384,0.206632,0.000608,0.919460
0.416048,0.017441,0.202120,0.005024,0.068162,0.000768,0.013728,0.000416,0.176583,0.000736,0.907939
0.421968,0.017792,0.203752,0.005024,0.048641,0.000832,0.013665,0.000640,0.209640,0.000992,0.933124
0.417712,0.017761,0.202248,0.004864,0.048898,0.000576,0.014016,0.000416,0.177222,0.000608,0.891299
0.421777,0.017888,0.202920,0.005281,0.048610,0.000608,0.013856,0.000384,0.210280,0.000960,0.933477
0.416849,0.017568,0.202472,0.005088,0.049602,0.000576,0.014081,0.000416,0.179911,0.000832,0.894723
0.415985,0.017568,0.202344,0.005121,0.049154,0.000736,0.013408,0.000416,0.180519,0.000640,0.893315
0.416304,0.017825,0.202856,0.005024,0.048322,0.000576,0.014176,0.000448,0.180455,0.000704,0.894595
0.415376,0.017505,0.222857,0.005376,0.048802,0.000736,0.013440,0.000384,0.179815,0.000992,0.912739
0.416496,0.017633,0.203464,0.005248,0.049026,0.000576,0.013920,0.000384,0.186120,0.000480,0.900643
0.416848,0.017504,0.202376,0.005248,0.048450,0.000576,0.013825,0.000384,0.179559,0.000480,0.893123
0.416528,0.017537,0.202760,0.005248,0.047554,0.000608,0.013633,0.000384,0.175271,0.000576,0.887267
0.449937,0.017761,0.202440,0.004832,0.048002,0.000640,0.013345,0.000448,0.180231,0.000608,0.925252
0.416272,0.017889,0.202952,0.004832,0.048386,0.000736,0.013536,0.000384,0.179687,0.000640,0.892259
0.416208,0.017729,0.202600,0.004800,0.049186,0.000608,0.013280,0.000384,0.176327,0.000544,0.889090
0.415697,0.017920,0.219657,0.005088,0.047778,0.000736,0.013345,0.000384,0.166694,0.000512,0.895331
0.417489,0.017504,0.202024,0.004864,0.048866,0.000576,0.013313,0.000352,0.179751,0.000576,0.891811
0.415984,0.017825,0.202376,0.004864,0.048450,0.000608,0.013697,0.000416,0.173799,0.000672,0.886147
0.415697,0.017632,0.203848,0.004801,0.048098,0.000608,0.013408,0.000416,0.168519,0.000576,0.880835
