TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
1.784633,0.002688,0.000992,0.000384,1.795097
1.754486,0.002656,0.000928,0.000384,1.764567
1.734038,0.002592,0.000960,0.000416,1.743638
1.730261,0.002753,0.000992,0.000320,1.739318
1.751159,0.002944,0.000896,0.000416,1.760823
1.759095,0.002368,0.001089,0.000384,1.768152
1.723894,0.002592,0.000992,0.000320,1.732726
1.724981,0.002432,0.000928,0.000288,1.733781
1.750903,0.003008,0.001408,0.000416,1.762199
1.741398,0.003872,0.001088,0.000384,1.752598
1.779256,0.002720,0.000928,0.000384,1.789753
1.748311,0.002624,0.001024,0.000352,1.758295
1.708244,0.003328,0.000992,0.000449,1.718805
1.727798,0.002688,0.000960,0.000384,1.737430
1.740118,0.002561,0.001024,0.000352,1.749399
1.754358,0.002625,0.000896,0.000384,1.763479
1.770520,0.003648,0.000992,0.000384,1.780696
1.693780,0.002592,0.001120,0.000352,1.703381
1.763799,0.002560,0.001281,0.000384,1.774808
1.719093,0.002688,0.001056,0.000448,1.728950
1.753206,0.003488,0.000928,0.000416,1.763607
1.744790,0.002656,0.000832,0.000416,1.754711
1.723829,0.003648,0.000929,0.000384,1.734358
1.752886,0.002785,0.000928,0.000384,1.762647
1.748823,0.003072,0.000768,0.000416,1.758615
1.767544,0.002624,0.000896,0.000384,1.776632
1.753335,0.002560,0.000928,0.000416,1.762167
1.699732,0.002944,0.000768,0.000384,1.709140
1.750486,0.002849,0.001024,0.000384,1.761239
1.724982,0.004576,0.001024,0.000256,1.736886
1.702004,0.003040,0.001056,0.000448,1.712116
1.713844,0.003040,0.000864,0.000448,1.723829
1.691700,0.003520,0.000928,0.000480,1.702004
1.714645,0.003520,0.000992,0.000352,1.725013
1.700788,0.002656,0.001056,0.000384,1.709941
1.747574,0.002689,0.000992,0.000352,1.757143
1.716885,0.002592,0.001088,0.000384,1.726389
1.713108,0.002528,0.000960,0.000384,1.722453
1.758935,0.002720,0.001120,0.000384,1.769528
1.771159,0.002625,0.000896,0.000384,1.779832
1.742999,0.002592,0.000960,0.000416,1.752535
1.738390,0.003136,0.000928,0.000416,1.749687
1.715349,0.002592,0.000896,0.000352,1.724277
1.770040,0.002752,0.001024,0.000384,1.780440
1.743830,0.003584,0.001025,0.000384,1.754391
1.770199,0.002784,0.000992,0.000352,1.780055
1.721653,0.003584,0.000832,0.000416,1.732406
1.723958,0.002656,0.000832,0.000352,1.733782
1.761847,0.002912,0.001120,0.000384,1.772503
1.741078,0.003584,0.000928,0.000352,1.751702
1.706996,0.002881,0.000928,0.000384,1.716853
1.730422,0.002944,0.000992,0.000416,1.740598
1.713877,0.002848,0.000960,0.000384,1.723318
1.736950,0.002656,0.000928,0.000352,1.746263
1.721589,0.002752,0.000768,0.000384,1.730709
1.786648,0.002784,0.001088,0.000384,1.795352
1.718228,0.003776,0.001152,0.000480,1.728821
1.746358,0.002881,0.001088,0.000256,1.756119
1.746102,0.003040,0.001568,0.000416,1.757367
1.774488,0.002944,0.000960,0.000320,1.786296
1.759799,0.002753,0.001024,0.000384,1.770360
1.761623,0.002880,0.000992,0.000416,1.772023
1.753366,0.002848,0.001184,0.000416,1.762615
1.779096,0.003776,0.000928,0.000352,1.789816
1.716917,0.003553,0.001184,0.000480,1.728438
1.711092,0.002720,0.000896,0.000352,1.719861
1.734102,0.003648,0.000992,0.000449,1.745431
1.755510,0.002880,0.001312,0.000384,1.766519
1.775128,0.002912,0.001440,0.000416,1.785017
1.779480,0.002816,0.001280,0.000352,1.790840
1.809946,0.003360,0.001856,0.000416,1.824922
1.784120,0.003296,0.001120,0.000416,1.794137
1.734006,0.002624,0.000992,0.000384,1.743990
1.765943,0.002688,0.001216,0.000352,1.776311
1.725653,0.002848,0.001056,0.000416,1.736533
1.800505,0.002944,0.001377,0.000384,1.810554
1.735829,0.002945,0.001056,0.000352,1.746070
1.745302,0.002977,0.001280,0.000384,1.756887
1.737302,0.002720,0.001120,0.000384,1.747158
1.789881,0.002944,0.001056,0.000416,1.800121
1.738134,0.002944,0.001121,0.000352,1.748823
1.784696,0.002752,0.001024,0.000320,1.794296
1.763127,0.002880,0.000864,0.000352,1.773719
1.775864,0.002656,0.001248,0.000352,1.786168
1.755799,0.003296,0.001088,0.000320,1.767351
1.757911,0.002848,0.001024,0.000384,1.767735
1.732053,0.002688,0.001216,0.000385,1.742390
1.790361,0.002784,0.001312,0.000384,1.801625
1.734229,0.003296,0.001312,0.000320,1.746134
1.746262,0.003936,0.001280,0.000512,1.760631
1.728853,0.003169,0.001088,0.000416,1.740566
1.754423,0.003168,0.001088,0.000416,1.765239
1.744374,0.003425,0.001024,0.000448,1.755607
1.745270,0.003424,0.001248,0.000416,1.756119
1.733494,0.003680,0.001024,0.000416,1.744246
1.789240,0.003456,0.001152,0.000384,1.800088
1.722389,0.003713,0.001120,0.000448,1.733558
1.766391,0.003104,0.001216,0.000384,1.777687
1.746198,0.003680,0.000928,0.000384,1.759063
1.750006,0.003136,0.001024,0.000320,1.759991
1.723317,0.002624,0.000992,0.000384,1.733366
1.745526,0.002912,0.000992,0.000416,1.754518
1.738421,0.002784,0.000960,0.000320,1.749014
1.746998,0.002816,0.001248,0.000416,1.756886
1.712021,0.002592,0.001024,0.000416,1.722261
1.747734,0.002593,0.001056,0.000384,1.757207
1.751830,0.002688,0.000992,0.000384,1.761686
1.763671,0.002880,0.001152,0.000352,1.774359
1.756950,0.002720,0.001056,0.000320,1.767928
1.779063,0.003520,0.001024,0.000480,1.789848
1.739382,0.002688,0.001024,0.000417,1.750103
1.746902,0.002624,0.000928,0.000384,1.756983
1.732693,0.002592,0.001024,0.000416,1.744438
1.771863,0.002688,0.001120,0.000384,1.781528
1.722580,0.002816,0.000864,0.000416,1.732245
1.734645,0.002625,0.000992,0.000384,1.744022
1.765655,0.003328,0.001088,0.000448,1.777816
1.760919,0.003488,0.001056,0.000416,1.773112
1.755095,0.002848,0.000896,0.000384,1.765271
1.778072,0.002656,0.000928,0.000384,1.788920
1.729589,0.002624,0.001024,0.000384,1.738966
1.731957,0.002656,0.000960,0.000320,1.741813
1.772055,0.002688,0.001120,0.000384,1.782584
1.747542,0.003008,0.000960,0.000416,1.758454
1.762743,0.002528,0.001056,0.000448,1.772471
1.745238,0.002336,0.000992,0.000352,1.755126
1.736149,0.002720,0.001152,0.000417,1.746262
1.757270,0.002912,0.001088,0.000320,1.768055
1.717012,0.002624,0.001120,0.000352,1.726933
1.756119,0.003392,0.001056,0.000384,1.768311
1.731861,0.003041,0.001120,0.000384,1.742390
1.753174,0.002912,0.001088,0.000384,1.763767
1.768919,0.003008,0.001152,0.000352,1.779416
