TEE[0-9],Layer[10],classifier
1.782258,0.000800,1.788594
1.762385,0.000640,1.768594
1.773489,0.000832,1.779665
1.729167,0.000736,1.736047
1.761681,0.000704,1.767825
1.758416,0.000736,1.765009
1.750864,0.000800,1.757969
1.713903,0.000736,1.720335
1.744080,0.000672,1.750705
1.740656,0.000704,1.746769
1.732303,0.000864,1.738160
1.766385,0.000704,1.772625
1.734608,0.000640,1.741520
1.737904,0.000640,1.744080
1.736912,0.000608,1.742928
1.752240,0.000640,1.758928
1.781906,0.000608,1.787922
1.727280,0.000832,1.733712
1.743824,0.000736,1.750192
1.740080,0.000768,1.746672
1.744816,0.000641,1.750801
1.760657,0.000640,1.766513
1.758033,0.000640,1.763697
1.760433,0.000832,1.766417
1.777906,0.000736,1.783666
1.732464,0.000800,1.739216
1.735504,0.000992,1.741808
1.733391,0.000704,1.738895
1.730223,0.000768,1.735984
1.776433,0.000672,1.782545
1.716463,0.000704,1.721967
1.753617,0.000640,1.759249
1.790130,0.000800,1.795762
1.755953,0.000704,1.761745
1.727919,0.000672,1.734352
1.765233,0.000736,1.771633
1.733232,0.000672,1.738896
1.766641,0.000640,1.772209
1.742416,0.000704,1.747920
1.775761,0.000768,1.782033
1.734767,0.000736,1.740208
1.744016,0.000608,1.750000
1.747408,0.000928,1.753520
1.772210,0.000704,1.778354
1.758896,0.000672,1.764977
1.763921,0.000704,1.769873
1.747984,0.000768,1.753776
1.758129,0.000672,1.762833
1.748336,0.000864,1.755440
1.785938,0.000768,1.792882
1.759952,0.000704,1.766673
1.745808,0.000736,1.751825
1.770737,0.000704,1.777009
1.748304,0.000736,1.754513
1.764209,0.000672,1.770385
1.725007,0.000800,1.731631
1.743312,0.000704,1.749040
1.771121,0.000672,1.776913
1.771633,0.000736,1.777681
1.734992,0.000768,1.741680
1.756465,0.000576,1.762033
1.767761,0.000640,1.773521
1.744176,0.000768,1.749904
1.769009,0.000640,1.774705
1.785362,0.000704,1.791090
1.734192,0.000672,1.740624
1.743664,0.000672,1.749456
1.764625,0.000736,1.770385
1.749680,0.000608,1.756305
1.766865,0.000832,1.773361
1.791027,0.000800,1.796723
1.740560,0.000736,1.746192
1.749616,0.000736,1.755312
1.772945,0.000704,1.778865
1.786002,0.000800,1.791666
1.722959,0.000736,1.728751
1.794930,0.000737,1.800979
1.735407,0.000672,1.741391
1.762704,0.000865,1.769266
1.771857,0.000736,1.777809
1.758065,0.000736,1.763793
1.737231,0.000672,1.742896
1.754928,0.000736,1.761008
1.728240,0.000672,1.733936
1.794546,0.000704,1.799730
1.735696,0.000672,1.741328
1.789490,0.000672,1.794642
1.756688,0.000576,1.761681
1.795858,0.000704,1.801394
1.748144,0.000704,1.754225
1.755633,0.000800,1.761457
1.735887,0.000704,1.741616
1.784946,0.000608,1.789106
1.758800,0.000640,1.764049
1.791698,0.000736,1.798002
1.725711,0.000704,1.730895
1.754128,0.000768,1.760048
1.761457,0.000640,1.767281
1.787314,0.000928,1.794162
1.772689,0.000672,1.778353
1.783986,0.000736,1.790386
1.771857,0.000736,1.778065
1.756081,0.000640,1.761745
1.752240,0.000640,1.757937
1.761361,0.000704,1.767377
1.776497,0.000768,1.782418
1.798546,0.000800,1.805234
1.791826,0.000672,1.798418
1.758160,0.000896,1.763728
1.739920,0.000800,1.745648
1.755216,0.000672,1.761712
1.769617,0.000640,1.775570
1.749776,0.000608,1.755728
1.751024,0.001056,1.757681
1.752784,0.000768,1.759536
1.753072,0.000704,1.759249
1.784722,0.000576,1.790802
1.764561,0.000896,1.771249
1.760880,0.000833,1.766833
1.736144,0.000704,1.742288
1.793170,0.000672,1.799410
1.762064,0.000768,1.767985
1.753520,0.000608,1.759280
1.762641,0.000672,1.768305
1.779762,0.000960,1.785394
1.777105,0.000928,1.783538
1.766769,0.000608,1.772369
1.786289,0.000705,1.792114
1.714542,0.000672,1.720655
1.760336,0.000896,1.767185
1.748848,0.000673,1.754289
1.764177,0.000736,1.769905
1.737935,0.000832,1.764752
1.716558,0.000608,1.722126
1.785010,0.000672,1.790930
1.755472,0.000704,1.761776
1.774673,0.000704,1.781393
1.741424,0.000704,1.748400
1.740432,0.000896,1.746864
1.755792,0.000864,1.762448
1.732495,0.000737,1.738800
1.766193,0.000800,1.772913
1.729488,0.000672,1.735440
1.764881,0.000832,1.771665
1.757841,0.000704,1.763793
1.735568,0.000640,1.740816
1.747568,0.000672,1.753232
1.767089,0.000704,1.773873
1.724655,0.000736,1.730831
1.775537,0.000672,1.781617
1.730479,0.000640,1.736399
1.731920,0.000640,1.737616
1.734159,0.000960,1.740143
1.727599,0.000768,1.734799
1.735856,0.000704,1.741808
1.724303,0.000608,1.730511
1.738447,0.000544,1.743855
1.705550,0.000737,1.711311
1.759953,0.000672,1.764977
1.745904,0.000736,1.752624
1.779986,0.000768,1.787538
1.751280,0.000704,1.758161
1.793779,0.000736,1.801075
1.743888,0.000704,1.750032
1.789554,0.000608,1.796338
1.756400,0.000704,1.762224
1.770641,0.000832,1.777330
1.763089,0.000704,1.769265
1.810707,0.000736,1.816851
1.761169,0.000704,1.768017
1.768337,0.000704,1.774545
1.766672,0.000736,1.773233
1.771985,0.000672,1.778418
1.750416,0.000672,1.756848
1.762225,0.000800,1.768785
1.740720,0.000768,1.747184
1.741136,0.000736,1.748016
1.732623,0.000705,1.739088
1.740399,0.000672,1.746384
1.772337,0.000800,1.778802
1.753776,0.000768,1.760177
1.796274,0.000864,1.802674
1.773201,0.000672,1.779825
1.741455,0.000768,1.748592
1.758320,0.000768,1.764881
1.727375,0.000768,1.734223
1.790994,0.000832,1.798322
1.789170,0.000832,1.796146
1.744208,0.000640,1.750352
1.782066,0.000736,1.788210
1.760529,0.000672,1.765841
1.784818,0.000608,1.790802
1.739472,0.000704,1.745808
1.789362,0.000736,1.796018
1.729423,0.000704,1.735791
1.790898,0.000672,1.796178
1.778610,0.000832,1.785650
1.773809,0.000768,1.779889
1.755696,0.000544,1.761168
1.745104,0.000800,1.751792
1.756976,0.000736,1.762129
1.774962,0.000832,1.781202
1.761520,0.000672,1.767921
1.772497,0.000768,1.778993
1.748144,0.000704,1.753424
1.752880,0.000704,1.758288
1.743984,0.000768,1.750224
1.790738,0.000864,1.796978
1.727759,0.000640,1.733423
1.738032,0.000672,1.744976
1.715854,0.000704,1.721807
1.729743,0.000736,1.736335
1.730831,0.000704,1.737327
1.751120,0.000672,1.756944
1.764049,0.000704,1.769393
1.754640,0.000704,1.760144
1.735759,0.000608,1.740847
1.732687,0.000608,1.737807
1.770449,0.000704,1.776529
1.765328,0.000640,1.770993
1.739472,0.000736,1.745264
1.752880,0.000704,1.759216
1.766513,0.000704,1.772369
1.752336,0.000704,1.758768
1.759569,0.000608,1.765937
1.764305,0.000704,1.770513
1.768337,0.000704,1.774353
1.759760,0.000608,1.765840
1.762928,0.000640,1.769489
1.755536,0.000704,1.761904
1.734287,0.000768,1.740688
1.759728,0.000704,1.765392
1.771504,0.000768,1.777905
1.766801,0.000672,1.772529
1.730447,0.000768,1.736143
1.762704,0.000704,1.769232
1.767088,0.000609,1.772561
1.743664,0.000672,1.748592
1.732911,0.000704,1.738479
1.760528,0.000704,1.766321
1.753232,0.000800,1.759312
1.751856,0.000608,1.757616
1.740528,0.000832,1.746576
1.756592,0.000544,1.762064
1.775185,0.000672,1.780274
1.785138,0.000800,1.791570
1.764976,0.000704,1.770736
1.792114,0.000672,1.798290
1.761168,0.000704,1.767536
1.769968,0.000769,1.775953
1.758256,0.000704,1.764528
1.777617,0.000672,1.783378
1.747056,0.000640,1.752720
1.744560,0.000672,1.750128
1.741328,0.000576,1.746288
1.787570,0.000672,1.793650
1.753744,0.000672,1.758896
1.764177,0.000608,1.769521
1.770800,0.000672,1.777425
1.779409,0.000736,1.784817
1.737423,0.000544,1.742095
1.782673,0.000672,1.788369
1.743951,0.000768,1.750352
1.780530,0.000672,1.785970
1.757104,0.000672,1.761457
1.775953,0.000640,1.781873
1.746000,0.000640,1.750704
1.732239,0.000608,1.737359
1.739151,0.000673,1.744784
1.752880,0.000640,1.758096
1.748560,0.000640,1.754672
1.761488,0.000736,1.768208
1.729007,0.000640,1.734319
1.731919,0.000640,1.737424
1.759504,0.000640,1.765712
1.760464,0.000640,1.765616
1.745295,0.000576,1.749935
1.748432,0.000672,1.753456
1.736111,0.000608,1.740783
1.755120,0.000608,1.761168
1.730959,0.000544,1.737167
1.759217,0.000736,1.765905
1.760560,0.000640,1.765457
1.736144,0.000608,1.741488
1.748368,0.000672,1.753392
1.744015,0.000640,1.748591
1.750704,0.000640,1.756240
1.756880,0.000576,1.761616
1.776913,0.000608,1.782321
1.726415,0.000608,1.731279
1.772337,0.000576,1.776593
1.726127,0.000640,1.731535
1.775249,0.000640,1.780817
1.731343,0.000577,1.735984
1.767760,0.000672,1.772528
1.752592,0.000704,1.757712
1.790578,0.000576,1.795730
1.770160,0.000673,1.776081
1.750896,0.000672,1.755568
1.728783,0.000704,1.733999
1.735952,0.000640,1.742256
1.755312,0.000736,1.761809
1.749488,0.000640,1.754480
1.766513,0.000768,1.771377
1.804978,0.000896,1.811058
1.750448,0.000640,1.755184
1.778417,0.000544,1.783441
1.768817,0.000640,1.775857
1.778545,0.000608,1.784497
1.743344,0.000672,1.748880
1.792722,0.000672,1.798418
1.728558,0.000576,1.733103
1.769200,0.000736,1.774801
1.751983,0.000608,1.757840
1.776625,0.000512,1.782993
1.722543,0.000608,1.728047
1.779153,0.000704,1.784529
1.775345,0.000704,1.781969
1.798002,0.000736,1.804274
1.717326,0.000544,1.723470
1.753872,0.000704,1.760112
1.739855,0.000672,1.745711
1.764688,0.000609,1.770001
1.739215,0.000736,1.744591
1.708238,0.000448,1.713006
1.730063,0.000576,1.734255
1.740847,0.000576,1.746128
1.696686,0.000512,1.702062
1.717742,0.000608,1.722510
1.730287,0.000704,1.735535
1.789137,0.000704,1.795089
