Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
0.415568,0.017729,0.201800,0.004928,0.255562,0.001408,0.000384,0.904932
0.415664,0.017376,0.201896,0.004832,0.247466,0.001440,0.000384,0.895779
0.415792,0.017697,0.202120,0.004992,0.245706,0.001504,0.000384,0.895619
0.415888,0.017729,0.218729,0.005248,0.258826,0.001440,0.000352,0.927556
0.416241,0.017728,0.202023,0.004801,0.259658,0.001504,0.000384,0.911044
0.416336,0.017697,0.201992,0.005024,0.255210,0.001440,0.000416,0.906307
0.415824,0.017537,0.202344,0.005056,0.252074,0.001440,0.000320,0.902851
0.416913,0.017793,0.202408,0.004832,0.257482,0.001408,0.000416,0.908644
0.416560,0.017921,0.202376,0.004864,0.249578,0.001376,0.000384,0.900643
0.416112,0.017952,0.201512,0.004768,0.260907,0.001664,0.000416,0.911748
0.434033,0.017569,0.202280,0.004992,0.243146,0.001792,0.000448,0.912484
0.415664,0.017761,0.201992,0.004992,0.242921,0.001600,0.000384,0.892931
0.416464,0.017888,0.202216,0.005024,0.257354,0.001504,0.000352,0.909188
0.415952,0.017696,0.201768,0.005088,0.277195,0.001632,0.000384,0.927684
0.416433,0.017760,0.201896,0.005025,0.259722,0.001632,0.000416,0.911748
0.415536,0.018145,0.202056,0.005024,0.257642,0.001600,0.000384,0.908547
0.416720,0.017473,0.201864,0.004960,0.252874,0.001536,0.000352,0.903395
0.437169,0.017761,0.202184,0.004832,0.243530,0.001536,0.000352,0.915652
0.416112,0.017760,0.201960,0.004864,0.250794,0.001472,0.000416,0.900387
0.415568,0.017729,0.202632,0.004800,0.238602,0.001440,0.000384,0.888739
0.416784,0.017761,0.202344,0.004832,0.274443,0.001632,0.000416,0.924932
0.416081,0.017473,0.202984,0.004864,0.257930,0.001600,0.000352,0.909124
0.416209,0.018016,0.202728,0.004801,0.257994,0.001536,0.000352,0.909572
0.416176,0.017569,0.202120,0.004896,0.247626,0.001504,0.000384,0.899331
0.433073,0.017761,0.202120,0.004832,0.248650,0.001536,0.000384,0.915940
0.416304,0.017953,0.201800,0.005024,0.254346,0.001440,0.000384,0.904739
0.416112,0.017665,0.202184,0.005056,0.249034,0.001408,0.000416,0.898915
0.416272,0.017697,0.220457,0.005280,0.248906,0.001472,0.000352,0.918020
0.416368,0.017633,0.202024,0.004800,0.250794,0.001440,0.000352,0.901475
0.415953,0.017728,0.202152,0.004896,0.254794,0.001345,0.000384,0.904548
0.416304,0.018241,0.202376,0.004896,0.255082,0.001472,0.000352,0.906915
0.415761,0.017633,0.201896,0.005024,0.249770,0.001408,0.000352,0.899620
0.415984,0.017825,0.201672,0.004800,0.255530,0.001504,0.000352,0.905283
0.415920,0.017441,0.201800,0.004864,0.265034,0.001633,0.000352,0.916228
0.416752,0.017697,0.219784,0.004992,0.253482,0.001536,0.000384,0.923364
0.417649,0.017633,0.202087,0.004833,0.254954,0.001504,0.000384,0.906884
0.416016,0.017728,0.201896,0.004800,0.241674,0.001536,0.000384,0.891779
0.416496,0.017569,0.202184,0.004864,0.241385,0.001536,0.000320,0.891586
0.416305,0.017344,0.202184,0.005088,0.255819,0.001536,0.000352,0.906308
0.416337,0.017728,0.201992,0.004897,0.251273,0.001441,0.000352,0.901540
0.416592,0.017472,0.201928,0.004832,0.250282,0.001440,0.000384,0.900035
0.432721,0.017409,0.202696,0.004992,0.237961,0.001408,0.000384,0.905187
0.415633,0.018560,0.202088,0.004897,0.244073,0.001408,0.000352,0.894915
0.417552,0.017888,0.203432,0.004832,0.251434,0.001504,0.000416,0.905987
0.416817,0.018048,0.202472,0.004993,0.243785,0.001568,0.000352,0.896067
0.416624,0.018209,0.202248,0.004896,0.251018,0.001376,0.000384,0.902787
0.416176,0.017697,0.202376,0.004832,0.249002,0.001408,0.000384,0.899555
0.415664,0.018209,0.201960,0.004800,0.250794,0.001440,0.000416,0.900547
0.434833,0.017601,0.202568,0.004800,0.251370,0.001472,0.000352,0.920228
0.415536,0.017985,0.202440,0.004864,0.242793,0.001536,0.000384,0.893539
0.416080,0.017697,0.202056,0.004992,0.247434,0.001536,0.000352,0.897635
0.416848,0.017729,0.202312,0.004864,0.275211,0.001376,0.000416,0.926788
0.417520,0.017601,0.201928,0.004864,0.239209,0.001504,0.000352,0.890851
0.416881,0.017568,0.202248,0.004801,0.248873,0.001664,0.000416,0.901540
0.415792,0.017792,0.202440,0.005056,0.260747,0.001600,0.000384,0.911812
0.432849,0.017761,0.202280,0.004992,0.257962,0.001344,0.000352,0.925444
0.416080,0.017793,0.201992,0.005024,0.259754,0.001312,0.000352,0.909731
0.415792,0.017761,0.201960,0.005056,0.260234,0.001408,0.000384,0.909955
0.416081,0.017536,0.201960,0.005024,0.271883,0.001472,0.000512,0.920900
0.416208,0.017760,0.202152,0.004896,0.264587,0.001440,0.000384,0.914948
0.416561,0.017600,0.202088,0.004993,0.262730,0.001280,0.000384,0.913380
0.416113,0.017761,0.202055,0.004833,0.259178,0.001408,0.000384,0.909060
0.434129,0.017665,0.201896,0.004832,0.247018,0.001440,0.000384,0.916132
0.415664,0.017761,0.201768,0.004864,0.267498,0.001728,0.000384,0.919012
0.417297,0.017793,0.205160,0.004800,0.249482,0.001600,0.000384,0.904548
0.417136,0.017441,0.203048,0.004800,0.277291,0.001536,0.000352,0.929252
0.416369,0.017536,0.202536,0.004993,0.253802,0.001376,0.000384,0.904324
0.416528,0.017697,0.203208,0.004800,0.257482,0.001376,0.000352,0.908835
0.416048,0.017569,0.202024,0.004768,0.259178,0.001472,0.000352,0.908611
0.435217,0.017696,0.202184,0.004897,0.262026,0.001344,0.000448,0.931748
0.417745,0.017280,0.202408,0.005121,0.260458,0.001280,0.000384,0.911844
0.416432,0.017345,0.202120,0.004832,0.264362,0.001536,0.000385,0.915012
0.415952,0.017856,0.220361,0.005024,0.244106,0.001568,0.000416,0.914212
0.416433,0.017472,0.202152,0.004800,0.268170,0.001504,0.000416,0.919268
0.415888,0.017537,0.202344,0.004864,0.264458,0.001473,0.000384,0.914660
0.416496,0.017729,0.202344,0.004864,0.258794,0.001376,0.000352,0.909283
0.417232,0.017825,0.202088,0.005056,0.261323,0.001408,0.000384,0.912836
0.416336,0.018049,0.202376,0.004864,0.261066,0.001312,0.000385,0.911364
0.416272,0.017665,0.201992,0.005056,0.264458,0.001377,0.000352,0.914564
0.416400,0.017793,0.220168,0.005024,0.243945,0.001376,0.000384,0.913059
0.415856,0.017856,0.203016,0.005024,0.254954,0.001344,0.000384,0.905764
0.416049,0.017536,0.202632,0.005057,0.248745,0.001472,0.000320,0.899875
0.416240,0.017249,0.203080,0.005120,0.245898,0.001440,0.000352,0.897379
0.416496,0.017569,0.201768,0.005024,0.249738,0.001536,0.000352,0.901507
0.416144,0.017537,0.201704,0.005024,0.250442,0.001312,0.000352,0.900387
0.416624,0.017569,0.202376,0.005056,0.254890,0.001344,0.000416,0.906179
0.432209,0.017473,0.202376,0.005056,0.251626,0.001344,0.000384,0.918084
0.417104,0.017729,0.202024,0.004992,0.255626,0.001376,0.000416,0.907267
0.415824,0.017697,0.201960,0.004864,0.227977,0.001312,0.000384,0.876610
0.416592,0.017697,0.202120,0.004768,0.224841,0.001312,0.000352,0.874722
0.416240,0.017473,0.201800,0.004864,0.258954,0.001312,0.000352,0.908035
0.415472,0.017857,0.201928,0.004832,0.261738,0.001504,0.000320,0.910020
0.415824,0.017505,0.202344,0.004832,0.245577,0.001376,0.000352,0.896643
0.415537,0.017665,0.216744,0.005120,0.245610,0.001312,0.000448,0.911044
0.416816,0.017537,0.203048,0.004800,0.247626,0.001344,0.000384,0.899075
0.416016,0.017505,0.202024,0.004896,0.249770,0.001536,0.000352,0.899971
0.415824,0.017377,0.201992,0.004832,0.236874,0.001120,0.000448,0.885763
0.430993,0.017601,0.202056,0.004800,0.239402,0.001312,0.000320,0.904676
0.415728,0.017537,0.202344,0.004768,0.234185,0.001312,0.000320,0.883490
0.416017,0.017633,0.202343,0.004833,0.249865,0.001472,0.000384,0.899460
0.416337,0.017536,0.220585,0.005056,0.265067,0.001312,0.000352,0.933957
0.417617,0.017665,0.203080,0.004832,0.264810,0.001568,0.000384,0.917092
0.416144,0.017697,0.202408,0.005056,0.264171,0.001472,0.000384,0.917732
0.416240,0.017761,0.203016,0.004992,0.251370,0.001440,0.000384,0.902499
0.415569,0.017728,0.201800,0.004897,0.264778,0.001472,0.000320,0.914244
0.415664,0.017505,0.202120,0.004928,0.240137,0.001280,0.000416,0.888546
0.415697,0.018049,0.202183,0.004993,0.238953,0.001344,0.000384,0.887843
0.415281,0.017536,0.215657,0.005120,0.237865,0.001312,0.000384,0.899716
0.415344,0.017537,0.202408,0.004864,0.252458,0.001376,0.000384,0.900675
0.416016,0.017761,0.201896,0.004896,0.264842,0.001344,0.000320,0.913731
0.418865,0.017921,0.203400,0.004832,0.305228,0.002976,0.000672,0.967558
0.417361,0.017889,0.202472,0.005216,0.273290,0.002016,0.000416,0.926949
0.418545,0.018369,0.203176,0.005024,0.285771,0.003008,0.000672,0.947685
0.416624,0.017856,0.201832,0.005024,0.270763,0.002304,0.000416,0.923620
0.436753,0.017728,0.202535,0.005057,0.262602,0.001376,0.000640,0.934916
0.415792,0.017505,0.202088,0.005024,0.250058,0.001536,0.000384,0.899779
