Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417137,0.017601,0.203335,0.005120,0.047874,0.000704,0.186311,0.000832,0.002144,0.001152,0.000384,0.890755
0.429681,0.017889,0.202184,0.005312,0.049282,0.000768,0.188391,0.000864,0.002240,0.001089,0.000352,0.905924
0.416176,0.017793,0.202536,0.005376,0.048098,0.000800,0.194952,0.000992,0.001888,0.001280,0.000352,0.898083
0.416688,0.017441,0.202952,0.005280,0.047330,0.000800,0.200488,0.000736,0.001888,0.001216,0.000384,0.903171
0.416817,0.017504,0.202312,0.005280,0.063138,0.000928,0.182695,0.000736,0.001856,0.001280,0.000353,0.901380
0.416528,0.017569,0.201863,0.005216,0.048546,0.000800,0.195367,0.000864,0.001953,0.001088,0.000352,0.898404
0.416752,0.017665,0.202152,0.005312,0.048066,0.000832,0.180263,0.000704,0.001952,0.001216,0.000352,0.882882
0.416048,0.017345,0.202024,0.005184,0.048098,0.000800,0.184167,0.000832,0.002400,0.001184,0.000417,0.886531
0.426481,0.017569,0.201800,0.005088,0.048898,0.000768,0.188455,0.000928,0.002016,0.001056,0.000384,0.900867
0.417360,0.017665,0.202760,0.005312,0.048610,0.001088,0.199656,0.000800,0.001984,0.001088,0.000352,0.905251
0.416561,0.017568,0.202024,0.005312,0.048514,0.000704,0.188552,0.000768,0.002656,0.000992,0.000640,0.891971
0.416592,0.017569,0.201992,0.005120,0.047522,0.000832,0.212520,0.000704,0.001984,0.001568,0.000384,0.914916
0.416689,0.018017,0.202983,0.005088,0.048258,0.000992,0.220008,0.000736,0.002016,0.001057,0.000288,0.923685
0.416176,0.017921,0.203016,0.005056,0.047394,0.000704,0.196168,0.000992,0.002048,0.001184,0.000384,0.898595
0.417616,0.017505,0.202408,0.005120,0.048610,0.000832,0.188456,0.000736,0.001920,0.001344,0.000352,0.892931
0.434737,0.017664,0.202920,0.005280,0.048354,0.000800,0.192712,0.001024,0.002080,0.001088,0.000416,0.916260
0.415920,0.017761,0.202440,0.005280,0.048994,0.000864,0.193768,0.000704,0.002336,0.001504,0.000384,0.898019
0.416625,0.017697,0.201831,0.005185,0.048546,0.000800,0.188231,0.000704,0.002144,0.001120,0.000416,0.891107
0.417296,0.017665,0.202920,0.005280,0.048098,0.000768,0.213256,0.000992,0.001825,0.001184,0.000384,0.917476
0.418064,0.017664,0.202152,0.005152,0.048226,0.000800,0.196616,0.000640,0.002400,0.001344,0.000384,0.902883
0.416336,0.017473,0.201896,0.005152,0.047970,0.000832,0.203016,0.000704,0.001952,0.001184,0.000352,0.904995
0.416368,0.017729,0.202088,0.005152,0.048130,0.000768,0.206408,0.000576,0.002080,0.001089,0.000384,0.909764
0.435409,0.017632,0.203656,0.005249,0.047842,0.000800,0.189415,0.000672,0.001984,0.001376,0.000352,0.913635
0.416529,0.017888,0.203080,0.005313,0.047938,0.000800,0.194695,0.000704,0.002240,0.001216,0.000353,0.900324
0.417360,0.017633,0.203688,0.005344,0.047970,0.000832,0.189159,0.000704,0.002112,0.001217,0.000352,0.894819
0.417008,0.017633,0.203496,0.005184,0.067971,0.000832,0.187367,0.000704,0.002112,0.001152,0.000672,0.913187
0.417424,0.017664,0.202824,0.005152,0.047586,0.000768,0.188392,0.000736,0.002336,0.001152,0.000352,0.892643
0.416848,0.017473,0.202344,0.005152,0.048002,0.000768,0.193864,0.000704,0.002144,0.001248,0.000320,0.897379
0.417104,0.017537,0.201896,0.005088,0.048258,0.000800,0.190791,0.000640,0.002369,0.001120,0.000416,0.893955
0.437425,0.017761,0.202632,0.005120,0.047682,0.000768,0.192872,0.001024,0.002208,0.001344,0.000352,0.919140
0.415984,0.017633,0.202600,0.005280,0.048194,0.000736,0.181895,0.000768,0.002208,0.001312,0.000352,0.885410
0.416880,0.017473,0.202056,0.005152,0.048002,0.000768,0.184871,0.000768,0.002336,0.001248,0.000353,0.888099
0.415760,0.017409,0.201832,0.005248,0.083140,0.000832,0.187463,0.001056,0.001792,0.001056,0.000384,0.924644
0.417776,0.017409,0.201992,0.005312,0.048322,0.001024,0.193992,0.000544,0.001888,0.001120,0.000608,0.898755
0.416016,0.017408,0.201960,0.005152,0.048386,0.000992,0.188392,0.000736,0.001856,0.001120,0.000640,0.890819
0.415984,0.017473,0.202440,0.005120,0.048290,0.000768,0.194600,0.000800,0.001856,0.001088,0.000256,0.896419
0.434321,0.017568,0.202440,0.005089,0.047713,0.000801,0.187527,0.001056,0.002080,0.001120,0.000608,0.909187
0.416209,0.017504,0.203080,0.005248,0.048161,0.000800,0.186984,0.000544,0.001856,0.001120,0.000384,0.889667
0.416369,0.017440,0.202568,0.005217,0.049282,0.000800,0.193287,0.000544,0.002112,0.001120,0.000608,0.897540
0.416657,0.017600,0.202088,0.005057,0.049442,0.000864,0.200615,0.000672,0.002240,0.001184,0.000608,0.905636
0.415632,0.017537,0.202376,0.005216,0.048098,0.000800,0.182823,0.000672,0.001824,0.001152,0.000384,0.884739
0.417392,0.017921,0.202344,0.005056,0.047586,0.000768,0.184615,0.000576,0.001856,0.001152,0.000384,0.887426
0.415761,0.017568,0.202024,0.005153,0.047745,0.000801,0.186535,0.000704,0.001952,0.000992,0.000256,0.887555
0.432689,0.017665,0.202184,0.005312,0.049506,0.000768,0.186311,0.000512,0.001824,0.001248,0.000352,0.906596
0.416240,0.017473,0.202216,0.005088,0.048002,0.000800,0.194248,0.000576,0.002112,0.000896,0.000352,0.895363
0.416880,0.017472,0.202216,0.005056,0.048162,0.000736,0.188136,0.000544,0.002016,0.001152,0.000352,0.890179
0.416048,0.017600,0.202152,0.005216,0.047970,0.000768,0.218473,0.000672,0.002048,0.000992,0.000320,0.919396
0.417616,0.017409,0.202856,0.005088,0.047938,0.000768,0.180327,0.000704,0.001952,0.000768,0.000352,0.883362
0.416528,0.017473,0.202280,0.005376,0.048514,0.000768,0.183527,0.000544,0.001952,0.001024,0.000352,0.886530
0.416305,0.017600,0.202311,0.005121,0.048322,0.000800,0.187367,0.000704,0.002080,0.000992,0.000352,0.891267
0.435441,0.017601,0.202632,0.005248,0.047746,0.000576,0.174695,0.000704,0.002048,0.001120,0.000320,0.896803
0.415856,0.017505,0.202280,0.005120,0.047426,0.001024,0.186855,0.000576,0.001952,0.001056,0.000352,0.888002
0.416369,0.017824,0.202312,0.005313,0.047041,0.000992,0.179047,0.000544,0.002016,0.001120,0.000352,0.881603
0.416304,0.017473,0.202216,0.005248,0.047106,0.000704,0.180359,0.000576,0.002048,0.001088,0.000352,0.882082
0.417425,0.017825,0.202599,0.005377,0.046978,0.000736,0.193415,0.000608,0.002112,0.001184,0.000416,0.897699
0.416176,0.017633,0.202536,0.005216,0.047330,0.000576,0.194152,0.000832,0.001888,0.001248,0.000416,0.896963
0.417008,0.017601,0.201896,0.005344,0.047074,0.000768,0.198152,0.000736,0.001984,0.001024,0.000384,0.899907
0.437201,0.017537,0.202632,0.005056,0.047298,0.000704,0.174791,0.000672,0.001888,0.001184,0.000320,0.897571
0.416208,0.017697,0.202440,0.005344,0.047682,0.000544,0.179143,0.000544,0.001952,0.001152,0.000352,0.881090
0.417137,0.017537,0.204680,0.005088,0.047970,0.000576,0.194343,0.000576,0.001985,0.001120,0.000352,0.901764
0.415888,0.017473,0.202664,0.005312,0.047554,0.000800,0.199880,0.000576,0.001920,0.001152,0.000352,0.901987
0.417168,0.017505,0.202888,0.005152,0.047554,0.000928,0.220041,0.000800,0.002016,0.001056,0.000384,0.923716
0.417616,0.017665,0.202504,0.005600,0.047330,0.000800,0.185287,0.000736,0.002080,0.001152,0.000352,0.889186
0.417232,0.017633,0.202408,0.005024,0.047394,0.000512,0.185255,0.000512,0.001920,0.001152,0.000417,0.887075
0.433297,0.017537,0.202407,0.005281,0.046978,0.000736,0.189895,0.000640,0.001888,0.000960,0.000352,0.908291
0.416560,0.017601,0.201960,0.005088,0.047266,0.000544,0.190888,0.000512,0.001696,0.001088,0.000384,0.891459
0.416176,0.017665,0.202376,0.005312,0.046946,0.000576,0.182375,0.000512,0.001664,0.001056,0.000416,0.882083
0.417136,0.017409,0.202120,0.005056,0.047426,0.000544,0.188231,0.000544,0.001792,0.001056,0.000352,0.890435
0.416080,0.017505,0.202504,0.005056,0.047042,0.000768,0.183751,0.000512,0.001952,0.001120,0.000353,0.884323
0.416209,0.017504,0.202408,0.005121,0.047233,0.000576,0.188776,0.000640,0.001888,0.001216,0.000416,0.892771
0.416752,0.018049,0.202248,0.005248,0.047202,0.001088,0.197864,0.000704,0.002368,0.001216,0.000384,0.901891
0.454066,0.017825,0.203592,0.005248,0.047746,0.000800,0.203048,0.000672,0.002016,0.001312,0.000352,0.945125
0.418513,0.017537,0.203304,0.005312,0.049314,0.000832,0.195783,0.000608,0.002208,0.001408,0.000384,0.904260
0.416528,0.017665,0.202600,0.005248,0.048162,0.000800,0.188520,0.000608,0.002080,0.001408,0.000608,0.893347
0.416880,0.018048,0.202344,0.005312,0.048226,0.000768,0.213929,0.000608,0.002304,0.001280,0.000352,0.919236
0.417232,0.017633,0.202024,0.005120,0.048450,0.000768,0.181671,0.000544,0.002048,0.001184,0.000608,0.885347
0.415824,0.017696,0.202472,0.005056,0.047522,0.000992,0.183176,0.000544,0.001920,0.001280,0.000384,0.885347
0.416145,0.017537,0.202535,0.005025,0.046914,0.000768,0.180551,0.000704,0.002112,0.001216,0.000640,0.882307
0.435217,0.017761,0.202312,0.005056,0.046754,0.000768,0.181287,0.000672,0.002048,0.001120,0.000608,0.902084
0.416497,0.017536,0.202152,0.005217,0.047105,0.000800,0.196391,0.000576,0.002048,0.001216,0.000352,0.900644
0.416048,0.017536,0.202280,0.005152,0.047266,0.000832,0.187304,0.000576,0.001952,0.001152,0.000384,0.888643
0.416080,0.017601,0.202248,0.005184,0.047842,0.000800,0.184359,0.000608,0.001760,0.001568,0.000544,0.886594
0.416944,0.017665,0.204648,0.005184,0.047618,0.001024,0.191016,0.000576,0.001952,0.001056,0.000544,0.896323
0.417489,0.017472,0.202824,0.005025,0.047073,0.000480,0.176711,0.000640,0.001825,0.001152,0.000352,0.878499
0.416113,0.017472,0.202504,0.005281,0.048257,0.000736,0.189320,0.000800,0.001696,0.001088,0.000384,0.892035
0.432977,0.017633,0.202536,0.005024,0.047714,0.000480,0.176679,0.001024,0.001920,0.001024,0.000352,0.895459
