TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.205530,0.203535,0.005057,0.047715,0.000608,0.013857,0.000352,0.001473,0.000992,0.000384,1.487119
1.222619,0.203984,0.005152,0.047620,0.000864,0.014017,0.000384,0.001440,0.001088,0.000384,1.504688
1.207099,0.203759,0.009313,0.046916,0.000608,0.013793,0.000384,0.001408,0.001088,0.000384,1.492784
1.206682,0.206384,0.005056,0.047204,0.000800,0.013985,0.000672,0.001376,0.001088,0.000384,1.491407
1.256958,0.203727,0.005057,0.047395,0.000672,0.013953,0.000416,0.001408,0.001088,0.000384,1.540051
1.216347,0.204655,0.005088,0.046884,0.000800,0.013889,0.000416,0.001440,0.001056,0.000416,1.499056
1.210395,0.203343,0.005121,0.047555,0.000800,0.013825,0.000608,0.001505,0.000928,0.000384,1.493040
1.222044,0.203823,0.005184,0.047139,0.000608,0.013761,0.000448,0.001536,0.001120,0.000385,1.503857
1.196377,0.220752,0.005281,0.047267,0.000832,0.013441,0.000384,0.001504,0.001089,0.000352,1.495664
1.213210,0.203535,0.005056,0.046948,0.000800,0.013857,0.000416,0.001408,0.000960,0.000384,1.494287
1.242589,0.204367,0.005025,0.046883,0.000800,0.013793,0.000576,0.001344,0.001056,0.000384,1.524786
1.216987,0.204079,0.005025,0.047043,0.000576,0.013377,0.000416,0.001472,0.001121,0.000320,1.498192
1.217307,0.204143,0.005121,0.047779,0.000576,0.013825,0.000608,0.001472,0.001024,0.000352,1.501361
1.217243,0.203471,0.005089,0.047587,0.000576,0.013729,0.000577,0.001376,0.001120,0.000416,1.499024
1.237533,0.203727,0.005089,0.047107,0.000800,0.013857,0.000576,0.001376,0.001025,0.000416,1.519666
1.247101,0.203599,0.005025,0.046979,0.000832,0.013697,0.000352,0.001408,0.000960,0.000384,1.528274
1.198713,0.203792,0.005280,0.047556,0.000800,0.013569,0.000352,0.001472,0.001120,0.000352,1.482222
1.221435,0.204623,0.009281,0.047811,0.000864,0.013537,0.000416,0.001472,0.000960,0.000384,1.508689
1.278015,0.204208,0.005152,0.048708,0.001024,0.014369,0.000384,0.001472,0.001056,0.000384,1.562260
1.229244,0.203695,0.005280,0.048516,0.000800,0.013473,0.000384,0.001728,0.001056,0.000352,1.512721
1.212698,0.204399,0.005024,0.048932,0.000832,0.014081,0.000352,0.001440,0.000992,0.000417,1.497744
1.214587,0.204784,0.005344,0.048548,0.000832,0.013729,0.000352,0.001472,0.001120,0.000352,1.499280
1.221787,0.204623,0.005345,0.048131,0.000864,0.014113,0.000416,0.001505,0.001024,0.000384,1.507505
1.235229,0.203471,0.005569,0.048387,0.000576,0.013537,0.000416,0.001472,0.001025,0.000352,1.518546
1.198937,0.219153,0.005472,0.048548,0.000832,0.013825,0.000384,0.001440,0.001056,0.000288,1.499535
1.214683,0.204015,0.005217,0.049252,0.000608,0.013633,0.000608,0.001440,0.000960,0.000480,1.499312
1.238908,0.203759,0.005056,0.048292,0.000800,0.013889,0.000384,0.001408,0.001089,0.000416,1.522482
1.201914,0.205072,0.005056,0.048484,0.000800,0.014081,0.000384,0.001408,0.001344,0.000384,1.487535
1.215067,0.203823,0.005345,0.048131,0.000576,0.014081,0.000352,0.001473,0.001088,0.000384,1.498192
