Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.416433,0.017312,0.202152,0.185256,0.887427
0.434865,0.017505,0.201928,0.195527,0.918372
0.415441,0.017344,0.203048,0.206920,0.911268
0.416048,0.017633,0.201960,0.192967,0.894627
0.417361,0.017696,0.202120,0.197320,0.923428
0.415760,0.017505,0.202056,0.188199,0.890883
0.416880,0.017665,0.201864,0.202024,0.904803
0.415664,0.017601,0.202216,0.181543,0.880226
0.432113,0.017665,0.202280,0.218536,0.938821
0.416721,0.017633,0.201928,0.201415,0.904132
0.416272,0.017569,0.202408,0.199752,0.902403
0.415344,0.017665,0.201832,0.215944,0.924164
0.415697,0.017505,0.202440,0.195751,0.898852
0.415312,0.017761,0.202056,0.185223,0.890595
0.416529,0.017344,0.202216,0.197896,0.901540
0.431537,0.017665,0.202024,0.205928,0.926884
0.416400,0.017505,0.202056,0.203464,0.907459
0.416113,0.017504,0.202087,0.201320,0.905732
0.415857,0.017696,0.201992,0.216905,0.928101
0.415952,0.017920,0.202216,0.195176,0.899299
0.416913,0.017729,0.202056,0.203368,0.908548
0.416176,0.017665,0.202056,0.195304,0.896131
0.431153,0.017889,0.202312,0.202408,0.923812
0.416272,0.017633,0.202216,0.199048,0.902723
0.414609,0.017760,0.202408,0.195464,0.897411
0.415632,0.017761,0.217832,0.201992,0.923140
0.415857,0.017600,0.202120,0.190984,0.894083
0.415696,0.017505,0.202440,0.198472,0.905187
0.415953,0.017537,0.202440,0.206056,0.910660
0.416912,0.017313,0.202152,0.221545,0.924644
0.416816,0.017408,0.202376,0.201896,0.907684
0.415408,0.017313,0.202440,0.188839,0.891555
0.415536,0.017665,0.217288,0.201447,0.921252
0.415536,0.017952,0.203144,0.200456,0.907076
0.415889,0.017696,0.202920,0.201896,0.909156
0.418640,0.017569,0.204808,0.205192,0.917924
0.416689,0.017569,0.202920,0.230057,0.935493
0.416689,0.017504,0.202536,0.200936,0.909764
0.417457,0.017729,0.202536,0.203496,0.909988
0.432401,0.017600,0.202280,0.198504,0.921124
0.416592,0.017505,0.202312,0.200935,0.905923
0.416625,0.017729,0.202024,0.198375,0.903492
0.415953,0.017505,0.202151,0.196968,0.930085
0.415761,0.017345,0.202215,0.197383,0.900004
0.415696,0.017312,0.202152,0.194888,0.898563
0.416784,0.017505,0.202248,0.205096,0.911203
0.434001,0.017729,0.202472,0.206600,0.933476
0.416081,0.017409,0.202088,0.203464,0.907716
0.416113,0.017441,0.202248,0.210792,0.912900
0.414704,0.017857,0.202088,0.223688,0.929540
0.416464,0.017697,0.202152,0.200200,0.905924
0.416336,0.017665,0.202536,0.199976,0.903555
0.415184,0.017537,0.202280,0.190247,0.892483
0.434897,0.017729,0.202216,0.200936,0.921476
0.416016,0.017569,0.202056,0.199048,0.901443
0.418096,0.017921,0.202312,0.217192,0.924964
0.417393,0.017761,0.221832,0.235818,0.962598
0.416753,0.017697,0.202631,0.209577,0.914852
0.416977,0.017504,0.202280,0.207080,0.913060
0.416113,0.017537,0.202920,0.200967,0.924677
0.416017,0.017472,0.202888,0.193768,0.896643
0.416816,0.017537,0.202184,0.212424,0.917635
0.416080,0.017569,0.202472,0.201192,0.906371
0.435537,0.017697,0.202696,0.203112,0.932676
0.416528,0.017697,0.202408,0.211432,0.916996
0.416656,0.017569,0.201960,0.203880,0.908771
0.416401,0.017761,0.201960,0.236873,0.952038
0.416912,0.017537,0.201832,0.193543,0.896323
0.417776,0.017761,0.202056,0.199144,0.905155
0.416208,0.017601,0.202152,0.206920,0.910180
0.438034,0.017793,0.202343,0.224713,0.955942
0.416656,0.017697,0.202696,0.193991,0.907395
0.416880,0.017568,0.202056,0.209864,0.913892
0.416689,0.017568,0.223177,0.205704,0.931333
0.416496,0.017729,0.203464,0.216168,0.923108
0.418032,0.017665,0.203080,0.204936,0.914820
0.418224,0.017473,0.202344,0.207656,0.913444
0.417137,0.017697,0.202247,0.194536,0.924325
0.416752,0.017473,0.203496,0.205960,0.910755
0.416145,0.017664,0.202279,0.202568,0.906724
