Layer[0],Layer[1],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.418705,0.017569,0.747005,0.003648,0.001184,0.000416,1.195023
0.422065,0.017857,0.746909,0.002528,0.001376,0.000416,1.198479
0.442738,0.017825,0.756957,0.003329,0.001088,0.000384,1.230257
0.416720,0.017825,0.752477,0.002592,0.001504,0.000384,1.198671
0.420304,0.017633,0.769790,0.003329,0.001248,0.000416,1.219792
0.420592,0.017793,0.736637,0.002464,0.001216,0.000352,1.186286
0.420465,0.017889,0.750077,0.002625,0.001120,0.000352,1.200368
0.420784,0.018017,0.773310,0.003264,0.001248,0.000416,1.224368
0.420528,0.017792,0.747198,0.002560,0.001152,0.000384,1.197327
0.420849,0.017761,0.744125,0.002368,0.001152,0.000384,1.194415
0.435025,0.020001,0.750237,0.002272,0.001152,0.000384,1.216431
0.421137,0.017792,0.749438,0.002816,0.001120,0.000416,1.200303
0.421041,0.017760,0.755902,0.002496,0.001120,0.000352,1.206607
0.437265,0.017504,0.740029,0.002721,0.001120,0.000384,1.206896
0.417456,0.017537,0.745886,0.002400,0.001248,0.000384,1.191631
0.417329,0.017440,0.776191,0.002688,0.001056,0.000384,1.221872
0.420305,0.017857,0.739069,0.002720,0.001024,0.000352,1.188271
0.417105,0.017697,0.749341,0.002496,0.001216,0.000384,1.194415
0.420689,0.017728,0.756990,0.002720,0.001056,0.000416,1.206672
0.420848,0.017696,0.742654,0.002496,0.001024,0.000384,1.192367
0.420689,0.017249,0.740285,0.002912,0.001024,0.000320,1.190255
0.421009,0.017729,0.766110,0.003264,0.001184,0.000352,1.216624
0.416497,0.017633,0.754525,0.002913,0.001024,0.000384,1.199952
0.422416,0.017568,0.742237,0.002433,0.001088,0.000384,1.192623
0.436817,0.017633,0.744413,0.002945,0.001120,0.000608,1.210128
0.417680,0.017473,0.744093,0.002688,0.001056,0.000352,1.190030
0.422064,0.017761,0.733341,0.002464,0.001056,0.000352,1.183246
0.420368,0.017760,0.745086,0.002464,0.001056,0.000416,1.193327
0.419473,0.017761,0.752957,0.002816,0.000992,0.000352,1.201456
0.417424,0.017633,0.755582,0.002688,0.001248,0.000352,1.201423
0.415696,0.017569,0.747197,0.002624,0.001088,0.000416,1.191599
0.420976,0.017793,0.735293,0.002336,0.001088,0.000384,1.184558
0.417297,0.017601,0.757790,0.003232,0.001216,0.000352,1.204816
0.416369,0.017664,0.736061,0.002432,0.001152,0.000352,1.181775
0.420433,0.017696,0.735548,0.005760,0.001088,0.000608,1.188111
0.437201,0.017729,0.737053,0.002432,0.001152,0.000384,1.203151
0.416368,0.017729,0.744734,0.002688,0.001344,0.000384,1.189519
0.420912,0.017729,0.733725,0.003456,0.001024,0.000384,1.184462
0.416753,0.017761,0.740829,0.002912,0.001376,0.000384,1.187407
0.416849,0.017600,0.750717,0.002496,0.001248,0.000416,1.195599
0.422960,0.017697,0.764478,0.002688,0.001121,0.000384,1.216816
0.420528,0.017537,0.731261,0.002752,0.001184,0.000352,1.180175
0.421745,0.017601,0.749277,0.002528,0.001152,0.000384,1.200015
0.416433,0.017505,0.765182,0.003200,0.001312,0.000384,1.210864
0.422513,0.017440,0.742750,0.002624,0.001120,0.000384,1.193807
0.417776,0.017696,0.738557,0.002817,0.001120,0.000352,1.185871
0.420752,0.017633,0.756094,0.004224,0.001120,0.000288,1.206671
0.423217,0.017664,0.750846,0.002496,0.001152,0.000384,1.203183
0.418544,0.017473,0.749885,0.004801,0.001184,0.000384,1.199951
0.435121,0.017857,0.748733,0.003584,0.001344,0.000384,1.214576
0.417105,0.017504,0.743486,0.002368,0.001280,0.000416,1.188463
0.420721,0.017985,0.768478,0.006048,0.001280,0.000416,1.222384
0.416528,0.017793,0.731901,0.002368,0.001504,0.000384,1.177646
0.416336,0.017857,0.736093,0.002528,0.001312,0.000384,1.181998
0.417521,0.017504,0.774239,0.006240,0.001376,0.000416,1.224400
0.416272,0.017633,0.734621,0.002784,0.001472,0.000416,1.180302
0.416529,0.017504,0.737981,0.002432,0.001376,0.000416,1.182895
0.417232,0.017505,0.763902,0.002592,0.001088,0.000352,1.208975
0.415952,0.017633,0.740925,0.002400,0.001088,0.000416,1.185742
0.421232,0.017985,0.740861,0.002592,0.001312,0.000384,1.190990
0.442802,0.017697,0.740093,0.002432,0.001088,0.000384,1.210928
0.420273,0.017408,0.739037,0.002272,0.001088,0.000384,1.187663
0.415952,0.017729,0.731133,0.002432,0.001120,0.000384,1.176078
0.420592,0.017985,0.737853,0.002272,0.001120,0.000384,1.186414
0.421809,0.017473,0.741789,0.002304,0.001152,0.000384,1.190479
0.416240,0.017473,0.757918,0.002304,0.001088,0.000416,1.201647
0.420945,0.017697,0.731228,0.002241,0.001440,0.000384,1.179727
0.421073,0.017377,0.732156,0.002273,0.001056,0.000416,1.181423
0.416656,0.017377,0.777023,0.002304,0.001120,0.000384,1.221328
0.422128,0.017408,0.740381,0.002273,0.001024,0.000416,1.189423
0.416336,0.017633,0.739997,0.002368,0.001024,0.000384,1.183598
0.416432,0.017601,0.746141,0.002336,0.001120,0.000384,1.190447
0.422705,0.018209,0.811808,0.003968,0.002912,0.000576,1.271442
0.423505,0.018369,0.757981,0.003648,0.003136,0.000576,1.215664
0.421296,0.018624,0.761822,0.003521,0.002240,0.000544,1.218928
0.420368,0.018049,0.742589,0.002817,0.001120,0.000384,1.192431
0.422097,0.017505,0.760030,0.002464,0.001120,0.000352,1.210064
0.421585,0.017664,0.742974,0.003232,0.001184,0.000384,1.194799
0.415728,0.017697,0.734685,0.002528,0.001152,0.000416,1.179566
0.420272,0.017697,0.754654,0.002304,0.001152,0.000352,1.203471
0.421809,0.017696,0.772062,0.002368,0.001376,0.000384,1.222576
0.421425,0.017729,0.735069,0.002624,0.001120,0.000384,1.184623
0.439761,0.017408,0.744350,0.002752,0.001184,0.000384,1.212560
0.416816,0.017825,0.745149,0.003008,0.001216,0.000352,1.191182
0.416112,0.017665,0.748701,0.002368,0.001185,0.000352,1.193007
0.421009,0.017697,0.748925,0.002592,0.001216,0.000384,1.199247
0.420593,0.017793,0.745949,0.002592,0.001120,0.000384,1.195183
0.420273,0.017665,0.774110,0.002848,0.001248,0.000416,1.224560
0.415921,0.017696,0.744446,0.002432,0.001120,0.000384,1.188431
0.420368,0.017889,0.731709,0.002368,0.001216,0.000352,1.180558
0.420016,0.017793,0.761662,0.002528,0.001184,0.000352,1.210671
0.416785,0.017729,0.745917,0.003040,0.001088,0.000384,1.192367
0.420337,0.018241,0.732604,0.002657,0.001120,0.000352,1.181615
0.420369,0.033921,0.745374,0.002592,0.001248,0.000352,1.211312
0.420400,0.017601,0.749406,0.002368,0.001088,0.000384,1.198511
0.420016,0.017633,0.735421,0.002528,0.001088,0.000352,1.183374
0.434705,0.017953,0.739613,0.002433,0.001152,0.000352,1.203504
0.420913,0.017729,0.734589,0.002304,0.001152,0.000384,1.184335
0.420849,0.017633,0.745341,0.002240,0.001120,0.000352,1.195311
0.416176,0.017505,0.734013,0.002304,0.001088,0.000352,1.178606
0.420017,0.017761,0.738493,0.002368,0.001024,0.000352,1.186703
0.420976,0.017696,0.765278,0.002369,0.001120,0.000384,1.215216
0.419857,0.017856,0.732829,0.002272,0.001153,0.000416,1.181231
0.416432,0.017473,0.764798,0.002592,0.001120,0.000352,1.209551
