Layer[0],Layer[1],Layer[2],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.439185,0.017601,0.202600,0.195207,0.048514,0.000608,0.013953,0.000384,0.001632,0.001056,0.000352,0.930629
0.415536,0.017697,0.202376,0.193703,0.048866,0.000736,0.013473,0.000416,0.001440,0.001056,0.000416,0.904451
0.415633,0.017536,0.201928,0.194248,0.049154,0.000608,0.013761,0.000384,0.001536,0.001152,0.000384,0.905220
0.416496,0.017793,0.202184,0.192552,0.067746,0.000705,0.013984,0.000448,0.001472,0.001088,0.000352,0.925764
0.416113,0.017633,0.203944,0.190247,0.048994,0.000800,0.013473,0.000384,0.001504,0.001120,0.000416,0.903524
0.416688,0.017825,0.201960,0.204392,0.048962,0.000576,0.013664,0.000416,0.001569,0.001248,0.000416,0.917924
0.416561,0.017984,0.202152,0.195304,0.048674,0.000736,0.014081,0.000384,0.001568,0.001216,0.000352,0.907684
0.433233,0.017761,0.202376,0.185607,0.049026,0.000768,0.014081,0.000416,0.001536,0.001088,0.000416,0.915332
0.416432,0.017665,0.202120,0.192679,0.048994,0.000832,0.013857,0.000384,0.001536,0.001184,0.000384,0.904931
0.416464,0.017985,0.202376,0.191912,0.049378,0.000800,0.013888,0.000384,0.001632,0.001088,0.000416,0.905187
0.416592,0.017281,0.202472,0.208456,0.048482,0.000608,0.013728,0.000384,0.001536,0.001216,0.000384,0.920196
0.417361,0.017600,0.202216,0.191176,0.048610,0.000800,0.013856,0.000384,0.001537,0.001056,0.000384,0.904164
0.417072,0.017697,0.201832,0.194471,0.048546,0.000608,0.013633,0.000416,0.001760,0.001536,0.000352,0.907011
0.416144,0.017953,0.202536,0.195368,0.048482,0.000736,0.013792,0.000384,0.001600,0.001184,0.000384,0.907875
0.432305,0.017825,0.202536,0.185735,0.048418,0.000608,0.013760,0.000384,0.001600,0.001184,0.000384,0.914628
0.416625,0.017825,0.202440,0.195591,0.048930,0.000800,0.013953,0.000416,0.001536,0.001248,0.000416,0.909348
0.416464,0.017792,0.202408,0.195304,0.048802,0.000608,0.013824,0.000416,0.001568,0.001216,0.000416,0.907876
0.415664,0.017921,0.218505,0.193479,0.049218,0.000640,0.013825,0.000384,0.001568,0.001088,0.000352,0.922948
0.415504,0.017505,0.202408,0.185639,0.048898,0.000608,0.013505,0.000416,0.001536,0.001088,0.000352,0.896611
0.415121,0.017952,0.202152,0.192200,0.048738,0.000608,0.014273,0.000384,0.001568,0.001120,0.000352,0.903396
0.416208,0.018017,0.202536,0.190664,0.048834,0.000576,0.013632,0.000448,0.001504,0.001120,0.000352,0.903235
0.415728,0.018337,0.202120,0.186503,0.048866,0.000608,0.013441,0.000416,0.001632,0.001088,0.000352,0.897955
0.416528,0.017601,0.202664,0.194376,0.049154,0.000640,0.013504,0.000384,0.001632,0.000993,0.000384,0.906596
0.415952,0.017537,0.201992,0.191431,0.049346,0.000608,0.013537,0.000416,0.001504,0.001120,0.000352,0.903267
0.435154,0.017792,0.202408,0.198696,0.048834,0.000608,0.013633,0.000416,0.001536,0.001088,0.000384,0.931077
0.415825,0.017537,0.202023,0.196296,0.048610,0.000608,0.013985,0.000384,0.001600,0.001184,0.000384,0.908196
0.415761,0.017473,0.202056,0.191367,0.048482,0.000608,0.013953,0.000416,0.001664,0.001088,0.000384,0.902532
0.415888,0.017793,0.202376,0.215912,0.048962,0.000608,0.014241,0.000448,0.001632,0.001312,0.000352,0.928804
0.415984,0.017761,0.202248,0.191207,0.050690,0.000640,0.013793,0.000448,0.001568,0.001152,0.000352,0.904419
0.416881,0.018017,0.202216,0.223304,0.049026,0.000992,0.014977,0.000384,0.001952,0.001792,0.000576,0.942725
