Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-8],Layer[9],Layer[10],classifier
0.418096,0.017537,0.224521,0.005216,0.048738,0.000800,0.013729,0.173959,0.001408,0.000352,0.912484
0.416272,0.017697,0.204072,0.005184,0.048386,0.000832,0.013856,0.172519,0.001376,0.000384,0.888162
0.422225,0.017505,0.204776,0.005152,0.049026,0.000864,0.014272,0.173735,0.001568,0.000416,0.897539
0.416528,0.017793,0.203560,0.005152,0.048546,0.000832,0.013857,0.178535,0.001248,0.000416,0.893443
0.434096,0.017600,0.204296,0.004993,0.049025,0.000833,0.013792,0.169447,0.001408,0.000384,0.904228
0.416976,0.017441,0.204456,0.004992,0.048546,0.000832,0.013729,0.172423,0.001376,0.000384,0.888547
0.422097,0.017696,0.204296,0.005185,0.048226,0.000864,0.013728,0.167431,0.001376,0.000640,0.889187
0.419921,0.017632,0.204104,0.005089,0.066274,0.000832,0.013665,0.170054,0.001376,0.000416,0.907332
0.417968,0.017761,0.204616,0.004992,0.048098,0.000832,0.013569,0.174983,0.001344,0.000384,0.894403
0.422000,0.017760,0.202952,0.005280,0.048418,0.000832,0.013761,0.169255,0.001248,0.000384,0.889603
0.417648,0.017473,0.203752,0.005056,0.048866,0.000832,0.013985,0.169703,0.001280,0.000384,0.885667
0.434289,0.017729,0.204808,0.005120,0.048258,0.000768,0.013761,0.183623,0.001376,0.000608,0.918500
0.416305,0.018113,0.204776,0.005120,0.048418,0.000832,0.014176,0.200648,0.001664,0.000640,0.921380
0.415633,0.017824,0.204040,0.005089,0.048770,0.000832,0.014048,0.179463,0.001888,0.000384,0.896099
0.420336,0.017697,0.223945,0.005312,0.049090,0.000832,0.014080,0.166471,0.001504,0.000416,0.908579
0.417072,0.017729,0.204648,0.005056,0.047906,0.000864,0.014529,0.173606,0.001408,0.000385,0.890307
0.420113,0.017569,0.203720,0.005312,0.048642,0.000800,0.014304,0.171303,0.001344,0.000384,0.891523
0.420432,0.017953,0.204744,0.005344,0.048834,0.000832,0.013793,0.162598,0.001376,0.000321,0.884355
0.417328,0.017697,0.204552,0.005088,0.048930,0.000832,0.013921,0.178119,0.001440,0.000608,0.897699
0.420369,0.017568,0.203272,0.005120,0.048417,0.000832,0.013985,0.181159,0.001408,0.000608,0.900547
0.417137,0.017729,0.204808,0.005024,0.048706,0.000832,0.013984,0.183144,0.001408,0.000352,0.901092
0.416240,0.017761,0.221737,0.005248,0.048962,0.000832,0.013632,0.174375,0.001408,0.000384,0.908931
0.420848,0.018017,0.203432,0.005216,0.048610,0.000800,0.013921,0.173863,0.001376,0.000352,0.894819
0.415472,0.017569,0.204488,0.005152,0.048482,0.000832,0.013857,0.171622,0.001504,0.000384,0.887203
0.419953,0.017505,0.204232,0.005280,0.048866,0.000736,0.013600,0.175271,0.001440,0.000384,0.895364
0.420337,0.017856,0.204136,0.005025,0.050146,0.000832,0.013760,0.166407,0.001408,0.000352,0.888227
0.416048,0.017665,0.204072,0.005312,0.047522,0.000800,0.013729,0.167238,0.001377,0.000352,0.881955
