Layer[0],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416369,0.757983,0.000768,0.002304,0.001088,0.000384,1.185713
0.416081,0.806561,0.000736,0.002176,0.001152,0.000416,1.234770
0.433138,0.782336,0.000736,0.002144,0.001120,0.000384,1.226642
0.420818,0.767423,0.000800,0.002208,0.000992,0.000416,1.199601
0.420530,0.827745,0.000864,0.005696,0.001184,0.000416,1.263124
0.421201,0.756511,0.000832,0.002112,0.001088,0.000384,1.188656
0.420849,0.802529,0.000672,0.002304,0.000992,0.000608,1.234994
0.420658,0.782720,0.000800,0.002752,0.001120,0.000352,1.215762
0.419985,0.771423,0.000800,0.002368,0.001024,0.000352,1.203057
0.421074,0.757759,0.000768,0.002144,0.001056,0.000352,1.190449
0.415761,0.780032,0.000864,0.002176,0.001121,0.000352,1.206898
0.425041,0.767456,0.000928,0.002208,0.001088,0.000384,1.205425
0.416337,0.779487,0.000960,0.002496,0.001088,0.000384,1.207954
0.451411,0.779744,0.000800,0.002144,0.001056,0.000416,1.243091
0.422130,0.766303,0.000800,0.002208,0.000992,0.000384,1.199633
0.416529,0.780416,0.000832,0.002368,0.001056,0.000352,1.208465
0.416337,0.765567,0.000864,0.002272,0.001184,0.000384,1.193328
0.420594,0.766463,0.000768,0.002144,0.001024,0.000416,1.197457
0.416017,0.782976,0.000801,0.002144,0.001056,0.000416,1.210706
0.420113,0.753727,0.000864,0.002208,0.001088,0.000384,1.185360
0.420753,0.781600,0.000768,0.002081,0.001120,0.000384,1.213106
0.417233,0.783488,0.000832,0.003648,0.001216,0.000449,1.215410
0.420177,0.768864,0.000736,0.002080,0.001088,0.000352,1.199569
0.418673,0.828418,0.000928,0.002720,0.002368,0.000576,1.265363
0.420017,0.762303,0.000960,0.003232,0.001057,0.000416,1.196497
0.422257,0.835906,0.000928,0.003841,0.002304,0.000608,1.276724
0.421553,0.797697,0.000768,0.002176,0.001696,0.000576,1.232082
0.420209,0.762943,0.000768,0.001920,0.001025,0.000384,1.194353
0.415729,0.790145,0.000768,0.003008,0.001024,0.000384,1.218258
0.415633,0.773184,0.000704,0.002720,0.001120,0.000352,1.200273
0.420433,0.747903,0.000672,0.002080,0.001088,0.000608,1.178608
0.416497,0.770655,0.000864,0.002144,0.001184,0.000416,1.199761
0.437778,0.776320,0.000704,0.001984,0.001024,0.000352,1.224594
0.420433,0.762751,0.000640,0.002080,0.001120,0.000352,1.193393
0.415473,0.763615,0.000736,0.002080,0.000896,0.000384,1.188976
0.420081,0.762207,0.000608,0.002112,0.000992,0.000416,1.192240
0.420145,0.750015,0.000704,0.002048,0.001120,0.000416,1.179728
0.420145,0.792321,0.000800,0.002144,0.000928,0.000384,1.223538
0.420529,0.762783,0.000704,0.002016,0.001088,0.000384,1.193969
0.416177,0.760767,0.000736,0.002080,0.000960,0.000416,1.186864
0.417809,0.801120,0.000865,0.003136,0.001248,0.000384,1.234163
0.421073,0.770048,0.000800,0.002016,0.001120,0.000384,1.202417
0.420273,0.770143,0.000768,0.002049,0.001120,0.000352,1.201009
0.435826,0.788704,0.000800,0.002048,0.001056,0.000544,1.235570
0.420049,0.753311,0.000672,0.001888,0.001088,0.000576,1.183920
0.420050,0.764927,0.000704,0.002080,0.001024,0.000352,1.196529
0.415312,0.798912,0.000800,0.002208,0.001152,0.000321,1.225107
0.415025,0.785984,0.000672,0.002048,0.001088,0.000384,1.211185
0.420145,0.787937,0.000928,0.002048,0.001248,0.000416,1.219698
0.419697,0.761311,0.000768,0.002272,0.000992,0.000352,1.191889
0.416433,0.777632,0.000896,0.002496,0.001184,0.000384,1.207409
0.420529,0.814849,0.001152,0.003520,0.001120,0.000384,1.249427
0.420081,0.764415,0.000704,0.002048,0.001217,0.000352,1.195537
0.420017,0.764127,0.000705,0.002080,0.001152,0.000384,1.195121
0.438834,0.792288,0.001056,0.003360,0.001088,0.000353,1.245523
0.419761,0.753567,0.000704,0.002016,0.001024,0.000416,1.184400
0.419505,0.753823,0.000608,0.001792,0.000928,0.000384,1.182992
0.415697,0.750654,0.000641,0.001920,0.001088,0.000352,1.176176
0.419633,0.757087,0.000768,0.002240,0.001088,0.000352,1.188592
0.420465,0.773536,0.000736,0.002208,0.000992,0.000384,1.204785
0.416753,0.754495,0.000736,0.002240,0.001216,0.000576,1.184016
0.419986,0.760959,0.000736,0.002112,0.001088,0.000384,1.191729
0.415249,0.771488,0.000672,0.002016,0.000992,0.000544,1.197489
0.415473,0.789953,0.000768,0.002048,0.001024,0.000576,1.216146
0.420017,0.775808,0.000672,0.001952,0.001152,0.000576,1.206193
0.415249,0.788609,0.000736,0.002016,0.001088,0.000576,1.215282
0.416177,0.787456,0.000832,0.002016,0.001217,0.000384,1.214514
0.421617,0.758879,0.000864,0.002016,0.001024,0.000416,1.193104
0.437586,0.771231,0.000768,0.002240,0.001024,0.000576,1.220978
0.415825,0.767904,0.000736,0.002272,0.000960,0.000416,1.194993
0.416625,0.780864,0.000736,0.002401,0.001152,0.000448,1.210802
