Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416528,0.017376,0.683003,0.048738,0.000576,0.013537,0.000384,0.001536,0.001088,0.000352,1.191983
0.441169,0.017889,0.683195,0.048482,0.000576,0.013441,0.000416,0.001472,0.001152,0.000352,1.216016
0.415729,0.017344,0.672059,0.048930,0.000608,0.013441,0.000416,0.001472,0.001088,0.000384,1.179503
0.415985,0.017889,0.686779,0.049026,0.000640,0.013505,0.000416,0.001472,0.001152,0.000416,1.195312
0.440625,0.017921,0.702204,0.048386,0.000608,0.013601,0.000384,0.001568,0.001280,0.000544,1.238513
0.417201,0.017856,0.684859,0.048770,0.000640,0.013856,0.000384,0.001504,0.001248,0.000385,1.196176
0.416849,0.017984,0.728221,0.048514,0.000608,0.013825,0.000448,0.001632,0.001216,0.000384,1.238193
0.416400,0.017921,0.690363,0.049058,0.000608,0.013377,0.000448,0.001600,0.001184,0.000416,1.199919
0.416112,0.017729,0.696892,0.048578,0.000576,0.013472,0.000384,0.001504,0.001281,0.000384,1.205840
0.417264,0.017441,0.708796,0.048386,0.000544,0.013473,0.000416,0.001536,0.001216,0.000352,1.218416
0.415825,0.017697,0.684699,0.048546,0.000608,0.013600,0.000448,0.001537,0.001184,0.000384,1.194864
0.416656,0.017601,0.686299,0.048866,0.000544,0.013761,0.000416,0.001536,0.001152,0.000384,1.195855
0.435282,0.018048,0.670875,0.048578,0.000576,0.013889,0.000416,0.001472,0.001152,0.000384,1.199600
0.416017,0.017537,0.687163,0.048642,0.000608,0.013632,0.000448,0.001537,0.001184,0.000352,1.195216
0.416401,0.017664,0.674075,0.048738,0.000576,0.013761,0.000384,0.001504,0.001184,0.000384,1.184111
0.416528,0.017761,0.693467,0.048417,0.000577,0.013664,0.000416,0.001536,0.001184,0.000416,1.203727
0.416497,0.017313,0.689339,0.048834,0.000576,0.013825,0.000416,0.001600,0.001184,0.000384,1.198960
0.415792,0.017761,0.713884,0.048418,0.000608,0.013729,0.000416,0.001504,0.001408,0.000352,1.223056
0.416112,0.017729,0.693947,0.048386,0.000576,0.013665,0.000384,0.001536,0.001152,0.000384,1.202991
0.415697,0.017761,0.680603,0.048258,0.000576,0.013696,0.000384,0.001440,0.001216,0.000352,1.189391
0.416240,0.017568,0.712285,0.049346,0.000576,0.013600,0.000416,0.001600,0.001280,0.000416,1.222608
0.417041,0.017600,0.690940,0.049026,0.000576,0.013824,0.000384,0.001632,0.001088,0.000384,1.201264
0.416561,0.017569,0.683931,0.048546,0.000608,0.013504,0.000384,0.001536,0.001185,0.000384,1.193680
0.435281,0.017441,0.685691,0.048994,0.000576,0.013761,0.000480,0.001568,0.001280,0.000384,1.214288
0.415921,0.017632,0.683547,0.048386,0.000576,0.013536,0.000416,0.001600,0.001280,0.000352,1.193135
0.417041,0.017729,0.690171,0.048386,0.000608,0.013505,0.000416,0.001504,0.001248,0.000832,1.200624
0.416272,0.017504,0.688988,0.048226,0.000576,0.013632,0.000384,0.001568,0.001216,0.000384,1.198095
0.416080,0.017440,0.684699,0.048834,0.000576,0.013441,0.000384,0.001536,0.001344,0.000352,1.193647
0.415857,0.017696,0.706845,0.048066,0.000608,0.013472,0.000448,0.001536,0.001120,0.000384,1.214480
0.415920,0.017633,0.666778,0.048674,0.000544,0.013409,0.000416,0.001408,0.001280,0.000384,1.174990
0.415825,0.017729,0.693787,0.048706,0.000608,0.013729,0.000416,0.001536,0.001088,0.000608,1.203120
0.416369,0.017664,0.705372,0.048162,0.000544,0.013569,0.000448,0.001536,0.001152,0.000320,1.214192
0.415824,0.017409,0.711132,0.048866,0.000576,0.013537,0.000384,0.001568,0.001216,0.000384,1.219472
0.416049,0.017505,0.686107,0.048642,0.000544,0.013504,0.000512,0.001473,0.001088,0.000352,1.194000
0.436401,0.017825,0.693340,0.048930,0.000544,0.013632,0.000448,0.001600,0.001248,0.000384,1.224720
0.415952,0.017697,0.685979,0.048194,0.000576,0.013345,0.000416,0.001536,0.000992,0.000800,1.194287
0.416145,0.017793,0.692923,0.048226,0.000608,0.013377,0.000352,0.001536,0.001184,0.000448,1.201488
0.415984,0.017729,0.687387,0.048834,0.000576,0.013377,0.000416,0.001600,0.001120,0.000320,1.195695
0.416497,0.017505,0.669978,0.048514,0.000576,0.013409,0.000416,0.001536,0.001120,0.000384,1.178159
0.416529,0.017504,0.701724,0.050370,0.000544,0.013377,0.000416,0.001536,0.001216,0.000384,1.212592
0.416369,0.018305,0.691323,0.048354,0.000640,0.013409,0.000416,0.001504,0.001120,0.000352,1.200880
0.416177,0.017472,0.670715,0.048066,0.000544,0.013377,0.000384,0.001536,0.000960,0.000416,1.178223
0.415921,0.017664,0.708381,0.049090,0.000576,0.013408,0.000416,0.001568,0.001024,0.000416,1.217520
0.415761,0.017825,0.698715,0.048386,0.000544,0.013313,0.000384,0.001536,0.000992,0.000832,1.205808
0.415504,0.017601,0.676635,0.049154,0.000608,0.013472,0.000480,0.001536,0.001152,0.000800,1.186415
0.431825,0.017792,0.677211,0.049442,0.000640,0.013633,0.000416,0.001504,0.001024,0.000320,1.201936
0.416273,0.017697,0.682331,0.048770,0.000544,0.013408,0.000416,0.001537,0.001152,0.000384,1.190608
0.415953,0.017728,0.683388,0.048513,0.000576,0.013408,0.000384,0.001600,0.001088,0.000608,1.190223
0.415473,0.017665,0.680699,0.048450,0.000640,0.013472,0.000448,0.001536,0.001056,0.000384,1.187984
0.415632,0.017729,0.686587,0.048641,0.000608,0.013473,0.000384,0.001504,0.001088,0.000384,1.193711
0.415889,0.017697,0.699291,0.048194,0.000576,0.013793,0.000480,0.001504,0.001216,0.000352,1.207984
0.415569,0.017985,0.671098,0.048770,0.000576,0.013409,0.000416,0.001536,0.001184,0.000352,1.178863
0.416048,0.017536,0.676347,0.048162,0.000608,0.013409,0.000416,0.001472,0.001184,0.000384,1.183631
0.415537,0.017249,0.700732,0.048385,0.000609,0.013376,0.000480,0.001472,0.001056,0.000384,1.207408
0.417456,0.017505,0.686843,0.048034,0.000608,0.013793,0.000448,0.001536,0.001184,0.000384,1.197263
0.416208,0.017760,0.692636,0.048706,0.000640,0.013440,0.000384,0.001504,0.001152,0.000384,1.201200
0.436466,0.017344,0.691355,0.048674,0.000576,0.013441,0.000480,0.001504,0.001280,0.000384,1.220497
0.416784,0.017537,0.670907,0.048290,0.000544,0.013440,0.000352,0.001568,0.001312,0.000608,1.179919
0.415344,0.017921,0.681147,0.047490,0.000544,0.013440,0.000384,0.001536,0.001249,0.000832,1.187823
0.434033,0.017601,0.673722,0.048385,0.000576,0.013377,0.000384,0.001568,0.001152,0.000800,1.200015
0.416176,0.017697,0.673691,0.047810,0.000640,0.013440,0.000481,0.001536,0.001184,0.000800,1.181935
0.416048,0.017697,0.681531,0.067747,0.000736,0.013408,0.000416,0.001472,0.001217,0.000832,1.209776
0.415664,0.018240,0.677979,0.047810,0.000544,0.013601,0.000416,0.001504,0.001152,0.000608,1.185839
0.416113,0.017312,0.675931,0.048098,0.000544,0.013377,0.000416,0.001440,0.001056,0.000800,1.183215
0.415536,0.017633,0.716925,0.048162,0.000640,0.013504,0.000384,0.001504,0.001248,0.000352,1.225264
0.416689,0.017921,0.683867,0.048482,0.000576,0.013568,0.000480,0.001568,0.001089,0.000384,1.193008
