Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.416080,0.017729,0.202664,0.005280,0.047138,0.000544,0.213128,0.001984,0.001184,0.000416,0.913923
0.436978,0.017760,0.203528,0.004865,0.046945,0.000576,0.189640,0.002272,0.001088,0.000384,0.911652
0.420913,0.017408,0.202408,0.005024,0.047010,0.000576,0.187016,0.002112,0.001248,0.000384,0.892995
0.417040,0.017505,0.204136,0.005280,0.047330,0.000544,0.200680,0.002176,0.001280,0.000320,0.904771
0.416913,0.017505,0.202600,0.005056,0.047746,0.000576,0.243529,0.003520,0.001184,0.000385,0.947622
0.421105,0.017633,0.202696,0.005024,0.048578,0.000544,0.195015,0.002113,0.001152,0.000384,0.901956
0.415729,0.017344,0.202664,0.005056,0.048514,0.000576,0.217321,0.002144,0.001120,0.000416,0.918756
0.416080,0.017793,0.202056,0.005312,0.047714,0.000576,0.191816,0.002080,0.001056,0.000384,0.893091
0.431217,0.017504,0.202632,0.004896,0.047842,0.000576,0.192712,0.001952,0.001152,0.000384,0.908707
0.421073,0.017440,0.202024,0.005216,0.047810,0.000576,0.191560,0.002176,0.001120,0.000384,0.897155
0.416240,0.017473,0.202088,0.005472,0.047810,0.000576,0.205224,0.001984,0.000928,0.000384,0.905923
0.415697,0.017600,0.202568,0.005248,0.069090,0.000608,0.186568,0.003136,0.001184,0.000352,0.910948
0.416784,0.017505,0.202408,0.004928,0.047234,0.000544,0.186855,0.002177,0.001088,0.000384,0.887779
0.417328,0.017601,0.202504,0.005312,0.049026,0.000576,0.196456,0.002176,0.001216,0.000384,0.900323
0.416593,0.017792,0.201735,0.004865,0.048258,0.000544,0.191463,0.001984,0.001152,0.000352,0.893091
0.435121,0.017345,0.202792,0.005056,0.048130,0.000608,0.195272,0.002080,0.001056,0.000352,0.915812
0.416592,0.017505,0.202088,0.005152,0.047618,0.000576,0.189191,0.002049,0.001088,0.000384,0.889923
0.416912,0.017505,0.202152,0.005216,0.048098,0.000608,0.191303,0.002016,0.001217,0.000384,0.892995
0.417329,0.017536,0.202120,0.004993,0.069634,0.000608,0.192424,0.002016,0.001152,0.000384,0.916548
0.416688,0.017633,0.202312,0.005056,0.048450,0.000608,0.186119,0.002016,0.001152,0.000352,0.887554
0.416176,0.017441,0.202280,0.005248,0.047810,0.000544,0.196232,0.002112,0.001024,0.000352,0.896867
0.416784,0.017473,0.202440,0.005024,0.047874,0.000576,0.197672,0.002080,0.001120,0.000384,0.898627
0.431120,0.017600,0.203048,0.004800,0.048098,0.000608,0.198344,0.002144,0.001152,0.000352,0.916195
0.417136,0.017632,0.202280,0.004928,0.048802,0.000576,0.211433,0.002048,0.001056,0.000384,0.914052
0.420624,0.017345,0.202408,0.005056,0.048482,0.000576,0.193096,0.002080,0.001024,0.000384,0.898595
0.416208,0.017888,0.221225,0.005280,0.047874,0.000608,0.195752,0.001952,0.001152,0.000384,0.915940
0.416304,0.017537,0.202408,0.004864,0.047362,0.000576,0.191079,0.002144,0.001056,0.000352,0.891266
0.415344,0.017697,0.202856,0.005344,0.047426,0.000608,0.189640,0.002144,0.001152,0.000352,0.890211
0.415760,0.017665,0.202664,0.005024,0.047682,0.000544,0.184807,0.001888,0.001120,0.000384,0.885538
0.434897,0.017633,0.202152,0.005472,0.047042,0.000544,0.193192,0.002240,0.001120,0.000384,0.912932
0.416336,0.017377,0.202088,0.004864,0.046978,0.000576,0.206024,0.002176,0.000992,0.000320,0.905507
0.417040,0.017633,0.202248,0.004928,0.047330,0.000544,0.196104,0.002080,0.000992,0.000384,0.896867
0.417969,0.017664,0.221992,0.005248,0.047170,0.000608,0.191432,0.002112,0.001056,0.000416,0.915332
0.421521,0.017537,0.202599,0.004960,0.047778,0.000576,0.198375,0.002017,0.001152,0.000384,0.904580
0.420720,0.017472,0.202120,0.005120,0.048258,0.000576,0.194632,0.002240,0.001024,0.000384,0.901475
0.417553,0.017184,0.202184,0.004961,0.048449,0.000576,0.189895,0.002016,0.001056,0.000384,0.892131
0.417488,0.017505,0.202280,0.005216,0.048002,0.000576,0.177447,0.002080,0.001056,0.000384,0.879714
0.415889,0.017408,0.202440,0.005249,0.048578,0.000576,0.196487,0.002208,0.001088,0.000384,0.898116
0.421584,0.017793,0.202760,0.005024,0.048098,0.000576,0.197160,0.002176,0.001184,0.000384,0.904804
0.417840,0.017697,0.225737,0.005120,0.047938,0.000544,0.201096,0.002080,0.001376,0.000384,0.928100
0.416048,0.017505,0.202504,0.004896,0.048098,0.000576,0.192743,0.002240,0.001024,0.000320,0.893891
0.417264,0.017793,0.202152,0.005248,0.048066,0.000576,0.182567,0.002496,0.001152,0.000352,0.885314
0.416688,0.017569,0.202312,0.004960,0.047778,0.000576,0.196904,0.002272,0.001152,0.000416,0.899459
0.416944,0.033218,0.202664,0.005056,0.047842,0.000576,0.184071,0.002336,0.001120,0.000352,0.902403
0.415985,0.017760,0.202152,0.005025,0.048385,0.000544,0.208168,0.002016,0.001088,0.000416,0.909540
0.420977,0.017601,0.202503,0.005217,0.047714,0.000576,0.186791,0.002144,0.001184,0.000416,0.892867
0.438770,0.017536,0.202472,0.005025,0.047810,0.000576,0.195911,0.002144,0.001216,0.000320,0.920420
0.416144,0.017505,0.202632,0.005312,0.047714,0.000576,0.194824,0.002016,0.001152,0.000384,0.896995
0.417104,0.017729,0.202504,0.005248,0.047970,0.000576,0.198280,0.002112,0.001120,0.000352,0.900707
0.415952,0.017473,0.202248,0.005248,0.047490,0.000608,0.187655,0.002080,0.001056,0.000384,0.887682
0.416528,0.017441,0.202344,0.005024,0.047426,0.000544,0.192103,0.002080,0.000992,0.000352,0.892578
0.415312,0.017665,0.202536,0.005248,0.047682,0.000608,0.183559,0.001921,0.001120,0.000352,0.883427
0.417328,0.017600,0.202248,0.005024,0.047906,0.000576,0.196808,0.003968,0.001120,0.000384,0.902179
0.444497,0.017536,0.202120,0.005280,0.048002,0.000544,0.189960,0.002112,0.001216,0.000384,0.919812
0.416081,0.017504,0.202952,0.004897,0.048002,0.000608,0.187559,0.002016,0.001152,0.000384,0.888803
0.417425,0.017473,0.202728,0.005024,0.047746,0.000576,0.191975,0.002112,0.001024,0.000352,0.894275
0.415153,0.017632,0.202760,0.005024,0.047617,0.000608,0.180391,0.002144,0.000928,0.000352,0.880099
0.416016,0.017665,0.202792,0.005056,0.047714,0.000576,0.185896,0.002368,0.001184,0.000416,0.887683
0.416176,0.017249,0.203368,0.005248,0.047746,0.000544,0.193159,0.002080,0.001056,0.000352,0.894755
0.416113,0.017408,0.202408,0.005121,0.047553,0.000544,0.189096,0.001920,0.000960,0.000320,0.889123
0.436849,0.017440,0.202472,0.005025,0.047265,0.000577,0.208648,0.002048,0.001120,0.000384,0.930116
0.417713,0.017729,0.202375,0.005056,0.047106,0.000576,0.188519,0.002112,0.001088,0.000352,0.889955
0.419152,0.017665,0.203720,0.005280,0.047298,0.000608,0.194215,0.002336,0.001120,0.000384,0.901700
0.418609,0.017505,0.202503,0.005216,0.049986,0.000576,0.203368,0.003168,0.036001,0.000512,0.947749
0.416049,0.017505,0.202631,0.004864,0.048162,0.000576,0.194183,0.002048,0.001056,0.000352,0.895556
0.421905,0.017664,0.202376,0.005217,0.048289,0.000608,0.192200,0.002048,0.001216,0.000352,0.900355
0.416529,0.017632,0.202600,0.005057,0.047553,0.000576,0.188711,0.002048,0.001056,0.000384,0.890371
0.434609,0.017728,0.202344,0.005313,0.047105,0.000576,0.193703,0.002208,0.000960,0.000384,0.913379
0.416145,0.017505,0.202215,0.004992,0.047810,0.000544,0.192775,0.001952,0.001152,0.000416,0.893379
0.415920,0.017473,0.201960,0.005024,0.047682,0.000608,0.187655,0.002016,0.001120,0.000384,0.887746
0.416656,0.017473,0.202280,0.004992,0.047810,0.000544,0.188327,0.002113,0.001088,0.000384,0.888707
0.421040,0.017345,0.202504,0.004928,0.048002,0.000576,0.188583,0.002145,0.000992,0.000352,0.893859
0.416528,0.017569,0.202984,0.005120,0.047874,0.000608,0.191751,0.002241,0.001120,0.000384,0.894019
0.415472,0.017377,0.202856,0.005248,0.047394,0.000608,0.185800,0.002016,0.000960,0.000384,0.885635
0.431889,0.017633,0.202344,0.005056,0.047394,0.000576,0.183591,0.002176,0.001280,0.000352,0.900323
0.416433,0.017504,0.202312,0.005217,0.047265,0.000576,0.188616,0.002016,0.001056,0.000384,0.889635
0.416272,0.017664,0.202120,0.005056,0.047810,0.000608,0.185096,0.002432,0.001120,0.000384,0.886083
0.415889,0.017280,0.202472,0.005217,0.048130,0.000608,0.187335,0.002112,0.001088,0.000384,0.888419
0.415184,0.017409,0.202184,0.005216,0.047426,0.000544,0.185383,0.002113,0.000928,0.000352,0.883427
0.415632,0.017665,0.202152,0.005280,0.048482,0.000480,0.183751,0.002081,0.001024,0.000384,0.884355
0.415888,0.017537,0.201896,0.004832,0.048290,0.000608,0.195816,0.002048,0.001120,0.000384,0.895939
0.416208,0.017633,0.219561,0.005088,0.047490,0.000576,0.193927,0.002048,0.000992,0.000352,0.911748
0.419409,0.017857,0.204008,0.005056,0.048802,0.000576,0.200072,0.002304,0.001216,0.000352,0.907780
0.417744,0.017441,0.202728,0.005088,0.047938,0.000576,0.190631,0.002049,0.000960,0.000352,0.893923
0.416720,0.017697,0.201992,0.005056,0.048322,0.000576,0.188680,0.002080,0.001152,0.000384,0.890083
0.421137,0.017408,0.202248,0.005377,0.047713,0.000576,0.189224,0.002176,0.000992,0.000384,0.895683
0.416016,0.017473,0.201832,0.005056,0.047970,0.000544,0.195943,0.002112,0.001057,0.000416,0.895843
0.416240,0.017537,0.202696,0.005024,0.047426,0.000576,0.183207,0.002016,0.001152,0.000320,0.884034
0.415824,0.037602,0.202664,0.005312,0.048130,0.000576,0.186247,0.001984,0.000992,0.000352,0.907203
0.415664,0.017441,0.204072,0.005056,0.047714,0.000608,0.188807,0.002016,0.001152,0.000384,0.890275
0.415536,0.017281,0.203208,0.005184,0.047970,0.000576,0.194920,0.001888,0.000992,0.000384,0.895523
0.417456,0.017697,0.202792,0.005056,0.048450,0.000576,0.185831,0.002081,0.000960,0.000320,0.890371
0.421328,0.017569,0.202312,0.005024,0.047714,0.000576,0.200392,0.002144,0.001056,0.000384,0.908003
0.416272,0.017473,0.202440,0.004992,0.047522,0.000608,0.187943,0.002080,0.001184,0.000384,0.888515
0.417584,0.017473,0.202216,0.005056,0.048546,0.000576,0.188903,0.001984,0.000992,0.000384,0.891138
0.437457,0.017729,0.202408,0.005024,0.048098,0.000576,0.180391,0.003200,0.001120,0.000352,0.904420
0.416464,0.017761,0.201992,0.005056,0.048738,0.000576,0.182503,0.002080,0.001088,0.000416,0.884354
0.416144,0.017505,0.202248,0.005216,0.047618,0.000576,0.191944,0.002016,0.001184,0.000352,0.893251
0.417168,0.017633,0.201832,0.005248,0.048514,0.000608,0.187175,0.001984,0.001184,0.000352,0.889506
0.415984,0.017697,0.204264,0.005056,0.047970,0.000576,0.181319,0.001952,0.000992,0.000384,0.884066
0.415440,0.017729,0.202024,0.004864,0.048066,0.000576,0.191047,0.002112,0.001056,0.000352,0.890723
0.416112,0.017569,0.202728,0.005120,0.047650,0.000576,0.187559,0.001856,0.000960,0.000352,0.887874
