Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-9],Layer[10],classifier
0.427185,0.017921,0.213096,0.004832,0.332525,0.001152,1.007527
0.418865,0.017665,0.205128,0.037953,0.250250,0.000928,0.937157
0.417104,0.017249,0.202920,0.005024,0.253162,0.000608,0.902083
0.421520,0.017601,0.203656,0.004864,0.255082,0.000640,0.910435
0.421073,0.017888,0.202152,0.005216,0.244906,0.000736,0.897507
0.434257,0.017568,0.202344,0.004928,0.253898,0.000833,0.919556
0.422768,0.018337,0.208712,0.005216,0.352078,0.001248,1.022312
0.421360,0.017889,0.204168,0.005376,0.313708,0.001408,0.972551
0.435217,0.017889,0.203272,0.005024,0.267467,0.000736,0.935813
0.420657,0.017696,0.202888,0.004801,0.241449,0.000576,0.893699
0.415664,0.017793,0.202696,0.004832,0.258442,0.000576,0.905923
0.415984,0.017377,0.202376,0.004800,0.259594,0.000608,0.906371
0.415856,0.017601,0.202152,0.004864,0.253802,0.000576,0.900355
0.417360,0.017825,0.204296,0.004928,0.271019,0.000736,0.923748
0.421200,0.017729,0.204136,0.004864,0.265386,0.000640,0.920740
0.434353,0.017633,0.203560,0.005056,0.254698,0.000704,0.922980
0.421745,0.017696,0.203400,0.004833,0.255242,0.000704,0.911812
0.421648,0.017921,0.202536,0.004864,0.262826,0.000832,0.916964
0.415953,0.017696,0.231722,0.005184,0.254826,0.000608,0.932549
0.415985,0.017697,0.203464,0.004896,0.261386,0.000576,0.909988
0.416209,0.017825,0.202119,0.004833,0.249993,0.000576,0.897732
0.421009,0.017537,0.202792,0.004896,0.249962,0.000576,0.903332
0.420336,0.017697,0.202568,0.004896,0.265130,0.000608,0.918820
0.417520,0.017537,0.202856,0.004896,0.246122,0.000640,0.896835
0.416753,0.017665,0.202888,0.005376,0.235049,0.000576,0.884387
0.435153,0.017632,0.203336,0.005249,0.240777,0.000928,0.909219
0.420273,0.017729,0.202567,0.004801,0.251434,0.000704,0.904196
0.420016,0.017536,0.203112,0.004832,0.258538,0.000672,0.910404
0.419952,0.017473,0.221160,0.004961,0.250377,0.000672,0.920388
0.420849,0.017248,0.202824,0.004865,0.256586,0.000640,0.908772
0.415792,0.017505,0.202824,0.005280,0.258698,0.000640,0.909572
0.416176,0.017569,0.202984,0.004896,0.288588,0.000704,0.937765
0.420721,0.017504,0.204872,0.004833,0.254698,0.000608,0.912004
0.417616,0.018017,0.205160,0.004864,0.268843,0.000736,0.921796
0.416625,0.018017,0.203272,0.004928,0.261386,0.000672,0.911300
0.416848,0.017761,0.203400,0.004864,0.254858,0.000640,0.904387
0.416784,0.017761,0.203432,0.005216,0.262858,0.000609,0.913252
0.416016,0.017729,0.203176,0.004864,0.265482,0.000608,0.913668
0.417136,0.017793,0.204392,0.005280,0.259530,0.000800,0.911267
0.416624,0.017697,0.203560,0.004896,0.257514,0.000640,0.907204
0.416336,0.017857,0.202824,0.004864,0.264298,0.000608,0.914051
0.416144,0.017665,0.203080,0.004896,0.260138,0.000704,0.908579
0.420817,0.017249,0.202536,0.005024,0.259818,0.000704,0.913316
0.417712,0.018145,0.204168,0.004896,0.269835,0.000864,0.922596
0.417008,0.017697,0.203848,0.004928,0.274859,0.000928,0.926308
0.415856,0.017505,0.202728,0.005280,0.263819,0.000576,0.911940
0.415952,0.017569,0.203080,0.004832,0.259754,0.000800,0.908259
0.432337,0.017825,0.204776,0.004896,0.255050,0.000640,0.921956
0.415824,0.018177,0.204040,0.004800,0.254346,0.000640,0.904227
0.416720,0.017537,0.203368,0.004864,0.248746,0.000640,0.898275
0.432241,0.017664,0.204232,0.004801,0.241993,0.000608,0.908131
0.416369,0.017536,0.203176,0.004833,0.263690,0.000704,0.913476
0.416240,0.017537,0.202664,0.004960,0.261546,0.000800,0.910083
0.437426,0.017536,0.202984,0.004897,0.263050,0.000640,0.933637
0.421104,0.017505,0.202888,0.005152,0.250634,0.000672,0.904387
0.417105,0.017408,0.202760,0.005249,0.260874,0.000800,0.910660
0.416529,0.017505,0.221064,0.005088,0.266539,0.000640,0.934277
0.415408,0.017376,0.202664,0.005088,0.251434,0.000704,0.899043
0.416176,0.017505,0.202472,0.004864,0.259882,0.000832,0.908099
0.421361,0.017857,0.219048,0.004960,0.292140,0.000672,0.963526
0.415857,0.017664,0.203272,0.004865,0.259626,0.000608,0.908260
0.416497,0.017632,0.203015,0.004833,0.262794,0.000832,0.912996
0.416272,0.017537,0.202920,0.004832,0.274123,0.000608,0.923108
0.415952,0.017473,0.202696,0.004832,0.246858,0.000640,0.896547
0.416112,0.017633,0.203016,0.005088,0.253706,0.000640,0.903011
0.416432,0.017537,0.203624,0.004832,0.284843,0.000800,0.934596
0.416176,0.017569,0.203656,0.004832,0.247850,0.000672,0.897155
0.416400,0.017665,0.202824,0.004864,0.254474,0.000672,0.903235
0.415953,0.017600,0.203208,0.004801,0.261802,0.000704,0.910948
0.415728,0.017473,0.203144,0.004768,0.258090,0.000672,0.906435
0.415856,0.017505,0.203688,0.005088,0.266026,0.000672,0.915043
0.416240,0.017729,0.203432,0.005216,0.267883,0.000672,0.918532
0.417681,0.017888,0.203016,0.004897,0.245097,0.000864,0.896067
0.416016,0.017697,0.203592,0.005280,0.260202,0.000768,0.910819
0.415984,0.017569,0.202760,0.005056,0.246217,0.000704,0.894083
0.431633,0.017857,0.202664,0.004992,0.253290,0.000896,0.917668
0.416048,0.017633,0.203880,0.004736,0.249994,0.000672,0.899043
0.416657,0.017473,0.204040,0.004768,0.247817,0.000704,0.897764
0.416176,0.017473,0.202472,0.004928,0.269483,0.000608,0.917156
0.415856,0.017569,0.203080,0.004832,0.260362,0.000864,0.908195
0.415888,0.017536,0.202920,0.004768,0.253546,0.000672,0.901187
0.416049,0.017632,0.202760,0.004833,0.260778,0.000608,0.909380
0.436113,0.017921,0.202184,0.004896,0.262250,0.000608,0.929732
0.417713,0.017761,0.203431,0.004832,0.262218,0.000672,0.914212
0.416464,0.017665,0.202216,0.005184,0.263435,0.000672,0.912420
0.416752,0.017697,0.239593,0.005313,0.268266,0.000640,0.955141
0.420304,0.017601,0.203656,0.004800,0.259562,0.000800,0.912548
0.416529,0.017632,0.202280,0.004864,0.228265,0.000672,0.876066
0.415888,0.017697,0.202536,0.005216,0.263210,0.000608,0.911459
0.416369,0.017600,0.203272,0.004833,0.262282,0.000672,0.911204
0.416657,0.017696,0.202312,0.005185,0.263722,0.000608,0.912484
