Layer[0],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420018,0.761664,0.000960,0.014464,0.000352,0.001504,0.000992,0.000288,1.207315
0.415761,0.764096,0.000864,0.014529,0.000384,0.001440,0.001120,0.000352,1.205170
0.434546,0.785249,0.000800,0.014465,0.000320,0.002208,0.001120,0.000352,1.245780
0.420977,0.763936,0.000800,0.014849,0.000320,0.001440,0.000992,0.000576,1.211442
0.420274,0.801250,0.001216,0.015008,0.000384,0.001504,0.000960,0.000320,1.247189
0.421393,0.799042,0.000736,0.014337,0.000384,0.001472,0.001056,0.000352,1.246036
0.420305,0.764095,0.000736,0.014624,0.000384,0.001440,0.000960,0.000608,1.210034
0.421682,0.797409,0.000832,0.014433,0.000384,0.001504,0.001056,0.000608,1.245620
0.416914,0.774208,0.000896,0.014497,0.000384,0.001568,0.001120,0.000576,1.218547
0.420721,0.775393,0.001024,0.014624,0.000352,0.001600,0.001408,0.000352,1.223155
0.436306,0.779585,0.001184,0.014593,0.000384,0.001440,0.000928,0.000384,1.242676
0.420306,0.770176,0.000832,0.014177,0.000576,0.001568,0.001120,0.000384,1.217971
0.419922,0.765472,0.000768,0.014305,0.000576,0.001600,0.001152,0.000320,1.211827
0.420241,0.801857,0.000768,0.014305,0.000672,0.001472,0.000992,0.000384,1.248468
0.420689,0.769632,0.000864,0.014400,0.000608,0.001633,0.000992,0.000384,1.216915
0.420562,0.780769,0.000960,0.014432,0.000384,0.001472,0.000896,0.000576,1.227476
0.420178,0.767200,0.000896,0.014337,0.000672,0.001504,0.000960,0.000704,1.214003
0.420338,0.760064,0.000864,0.014401,0.000608,0.001632,0.001024,0.000384,1.207795
0.420306,0.755231,0.001121,0.014336,0.000352,0.002176,0.001152,0.000832,1.203954
0.416530,0.752223,0.000864,0.014721,0.000352,0.001504,0.000960,0.000576,1.196210
0.420594,0.755455,0.000768,0.014369,0.000384,0.001568,0.000928,0.000384,1.202290
0.431506,0.787233,0.000800,0.014689,0.000384,0.001408,0.000960,0.000384,1.245492
0.415441,0.759583,0.000832,0.014305,0.000352,0.001472,0.000864,0.000352,1.200786
0.416849,0.782465,0.000832,0.013985,0.000320,0.001536,0.001024,0.000352,1.224947
0.415730,0.765824,0.001120,0.014400,0.000352,0.001569,0.001024,0.000416,1.207891
0.414769,0.767584,0.001152,0.014497,0.000352,0.001600,0.000928,0.000352,1.209266
0.421202,0.861732,0.000832,0.014465,0.000384,0.001472,0.000992,0.000576,1.309335
0.419441,0.771840,0.000832,0.014337,0.000352,0.001408,0.001024,0.000384,1.217587
0.421586,0.770880,0.000832,0.014657,0.000352,0.001568,0.001152,0.000384,1.219443
0.433074,0.802370,0.000768,0.014337,0.000640,0.001920,0.001184,0.000608,1.262293
0.420017,0.766592,0.000864,0.014305,0.000608,0.001600,0.001056,0.000384,1.213362
0.420561,0.780289,0.000832,0.014369,0.000352,0.001600,0.000896,0.000384,1.226963
0.420689,0.766240,0.000832,0.014496,0.000384,0.001472,0.001152,0.000384,1.213010
0.420754,0.777824,0.000896,0.014592,0.000384,0.001536,0.001024,0.000384,1.224915
0.420562,0.783361,0.000960,0.014881,0.000608,0.001504,0.000960,0.000608,1.231892
0.420657,0.767776,0.000800,0.014497,0.000416,0.001440,0.001024,0.000608,1.215506
0.420017,0.757183,0.001152,0.015105,0.000384,0.001504,0.001024,0.000576,1.204786
0.420337,0.814786,0.000864,0.014752,0.000608,0.001504,0.001088,0.000384,1.263124
0.420210,0.776160,0.000736,0.014657,0.000640,0.001600,0.001120,0.000352,1.223379
0.415793,0.748032,0.000768,0.014304,0.000384,0.001632,0.001024,0.000385,1.190002
0.436370,0.762335,0.000864,0.014945,0.000640,0.001568,0.001024,0.000352,1.226899
0.415729,0.752928,0.000832,0.014273,0.000640,0.001920,0.001504,0.000384,1.196050
0.416049,0.774016,0.000832,0.014368,0.000384,0.001536,0.001152,0.000416,1.216882
0.420305,0.800770,0.000864,0.014625,0.000608,0.001376,0.001056,0.000320,1.247188
0.420081,0.748800,0.000832,0.014464,0.000640,0.001473,0.001056,0.000608,1.195186
0.420785,0.794305,0.000897,0.014144,0.000352,0.001536,0.001088,0.000384,1.240979
0.420370,0.747391,0.000896,0.014273,0.000576,0.001536,0.000960,0.000352,1.194258
0.419986,0.758495,0.000736,0.014625,0.000608,0.001600,0.000992,0.000352,1.205106
0.433170,0.760544,0.000800,0.014529,0.000608,0.001600,0.001024,0.000384,1.220659
0.415313,0.765760,0.000896,0.014368,0.000608,0.001888,0.001088,0.000384,1.207698
0.422962,0.793185,0.000896,0.014625,0.000352,0.001504,0.001024,0.000608,1.242740
0.420049,0.790625,0.000896,0.014305,0.000416,0.001536,0.000960,0.000384,1.236979
0.420178,0.749951,0.000833,0.014976,0.000608,0.001536,0.000960,0.000384,1.197394
0.415506,0.770304,0.000800,0.014977,0.000384,0.002048,0.001088,0.000416,1.213043
0.421137,0.760288,0.000864,0.014817,0.000384,0.001568,0.000928,0.000416,1.206738
0.416018,0.749471,0.000800,0.014305,0.000608,0.001600,0.000960,0.000384,1.191666
0.416082,0.824002,0.000960,0.015361,0.000384,0.001504,0.000992,0.000672,1.268373
0.415953,0.761184,0.000864,0.014337,0.000608,0.001536,0.001408,0.000608,1.204818
0.420274,0.757663,0.000864,0.014689,0.000352,0.001536,0.001056,0.000352,1.203410
0.434194,0.766848,0.000960,0.014593,0.000384,0.001504,0.000992,0.000608,1.226995
0.420273,0.742975,0.000928,0.014336,0.000384,0.001472,0.000960,0.000608,1.188401
0.415441,0.744927,0.000768,0.014145,0.000352,0.001408,0.000992,0.000384,1.184913
0.420465,0.762463,0.000800,0.014209,0.000352,0.001472,0.000992,0.000384,1.207570
0.420497,0.787233,0.000640,0.013985,0.000608,0.001536,0.000992,0.000352,1.232755
0.419921,0.770080,0.001120,0.015040,0.000384,0.001409,0.000960,0.000352,1.215411
0.415794,0.758495,0.000704,0.014049,0.000352,0.001408,0.001056,0.000352,1.198802
0.420626,0.767008,0.000768,0.014817,0.000608,0.001504,0.000992,0.000384,1.214931
0.415441,0.777473,0.000864,0.014304,0.000608,0.001824,0.001056,0.000384,1.219347
0.419985,0.750304,0.000832,0.014208,0.000576,0.001505,0.001024,0.000384,1.195410
0.415890,0.753471,0.000736,0.014241,0.000640,0.001504,0.000960,0.000832,1.194642
0.437522,0.764191,0.001120,0.015232,0.000320,0.001536,0.000992,0.000384,1.228947
0.417745,0.760447,0.001088,0.014913,0.000352,0.001504,0.000896,0.000384,1.204114
0.415537,0.756544,0.001088,0.014817,0.000352,0.001472,0.000992,0.000832,1.198642
0.420273,0.778881,0.000736,0.013760,0.000320,0.001537,0.000928,0.000384,1.223635
0.419858,0.745247,0.000704,0.013825,0.000320,0.001440,0.000928,0.000352,1.189138
0.420434,0.805857,0.000801,0.014016,0.000352,0.002016,0.000960,0.000832,1.251796
0.419922,0.763360,0.000768,0.014336,0.000352,0.001920,0.001120,0.000352,1.210387
0.420402,0.749407,0.000704,0.014305,0.000672,0.001536,0.001056,0.000576,1.196946
0.419378,0.785825,0.000800,0.014304,0.000320,0.001408,0.000896,0.000352,1.229716
0.420721,0.782112,0.000768,0.014145,0.000352,0.001504,0.000928,0.000608,1.227923
0.420114,0.756063,0.000768,0.014113,0.000320,0.001440,0.000864,0.000352,1.201618
0.437779,0.758111,0.000640,0.014273,0.000608,0.001568,0.000928,0.000384,1.221043
0.420658,0.751039,0.000672,0.013697,0.000608,0.001888,0.001024,0.000416,1.197394
0.420145,0.753440,0.000608,0.013760,0.000640,0.001440,0.000960,0.000352,1.197170
0.450067,0.765120,0.000736,0.013889,0.000608,0.001472,0.000960,0.000384,1.240404
0.419985,0.784289,0.001056,0.014785,0.000352,0.001440,0.000960,0.000832,1.230035
0.420625,0.793313,0.000736,0.014049,0.000352,0.001984,0.001088,0.000384,1.240723
0.420402,0.740383,0.000800,0.014945,0.000608,0.001504,0.001088,0.000352,1.187922
0.415377,0.757696,0.000832,0.014913,0.000384,0.001536,0.000864,0.000352,1.198482
0.415538,0.763584,0.000832,0.014336,0.000352,0.001472,0.000864,0.000352,1.203635
0.419857,0.769440,0.000832,0.014241,0.000416,0.001504,0.000896,0.000352,1.213938
