Layer[0],Layer[1],Layer[2],TEE[3-9],Layer[10],classifier
0.420560,0.017505,0.202184,0.257898,0.000672,0.905635
0.415504,0.017697,0.201768,0.272586,0.000704,0.914019
0.435985,0.017601,0.201864,0.265418,0.000736,0.928388
0.419408,0.017921,0.202472,0.246538,0.000672,0.892643
0.415441,0.017504,0.202408,0.258411,0.000768,0.901764
0.419249,0.017313,0.216872,0.253994,0.000768,0.914308
0.416240,0.017601,0.201896,0.246218,0.000704,0.889475
0.420241,0.017920,0.203336,0.261259,0.000672,0.908740
0.420433,0.017505,0.202632,0.269802,0.000800,0.918884
0.420176,0.017633,0.201992,0.248970,0.000832,0.895523
0.419761,0.017505,0.201991,0.279115,0.000672,0.926053
0.415793,0.017761,0.202183,0.244394,0.000608,0.887555
0.420496,0.017633,0.221801,0.272138,0.000832,0.939172
0.421392,0.017793,0.202120,0.265226,0.000704,0.914467
0.416880,0.017761,0.203784,0.261546,0.000672,0.907811
0.420880,0.017505,0.202664,0.247530,0.000704,0.895523
0.420464,0.017665,0.202248,0.247690,0.000832,0.895267
0.415472,0.017761,0.202408,0.274187,0.000832,0.917476
0.416720,0.017729,0.201992,0.272683,0.000768,0.916196
0.420912,0.035906,0.203624,0.259754,0.000576,0.927652
0.420464,0.017697,0.202472,0.263594,0.000736,0.912227
0.421329,0.017632,0.202472,0.269835,0.000896,0.918276
0.420945,0.017472,0.202280,0.270955,0.000672,0.919908
0.420177,0.017824,0.202696,0.256362,0.000672,0.905508
0.417425,0.017729,0.202311,0.282092,0.000736,0.927749
0.420240,0.017505,0.202280,0.264106,0.000768,0.912259
0.435410,0.017472,0.202504,0.304524,0.000608,0.968326
0.420401,0.017792,0.202504,0.252970,0.000640,0.901603
0.415888,0.018017,0.202664,0.264234,0.000736,0.909411
0.420528,0.017729,0.202376,0.281547,0.000864,0.930052
0.419888,0.017792,0.202088,0.261098,0.000576,0.909156
0.415537,0.017696,0.203016,0.267275,0.000672,0.911236
0.415249,0.017760,0.202536,0.258635,0.000736,0.902468
0.429617,0.017601,0.202312,0.258122,0.000640,0.916004
0.416240,0.017633,0.202376,0.251337,0.000768,0.896259
0.420880,0.017728,0.202408,0.281419,0.000736,0.932292
0.420657,0.017665,0.223848,0.271787,0.000800,0.941253
0.420401,0.017505,0.202344,0.259114,0.000768,0.907172
0.420272,0.017760,0.202600,0.261931,0.000736,0.910756
0.416176,0.017953,0.201960,0.260426,0.000736,0.904195
0.419857,0.017505,0.202152,0.259242,0.000800,0.906564
0.415665,0.017792,0.202216,0.262539,0.000672,0.906244
0.415696,0.017761,0.202152,0.257930,0.000832,0.901027
0.440241,0.017601,0.202216,0.285099,0.000736,0.955013
0.415984,0.017696,0.202344,0.259530,0.000800,0.903620
0.420144,0.017729,0.202184,0.259306,0.000640,0.907779
0.420176,0.017569,0.202152,0.297388,0.000704,0.945765
0.420464,0.017729,0.202216,0.269515,0.000704,0.916964
0.415280,0.017505,0.202728,0.297836,0.000736,0.941477
0.415792,0.017537,0.202248,0.246186,0.000704,0.889667
0.433777,0.017761,0.202824,0.258474,0.000704,0.923492
0.416017,0.017664,0.202088,0.265387,0.000640,0.908068
0.420560,0.017697,0.201992,0.262442,0.000544,0.909187
0.416689,0.017888,0.221385,0.265290,0.000736,0.929765
0.415728,0.017504,0.201960,0.267499,0.000736,0.910276
0.419984,0.017473,0.202472,0.251050,0.000704,0.899107
0.415825,0.017792,0.201960,0.263915,0.000608,0.906340
0.416304,0.017505,0.202280,0.257578,0.000640,0.900547
0.415408,0.017665,0.202184,0.279115,0.000928,0.922596
0.420593,0.017600,0.201928,0.265707,0.000576,0.912932
0.419889,0.017761,0.217768,0.268683,0.000800,0.932165
0.415441,0.017600,0.202248,0.262283,0.000736,0.904420
0.415185,0.017632,0.202344,0.267019,0.000608,0.909412
0.417073,0.017601,0.202023,0.266987,0.000768,0.912036
0.416368,0.017633,0.202280,0.265738,0.000864,0.910083
0.415953,0.017537,0.202120,0.266794,0.001152,0.910788
0.420240,0.018241,0.202216,0.259146,0.000608,0.906051
0.415664,0.017472,0.221513,0.261898,0.000704,0.924164
0.415728,0.017889,0.202216,0.261770,0.000672,0.903683
0.415824,0.017569,0.201992,0.293612,0.000672,0.935141
0.415952,0.017568,0.202088,0.256970,0.000640,0.898691
0.420049,0.017472,0.202056,0.259403,0.000704,0.906692
0.419856,0.017537,0.202088,0.257898,0.000672,0.906307
0.420753,0.017601,0.202919,0.256491,0.000704,0.905956
0.417680,0.017601,0.221288,0.271371,0.000704,0.935588
0.420432,0.017441,0.202600,0.256682,0.000704,0.903811
0.419344,0.017761,0.202312,0.246441,0.000704,0.891778
0.415600,0.017473,0.202600,0.257162,0.000800,0.900067
0.420049,0.017473,0.202312,0.264266,0.000800,0.911524
0.420049,0.017857,0.202504,0.255114,0.000640,0.902372
0.420592,0.017505,0.202184,0.257066,0.000608,0.904131
0.419857,0.017537,0.221416,0.264683,0.000736,0.931877
0.414608,0.017697,0.202568,0.265194,0.000512,0.907108
0.420336,0.017953,0.202344,0.261834,0.001024,0.911331
0.420048,0.017697,0.202152,0.250826,0.000800,0.899459
0.419984,0.017537,0.202024,0.253898,0.000736,0.901475
0.415728,0.017825,0.201992,0.250378,0.000608,0.893731
0.415504,0.017473,0.202344,0.268938,0.000832,0.912451
0.419953,0.017857,0.226601,0.272906,0.000704,0.946021
0.421104,0.017825,0.204680,0.256266,0.000864,0.907939
0.417136,0.017761,0.202888,0.265098,0.000576,0.909667
0.417168,0.017889,0.203368,0.262250,0.000800,0.907651
0.417617,0.021025,0.202248,0.252810,0.000640,0.899940
0.416721,0.017729,0.202695,0.265803,0.000800,0.911940
0.416593,0.017569,0.202408,0.264010,0.000768,0.909124
0.431601,0.017569,0.202824,0.251946,0.000608,0.911268
0.416560,0.018017,0.201928,0.270155,0.000736,0.913188
0.415953,0.017504,0.202248,0.254986,0.000768,0.897220
0.416497,0.017792,0.202088,0.244426,0.000640,0.887683
0.415697,0.017696,0.202056,0.248042,0.000608,0.890339
0.416337,0.017504,0.202312,0.299724,0.000576,0.941893
0.416720,0.017857,0.201864,0.261002,0.000672,0.903939
0.416048,0.017824,0.214249,0.245641,0.000576,0.899075
0.416528,0.017505,0.202152,0.255274,0.000608,0.898435
0.415792,0.017473,0.202120,0.281963,0.000576,0.923172
0.416944,0.017601,0.201832,0.265227,0.000672,0.907588
0.426097,0.017696,0.202600,0.239178,0.000640,0.891747
0.417105,0.017632,0.202055,0.238858,0.000640,0.881763
0.421777,0.018177,0.204072,0.356270,0.001248,1.014312
0.416560,0.036002,0.203208,0.264810,0.000768,0.930500
0.425457,0.018145,0.205736,0.279051,0.001248,0.938309
0.421169,0.017825,0.203496,0.258986,0.000800,0.910724
0.420784,0.017729,0.203368,0.291692,0.000768,0.941477
0.420592,0.017505,0.203272,0.276619,0.000704,0.926372
0.422353,0.017824,0.203144,0.256618,0.000736,0.907427
0.416945,0.017408,0.203144,0.260619,0.000800,0.906052
0.437041,0.017985,0.202280,0.267626,0.000736,0.932644
0.420464,0.017729,0.202408,0.259818,0.000800,0.907747
0.416496,0.017601,0.201928,0.255850,0.000768,0.899747
0.421617,0.017985,0.202696,0.284555,0.000800,0.934853
0.420208,0.017665,0.203016,0.267274,0.000704,0.916579
0.421200,0.017504,0.202728,0.264459,0.000736,0.913700
0.420305,0.017985,0.202503,0.258539,0.000736,0.907556
0.436946,0.017760,0.203528,0.273899,0.000640,0.939685
0.420336,0.017697,0.202728,0.251722,0.000640,0.900323
0.417040,0.017505,0.202472,0.265546,0.000640,0.909220
0.416112,0.017537,0.221640,0.265739,0.000704,0.928132
0.420368,0.017856,0.202088,0.258666,0.000960,0.907043
0.420433,0.017857,0.203912,0.261738,0.000768,0.913668
0.415985,0.017601,0.203207,0.266186,0.000736,0.911236
0.416592,0.017889,0.202248,0.259370,0.000640,0.903683
0.420625,0.017729,0.203399,0.255530,0.000896,0.905028
0.421105,0.017729,0.203048,0.260106,0.000832,0.910564
0.439346,0.017536,0.202440,0.256682,0.000640,0.924517
0.421329,0.017601,0.203368,0.269642,0.000800,0.920452
0.420528,0.017729,0.203240,0.267275,0.000736,0.916900
0.420369,0.017857,0.202728,0.300171,0.000832,0.949573
0.420401,0.017696,0.202920,0.261675,0.000672,0.910180
0.420624,0.017697,0.203336,0.262282,0.000672,0.912196
0.416113,0.017505,0.202440,0.260042,0.000928,0.904292
0.433233,0.017633,0.202312,0.262666,0.000768,0.924676
0.421424,0.017665,0.202472,0.246666,0.000640,0.895843
0.420529,0.017697,0.202792,0.251593,0.000768,0.901316
0.415824,0.017505,0.203528,0.269962,0.000672,0.915236
0.420273,0.018080,0.202600,0.245802,0.000704,0.894115
0.420721,0.017985,0.202663,0.259370,0.000736,0.908484
0.421264,0.017537,0.202760,0.261226,0.000736,0.909795
0.439249,0.017793,0.202440,0.259274,0.000832,0.926212
0.420464,0.017729,0.202632,0.256970,0.000672,0.904739
0.421072,0.017600,0.202440,0.278219,0.000608,0.926468
