Layer[0],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415793,0.731647,0.047394,0.000576,0.013536,0.000352,0.001472,0.000992,0.000352,1.219699
0.415954,0.747840,0.047490,0.000672,0.013537,0.000416,0.001472,0.000928,0.000352,1.237045
0.416146,0.710334,0.047618,0.000640,0.013569,0.000352,0.001536,0.001120,0.000352,1.201043
0.416850,0.725918,0.047714,0.000576,0.013536,0.000448,0.001472,0.001088,0.000352,1.215763
0.415634,0.706110,0.047746,0.000640,0.013537,0.000448,0.001504,0.001120,0.000352,1.196755
0.416209,0.725919,0.047458,0.000640,0.013441,0.000384,0.001504,0.000928,0.000352,1.214227
0.416082,0.692798,0.047586,0.000672,0.013472,0.000416,0.001440,0.001056,0.000384,1.181651
0.433490,0.736896,0.047458,0.000640,0.013408,0.000352,0.001408,0.000896,0.000320,1.244181
0.414930,0.699678,0.047298,0.000608,0.013536,0.000352,0.001504,0.000928,0.000384,1.186835
0.415410,0.714814,0.047170,0.000608,0.013889,0.000416,0.001504,0.001216,0.000384,1.202675
0.415921,0.700670,0.047458,0.000640,0.013601,0.000384,0.001408,0.000928,0.000416,1.188786
0.415410,0.698045,0.047650,0.000640,0.013600,0.000416,0.001440,0.001088,0.000352,1.186482
0.415826,0.728735,0.047586,0.000608,0.013536,0.000352,0.001505,0.001024,0.000416,1.219636
0.415954,0.700350,0.048034,0.000672,0.013536,0.000416,0.001504,0.001153,0.000352,1.190067
0.416914,0.709278,0.048770,0.000640,0.013569,0.000384,0.001536,0.001216,0.000352,1.201843
0.416305,0.719679,0.047842,0.000608,0.013537,0.000384,0.001504,0.001088,0.000384,1.209139
0.415858,0.701630,0.048354,0.000608,0.013473,0.000352,0.001440,0.001024,0.000384,1.191155
0.415762,0.706878,0.047810,0.000608,0.013472,0.000384,0.001409,0.001056,0.000352,1.195251
0.430098,0.703390,0.048642,0.000576,0.013473,0.000352,0.001440,0.001024,0.000320,1.207059
0.415729,0.715071,0.048514,0.000576,0.013440,0.000384,0.001505,0.000960,0.000352,1.204531
0.416626,0.725151,0.048130,0.000672,0.013504,0.000384,0.001504,0.001088,0.000352,1.215123
0.415954,0.701886,0.048482,0.000608,0.013472,0.000352,0.001472,0.001024,0.000320,1.191443
0.415505,0.704606,0.048130,0.000640,0.013665,0.000352,0.001536,0.001024,0.000352,1.194418
0.415634,0.724223,0.049250,0.000672,0.013665,0.000352,0.001472,0.001088,0.000384,1.214708
0.415570,0.709822,0.048610,0.000576,0.013472,0.000384,0.001440,0.001184,0.000352,1.200531
0.415665,0.734783,0.048674,0.000608,0.013697,0.000384,0.001440,0.001088,0.000384,1.224852
0.416017,0.722143,0.048738,0.000544,0.013537,0.000384,0.001504,0.001088,0.000352,1.212243
0.415473,0.704350,0.048578,0.000608,0.013409,0.000384,0.001472,0.000896,0.000320,1.193490
0.415954,0.738751,0.048290,0.000640,0.013473,0.000320,0.001472,0.000992,0.000352,1.228468
0.432274,0.738976,0.048962,0.000672,0.013569,0.000416,0.001536,0.000928,0.000352,1.245941
0.415634,0.692798,0.048514,0.000640,0.013440,0.000352,0.001472,0.000960,0.000352,1.182291
0.415538,0.710942,0.048450,0.000608,0.013441,0.000352,0.001472,0.000896,0.000352,1.199539
0.418258,0.698558,0.048610,0.000576,0.013504,0.000352,0.001440,0.000929,0.000416,1.191475
0.415826,0.711646,0.048770,0.000832,0.013377,0.000416,0.001472,0.000992,0.000384,1.201747
0.416657,0.713407,0.048482,0.000640,0.013504,0.000352,0.001504,0.000928,0.000385,1.203635
0.415089,0.698462,0.048546,0.000640,0.013441,0.000384,0.001568,0.000960,0.000320,1.186866
0.415986,0.704542,0.049090,0.000608,0.013440,0.000384,0.001504,0.000864,0.000320,1.194003
0.415762,0.722142,0.048450,0.000673,0.013600,0.000352,0.001536,0.001056,0.000352,1.212531
0.415634,0.699934,0.047970,0.000640,0.013536,0.000352,0.001504,0.000928,0.000320,1.189010
0.414930,0.699613,0.047682,0.000640,0.013504,0.000384,0.001440,0.000928,0.000320,1.187090
0.415378,0.719871,0.047938,0.000544,0.013568,0.000320,0.001408,0.001088,0.000288,1.208020
0.415889,0.694397,0.047906,0.000576,0.013441,0.000352,0.001472,0.000896,0.000320,1.182706
0.416081,0.696510,0.047842,0.000608,0.013441,0.000352,0.001504,0.001056,0.000320,1.186898
0.433714,0.709406,0.048514,0.000640,0.013472,0.000384,0.001536,0.001376,0.000320,1.218131
0.416146,0.694077,0.047938,0.000640,0.013473,0.000384,0.001504,0.001056,0.000320,1.183506
0.416145,0.686461,0.047682,0.000608,0.013376,0.000384,0.001472,0.001056,0.000320,1.174417
0.416497,0.699742,0.047522,0.000608,0.013441,0.000384,0.001472,0.000928,0.000320,1.188594
0.416241,0.691293,0.047522,0.000608,0.013473,0.000416,0.001472,0.000960,0.000352,1.180370
0.416306,0.733823,0.048066,0.000640,0.013569,0.000352,0.001472,0.000992,0.000352,1.223956
0.415474,0.702558,0.048706,0.000608,0.013441,0.000416,0.001504,0.001056,0.000352,1.192211
0.416274,0.705758,0.048162,0.000608,0.013441,0.000416,0.001568,0.000992,0.000352,1.194099
0.415986,0.721375,0.048962,0.000640,0.013504,0.000416,0.001537,0.001088,0.000320,1.211828
0.416145,0.695806,0.049570,0.000608,0.013473,0.000352,0.001504,0.001120,0.000352,1.187698
0.417330,0.688989,0.048610,0.000832,0.013569,0.000416,0.001504,0.001248,0.000320,1.182034
0.433651,0.699358,0.048482,0.000672,0.013568,0.000416,0.001472,0.001120,0.000320,1.207668
0.416242,0.704573,0.048834,0.000640,0.013440,0.000384,0.001376,0.000992,0.000352,1.194994
0.416049,0.687517,0.047970,0.000608,0.013504,0.000416,0.001440,0.000992,0.000320,1.176241
0.431442,0.701918,0.048610,0.000576,0.013473,0.000384,0.001440,0.000992,0.000352,1.207155
0.415953,0.699614,0.048610,0.000608,0.013409,0.000384,0.001472,0.000960,0.000384,1.189778
0.415185,0.722815,0.048354,0.000608,0.013409,0.000384,0.001440,0.000960,0.000352,1.211187
0.416018,0.684221,0.048098,0.000640,0.013376,0.000352,0.001441,0.000992,0.000352,1.173586
0.414674,0.701021,0.048995,0.000608,0.013440,0.000352,0.001472,0.001024,0.000352,1.189490
0.415697,0.748800,0.049058,0.000640,0.013505,0.000352,0.001440,0.001056,0.000352,1.239700
0.416306,0.703805,0.048322,0.000672,0.013440,0.000352,0.001472,0.001120,0.000320,1.194802
0.415602,0.709246,0.047938,0.000576,0.013473,0.000352,0.001440,0.000992,0.000320,1.197683
0.415698,0.715294,0.048546,0.000576,0.013440,0.000384,0.001440,0.000896,0.000320,1.204595
0.414961,0.707774,0.049538,0.000800,0.013440,0.000384,0.001408,0.000992,0.000320,1.197426
0.416369,0.700126,0.048514,0.000864,0.013473,0.000320,0.001408,0.000928,0.000320,1.190066
0.432338,0.699837,0.048322,0.000576,0.013473,0.000416,0.001472,0.000928,0.000352,1.206291
