Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.420497,0.771263,0.003392,0.001120,0.000416,1.204465
0.420241,0.767487,0.002400,0.001088,0.000416,1.197680
0.434737,0.761438,0.002976,0.001184,0.000352,1.207473
0.420529,0.758047,0.002368,0.001088,0.000352,1.188688
0.420113,0.764159,0.002208,0.001056,0.000320,1.194897
0.415505,0.767423,0.002368,0.000992,0.000352,1.192272
0.420113,0.759647,0.002784,0.001120,0.000352,1.189968
0.416529,0.775295,0.002528,0.001248,0.000320,1.201872
0.416817,0.768383,0.002528,0.001153,0.000352,1.195857
0.415633,0.786624,0.002656,0.001056,0.000384,1.212977
0.420433,0.790368,0.003329,0.001184,0.000384,1.223538
0.420017,0.760862,0.002144,0.001056,0.000384,1.191345
0.419697,0.761727,0.002208,0.000992,0.000352,1.191056
0.420209,0.799136,0.003073,0.001024,0.000352,1.230322
0.420561,0.762463,0.003072,0.001088,0.000352,1.193136
0.420049,0.784000,0.002432,0.001120,0.000352,1.214065
0.435922,0.767999,0.002528,0.001184,0.000384,1.215122
0.415441,0.763039,0.003232,0.001120,0.000384,1.189136
0.416593,0.772799,0.002432,0.001120,0.000384,1.200625
0.415792,0.758046,0.002432,0.001025,0.000384,1.184432
0.425810,0.764991,0.002656,0.001248,0.000320,1.202321
0.419985,0.793376,0.003968,0.001120,0.000384,1.225330
0.419537,0.792192,0.002368,0.001184,0.000352,1.222001
0.419921,0.752766,0.002912,0.001184,0.000384,1.183056
0.416785,0.772448,0.003296,0.001248,0.000480,1.202001
0.415601,0.758623,0.002400,0.001024,0.000320,1.183952
0.420017,0.752607,0.002368,0.001120,0.000320,1.182096
0.438610,0.797569,0.003328,0.001184,0.000320,1.248275
0.415953,0.764959,0.002208,0.001152,0.000384,1.191728
0.415857,0.758399,0.002560,0.001056,0.000416,1.184432
0.420657,0.766015,0.002880,0.001249,0.000416,1.198577
0.416337,0.756319,0.002464,0.001056,0.000384,1.183344
0.415760,0.796352,0.003520,0.001088,0.000384,1.224785
0.420049,0.768255,0.003072,0.001024,0.000384,1.199280
0.420209,0.759135,0.003104,0.001088,0.000384,1.190704
0.419729,0.785792,0.003072,0.001216,0.000384,1.217329
0.420785,0.761151,0.003328,0.001056,0.000352,1.193072
0.420529,0.758655,0.003424,0.001152,0.000384,1.190736
0.434322,0.777151,0.002593,0.001216,0.000416,1.223378
0.416689,0.758847,0.002624,0.001088,0.000384,1.186416
0.420657,0.768256,0.002912,0.001440,0.000416,1.201009
0.420113,0.775904,0.002752,0.001344,0.000384,1.207441
0.420273,0.773599,0.002689,0.001216,0.000320,1.205201
0.415985,0.800737,0.003456,0.001312,0.000352,1.228626
0.415537,0.808129,0.002592,0.001248,0.000352,1.235218
0.419185,0.795553,0.002432,0.001248,0.000320,1.225170
0.420401,0.796577,0.003712,0.001280,0.000416,1.228146
0.416209,0.773759,0.003520,0.001344,0.000384,1.202544
0.416144,0.769375,0.002784,0.001312,0.000352,1.197360
0.453491,0.771199,0.002560,0.001313,0.000384,1.237235
0.416433,0.768895,0.002497,0.001088,0.000320,1.196337
0.415953,0.765759,0.002464,0.001184,0.000320,1.191536
0.416209,0.768479,0.002336,0.001152,0.000352,1.194704
0.416593,0.762399,0.002465,0.001088,0.000384,1.188721
0.415537,0.780672,0.002464,0.001056,0.000384,1.206417
0.415537,0.765343,0.002336,0.001056,0.000352,1.190641
0.416305,0.755615,0.002400,0.001024,0.000352,1.182064
0.416145,0.780159,0.002209,0.001056,0.000352,1.205873
0.415953,0.768959,0.002529,0.001312,0.000384,1.196561
0.420369,0.796673,0.002528,0.001056,0.000384,1.227762
0.434225,0.801665,0.003200,0.001248,0.000384,1.247506
0.419985,0.757503,0.003072,0.001120,0.000416,1.188240
0.420721,0.754974,0.002401,0.001024,0.000320,1.185296
0.414993,0.779616,0.003264,0.001152,0.000352,1.205649
0.420209,0.748894,0.002784,0.000992,0.000352,1.179439
0.420177,0.784992,0.002208,0.000960,0.000352,1.214001
0.419889,0.754815,0.002272,0.000992,0.000320,1.183728
0.419921,0.770975,0.002273,0.000992,0.000320,1.200145
0.417681,0.786560,0.003232,0.001248,0.000352,1.217009
0.418641,0.801280,0.004000,0.002720,0.000576,1.238642
0.421073,0.792800,0.002497,0.001792,0.000384,1.224946
0.440018,0.763999,0.002752,0.001152,0.000384,1.215025
0.415665,0.815393,0.002560,0.001120,0.000320,1.241362
0.421585,0.775743,0.002688,0.001312,0.000320,1.208593
0.420945,0.763551,0.002912,0.001120,0.000384,1.196208
0.420273,0.776736,0.003168,0.001344,0.000384,1.208177
0.422641,0.792416,0.002624,0.001088,0.000352,1.226065
0.416977,0.750750,0.002304,0.001152,0.000384,1.178671
0.420273,0.794016,0.002496,0.001088,0.000352,1.224978
0.420849,0.791904,0.003168,0.001120,0.000416,1.224562
0.421969,0.769504,0.002336,0.001344,0.000384,1.201745
0.421265,0.761183,0.002720,0.001280,0.000384,1.193168
0.438962,0.757503,0.002400,0.001088,0.000384,1.207025
0.420497,0.767295,0.002401,0.001216,0.000384,1.198897
0.420593,0.753694,0.002913,0.001376,0.000384,1.185008
0.438801,0.810432,0.003329,0.001184,0.000384,1.261139
0.420497,0.777919,0.003040,0.001088,0.000416,1.209393
0.415568,0.781439,0.002848,0.001312,0.000448,1.209361
0.420977,0.770911,0.003328,0.001120,0.000384,1.203473
0.423729,0.774560,0.002752,0.001344,0.000416,1.210289
0.420754,0.789952,0.003232,0.001120,0.000416,1.222450
0.415920,0.769279,0.002656,0.000960,0.000384,1.194960
0.416881,0.801217,0.003424,0.000960,0.000416,1.229106
0.446354,0.789120,0.003328,0.001120,0.000352,1.247698
0.416849,0.763743,0.002528,0.001056,0.000320,1.189840
0.415632,0.775520,0.002688,0.000960,0.000384,1.201136
0.427442,0.768159,0.002464,0.000992,0.000352,1.204785
0.421009,0.778944,0.002400,0.000928,0.000352,1.210961
0.415664,0.834305,0.003681,0.001056,0.000352,1.261235
0.416497,0.781536,0.002528,0.000992,0.000288,1.208977
0.415409,0.805889,0.002240,0.000960,0.000384,1.230930
0.416017,0.798272,0.002848,0.001056,0.000384,1.224785
0.415472,0.759102,0.003329,0.001056,0.000384,1.186288
0.415696,0.785663,0.003265,0.001120,0.000416,1.211921
0.415825,0.793888,0.003136,0.001024,0.000352,1.220561
0.416529,0.759647,0.002400,0.001088,0.000352,1.186096
0.415537,0.761087,0.003168,0.000992,0.000416,1.187088
0.440242,0.781120,0.003328,0.001440,0.000352,1.233874
0.416945,0.776128,0.002400,0.000992,0.000352,1.202321
0.415600,0.771999,0.003392,0.000928,0.000384,1.199344
0.415920,0.788416,0.003360,0.001024,0.000416,1.215537
0.416017,0.774144,0.003136,0.001088,0.000416,1.200849
0.415985,0.786592,0.003328,0.001056,0.000384,1.214129
0.415953,0.781664,0.003392,0.001056,0.000416,1.208305
0.416721,0.780063,0.002496,0.001056,0.000417,1.206609
0.421233,0.829506,0.003488,0.001088,0.000416,1.262899
0.415441,0.799552,0.003328,0.001057,0.000352,1.226066
0.415953,0.778496,0.002368,0.000992,0.000320,1.205041
0.446578,0.798593,0.002688,0.000960,0.000352,1.256595
0.418129,0.777792,0.002272,0.000800,0.000384,1.205713
0.417841,0.801569,0.003424,0.001408,0.000352,1.232658
0.416944,0.774015,0.003360,0.001024,0.000416,1.202896
0.421394,0.770463,0.003136,0.001376,0.000416,1.203665
0.416081,0.830657,0.003169,0.001120,0.000416,1.258355
0.419761,0.802208,0.003168,0.001152,0.000352,1.233138
0.421489,0.778111,0.003552,0.001344,0.000352,1.211633
0.420017,0.787744,0.002496,0.001024,0.000352,1.218609
0.417361,0.778399,0.002625,0.001088,0.000352,1.207249
0.416240,0.770719,0.002528,0.001152,0.000384,1.198384
0.435761,0.791744,0.002368,0.001056,0.000352,1.239090
0.420625,0.776256,0.002464,0.000992,0.000352,1.207025
0.421361,0.798944,0.002656,0.001120,0.000384,1.230993
0.420241,0.761311,0.003072,0.001344,0.000352,1.192881
0.420145,0.806273,0.003264,0.001088,0.000352,1.237810
0.419825,0.798273,0.003456,0.001120,0.000320,1.229938
0.420113,0.776607,0.003776,0.001248,0.000352,1.208305
0.415665,0.778591,0.002368,0.001185,0.000384,1.204561
0.416081,0.795105,0.003072,0.001120,0.000352,1.223794
0.415633,0.779552,0.003328,0.001216,0.000320,1.207505
0.420529,0.784576,0.002272,0.001088,0.000352,1.215281
0.440082,0.808129,0.003680,0.001184,0.000416,1.260051
0.416657,0.780223,0.003488,0.001344,0.000384,1.209009
0.420369,0.793632,0.002720,0.001216,0.000384,1.225074
0.417073,0.810145,0.002400,0.001056,0.000416,1.237907
0.419985,0.757759,0.002912,0.001344,0.000352,1.189456
0.420625,0.809536,0.002528,0.001088,0.000384,1.240883
0.420753,0.768063,0.003008,0.001152,0.000352,1.199856
