Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-9],Layer[10],classifier
0.420112,0.017473,0.202920,0.004928,0.048514,0.193191,0.000544,0.893890
0.416112,0.017537,0.202183,0.004896,0.047810,0.187431,0.000576,0.882146
0.419440,0.017505,0.201960,0.005024,0.065763,0.195911,0.000512,0.912131
0.420113,0.017569,0.202376,0.005248,0.047266,0.195751,0.000544,0.894595
0.419536,0.017633,0.201992,0.004992,0.047458,0.186151,0.000544,0.884131
0.419697,0.017537,0.202440,0.004832,0.047810,0.205320,0.000640,0.904356
0.443889,0.017761,0.202472,0.004800,0.047810,0.200744,0.000480,0.924676
0.420497,0.017665,0.202152,0.005024,0.047682,0.194247,0.000704,0.894499
0.419952,0.017505,0.202920,0.005088,0.047778,0.193576,0.000608,0.894435
0.419984,0.017601,0.202312,0.005056,0.067651,0.190215,0.000608,0.909891
0.420176,0.017569,0.202440,0.005152,0.047394,0.206376,0.000576,0.906723
0.419952,0.017729,0.202120,0.005088,0.047682,0.197832,0.000608,0.897091
0.415120,0.017600,0.202440,0.005056,0.047330,0.204872,0.000672,0.900579
0.434097,0.017569,0.202760,0.004832,0.047714,0.200168,0.000576,0.913604
0.416593,0.017344,0.204264,0.005025,0.048001,0.208457,0.000608,0.906692
0.416977,0.017568,0.202376,0.005057,0.049569,0.198631,0.000608,0.897315
0.416144,0.017313,0.202792,0.004864,0.064739,0.205704,0.000672,0.918372
0.416176,0.017793,0.202600,0.005184,0.048898,0.196584,0.000544,0.893635
0.416017,0.017600,0.202248,0.005056,0.047394,0.205992,0.000544,0.901252
0.420112,0.017729,0.202856,0.004992,0.048546,0.211304,0.000640,0.912611
0.431121,0.017569,0.202728,0.004832,0.047906,0.198760,0.000704,0.910724
0.414256,0.017633,0.201704,0.004992,0.048578,0.188263,0.000512,0.881794
0.420464,0.017761,0.203624,0.005024,0.048066,0.192168,0.000608,0.893699
0.416688,0.017281,0.203048,0.005056,0.047810,0.208840,0.000576,0.905443
0.420272,0.017601,0.202248,0.005024,0.048482,0.193224,0.000640,0.893507
0.419792,0.017505,0.201864,0.005024,0.047874,0.191079,0.000768,0.890210
0.420336,0.017729,0.202312,0.005024,0.047586,0.194408,0.000608,0.894851
0.431601,0.017793,0.202184,0.004864,0.047746,0.196008,0.000608,0.907076
0.420272,0.017473,0.202024,0.004992,0.047170,0.231145,0.000608,0.929668
0.420208,0.017600,0.202088,0.005056,0.047394,0.200392,0.000608,0.899683
0.420144,0.017697,0.202184,0.005024,0.047042,0.218696,0.000737,0.918500
0.415248,0.017697,0.202248,0.004832,0.046946,0.201480,0.000672,0.895555
0.415888,0.017505,0.202376,0.005024,0.047010,0.193192,0.000544,0.888163
0.415249,0.017600,0.205224,0.004801,0.047265,0.206376,0.000704,0.903236
0.437137,0.017953,0.202183,0.005281,0.047138,0.206568,0.000608,0.923396
0.419600,0.017569,0.202024,0.005024,0.047298,0.198664,0.000544,0.897347
0.415472,0.017953,0.201960,0.004992,0.047842,0.207848,0.000640,0.903011
0.419793,0.017824,0.202248,0.005024,0.048418,0.216297,0.000768,0.917892
0.415857,0.018368,0.203048,0.005057,0.047617,0.202088,0.000608,0.898883
0.419600,0.017441,0.202472,0.005056,0.047842,0.198888,0.000640,0.899203
0.420112,0.017504,0.202184,0.005248,0.048098,0.203560,0.000608,0.903459
0.435954,0.017504,0.202568,0.005248,0.047682,0.219209,0.000608,0.935429
0.420625,0.017504,0.202344,0.004769,0.048257,0.199752,0.000672,0.901347
0.420464,0.017760,0.202696,0.005280,0.048514,0.196232,0.000704,0.898211
0.420273,0.017505,0.202216,0.005120,0.048002,0.217512,0.000640,0.918628
0.419600,0.017857,0.201864,0.005024,0.047426,0.209896,0.000577,0.910116
0.415696,0.017441,0.202504,0.005312,0.048194,0.208936,0.000704,0.905379
0.420176,0.017409,0.202344,0.004896,0.048130,0.210504,0.000640,0.910020
0.438833,0.017697,0.202856,0.004832,0.048418,0.191432,0.000768,0.911332
0.420913,0.017600,0.202984,0.005153,0.048322,0.214472,0.000608,0.917316
0.416048,0.017537,0.202216,0.005248,0.048130,0.197480,0.000800,0.893859
0.419857,0.017569,0.202344,0.005056,0.047810,0.232105,0.000672,0.932069
0.418704,0.017696,0.205512,0.005089,0.047970,0.210344,0.000704,0.915428
0.418513,0.018305,0.203624,0.005856,0.048546,0.202568,0.000576,0.906276
0.421296,0.018209,0.203144,0.005664,0.048386,0.194920,0.000736,0.898595
0.434577,0.017729,0.202664,0.005152,0.048386,0.210920,0.000737,0.928709
0.420400,0.017665,0.202632,0.005216,0.047842,0.193608,0.000608,0.894531
0.420496,0.017505,0.202568,0.005024,0.047970,0.200200,0.000544,0.901539
0.416208,0.017633,0.202760,0.005280,0.048290,0.237257,0.000640,0.934212
0.420016,0.017665,0.202952,0.004992,0.048066,0.200456,0.000640,0.901795
0.419824,0.017697,0.202536,0.005024,0.047778,0.195591,0.000608,0.895491
0.415665,0.017472,0.202760,0.005025,0.048674,0.212872,0.000608,0.911492
0.437809,0.017568,0.202248,0.004801,0.048385,0.202472,0.000609,0.921445
0.421009,0.018241,0.202984,0.005024,0.048194,0.190663,0.000576,0.893507
0.419664,0.017633,0.202888,0.005216,0.047778,0.191719,0.000544,0.891683
0.419984,0.017281,0.202504,0.005248,0.066243,0.199784,0.000576,0.919492
0.419984,0.018080,0.203144,0.005248,0.047618,0.195688,0.000544,0.897027
0.416304,0.017409,0.202376,0.005024,0.048482,0.195528,0.000576,0.892451
0.416881,0.017696,0.202632,0.004992,0.048258,0.200680,0.000608,0.898115
0.439922,0.017888,0.202056,0.005024,0.048482,0.204328,0.000896,0.926085
0.421072,0.017281,0.203304,0.004992,0.048002,0.191752,0.000576,0.893859
0.419633,0.017664,0.202408,0.004993,0.048193,0.192839,0.000544,0.893411
0.417136,0.017249,0.202824,0.005216,0.064802,0.201511,0.000576,0.916420
0.420817,0.017664,0.202599,0.005281,0.047554,0.197831,0.000544,0.900643
0.419632,0.017600,0.202056,0.005024,0.048770,0.195144,0.000544,0.895139
0.419825,0.017440,0.202792,0.005025,0.048033,0.195240,0.000576,0.896195
0.445201,0.017633,0.202536,0.005280,0.048610,0.207848,0.000704,0.934212
0.420656,0.017921,0.202568,0.005088,0.048194,0.209160,0.000544,0.910723
0.415985,0.017824,0.202600,0.005217,0.047393,0.192232,0.000544,0.888547
0.416048,0.017665,0.202536,0.005248,0.064482,0.210377,0.000672,0.924580
0.421297,0.017536,0.202216,0.005216,0.048386,0.209481,0.000640,0.910692
0.420145,0.017600,0.202984,0.005025,0.048194,0.198215,0.000576,0.900579
0.420529,0.017664,0.202664,0.005313,0.048418,0.189575,0.000544,0.891075
0.438290,0.017568,0.202664,0.004801,0.047777,0.199879,0.000672,0.918468
0.415792,0.017473,0.202632,0.005088,0.047554,0.193064,0.000544,0.888291
0.415889,0.017665,0.202951,0.004769,0.048354,0.190631,0.000576,0.887683
0.420593,0.017472,0.202952,0.005025,0.069666,0.199592,0.000640,0.922564
0.419632,0.017633,0.202984,0.004832,0.048994,0.198856,0.000640,0.899843
0.414832,0.017601,0.202888,0.004864,0.048450,0.202088,0.000608,0.897763
0.415664,0.017601,0.202408,0.004960,0.047618,0.209192,0.000704,0.904643
0.434833,0.017953,0.202760,0.004864,0.047906,0.213672,0.000576,0.929701
0.416721,0.017664,0.202824,0.005025,0.048449,0.193959,0.000544,0.891747
0.419921,0.017601,0.202760,0.005056,0.048386,0.200328,0.000544,0.900708
0.420144,0.017344,0.202184,0.005152,0.067843,0.206856,0.000672,0.927684
0.416112,0.017505,0.202600,0.005312,0.049218,0.198824,0.000640,0.896419
0.417968,0.017345,0.202376,0.005280,0.047682,0.202920,0.000704,0.901379
0.419344,0.017441,0.202664,0.005216,0.047746,0.199144,0.000576,0.898211
0.438225,0.017792,0.202568,0.005056,0.047650,0.215273,0.000736,0.934213
0.420016,0.017473,0.202536,0.005248,0.047554,0.202248,0.000704,0.902595
0.420400,0.017537,0.202376,0.005024,0.048066,0.196648,0.000704,0.899011
0.417264,0.017537,0.221864,0.005185,0.048034,0.197639,0.000576,0.914947
0.420336,0.017601,0.202568,0.004896,0.047714,0.186567,0.000800,0.887682
0.420304,0.017537,0.202664,0.005280,0.048130,0.194375,0.000544,0.894627
0.421488,0.017665,0.202312,0.004992,0.047810,0.205992,0.000640,0.907555
0.448433,0.017537,0.202632,0.004832,0.047970,0.215624,0.000640,0.944837
0.420176,0.017825,0.202504,0.004768,0.047746,0.209800,0.000576,0.909859
0.419825,0.017761,0.203016,0.005152,0.047362,0.190599,0.000544,0.890435
0.415792,0.017441,0.219465,0.005152,0.047298,0.206472,0.000544,0.918820
0.419441,0.018208,0.202440,0.004993,0.048001,0.190439,0.000608,0.891235
0.419985,0.017697,0.202568,0.005056,0.048258,0.196199,0.000576,0.897412
0.420528,0.017601,0.202600,0.004800,0.047778,0.193800,0.000640,0.893507
0.436657,0.017633,0.202088,0.005024,0.047234,0.193832,0.000672,0.909828
0.421008,0.017537,0.202344,0.005280,0.047490,0.197160,0.000544,0.897411
0.420049,0.017729,0.202119,0.004993,0.047362,0.190247,0.000512,0.889763
0.415312,0.017536,0.201960,0.005024,0.047042,0.271915,0.000704,0.966534
0.419569,0.017601,0.202408,0.005024,0.047010,0.193671,0.000480,0.892003
0.420657,0.017953,0.203304,0.005024,0.047298,0.187879,0.000608,0.888515
0.418705,0.017153,0.202535,0.004865,0.047106,0.230121,0.000704,0.927685
0.433489,0.017505,0.202664,0.004832,0.046850,0.195239,0.000704,0.909348
0.419952,0.017185,0.202056,0.005312,0.047170,0.197288,0.000768,0.896515
0.417169,0.017696,0.202728,0.005217,0.047041,0.191848,0.000544,0.888259
0.415345,0.017568,0.202280,0.005057,0.062114,0.196744,0.000640,0.905956
0.419952,0.017633,0.202152,0.005024,0.046882,0.193960,0.000544,0.891907
0.420497,0.017824,0.202216,0.005025,0.046977,0.189256,0.000544,0.888515
0.420401,0.017376,0.202472,0.005057,0.047201,0.210313,0.000576,0.909508
0.436145,0.017761,0.202248,0.004960,0.047074,0.190631,0.000672,0.906787
0.420305,0.017312,0.202312,0.004800,0.046978,0.196520,0.000576,0.894531
0.420433,0.017792,0.202632,0.004801,0.047009,0.201544,0.000608,0.900611
0.419664,0.017537,0.202824,0.005024,0.047106,0.230377,0.000672,0.930628
0.419888,0.017601,0.201928,0.004992,0.047362,0.204424,0.000800,0.902947
0.419344,0.017537,0.201992,0.004992,0.047042,0.197063,0.000577,0.894051
0.421521,0.017440,0.201832,0.005025,0.047201,0.208905,0.000576,0.908708
0.434257,0.017473,0.202056,0.004800,0.047266,0.216297,0.000608,0.929253
0.416240,0.017377,0.203816,0.005056,0.047394,0.203112,0.000576,0.901347
0.415728,0.017601,0.203048,0.005056,0.047682,0.195560,0.000608,0.893091
0.420016,0.017633,0.202248,0.005248,0.048002,0.214984,0.000736,0.915203
0.417104,0.017345,0.202312,0.005056,0.047586,0.190023,0.000544,0.885890
0.420433,0.017440,0.202152,0.005088,0.048162,0.199592,0.000576,0.899299
0.419761,0.017536,0.202536,0.005217,0.048257,0.194312,0.000608,0.895683
0.439089,0.017633,0.202824,0.005312,0.048514,0.206216,0.000992,0.927396
0.420177,0.017536,0.202472,0.005248,0.047618,0.195400,0.000640,0.895491
0.420656,0.017217,0.202728,0.005120,0.047778,0.196551,0.000576,0.897028
0.420657,0.017568,0.202279,0.005313,0.048898,0.228585,0.000672,0.930405
0.420528,0.017312,0.202152,0.005056,0.047874,0.193544,0.000544,0.893155
0.419793,0.017761,0.202152,0.005056,0.048162,0.201576,0.000640,0.902660
0.419984,0.017473,0.202504,0.005024,0.048002,0.200008,0.000832,0.901603
0.438417,0.018081,0.203080,0.004736,0.047938,0.198248,0.000608,0.917860
0.415504,0.017664,0.204520,0.004993,0.047873,0.196968,0.000608,0.894403
0.420112,0.018017,0.202472,0.005056,0.047298,0.208424,0.000640,0.908515
