Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-10],classifier
0.415984,0.017696,0.203176,0.005024,0.047842,0.000992,0.013409,0.000352,0.001376,0.108580,0.890787
0.415888,0.017505,0.202440,0.004832,0.046978,0.000576,0.013408,0.000352,0.001409,0.107428,0.899683
0.416657,0.017248,0.203048,0.005121,0.047553,0.000800,0.013409,0.000384,0.001376,0.108516,0.885667
0.415024,0.017505,0.202024,0.004864,0.047458,0.000544,0.013408,0.000320,0.001440,0.108261,0.877538
0.416241,0.017248,0.202088,0.005057,0.047585,0.000576,0.013633,0.000352,0.001440,0.107460,0.884259
0.434321,0.017569,0.202792,0.004896,0.046850,0.000576,0.013600,0.000384,0.001376,0.109221,0.901827
0.417104,0.017761,0.202728,0.004832,0.046946,0.000576,0.013760,0.000384,0.001472,0.120581,0.899267
0.416113,0.017536,0.204744,0.005025,0.048674,0.000768,0.013536,0.000384,0.001472,0.112709,0.891651
0.416560,0.017537,0.204040,0.005280,0.046978,0.000576,0.014272,0.000320,0.001440,0.109381,0.890978
0.416273,0.017632,0.202888,0.004992,0.047553,0.000800,0.013569,0.000384,0.001408,0.112676,0.889955
0.416656,0.017281,0.202888,0.005056,0.046946,0.000576,0.013441,0.000384,0.001472,0.107844,0.883138
0.417617,0.017760,0.203080,0.005057,0.048098,0.000736,0.013408,0.000384,0.001376,0.111269,0.890435
0.417201,0.033089,0.203656,0.004992,0.048130,0.001024,0.013505,0.000320,0.001568,0.110500,0.902499
0.417552,0.017953,0.203336,0.005088,0.047522,0.000768,0.013537,0.000416,0.001376,0.108708,0.887747
0.416816,0.017505,0.202472,0.004800,0.047170,0.000640,0.013761,0.000352,0.001408,0.113348,0.889763
0.417777,0.017216,0.202536,0.005024,0.047458,0.001024,0.013409,0.000352,0.001376,0.110724,0.888803
0.417104,0.017761,0.202824,0.004896,0.046978,0.000608,0.013824,0.000384,0.001504,0.115652,0.892643
0.417904,0.017504,0.203208,0.005024,0.046882,0.000608,0.013601,0.000352,0.001504,0.109988,0.886019
0.415728,0.017633,0.202088,0.005024,0.047810,0.000704,0.013793,0.000352,0.001472,0.112164,0.889731
0.416912,0.017473,0.222953,0.005152,0.047074,0.000576,0.013696,0.000384,0.001409,0.111364,0.904899
0.415664,0.017633,0.202344,0.005024,0.047778,0.000768,0.013472,0.000384,0.001408,0.102244,0.872610
