Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.415984,0.017633,0.202120,0.004928,0.047842,0.000800,0.013249,0.165254,0.002176,0.001120,0.000352,0.878882
0.416112,0.017441,0.202248,0.005088,0.048002,0.000992,0.013345,0.162982,0.002080,0.000928,0.000384,0.876866
0.415888,0.017505,0.202216,0.004992,0.047490,0.000768,0.013280,0.185928,0.002336,0.001184,0.000352,0.900099
0.417937,0.017472,0.203144,0.005281,0.048354,0.000736,0.013856,0.175463,0.003104,0.001312,0.000416,0.895747
0.416624,0.017728,0.202344,0.005056,0.048098,0.000768,0.013857,0.176007,0.002112,0.000960,0.000608,0.892963
0.417584,0.017569,0.202536,0.005280,0.047522,0.000800,0.013504,0.176199,0.002688,0.001088,0.000384,0.892323
0.437649,0.017633,0.202888,0.005056,0.047586,0.000800,0.013313,0.164582,0.002496,0.000992,0.000384,0.900995
0.417553,0.017569,0.203431,0.005376,0.047906,0.000800,0.013408,0.171591,0.002784,0.001056,0.000384,0.890275
0.416624,0.017761,0.202344,0.005056,0.048546,0.000800,0.013953,0.166726,0.002656,0.000961,0.000384,0.883939
0.416848,0.017537,0.202440,0.005120,0.047842,0.000800,0.013729,0.161990,0.002752,0.001024,0.000416,0.878210
0.416336,0.021025,0.202280,0.005248,0.048066,0.000832,0.013441,0.170983,0.002688,0.001088,0.000352,0.890403
0.416337,0.017504,0.202600,0.005312,0.047778,0.000832,0.013505,0.166470,0.002560,0.000992,0.000384,0.881731
0.416593,0.017760,0.203144,0.004993,0.048130,0.000768,0.013280,0.171239,0.002528,0.001088,0.000384,0.888003
0.435601,0.017440,0.203400,0.005121,0.049121,0.000993,0.013728,0.166791,0.002592,0.001120,0.000384,0.903811
0.415856,0.017728,0.202408,0.004992,0.048226,0.000800,0.013409,0.181223,0.002752,0.000960,0.000416,0.896995
0.416432,0.017505,0.202344,0.004992,0.048162,0.000928,0.013313,0.173799,0.002528,0.001056,0.000352,0.889123
0.416016,0.017473,0.202536,0.005024,0.047746,0.000832,0.013313,0.157190,0.002240,0.000960,0.000384,0.871490
0.416880,0.017568,0.202024,0.005184,0.048578,0.000832,0.013377,0.178919,0.002720,0.001056,0.000384,0.895619
0.416657,0.017888,0.203592,0.005184,0.048129,0.000800,0.013953,0.176967,0.002656,0.000992,0.000352,0.895011
0.416465,0.017665,0.202504,0.005312,0.048706,0.000864,0.013344,0.168903,0.002752,0.001120,0.000352,0.886179
0.429937,0.017569,0.202568,0.005248,0.048162,0.001024,0.013376,0.164199,0.002240,0.000992,0.000288,0.894243
0.415344,0.017601,0.202088,0.005056,0.047682,0.000576,0.013376,0.168359,0.002528,0.000960,0.000352,0.881058
0.416656,0.017729,0.202504,0.004992,0.046914,0.000832,0.013376,0.160711,0.002112,0.000992,0.000320,0.874818
0.416048,0.017473,0.203528,0.005120,0.047202,0.001024,0.013376,0.162119,0.002464,0.000896,0.000352,0.877122
0.416176,0.017569,0.202600,0.005120,0.047618,0.001056,0.013985,0.171206,0.002560,0.001025,0.000384,0.888163
0.416241,0.017728,0.202664,0.005025,0.047457,0.000993,0.013408,0.173255,0.002240,0.000960,0.000352,0.887907
0.415824,0.017953,0.202440,0.004864,0.047906,0.000832,0.013345,0.176807,0.002656,0.001280,0.000352,0.892355
0.415728,0.017537,0.223529,0.005344,0.047554,0.000800,0.013472,0.169287,0.003040,0.001088,0.000384,0.905987
0.416369,0.017504,0.203144,0.004801,0.047105,0.001025,0.013472,0.172551,0.002752,0.001088,0.000352,0.888483
0.415760,0.017473,0.202216,0.005056,0.047362,0.000800,0.013376,0.184615,0.002624,0.001056,0.000384,0.898403
0.416337,0.017729,0.202952,0.005152,0.047042,0.000832,0.013376,0.170407,0.002624,0.000960,0.000352,0.885891
0.416113,0.017665,0.202407,0.005057,0.047682,0.000832,0.013408,0.171367,0.002720,0.001056,0.000352,0.886243
0.416112,0.017569,0.202504,0.005248,0.047330,0.000800,0.013504,0.173255,0.002560,0.000992,0.000352,0.888258
0.415537,0.017760,0.202216,0.005408,0.047489,0.000832,0.013441,0.175527,0.002304,0.001120,0.000320,0.889891
0.416272,0.017697,0.220329,0.005344,0.047330,0.000768,0.013568,0.173287,0.002176,0.000960,0.000352,0.907267
0.416432,0.017600,0.202536,0.005280,0.048002,0.000992,0.013473,0.171271,0.002112,0.001088,0.000352,0.887171
0.416753,0.017409,0.202215,0.004993,0.047618,0.000832,0.013472,0.178727,0.002656,0.001120,0.000352,0.894851
0.416560,0.017696,0.202152,0.005280,0.048034,0.000800,0.013473,0.167238,0.002753,0.001024,0.000352,0.883395
0.415920,0.017472,0.202888,0.005152,0.048706,0.000768,0.013473,0.180423,0.002656,0.001120,0.000352,0.897027
0.415664,0.017601,0.202344,0.005280,0.048258,0.000992,0.013408,0.176455,0.002336,0.001248,0.000384,0.892259
0.416049,0.017888,0.203784,0.004993,0.047841,0.000897,0.013472,0.175367,0.002112,0.000960,0.000320,0.891875
0.415664,0.017537,0.224201,0.005280,0.047298,0.000800,0.013473,0.184999,0.002112,0.001120,0.000352,0.921252
0.415760,0.017825,0.202088,0.005024,0.047010,0.000800,0.013473,0.171302,0.002849,0.001120,0.000352,0.885571
0.416144,0.017921,0.203080,0.005344,0.046946,0.000800,0.013376,0.168039,0.002752,0.001024,0.000352,0.883842
0.415856,0.017921,0.202408,0.005248,0.047426,0.000864,0.013377,0.165126,0.002752,0.001088,0.000352,0.881186
0.416048,0.017985,0.202120,0.005024,0.047458,0.000832,0.013441,0.172742,0.002944,0.001120,0.000352,0.888131
0.418384,0.017441,0.203944,0.005312,0.047618,0.000832,0.013633,0.169094,0.002368,0.001248,0.000384,0.889027
0.416112,0.017793,0.203144,0.005056,0.048258,0.000768,0.013472,0.175975,0.002464,0.001120,0.000352,0.892706
0.416176,0.018241,0.232905,0.005312,0.048321,0.000832,0.013441,0.180263,0.002624,0.000896,0.000352,0.927780
0.415600,0.017665,0.202152,0.005056,0.047842,0.000832,0.013377,0.168742,0.002560,0.001024,0.000384,0.883650
0.417297,0.017601,0.202439,0.005217,0.047522,0.000576,0.013440,0.170951,0.002400,0.001152,0.000384,0.887683
0.416848,0.017633,0.202984,0.005248,0.047202,0.001024,0.013537,0.178183,0.002176,0.000992,0.000384,0.893795
0.416240,0.017697,0.202248,0.005024,0.047458,0.000992,0.013505,0.165158,0.002112,0.000928,0.000352,0.880066
0.415760,0.017953,0.202984,0.005216,0.047330,0.000992,0.013569,0.167142,0.002689,0.001024,0.000352,0.883587
0.416689,0.017504,0.202440,0.005025,0.047425,0.001057,0.013504,0.170343,0.002656,0.001056,0.000384,0.886755
0.417009,0.017473,0.223528,0.005185,0.048257,0.000833,0.013824,0.172583,0.002432,0.000960,0.000416,0.911236
0.416144,0.017792,0.203496,0.005152,0.049538,0.000800,0.013569,0.163878,0.002913,0.001088,0.000416,0.883171
0.416592,0.017633,0.202600,0.005248,0.048898,0.000800,0.013408,0.182984,0.002592,0.001088,0.000384,0.900195
0.415920,0.017729,0.202536,0.005248,0.047682,0.000864,0.013472,0.168071,0.002592,0.000992,0.000416,0.883490
0.416368,0.017697,0.202376,0.005248,0.048194,0.000832,0.013504,0.176519,0.002784,0.001088,0.000384,0.893570
0.416945,0.017568,0.202600,0.005313,0.047394,0.001024,0.013408,0.175783,0.002432,0.001088,0.000384,0.891619
0.416272,0.017505,0.202120,0.005248,0.047554,0.000832,0.013473,0.168614,0.002112,0.001248,0.000384,0.883330
0.416464,0.017505,0.217161,0.005312,0.047266,0.000576,0.013568,0.171367,0.002528,0.001056,0.000416,0.901155
0.415888,0.017729,0.202088,0.004992,0.047138,0.000800,0.013472,0.166695,0.002432,0.001024,0.000352,0.881026
0.415920,0.017761,0.202088,0.005280,0.047458,0.001056,0.013473,0.174727,0.002624,0.000992,0.000384,0.889475
0.416144,0.017505,0.202120,0.005152,0.048194,0.000800,0.013504,0.172327,0.002496,0.000992,0.000352,0.887682
0.416880,0.017825,0.202184,0.005248,0.047746,0.000832,0.013537,0.178343,0.002400,0.001056,0.000352,0.894755
0.416496,0.017729,0.202376,0.005248,0.047426,0.000768,0.013504,0.171751,0.002368,0.001088,0.000352,0.887298
0.418609,0.017953,0.204968,0.005280,0.047810,0.001024,0.013568,0.187112,0.003008,0.001120,0.000384,0.909220
0.417136,0.017761,0.224297,0.005088,0.047682,0.000800,0.013473,0.174631,0.002656,0.001024,0.000384,0.914180
0.417712,0.017697,0.203016,0.005312,0.048482,0.000832,0.013569,0.176775,0.002656,0.001184,0.000320,0.896867
0.415952,0.017505,0.202824,0.005344,0.048322,0.000800,0.013473,0.172454,0.002432,0.001088,0.000352,0.889891
0.416048,0.017569,0.202376,0.005152,0.048002,0.000832,0.013408,0.174855,0.002560,0.000928,0.000384,0.890338
0.416657,0.017568,0.202312,0.005281,0.047393,0.000832,0.013408,0.168743,0.002656,0.001152,0.000352,0.886179
0.416528,0.017505,0.202376,0.005248,0.048098,0.000800,0.013985,0.171590,0.002720,0.001024,0.000385,0.889123
0.416497,0.017536,0.202664,0.005249,0.049282,0.001024,0.013824,0.169735,0.002432,0.001120,0.000384,0.888483
0.436145,0.017696,0.202919,0.005057,0.047874,0.000768,0.013504,0.168775,0.002816,0.001056,0.000384,0.906339
0.416368,0.017633,0.202472,0.004832,0.048450,0.000800,0.013793,0.166822,0.003041,0.000992,0.000576,0.884163
0.416944,0.017761,0.202760,0.005344,0.047554,0.001024,0.013824,0.174183,0.002560,0.001024,0.000352,0.891874
0.415792,0.017665,0.202792,0.005312,0.047522,0.000800,0.013473,0.176294,0.002720,0.001120,0.000320,0.892611
0.416081,0.017729,0.202695,0.005344,0.047042,0.000768,0.013472,0.179271,0.002720,0.001216,0.000416,0.894883
0.415857,0.017664,0.202472,0.004961,0.048033,0.000800,0.013345,0.175623,0.002304,0.001088,0.000352,0.891651
0.416433,0.017953,0.202119,0.005024,0.048098,0.000800,0.013440,0.168935,0.002848,0.001056,0.000384,0.885795
0.431793,0.017793,0.202312,0.005024,0.048226,0.000800,0.013568,0.173863,0.002848,0.001024,0.000384,0.906787
0.416017,0.017696,0.202536,0.005249,0.048193,0.000833,0.013440,0.170567,0.002624,0.001088,0.000384,0.886755
0.416816,0.017697,0.202216,0.005024,0.047778,0.000832,0.013441,0.163206,0.002880,0.000928,0.000320,0.879842
0.416177,0.017728,0.202312,0.005089,0.047105,0.000800,0.013441,0.184295,0.002848,0.017825,0.000640,0.916612
0.416304,0.017729,0.202536,0.005024,0.047682,0.000864,0.013377,0.168934,0.002208,0.001056,0.000352,0.884354
0.420432,0.017857,0.204776,0.005088,0.048386,0.000832,0.014177,0.216648,0.003296,0.002304,0.000384,0.947909
0.417264,0.017761,0.203144,0.005056,0.048674,0.000832,0.014145,0.189767,0.002624,0.001696,0.000352,0.909635
