Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-8],Layer[9],Layer[10],classifier
0.415440,0.017601,0.202728,0.005216,0.047938,0.195144,0.001184,0.000416,0.892771
0.416432,0.017697,0.202216,0.005024,0.048194,0.215272,0.001249,0.000352,0.913188
0.416497,0.017504,0.203144,0.005281,0.048577,0.196007,0.001376,0.000704,0.897027
0.416560,0.017537,0.203080,0.005248,0.047746,0.207336,0.001184,0.000416,0.905859
0.416848,0.018049,0.202696,0.005088,0.048098,0.195176,0.001280,0.000416,0.894403
0.418737,0.017824,0.205352,0.005376,0.047970,0.202792,0.001344,0.000384,0.907652
0.438994,0.017536,0.202984,0.004865,0.047841,0.193896,0.001056,0.000384,0.913860
0.416208,0.017441,0.202696,0.004832,0.047938,0.196872,0.001088,0.000288,0.893219
0.417616,0.017729,0.203464,0.004800,0.048066,0.180007,0.001088,0.000352,0.879362
0.417136,0.017729,0.203144,0.004832,0.048802,0.201768,0.001248,0.000352,0.902083
0.416465,0.017472,0.202568,0.005056,0.047841,0.198440,0.001056,0.000384,0.895939
0.417265,0.017440,0.203272,0.005025,0.048353,0.189544,0.001376,0.000512,0.888963
0.417552,0.017441,0.202280,0.004960,0.047906,0.184135,0.001248,0.000320,0.882562
0.421489,0.017664,0.217897,0.005024,0.047906,0.187111,0.001216,0.000320,0.905156
0.417169,0.017473,0.202983,0.005281,0.048450,0.188327,0.001056,0.000288,0.888195
0.416881,0.017632,0.203239,0.005121,0.048290,0.201159,0.001568,0.000384,0.902020
0.418448,0.017888,0.202824,0.004992,0.048706,0.192744,0.001472,0.000608,0.895171
0.434385,0.018081,0.202632,0.005248,0.048706,0.197960,0.001376,0.000416,0.915844
0.417328,0.017728,0.202184,0.004992,0.047970,0.202632,0.001408,0.000288,0.902115
0.416785,0.017729,0.202600,0.005088,0.048674,0.206184,0.001440,0.000608,0.906148
0.417648,0.017729,0.219625,0.005440,0.047586,0.189319,0.001408,0.000416,0.906627
0.416497,0.017600,0.202824,0.005089,0.048417,0.195848,0.001440,0.000384,0.895171
0.417904,0.017600,0.202664,0.004992,0.047586,0.194600,0.001376,0.000416,0.894435
0.415633,0.017760,0.202536,0.005249,0.048193,0.208457,0.001504,0.000352,0.906756
0.416017,0.017537,0.202535,0.005025,0.048194,0.191527,0.001280,0.000384,0.889667
0.417072,0.017569,0.202792,0.005216,0.048482,0.201736,0.001472,0.000416,0.901987
0.415632,0.017761,0.203176,0.005248,0.048578,0.207912,0.001344,0.000384,0.907139
0.416176,0.017697,0.219049,0.005632,0.047938,0.193479,0.001376,0.000352,0.908772
0.414864,0.017632,0.202472,0.005280,0.048354,0.202216,0.001344,0.000352,0.899619
0.416465,0.017633,0.202631,0.005249,0.048098,0.204072,0.001280,0.000384,0.902436
0.416720,0.017537,0.202504,0.005056,0.047970,0.201736,0.001376,0.000384,0.900675
0.415952,0.017920,0.203272,0.005376,0.048194,0.194728,0.001408,0.000352,0.894147
0.416112,0.017761,0.202888,0.005248,0.048258,0.195335,0.001408,0.000384,0.894819
0.416112,0.017473,0.202600,0.005248,0.048706,0.198792,0.001440,0.000608,0.898307
0.439409,0.018049,0.203688,0.005312,0.048642,0.214184,0.001728,0.000672,0.939844
