Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-10],classifier
0.415856,0.017537,0.202664,0.004800,0.047106,0.000608,0.013440,0.000416,0.109444,0.879266
0.416144,0.017601,0.202888,0.004800,0.047074,0.000608,0.013409,0.000352,0.113124,0.886371
0.415249,0.017696,0.201959,0.004833,0.047265,0.000608,0.013344,0.000384,0.109668,0.882019
0.415504,0.043298,0.202696,0.005280,0.047202,0.000608,0.013376,0.000385,0.115908,0.918596
0.415953,0.017697,0.202311,0.004769,0.046850,0.000608,0.013376,0.000416,0.111845,0.884835
0.415760,0.017760,0.202856,0.004992,0.046882,0.000640,0.013441,0.000384,0.109572,0.888995
0.415536,0.017664,0.202440,0.004800,0.046946,0.000576,0.013409,0.000384,0.109860,0.882435
0.416689,0.017792,0.202472,0.004769,0.047041,0.000576,0.013569,0.000384,0.117797,0.893699
0.415696,0.017505,0.203304,0.004864,0.047010,0.000576,0.013440,0.000416,0.107973,0.881506
0.415728,0.017761,0.202568,0.004800,0.046882,0.000608,0.013377,0.000416,0.111716,0.891171
0.415248,0.017633,0.218664,0.005025,0.047041,0.000608,0.013409,0.000384,0.107492,0.904931
0.415152,0.017697,0.205256,0.004832,0.046914,0.000608,0.013441,0.000416,0.112900,0.886403
0.415440,0.017601,0.202920,0.004768,0.047138,0.000576,0.013376,0.000416,0.112452,0.882850
0.417457,0.017568,0.202824,0.004801,0.047970,0.000576,0.013696,0.000384,0.117701,0.893475
0.432785,0.017889,0.202408,0.004800,0.048482,0.000608,0.013856,0.000352,0.117829,0.911620
0.416624,0.017473,0.202376,0.004832,0.048226,0.000608,0.013728,0.000416,0.114052,0.888259
0.416913,0.017760,0.202504,0.004928,0.047426,0.000608,0.013473,0.000384,0.112772,0.887331
0.418192,0.017761,0.222441,0.005088,0.047554,0.000576,0.013728,0.000416,0.122437,0.918660
0.416400,0.017536,0.203048,0.004800,0.048546,0.000608,0.014145,0.000384,0.115877,0.893347
0.416208,0.017537,0.202824,0.004800,0.049058,0.000576,0.014048,0.000384,0.112933,0.889410
0.417968,0.017728,0.203624,0.004800,0.048514,0.000608,0.013473,0.000416,0.114180,0.891747
0.448562,0.017761,0.202856,0.004768,0.047234,0.000608,0.013440,0.000416,0.113989,0.918980
0.416464,0.017825,0.203336,0.004896,0.049410,0.000640,0.013344,0.000417,0.115172,0.897379
0.416336,0.017793,0.202600,0.004864,0.047586,0.000576,0.013569,0.000384,0.114692,0.894851
0.417552,0.017569,0.222953,0.004992,0.047202,0.000640,0.013440,0.000416,0.115397,0.912100
0.416145,0.017728,0.202376,0.004865,0.047137,0.000608,0.013505,0.000416,0.113220,0.884515
0.415824,0.017792,0.202088,0.004800,0.047074,0.000576,0.013537,0.000352,0.113732,0.885283
0.416209,0.017792,0.202824,0.004897,0.047393,0.000608,0.013697,0.000384,0.120037,0.899363
0.433137,0.017793,0.202664,0.004832,0.048290,0.000608,0.015040,0.000320,0.113861,0.908323
0.416144,0.017857,0.202408,0.004832,0.049570,0.000576,0.013696,0.000416,0.114981,0.895651
0.417072,0.017664,0.202152,0.004960,0.047682,0.000640,0.013441,0.000384,0.112676,0.884419
0.416112,0.017504,0.202504,0.004896,0.065475,0.000640,0.013377,0.000384,0.113316,0.912932
0.417969,0.017696,0.202664,0.004897,0.048065,0.000576,0.013536,0.000384,0.123365,0.905508
0.416464,0.017633,0.203240,0.004832,0.047490,0.000608,0.013665,0.000384,0.112484,0.885731
0.416080,0.017761,0.202888,0.004896,0.047202,0.000608,0.013536,0.000384,0.107525,0.881634
0.434577,0.017761,0.203272,0.004800,0.047202,0.000544,0.013345,0.000352,0.119429,0.910660
