Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],TEE[10-10],classifier
0.438865,0.017569,0.202600,0.005216,0.047490,0.000832,0.013504,0.000352,0.001473,0.001056,0.109476,0.846849
0.420144,0.017856,0.203336,0.004864,0.046978,0.001024,0.013441,0.000320,0.001504,0.001152,0.108292,0.826624
0.417776,0.017953,0.204136,0.005056,0.047618,0.000864,0.013504,0.000352,0.001505,0.001088,0.114052,0.833248
0.421808,0.017729,0.203240,0.005216,0.048258,0.000608,0.013409,0.000320,0.001472,0.001056,0.104132,0.825216
0.421297,0.017473,0.203848,0.005280,0.047394,0.000800,0.013376,0.000352,0.001537,0.001088,0.109700,0.829953
0.416496,0.017313,0.203080,0.005280,0.047682,0.000608,0.013441,0.000352,0.001440,0.001056,0.103396,0.819424
0.416560,0.017537,0.202664,0.004800,0.046978,0.000608,0.013441,0.000352,0.001408,0.000992,0.108324,0.821536
0.416208,0.017409,0.202792,0.004832,0.047426,0.000576,0.013440,0.000320,0.001472,0.000864,0.132742,0.846465
0.416336,0.017889,0.203208,0.004896,0.047106,0.000768,0.013473,0.000384,0.001536,0.001056,0.111780,0.827296
0.416432,0.017633,0.203400,0.004864,0.047426,0.000832,0.013440,0.000416,0.001472,0.001024,0.104900,0.819648
0.420560,0.017985,0.202536,0.005024,0.047266,0.000832,0.013409,0.000384,0.001536,0.001184,0.107684,0.826368
0.420273,0.017537,0.217320,0.005280,0.047586,0.000800,0.013569,0.000384,0.001536,0.001248,0.114213,0.850338
0.421553,0.017728,0.203816,0.005025,0.049570,0.000800,0.013536,0.000320,0.001600,0.001248,0.117861,0.841473
0.421552,0.017344,0.202952,0.004800,0.047746,0.000832,0.013441,0.000352,0.001536,0.000928,0.110724,0.831296
0.417136,0.017921,0.203304,0.005344,0.048482,0.000768,0.013344,0.000384,0.001504,0.001024,0.108772,0.826081
0.434993,0.017953,0.202919,0.004769,0.048098,0.000960,0.013376,0.000384,0.001568,0.001184,0.110821,0.845089
0.416592,0.017985,0.202728,0.004832,0.047650,0.000800,0.013441,0.000384,0.001536,0.001088,0.108772,0.823584
0.416817,0.017856,0.202247,0.004833,0.047169,0.001025,0.013376,0.000352,0.001504,0.001120,0.110629,0.824833
0.416337,0.017920,0.202504,0.004865,0.047073,0.000768,0.013409,0.000352,0.001472,0.000992,0.109764,0.823681
0.420784,0.017665,0.202792,0.004832,0.047426,0.000832,0.013408,0.000352,0.001409,0.001056,0.110628,0.829376
0.415824,0.017761,0.202344,0.005248,0.047682,0.000832,0.013569,0.000320,0.001472,0.001088,0.110756,0.825024
0.421552,0.018049,0.203720,0.005088,0.048642,0.000832,0.013569,0.000384,0.001568,0.001152,0.104964,0.830112
0.416432,0.017824,0.202824,0.004928,0.068387,0.000864,0.013921,0.000352,0.001632,0.001216,0.114692,0.852162
0.419185,0.017952,0.202696,0.004897,0.049538,0.000800,0.013696,0.000416,0.001504,0.001120,0.116549,0.836801
0.416080,0.017729,0.202504,0.004832,0.048290,0.000608,0.013568,0.000352,0.001440,0.001120,0.111717,0.826720
0.416112,0.017921,0.202664,0.004832,0.049058,0.000576,0.013569,0.000384,0.001472,0.001152,0.117381,0.833761
0.437201,0.017633,0.202600,0.004832,0.048226,0.000832,0.013569,0.000352,0.001504,0.001184,0.120613,0.856738
0.421328,0.017889,0.202344,0.004896,0.049090,0.000800,0.013601,0.000352,0.001536,0.001280,0.114404,0.835424
0.420624,0.017793,0.202728,0.004864,0.049314,0.000864,0.013505,0.000352,0.001504,0.001056,0.114532,0.835520
0.416752,0.017857,0.202504,0.005056,0.048514,0.000576,0.013505,0.000384,0.001440,0.001216,0.114148,0.829824
0.415696,0.017825,0.202344,0.004800,0.047394,0.000768,0.013760,0.000384,0.001664,0.001121,0.119364,0.833152
0.415632,0.018017,0.202920,0.005248,0.047842,0.000832,0.013632,0.000384,0.001504,0.001216,0.105540,0.821152
0.416753,0.017825,0.201896,0.004800,0.048386,0.000800,0.013536,0.000416,0.001472,0.001152,0.115205,0.830369
0.417168,0.017825,0.202440,0.004864,0.061890,0.000832,0.013473,0.000384,0.001504,0.001248,0.113381,0.843233
0.415921,0.017408,0.202184,0.004865,0.048513,0.000801,0.013472,0.000384,0.001536,0.001152,0.114533,0.828897
0.416721,0.017792,0.203048,0.004800,0.047745,0.000576,0.013409,0.000384,0.001536,0.001184,0.112997,0.827873
0.415824,0.017729,0.202504,0.004800,0.049090,0.000800,0.013441,0.000320,0.001536,0.001024,0.114692,0.830177
0.429488,0.017569,0.202536,0.004800,0.047682,0.000960,0.013377,0.000352,0.001536,0.001152,0.114532,0.841792
0.416912,0.017793,0.202728,0.004832,0.047586,0.000832,0.013473,0.000352,0.001536,0.001152,0.114756,0.830464
0.421040,0.017473,0.202824,0.005248,0.048578,0.000576,0.013441,0.000352,0.001440,0.001184,0.111620,0.832320
0.416016,0.017793,0.203432,0.005344,0.048098,0.000736,0.013441,0.000352,0.001504,0.001120,0.115269,0.831393
0.439506,0.018048,0.203816,0.005473,0.048418,0.000832,0.013600,0.000352,0.001440,0.001184,0.112549,0.854210
0.419761,0.017985,0.202920,0.004832,0.047522,0.000832,0.013632,0.000352,0.001664,0.001121,0.113508,0.832641
0.415920,0.017473,0.202312,0.004800,0.049186,0.000800,0.013473,0.000352,0.001440,0.001088,0.113700,0.828832
0.415665,0.017696,0.202632,0.004896,0.048066,0.000640,0.013441,0.000352,0.001440,0.001184,0.138790,0.852898
0.416592,0.017505,0.202120,0.004896,0.047490,0.000608,0.013537,0.000352,0.001536,0.001216,0.112036,0.825952
0.420721,0.017473,0.202152,0.004864,0.047874,0.000768,0.013472,0.000384,0.001440,0.001120,0.114661,0.833473
0.415984,0.018113,0.202568,0.005216,0.047106,0.000992,0.013441,0.000384,0.001536,0.001184,0.116325,0.830785
0.438322,0.017408,0.202408,0.004833,0.047393,0.000832,0.013409,0.000352,0.001408,0.001088,0.114373,0.851234
0.415824,0.017409,0.202440,0.005248,0.048066,0.001024,0.013504,0.000384,0.001473,0.001248,0.112196,0.827168
0.415216,0.017793,0.202312,0.005280,0.048546,0.000640,0.013472,0.000352,0.001536,0.001120,0.111332,0.825504
0.420177,0.017376,0.202504,0.005185,0.047650,0.001024,0.013536,0.000384,0.001440,0.001184,0.111429,0.830369
0.432081,0.018049,0.202376,0.004896,0.047970,0.000928,0.013441,0.000352,0.001536,0.001184,0.112740,0.843937
0.419920,0.017953,0.202600,0.004864,0.047938,0.000576,0.013409,0.000320,0.001440,0.001216,0.108324,0.826496
0.416048,0.017312,0.202184,0.005024,0.048002,0.000864,0.013441,0.000352,0.001408,0.001088,0.107012,0.821152
0.420945,0.017376,0.202792,0.004801,0.047618,0.000608,0.013440,0.000416,0.001440,0.001152,0.134982,0.853474
0.415824,0.017377,0.202376,0.004864,0.047234,0.000608,0.013408,0.000416,0.001536,0.001184,0.102980,0.816095
0.417584,0.017377,0.203400,0.004864,0.047586,0.000768,0.013536,0.000416,0.001473,0.001184,0.114308,0.830592
0.421168,0.017472,0.202216,0.004768,0.048546,0.000928,0.013409,0.000352,0.001440,0.001024,0.114885,0.833953
0.415920,0.036225,0.203464,0.004801,0.048097,0.000832,0.013473,0.000352,0.001536,0.001216,0.118469,0.852769
0.419856,0.017697,0.202344,0.004864,0.047970,0.000800,0.013473,0.000384,0.001504,0.001216,0.114148,0.832704
0.416560,0.017729,0.203784,0.005344,0.048002,0.000640,0.013665,0.000320,0.001472,0.001216,0.117861,0.835457
0.416913,0.017857,0.202375,0.004864,0.047618,0.000800,0.014016,0.000384,0.001600,0.001184,0.114277,0.830209
0.440049,0.018433,0.202152,0.004832,0.048962,0.000832,0.013505,0.000416,0.001472,0.001152,0.113284,0.853313
0.420432,0.017761,0.202536,0.004768,0.049794,0.000832,0.013473,0.000416,0.001568,0.001184,0.109124,0.829824
0.415888,0.017793,0.202536,0.004800,0.047682,0.001024,0.013761,0.000384,0.001472,0.001088,0.112772,0.827200
0.420976,0.017760,0.202280,0.004832,0.047138,0.000832,0.013441,0.000352,0.001536,0.001088,0.134437,0.853761
0.416464,0.017825,0.202568,0.005312,0.048098,0.000864,0.013537,0.000320,0.001440,0.001152,0.111844,0.827456
0.420305,0.017921,0.202824,0.004800,0.047650,0.000576,0.013472,0.000352,0.001536,0.001216,0.113413,0.832193
0.416784,0.017857,0.203400,0.004992,0.047586,0.000960,0.013632,0.000320,0.001440,0.001024,0.115429,0.831680
0.438449,0.017793,0.204328,0.005184,0.048066,0.000832,0.013472,0.000384,0.001504,0.001152,0.119301,0.860993
0.417840,0.017729,0.205576,0.005312,0.048834,0.000832,0.013569,0.000416,0.001504,0.001184,0.117253,0.838881
0.417073,0.017344,0.202888,0.005313,0.047489,0.000832,0.013632,0.000352,0.001504,0.001120,0.117797,0.834593
0.416625,0.017952,0.202504,0.005313,0.049154,0.001056,0.013600,0.000384,0.001504,0.001184,0.114917,0.832449
0.439569,0.018017,0.202376,0.004800,0.048098,0.001056,0.013505,0.000352,0.001536,0.001088,0.120421,0.859394
0.416337,0.017761,0.202119,0.004865,0.047810,0.000576,0.013568,0.000352,0.001440,0.001184,0.114597,0.828641
0.416529,0.017600,0.202440,0.004833,0.048257,0.000832,0.013504,0.000416,0.001536,0.001088,0.118725,0.834113
0.415312,0.017281,0.203144,0.005248,0.048354,0.000832,0.013473,0.000416,0.001536,0.001216,0.136997,0.851873
0.416080,0.017377,0.202440,0.004832,0.047842,0.001088,0.013504,0.000320,0.001537,0.001056,0.116292,0.830944
0.420497,0.017921,0.202152,0.005088,0.047458,0.001024,0.013504,0.000416,0.001536,0.001152,0.114213,0.833089
0.419920,0.017345,0.202600,0.004896,0.048258,0.000832,0.013601,0.000352,0.001472,0.001056,0.115300,0.834144
0.437041,0.018016,0.204808,0.005089,0.048290,0.000832,0.013728,0.000352,0.001568,0.001216,0.120325,0.860642
0.421296,0.017601,0.202824,0.005312,0.048642,0.000608,0.013697,0.000352,0.001440,0.001216,0.117733,0.839457
0.416081,0.017568,0.203336,0.004865,0.048866,0.000608,0.013632,0.000384,0.001504,0.001184,0.118053,0.834465
0.421520,0.017825,0.202728,0.004896,0.048194,0.000832,0.013505,0.000416,0.001440,0.001152,0.115108,0.835808
0.417616,0.017857,0.202824,0.004832,0.047970,0.000544,0.013536,0.000384,0.001505,0.001152,0.115620,0.831968
0.421136,0.017792,0.203752,0.004800,0.049442,0.001056,0.013505,0.000352,0.001536,0.001184,0.115589,0.838337
0.416080,0.017761,0.202664,0.004832,0.047970,0.000608,0.013536,0.000352,0.001504,0.001152,0.115173,0.829696
0.420176,0.017345,0.202440,0.004800,0.047874,0.000800,0.013472,0.000352,0.001440,0.001120,0.110788,0.844738
0.420496,0.017377,0.202600,0.004800,0.048578,0.000608,0.013441,0.000352,0.001536,0.001024,0.110820,0.829280
0.416560,0.017376,0.202216,0.004864,0.047842,0.000576,0.013473,0.000384,0.001536,0.001056,0.110852,0.824576
0.421104,0.017345,0.202632,0.004960,0.047778,0.000992,0.013601,0.000320,0.001472,0.001280,0.113572,0.833760
0.416784,0.034721,0.203720,0.004865,0.049666,0.000832,0.013440,0.000352,0.001536,0.000960,0.112325,0.847841
0.417232,0.017249,0.202184,0.004864,0.047458,0.000864,0.013440,0.000352,0.001440,0.001088,0.110885,0.824800
0.416560,0.017377,0.202280,0.004832,0.047458,0.000896,0.013313,0.000352,0.001504,0.000896,0.109156,0.822272
0.416560,0.017793,0.202504,0.004768,0.046850,0.000800,0.013377,0.000384,0.001504,0.000992,0.109956,0.823200
0.433361,0.017761,0.202408,0.004960,0.046978,0.000832,0.013377,0.000320,0.001600,0.000896,0.105508,0.836161
0.416272,0.017953,0.202344,0.004768,0.047298,0.000832,0.013473,0.000352,0.001440,0.001024,0.115236,0.828480
0.417681,0.017793,0.203016,0.004800,0.046882,0.000992,0.013472,0.000384,0.001472,0.001056,0.109797,0.824737
0.420400,0.017825,0.202440,0.004832,0.047554,0.000576,0.013409,0.000384,0.001536,0.001024,0.109188,0.827040
0.420848,0.017281,0.203592,0.004864,0.047458,0.000608,0.013441,0.000384,0.001568,0.000928,0.110020,0.828704
0.417809,0.017409,0.203175,0.005089,0.047458,0.000832,0.013472,0.000416,0.001504,0.001152,0.109509,0.826465
0.417393,0.017344,0.203368,0.004801,0.047553,0.000800,0.013377,0.000320,0.001472,0.000960,0.112517,0.827809
0.416912,0.017377,0.203656,0.004800,0.047682,0.000832,0.032193,0.000512,0.001632,0.001088,0.116389,0.851137
