Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.415441,0.017888,0.202408,0.005056,0.047106,0.000608,0.013409,0.000384,0.001440,0.193192,0.000768,0.905348
0.417072,0.017504,0.202504,0.005088,0.047234,0.000576,0.013953,0.000384,0.001536,0.190503,0.001025,0.905604
0.416688,0.017761,0.202408,0.004768,0.047042,0.000640,0.013537,0.000384,0.001504,0.189191,0.001088,0.902979
0.437553,0.018017,0.202440,0.004832,0.047042,0.000608,0.013472,0.000416,0.001504,0.172583,0.001056,0.908771
0.416880,0.017729,0.202216,0.004800,0.048578,0.000640,0.013505,0.000416,0.001408,0.182247,0.000864,0.897411
0.416721,0.017921,0.202407,0.005025,0.049250,0.000640,0.013408,0.000384,0.001440,0.178631,0.000960,0.895331
0.417264,0.017696,0.202664,0.004896,0.048450,0.000576,0.013985,0.000352,0.001504,0.209096,0.000864,0.926084
0.418321,0.017664,0.202408,0.005217,0.048129,0.000609,0.013792,0.000352,0.001408,0.178215,0.000736,0.895427
0.418064,0.017697,0.202600,0.004864,0.049026,0.000672,0.013473,0.000352,0.001440,0.177991,0.000864,0.895779
0.417456,0.017697,0.202248,0.005216,0.049602,0.000608,0.013601,0.000320,0.001376,0.164038,0.000832,0.881794
0.437489,0.018081,0.202055,0.005057,0.048450,0.000640,0.013600,0.000320,0.001408,0.176135,0.000832,0.913155
0.416721,0.017921,0.202760,0.005024,0.049410,0.000608,0.013504,0.000352,0.001472,0.172519,0.000768,0.889571
0.417296,0.017921,0.203848,0.005312,0.048258,0.000608,0.013665,0.000384,0.001568,0.185415,0.001120,0.904931
0.416657,0.017857,0.202183,0.005376,0.047586,0.000608,0.013920,0.000384,0.001376,0.225641,0.000768,0.941189
0.416401,0.017600,0.201864,0.005313,0.048961,0.000609,0.014016,0.000384,0.001472,0.175527,0.001024,0.891683
0.416113,0.017728,0.202120,0.005249,0.049633,0.000609,0.013920,0.000416,0.001504,0.183431,0.001024,0.899971
0.416561,0.017504,0.202120,0.004992,0.048354,0.000608,0.013569,0.000352,0.001504,0.178727,0.000928,0.893635
