Layer[0],Layer[1],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417488,0.017728,0.778815,0.000832,0.002208,0.001024,0.000384,1.226160
0.420049,0.017409,0.744605,0.000768,0.002240,0.001024,0.000384,1.193775
0.419697,0.017697,0.734045,0.000672,0.002048,0.001088,0.000384,1.182223
0.420432,0.017633,0.754078,0.000704,0.003328,0.001088,0.000384,1.205263
0.422321,0.017537,0.751390,0.000800,0.002272,0.001216,0.000384,1.203920
0.420400,0.017537,0.744765,0.000896,0.002048,0.001121,0.000352,1.194032
0.414960,0.017633,0.763710,0.000768,0.002112,0.001152,0.000320,1.207343
0.415409,0.017696,0.737661,0.000672,0.003040,0.001152,0.000384,1.181999
0.420720,0.017665,0.730237,0.000768,0.003264,0.001248,0.000384,1.180558
0.433649,0.017601,0.754942,0.000672,0.002048,0.001120,0.000352,1.216432
0.415633,0.017601,0.728956,0.000640,0.002273,0.000960,0.000576,1.172079
0.420465,0.017633,0.730685,0.000640,0.001952,0.001056,0.000384,1.178959
0.419888,0.017857,0.727677,0.000672,0.002112,0.000992,0.000384,1.175886
0.419984,0.017793,0.742205,0.000640,0.002977,0.001088,0.000384,1.191471
0.420816,0.017697,0.768382,0.000672,0.002208,0.000992,0.000384,1.218032
0.415504,0.017632,0.750942,0.000608,0.001984,0.000992,0.000352,1.195375
0.420272,0.017280,0.740541,0.000672,0.002912,0.001184,0.000384,1.190351
0.415952,0.017473,0.779391,0.000736,0.002016,0.001056,0.000384,1.224112
0.419985,0.017377,0.731453,0.000672,0.002048,0.001088,0.000384,1.179791
0.420560,0.017153,0.749790,0.000704,0.002208,0.001120,0.000320,1.199279
0.451537,0.018048,0.753598,0.000672,0.002112,0.001088,0.000384,1.234448
0.415600,0.017281,0.741565,0.000640,0.002337,0.001216,0.000384,1.185679
0.420433,0.017473,0.744125,0.000672,0.001920,0.001056,0.000352,1.192015
0.438961,0.017313,0.746589,0.000672,0.002048,0.001280,0.000384,1.213936
0.416048,0.017697,0.739165,0.000640,0.002464,0.001120,0.000384,1.185358
