label,mean,max,min,std,count
REE[228],2.3730609129999998,3.068168,2.355312,0.0302182098590654,1000
TEE[229],4.756829501,4.824004,4.721248999999999,0.01886834496196217,1000
REE[229],2.392031358,3.112777,2.3732330000000004,0.031283711913276994,1000
REE[230],2.413221884,3.124875,2.394289,0.030254881979444797,1000
TEE[230],4.772978685,4.82986,4.738273,0.019859456009638662,1000
TEE[231],4.821220051,4.894374,4.800643,0.013607419846513086,1000
REE[231],2.4343009579999997,3.2468939999999997,2.413522,0.03365530412502587,1000
REE[232],2.469325984,3.18382,2.441107,0.03149760645264953,1000
TEE[232],4.856301526,4.9842010000000005,4.816228,0.020025412250616242,1000
TEE[233],4.898566056,4.979049,4.88167,0.012092364168103711,1000
REE[233],2.476757861,3.2268939999999997,2.456531,0.03225354963103255,1000
TEE[234],4.92164214,4.977225,4.89383,0.013273685702717789,1000
REE[234],2.4979157969999997,3.232462,2.477364,0.03167568593848386,1000
REE[235],2.519613007,3.281456,2.499701,0.03269103613608174,1000
TEE[235],4.990564198,5.050028,4.970153,0.01568678995709301,1000
TEE[236],5.015658019000001,5.087276999999999,4.985641,0.01852327234991669,1000
REE[236],2.5429533250000005,3.2986720000000003,2.522998,0.03272180288207281,1000
REE[237],2.561959472,3.362835,2.539766,0.03385403611731767,1000
TEE[237],5.088779783,5.163631,5.05486,0.018546728918585345,1000
TEE[238],5.109160118,5.174832,5.07006,0.02170240564893733,1000
REE[238],2.5842790649999996,3.3725620000000003,2.565432,0.03358740577558065,1000
TEE[239],5.16945808,5.226514,5.138991000000001,0.01798759086800773,1000
REE[239],2.606684313,3.402387,2.586552,0.033865353328100214,1000
REE[240],2.6314755370000005,3.425268,2.6125689999999997,0.03392163294457177,1000
TEE[240],5.187156261,5.255731,5.152558999999999,0.019924617593497906,1000
REE[241],2.651082916,3.480311,2.629721,0.0351208978997438,1000
TEE[241],5.248226672,5.318868,5.228145,0.014946507332948044,1000
REE[242],2.672867655,3.4684699999999995,2.65433,0.034379305292754056,1000
TEE[242],5.274507217,5.350102,5.244146,0.0198140681576719,1000
REE[243],2.694268038,3.505495,2.671163,0.03506401601684817,1000
TEE[243],5.328025375000001,5.368374,5.312853,0.009376533002315855,1000
REE[244],2.7198799169999996,3.530104,2.701307,0.034892405273008145,1000
TEE[244],5.339199202,5.397558999999999,5.323508,0.0114091288136949,1000
TEE[245],5.4339136880000005,5.508891,5.400216,0.019690606217073435,1000
REE[245],2.738380866,2.923747,2.720253,0.00773101743800069,1000
TEE[246],5.450616162,5.5285400000000005,5.419096,0.02172731674097192,1000
REE[246],2.7615819700000004,3.680125,2.7417569999999998,0.03903691607388651,1000
TEE[247],5.529919926000001,5.612063,5.487866,0.02202175094912733,1000
REE[247],2.7859389,3.6821089999999996,2.766782,0.037151169278109276,1000
TEE[248],5.52735275,5.882152,5.5011790000000005,0.019064137499454265,1000
REE[248],2.810338823,3.646428,2.787807,0.0354047142268534,1000
TEE[249],5.603326216,5.972683,5.5791010000000005,0.01962169739278224,1000
REE[249],2.830244982,3.6820769999999996,2.807711,0.03648850451302812,1000
TEE[250],5.610526477,5.690273,5.588413,0.010739858032303087,1000
REE[250],2.853470572,3.70899,2.833409,0.0368887979273565,1000
TEE[251],5.689786166,5.765764,5.667745,0.012960231977683105,1000
REE[251],2.877467373,3.742271,2.856449,0.03710152182724812,1000
TEE[252],5.722813086,5.801125,5.681344999999999,0.019697198322918334,1000
REE[252],2.901797353,3.789056,2.882818,0.03799298105545117,1000
REE[253],2.922340408,3.803329,2.9016029999999997,0.029089783590272127,1000
TEE[253],5.775734477,5.855398999999999,5.755876,0.01249225694833139,1000
REE[254],2.945245888,3.900837,2.923107,0.04132538521425495,1000
TEE[254],5.7931525829999995,5.849383,5.7654440000000005,0.012099685002357155,1000
TEE[255],5.891613817,5.954922,5.851015,0.020615261459233144,1000
REE[255],2.9689472750000006,3.860579,2.947237,0.038496635557963475,1000
TEE[256],5.8819550935,5.948042,5.860168,0.011774925373544156,2000
REE[256],2.9962638975,3.976776,2.973477,0.03703746545246536,2000
REE[257],3.0177866709999996,3.963398,2.99511,0.04006703094100168,1000
TEE[257],5.961477920999999,6.020716999999999,5.942026,0.011964533983996743,1000
TEE[258],5.976808436000001,6.033165,5.959914,0.011039372852607292,1000
REE[258],3.0410875050000006,3.960839,3.0175110000000003,0.039651957796142195,1000
REE[259],3.0669290350000002,4.000712,3.045383,0.03980787017422035,1000
TEE[259],6.081574255,6.157776999999999,6.035309,0.023368483220611604,1000
TEE[260],6.072057337,6.158576999999999,6.051469,0.0137609881773457,1000
REE[260],3.092406744,4.039689,3.071401,0.0407955675897693,1000
TEE[261],6.144482185999999,6.200595,6.126224,0.012573844934857824,1000
REE[261],3.1116240360000003,4.082347,3.089609,0.0417420760425862,1000
TEE[262],6.164874939000001,6.235892,6.139697,0.013480131353907396,1000
REE[262],3.1363490690000004,4.069514,3.113002,0.031133703883440215,1000
TEE[263],6.259691517,6.334295,6.2293959999999995,0.018901726400215917,1000
REE[263],3.1620082760000003,4.252783999999999,3.13761,0.04571676406350586,1000
TEE[264],6.2536694200000005,6.313687,6.234356,0.013328121898111916,1000
REE[264],3.1874495080000003,4.174766,3.168716,0.03315295505086297,1000
REE[265],3.2095485529999994,4.180046,3.1886520000000003,0.03153281372987374,1000
TEE[265],6.355338729,6.4255949999999995,6.317719,0.022691791868333262,1000
TEE[266],6.356315791999999,6.421435,6.32495,0.01314987761068184,1000
REE[266],3.233085166,4.3043059999999995,3.213326,0.035719024509865596,1000
TEE[267],6.4285106260000004,6.507645,6.407738,0.014375454247325219,1000
REE[267],3.2580376099999993,4.313874,3.23627,0.03518724205187325,1000
REE[268],3.286617889,4.302386,3.263823,0.04402068018898596,1000
TEE[268],6.477484432,6.877674000000001,6.424826,0.0300626059187823,1000
REE[269],3.30772772,4.340211,3.2852639999999997,0.04433225350719977,1000
TEE[269],6.5362808459999995,6.589664,6.5052769999999995,0.013708688114188617,1000
REE[270],3.3329262589999997,4.345619999999999,3.312657,0.04381032388566518,1000
TEE[270],6.547351839,6.9871490000000005,6.520029,0.022823621380490867,1000
TEE[271],6.634755505,7.067696000000001,6.603039999999999,0.02691502565125628,1000
REE[271],3.3570412849999998,4.414486,3.336849,0.03445053990316254,1000
TEE[272],6.653259047,6.717283999999999,6.619936999999999,0.01646648660163404,1000
REE[272],3.386180405,4.4926,3.361522,0.04778546547809214,1000
REE[273],3.4078764140000004,4.4606639999999995,3.3820669999999997,0.04559745238329055,1000
